time,Fx,disp_right,max_d
0,0,0,0
0.02,0.045454545451218,0.005,0
0.04,0.090909090905811,0.01,0
0.06,0.13636363636035,0.015,0
0.08,0.18181818181489,0.02,0
0.1,0.22727272726947,0.025,0
0.12,0.27272727272397,0.03,0
0.14,0.3181818181784,0.035,0
0.16,0.36363636363305,0.04,0
0.18,0.40909090908755,0.045,0
0.2,0.4545454545422,0.05,0
0.22,0.4999999999967,0.055,0
0.24,0.54545454545121,0.06,0
0.26,0.59090909090571,0.065,0
0.28,0.63636363636022,0.07,0
0.3,0.681818181815,0.075,0
0.32,0.72727272726951,0.08,0
0.34,0.77272727272401,0.085,0
0.36,0.81818181817852,0.09,0
0.38,0.86363636363302,0.095,0
0.4,0.90909090908752,0.1,0
0.42,0.95454545454231,0.105,0
0.44,0.99999999999653,0.11,0
0.46,1.0454545454513,0.115,0
0.48,1.0909090909058,0.12,0
0.5,1.1363636363603,0.125,0
0.52,1.1818181818148,0.13,0
0.54,1.2272727272693,0.135,0
0.56,1.2727272727238,0.14,0
0.58,1.3181818181783,0.145,0
0.6,1.3636363636328,0.15,0
0.62,1.4090909090874,0.155,0
0.64,1.4545454545424,0.16,0
0.66,1.4999999999969,0.165,0
0.68,1.5454545454514,0.17,0
0.7,1.5909090909059,0.175,0
0.72,1.6363636363604,0.18,0
0.74,1.6818181818149,0.185,0
0.76,1.7272727272695,0.19,0
0.78,1.772727272724,0.195,0
0.8,1.8181818181785,0.2,0
0.82,1.863636363633,0.205,0
0.84,1.9090909090875,0.21,0
0.86,1.954545454542,0.215,0
0.88,1.9999999999965,0.22,0
0.9,0.0039913783558632,0.225,1
0.92,0.0040803253858712,0.23,1
0.94,0.0039259427711613,0.235,1
0.96,0.0037837381813688,0.24,1
0.98,0.0036547247083263,0.245,1
1,0.0035376484737526,0.25,1
