time,Fx_left_arc,Fx_left_platen_right,Fy,external_work,fracture_energy,impactor_disp,kinetic_energy,max_d,strain_energy
0,0,0,0,0,0,0,0,0,0
1e-06,4.3729244442604,7.6069886521898e-14,2.1693829066581e-22,0.00049432045234593,0,0.0002467198171342,5.4895345540553e-05,0,0.00032952736052031
2e-06,19.233683832786,-1.3532921275457e-12,5.4426298766851e-22,0.01039691283338,0,0.00098663578586422,0.0015190608108415,0,0.0077621458814979
3e-06,35.437044618202,-8.731031974897e-13,2.7029258262356e-21,0.043837823414856,0,0.00221901769846,0.0081535821460968,0,0.035703068018427
4e-06,57.64859762029,4.1036668803841e-12,7.1270445550007e-21,0.12079177218925,0,0.0039426493427611,0.024009484694842,0,0.10317652355628
5e-06,83.012224470376,-2.7222428522553e-12,2.399127073227e-20,0.26612900735131,0,0.0061558297024311,0.053885846845909,0,0.23416206716438
6e-06,112.39996236742,9.6233240901092e-12,-7.0872072534675e-20,0.50922810320051,0,0.0088563746356556,0.10322256575096,0,0.45718705306494
7e-06,144.99907136469,1.0500088845383e-11,1.2057284753424e-19,0.8836610650594,0,0.012041619030626,0.17788121389903,0,0.80499475875384
8e-06,181.09624858136,1.4048387928592e-11,-2.7008532119052e-19,1.4268518696072,0,0.015708419435684,0.28419879296149,0,1.3141927768302
9e-06,220.58238052522,-1.8505098430586e-11,4.8837805529105e-19,2.1797382194751,0,0.019853157161528,0.42893639819881,0,2.024912938632
1e-05,263.53697992779,3.7769031190147e-11,-5.159187852254e-19,3.186435736702,0,0.024471741852423,0.61924096133474,0,2.980461789098
1.1e-05,309.64348009215,-5.0571102464639e-11,-1.81290278156e-19,4.4938871216574,0,0.029559615522887,0.86265457841198,0,4.2269708426496
1.2e-05,358.58244455502,-1.6993217571118e-12,2.4803798778574e-19,6.1514524472914,0,0.035111757055874,1.1671292857422,0,5.8129887152528
1.3e-05,410.23239713444,2.6008354588534e-11,1.1986367264658e-19,8.2104660894453,0,0.041122687158009,1.5410711265652,0,7.7890373181128
1.4e-05,464.97743097691,6.5796724487449e-11,-1.0303220850957e-20,10.723715183419,0,0.04758647376699,1.9936995445744,0,10.207144285349
1.5e-05,521.91097713122,1.047841501785e-10,8.5292597803002e-22,13.744768178674,0,0.054496737905816,2.5352455867534,0,13.119974654256
1.6e-05,581.16541169745,-2.6318834325257e-11,2.2811866167849e-21,17.327435243698,0,0.061846659978068,3.1760826340351,0,16.580663058508
1.7e-05,642.87408449793,-9.8198165950231e-11,9.4209429616093e-24,21.524884599286,0,0.069628986498028,3.9275384973908,0,20.641706219201
1.8e-05,712.12472291938,-2.6947227115306e-11,8.3927652807836e-19,26.392893184525,0,0.077836037248993,4.8134015860236,0,25.353156516229
1.9e-05,786.74821921151,-1.7594593586829e-10,1.1935149951632e-25,32.011327416203,0,0.086459712862719,5.8723471897881,0,30.787549994747
2e-05,860.5759169572,5.3048412935258e-11,2.7434026424741e-20,38.422472185876,0,0.095491502812526,7.1260392824961,0,36.999223806537
2.1e-05,935.57125705478,2.7547389282228e-11,4.6510179373863e-21,45.668171147146,0,0.10492249381215,8.5864166983589,0,44.029066953934
2.2e-05,1011.7616005254,-1.641066936567e-10,-3.2097896496617e-21,53.785528972241,0,0.11474337861211,10.275987898238,0,51.913229053622
2.3e-05,1089.8288170583,-1.1616881738072e-11,1.7646149495746e-23,62.806333351775,0,0.12494446518477,12.225088615539,0,60.683411953941
2.4e-05,1176.355612013,1.6192574538928e-10,1.5083558094445e-20,72.763411845523,0,0.13551568628929,14.487235864853,0,70.363052263639
2.5e-05,1265.8460803521,3.4119769502731e-10,-1.1951678228427e-21,83.713453276107,0,0.14644660940673,17.130894383252,0,81.001569021127
2.6e-05,1352.9113378796,1.599082462738e-10,5.9313377602995e-21,95.663588920567,0,0.15772644703566,20.197377659757,0,92.624351023753
2.7e-05,1440.77723927,3.6728918021506e-11,-1.1749236262199e-22,108.61966787285,0,0.16934406733817,23.714593306844,0,105.23758547046
2.8e-05,1534.0755692752,3.072101826102e-11,1.6525824636716e-21,122.58313096735,0,0.18128800512566,27.739411847559,0,118.83376469998
2.9e-05,1632.5379144466,-2.7586981866259e-10,-1.0531290560346e-20,137.58581077106,0,0.19354647317351,32.362459398443,0,133.42939364116
3e-05,1725.9767336132,-1.2373395591397e-10,5.2199741465106e-22,153.60662642365,0,0.20610737385376,37.642459028336,0,149.02861086681
3.1e-05,1819.674058081,-2.2478995931945e-10,-6.7576980584853e-24,170.6219381583,0,0.21895831107393,43.610730719313,0,165.61190889463
3.2e-05,1923.2513070866,8.3965570441169e-11,9.6690698823424e-22,188.62108734278,0,0.2320866025105,50.34868045455,0,183.14309604025
3.3e-05,2020.6849231949,1.3573133527885e-10,3.1204429353702e-22,207.58898935888,0,0.24547929212481,57.937384526195,0,201.61863113753
3.4e-05,2115.9914216788,-1.3182180347035e-12,-1.4149716015415e-23,227.47751814072,0,0.25912316294914,66.412221901968,0,221.00904968296
3.5e-05,2215.2557256058,-2.8197243102495e-11,5.4729145071607e-22,248.24355541918,0,0.27300475013023,75.819857629243,0,241.2601658534
3.6e-05,2314.2354411806,1.0474849682372e-10,-2.5308588466115e-21,269.86667759503,0,0.28711035421746,86.231749263817,0,262.33843400414
3.7e-05,2406.024690043,-1.4701586592881e-10,3.9860573560966e-23,292.28777275548,0,0.30142605468261,97.679823678075,0,284.20665276016
3.8e-05,2497.8921337031,-2.6514259490818e-10,1.7543056861249e-21,315.45608183531,0,0.31593772365766,110.16560350918,0,306.81835105099
3.9e-05,2592.7170041687,-2.0211358319469e-10,4.8928864143505e-22,339.34880787882,0,0.33063103987735,123.73029313919,0,330.12409308671
4e-05,2678.1671355774,-6.6225259339235e-11,-2.5271902521272e-22,363.9172471758,0,0.34549150281253,138.38414901471,0,354.09282440237
4.1e-05,2760.9603409423,4.1217138899895e-10,6.8872479517843e-24,389.11594263403,0,0.36050444698039,154.0885794282,0,378.69327003721
4.2e-05,2844.8581231383,4.070662365047e-10,3.1349111239994e-21,414.90717117193,0,0.37565505641757,170.83171610484,0,403.87234801356
4.3e-05,2925.0282280925,5.8420117207708e-10,3.6956555687794e-26,441.26814680198,0,0.39092837930173,188.60620976008,0,429.59831503596
4.4e-05,2999.1233922218,5.0143511703803e-10,6.5914904931182e-22,468.1799176897,0,0.40630934270714,207.3553554265,0,455.86247370125
4.5e-05,3068.6214179992,4.3756954227935e-10,1.4670338969312e-23,495.63240663121,0,0.42178276747988,226.98968469451,0,482.66081456225
4.6e-05,3137.2009288213,-7.9984288962165e-10,2.0644533878033e-18,523.61143049074,0,0.43733338321785,247.39524693745,0,509.97511473533
4.7e-05,3201.9849198801,-2.4252175342756e-11,-9.49508683815e-19,552.12052605553,0,0.45294584334074,268.48867153841,0,537.80108906347
4.8e-05,3259.1747216602,7.3148410352108e-10,8.1360968062833e-22,581.16120905944,0,0.46860474023534,290.2269250616,0,566.15002752443
4.9e-05,3310.9471654564,-1.3061797251941e-10,-9.640584051946e-21,610.78229026547,0,0.48429462046094,312.47311969371,0,595.05709069221
5e-05,3357.9907309545,5.093909812315e-10,-4.0853171519878e-19,641.04568430127,0,0.5,334.96872409512,0,624.58624322546
5.1e-05,3399.8157846098,7.9738788389361e-10,1.9613227805457e-23,671.9955201046,0,0.51570537953906,357.54920944547,0,654.78992961605
5.2e-05,3436.1076164022,-2.8725079913195e-10,7.9744907612397e-24,703.70106325249,0,0.53139525976466,380.06606361184,0,685.71942172545
5.3e-05,3467.2299501189,-8.8508125639205e-10,-1.0840387720028e-23,736.28549675096,0,0.54705415665926,402.27463752022,0,717.4759391731
5.4e-05,3492.9698110673,9.7006515033434e-11,-4.033313279763e-24,769.82635164763,0,0.56266661678215,423.92146559033,0,750.16098967413
5.5e-05,3513.206463216,2.4856890729892e-10,-1.7868393700853e-24,804.45381284655,0,0.57821723252011,444.7550522493,0,783.8706660409
5.6e-05,3528.2071115018,9.03446745947e-10,7.1974406814917e-25,840.30017547019,0,0.59369065729286,464.51671379018,0,818.74409738397
