time,Fx,Fy
0,0,0
1e-06,52.494120801855,8.8611805504346e-08
2e-06,111.44003287196,1.880216934369e-07
3e-06,164.43885200267,2.7731158702693e-07
4e-06,222.85764451274,3.7583140466424e-07
5e-06,276.20433166024,4.657854675294e-07
6e-06,334.13301777218,5.6347049337546e-07
7e-06,387.72888042845,6.538383239274e-07
8e-06,445.18923417396,7.5075222305543e-07
9e-06,498.91204817381,8.4129517219367e-07
1e-05,555.82021217541,9.3725700356373e-07
1.1e-05,609.4284544033,1.0275344166644e-06
1.2e-05,665.67090101047,1.1222381814946e-06
1.3e-05,719.1632521266,1.2127330109024e-06
1.4e-05,774.89458200293,1.306715889271e-06
1.5e-05,828.23800958719,1.3964271019518e-06
1.6e-05,883.33218364756,1.48947207812e-06
1.7e-05,936.40298288143,1.5790453549158e-06
1.8e-05,990.89498913077,1.6708223755657e-06
1.9e-05,1043.6610321664,1.7597782084877e-06
2e-05,1097.4527403553,1.8504634962113e-06
2.1e-05,1149.8326670412,1.9388930283526e-06
2.2e-05,1202.9528205118,2.0285106963058e-06
2.3e-05,1254.8563838464,2.1158486092077e-06
2.4e-05,1307.2105089447,2.2043354981349e-06
2.5e-05,1358.6306130547,2.2910969352807e-06
2.6e-05,1410.1845672928,2.3775922279867e-06
2.7e-05,1461.0031236044,2.4635831490372e-06
2.8e-05,1511.7485644082,2.5494614135368e-06
2.9e-05,1561.900335734,2.6339617740234e-06
3e-05,1611.6840550469,2.7177137447154e-06
3.1e-05,1660.8680740067,2.8001994039073e-06
3.2e-05,1709.1293861425,2.8817850505902e-06
3.3e-05,1756.8541478842,2.9626485247292e-06
3.4e-05,1804.1710319426,3.0427766706254e-06
3.5e-05,1852.2446331257,3.1243816831505e-06
3.6e-05,1899.8539849741,3.2040345239182e-06
3.7e-05,1947.1120999798,3.2820339548323e-06
3.8e-05,1993.4639060611,3.361242805866e-06
3.9e-05,2040.2182071582,3.4417781762386e-06
4e-05,2084.4470534569,3.5141488972101e-06
4.1e-05,2128.1679999666,3.5877722837085e-06
4.2e-05,2172.5044916378,3.6644911372008e-06
4.3e-05,2216.7209489578,3.7343106242815e-06
4.4e-05,2257.8496885926,3.804785890793e-06
4.5e-05,2301.3894035009,3.8901433612182e-06
4.6e-05,2342.7524775333,3.9558892304115e-06
4.7e-05,2382.1043752131,4.010676363464e-06
4.8e-05,2430.1872068574,4.2959303137025e-06
4.9e-05,2481.4324314914,4.288512968742e-06
4.925e-05,2489.1340612076,4.3728574503632e-06
4.9375e-05,2491.6990118302,4.4065940016935e-06
4.94375e-05,2491.8277138199,4.2787186664839e-06
4.95625e-05,2492.3433462979,4.5243008450768e-06
4.9625e-05,2493.5955419379,4.5282714147277e-06
4.975e-05,2501.7452074751,4.8762348612286e-06
5e-05,2517.5596970471,5.914070602131e-06
5.0125e-05,2504.7245137416,0.00022557477381824
5.01875e-05,2486.2682952222,5.5255690696754e-05
5.03125e-05,2448.4395371722,0.0001853831369516
5.0375e-05,2441.3835934699,0.00036529990698142
5.05e-05,2491.3357058056,0.00095966468376929
5.05625e-05,2543.0169165278,0.00077765180843414
5.06875e-05,2627.1846293669,0.0026544439385638
5.075e-05,2632.758925229,0.0044111330662133
5.0875e-05,2552.2849496521,0.0060375389594149
5.09375e-05,2495.1668237542,0.0051627116475395
5.10625e-05,2453.3240839357,0.0032773995751008
5.1125e-05,2465.1752275156,0.00369736822406
5.125e-05,2528.2781296851,0.0084532514529272
5.15e-05,2599.2664370967,0.012326548507684
5.15625e-05,2588.5263227807,0.010004722220142
5.159375e-05,2580.5002913257,0.0082593151033663
5.165625e-05,2557.5195535201,0.0032144166888308
5.16875e-05,2541.7213179854,-0.0020134572284789
5.175e-05,2517.3741443739,-0.0121432925359
5.178125e-05,2508.9290500396,-0.016940779878354
5.184375e-05,2521.2020179035,-0.024271779821696
5.196875e-05,2641.0642203389,-0.018296598179727
5.203125e-05,2724.0885054559,0.00076303501890962
5.215625e-05,2705.7099087499,0.045405947696818
5.221875e-05,2601.202198996,0.037326616708025
5.234375e-05,2508.5765123409,-0.031200284427932
5.240625e-05,2573.7089119589,-0.052311198924254
5.253125e-05,2641.925025182,-0.023378941089089
5.259375e-05,2591.6670176472,-0.0031903537058788
5.271875e-05,2521.3109579957,-0.0055690566351991
5.278125e-05,2581.002841046,-0.0018421384974765
5.28125e-05,2637.2913828631,0.016016226284265
5.2875e-05,2704.4793811613,0.090423417349342
5.290625e-05,2705.1898769304,0.14526884111016
5.296875e-05,2665.8741960225,0.20646358215342
5.309375e-05,2665.777480288,0.080216278231202
5.3125e-05,2693.5406349211,0.032634441489968
5.325e-05,2656.4128649427,0.27073406762094
5.33125e-05,2562.8736912507,0.38971503171203
5.34375e-05,2595.0189687331,0.25382169898639
5.35e-05,2685.9229980078,0.24550553010188
5.353125e-05,2703.1792817282,0.34335199125423
5.359375e-05,2650.7500313115,0.59987070254983
5.3625e-05,2602.8320091101,0.68810639540753
5.36875e-05,2552.1953335171,0.75458707300364
5.371875e-05,2560.2354234543,0.77852445075889
5.3734375e-05,2574.5206008687,0.80843129306258
5.373828125e-05,2578.972866338,0.83052764564444
5.3740234375e-05,2581.3504599572,0.84131178442602
5.3740478515625e-05,2581.6332646375,0.84161330913957
5.3740600585938e-05,2581.7976430052,0.84196096444718
5.3740844726563e-05,2582.095359004,0.84237867981914
5.3740905761719e-05,2582.1882295574,0.84263424177761
5.3740909576416e-05,2582.1976168413,0.84268058391392
5.3740910576416e-05,2582.1990871649,0.84268436991227
