time,Fx,max_d
0,0,0
0.25,5.5780954955536,0
0.5,21.289046936225,0
0.75,42.267174847467,0
1,63.477697433938,0
1.25,84.132872629564,0
1.5,104.85072512536,0
1.75,125.69306583084,0
2,146.46932458738,0
2.25,167.21542483818,0
2.5,188.01129335956,0
2.75,208.81767005076,0
3,229.58509570639,0
3.25,250.340106232,0
3.5,271.12873197234,0
3.75,291.94264801728,0
4,312.7408182411,0
4.25,333.52077136255,0
4.5,354.3159829167,0
4.75,375.13289796743,0
5,395.94775652757,0
5.25,416.75638289948,0
5.5,437.57505954211,0
5.75,458.40383998608,0
6,479.22912005553,0
6.25,500.04850927437,0
6.5,520.86636209507,0
6.75,541.6790496069,0
7,562.48026214381,0
7.25,583.2692594031,0
7.5,604.04766055984,0
7.75,624.81672568827,0
8,645.57826129373,0
8.25,666.33277717882,0
8.5,687.07923479187,0
8.75,707.81902975825,0
9,728.55603710922,0
9.25,749.29162229626,0
9.5,770.02384989238,0
9.75,790.75237101858,0
10,811.48062009987,0
10.25,832.21210393174,0
10.5,852.94682133772,0
10.75,873.6830296061,0
11,894.42153686363,0
11.25,915.16606872692,0
11.5,935.9191437676,0
11.75,956.67970272195,0
12,977.44572018621,0
12.25,998.21720776716,0
12.5,1018.9953170912,0
12.75,1039.7800390465,0
13,1060.5703711629,0
13.25,1081.366042146,0
13.5,1102.1679480441,0
13.75,1122.9772115669,0
14,1143.7945334505,0
14.25,1164.6202965278,0
14.5,1185.4546396373,0
14.75,1206.2971167304,0
15,1227.1465470271,0
15.25,1248.0017358741,0
15.5,1268.8626111224,0
15.75,1289.7304478688,0
16,1310.6067675184,0
16.25,1331.4921541028,0
16.5,1352.3862201791,0
16.75,1373.2883431429,0
17,1394.1980539189,0
17.25,1415.1149548254,0
17.5,1436.0388734673,0
17.75,1456.9703090055,0
18,1477.9103760489,0
18.25,1498.8599545775,0
18.5,1519.818921264,0
18.75,1540.7864016083,0.0036245758251966
19,1561.7617887344,0.0075314904456526
19.25,1582.7453996963,0.010779544679654
19.5,1603.7381304635,0.017982949993657
19.75,1624.740606192,0.054173995735638
20,1645.7527555878,0.080663339882946
20.25,1666.7741079673,0.11680547016709
20.5,1687.8042061149,0.16948099175023
20.75,1708.8422377268,0.23224446084443
21,1729.885386486,0.31396419884851
21.25,1750.9258258437,0.40712983135565
21.5,1771.9461439143,0.49116826398323
21.75,1792.9124013325,0.57728045536442
