time,Fx,disp_x,max_d
0,0,0,0
5e-07,2552.4295932316,0.0020625,0
1e-06,7185.5018714802,0.00825,0.00058078241693282
1.5e-06,8690.3679225062,0.0165,0.0050461890357533
2e-06,8190.1845914995,0.02475,0.0083705922199044
2.5e-06,8280.1015847695,0.033,0.0084586145234046
3e-06,8207.5558881385,0.04125,0.0091531147085822
3.5e-06,8182.7598787369,0.0495,0.0099056342320694
4e-06,8167.7940753653,0.05775,0.01056045694702
4.5e-06,8102.5492328011,0.066,0.011041783815194
5e-06,8081.6016504602,0.07425,0.011924450107804
5.5e-06,8034.3974712129,0.0825,0.012138911581572
6e-06,7997.1444268928,0.09075,0.012606831616533
6.5e-06,7957.3471630994,0.099,0.012614177950396
7e-06,7951.0095854757,0.10725,0.01287892922634
7.5e-06,7893.4839645308,0.1155,0.013122748683638
8e-06,7855.4825549792,0.12375,0.013199774925643
8.5e-06,7830.5254792894,0.132,0.0133462218848
9e-06,7764.4853826181,0.14025,0.013993828161602
9.5e-06,7759.7019164925,0.1485,0.015839598364752
1e-05,7728.6808202626,0.15675,0.017425222513633
1.05e-05,7682.0415653218,0.165,0.017915355278303
1.1e-05,7674.9549209417,0.17325,0.018487840324341
1.15e-05,7670.0736156939,0.1815,0.019578414679351
1.2e-05,7681.6548737316,0.18975,0.029944485502165
1.25e-05,7703.7139964231,0.198,0.06199153188267
1.3e-05,7724.4564224251,0.20625,0.10180174023687
1.35e-05,7744.1444667628,0.2145,0.13790106164927
1.4e-05,7775.3094895521,0.22275,0.16346494850395
1.45e-05,7824.6647360067,0.231,0.1826962853464
1.5e-05,7850.2760987319,0.23925,0.20691308873765
1.55e-05,7910.6932217767,0.2475,0.24160269782504
1.6e-05,7942.3936773639,0.25575,0.2778478944045
1.65e-05,7980.4450357839,0.264,0.30375373646358
1.7e-05,8053.3496837437,0.27225,0.32112954328927
1.75e-05,8073.9265362226,0.2805,0.34289039675471
1.8e-05,8132.2666334936,0.28875,0.37334076544514
1.85e-05,8203.8689649683,0.297,0.4033060297086
1.9e-05,8253.0469944786,0.30525,0.42762435615029
1.95e-05,8335.3139135337,0.3135,0.45233354495528
2e-05,8445.205662274,0.32175,0.48006548281822
2.05e-05,8596.5272330406,0.33,0.5047060293243
2.1e-05,8798.6719400837,0.33825,0.5269438479707
2.15e-05,9050.3469304796,0.3465,0.55688796531257
2.2e-05,9364.59786046,0.35475,0.59593621634188
2.25e-05,9719.9030209064,0.363,0.63697798481015
2.3e-05,10110.631097094,0.37125,0.68155632023891
2.35e-05,10417.353202579,0.3795,0.73647836969508
2.4e-05,10660.837218434,0.38775,0.80133079505293
2.45e-05,10895.753163263,0.396,0.8724695660537
2.5e-05,11068.72000333,0.40425,0.94215113913997
2.55e-05,11229.839802405,0.4125,0.9910228098104
2.6e-05,11404.397579069,0.42075,1
2.65e-05,11554.373255108,0.429,1
2.7e-05,11637.282039733,0.43725,1
2.75e-05,11674.599952841,0.4455,1
2.8e-05,11732.423163339,0.45375,1
2.85e-05,11796.080841691,0.462,1
2.9e-05,11860.839705994,0.47025,1
2.95e-05,11915.344778026,0.4785,1
3e-05,11894.595568528,0.48675,1
3.05e-05,11901.411413699,0.495,1
3.1e-05,11919.702205708,0.50325,1
3.15e-05,11924.859929264,0.5115,1
3.2e-05,11963.313887942,0.51975,1
3.25e-05,11994.358242825,0.528,1
3.3e-05,12053.842528156,0.53625,1
3.35e-05,12157.684659036,0.5445,1
3.4e-05,12290.281762987,0.55275,1
3.45e-05,12458.767563841,0.561,1
3.5e-05,12648.022545212,0.56925,1
3.55e-05,12901.753152386,0.5775,1
3.6e-05,13174.660045153,0.58575,1
3.65e-05,13412.67336231,0.594,1
3.7e-05,13669.868959056,0.60225,1
3.75e-05,13837.589003956,0.6105,1
3.8e-05,13889.698417518,0.61875,1
3.85e-05,13788.912802098,0.627,1
3.9e-05,13431.095008946,0.63525,1
3.95e-05,12805.712236464,0.6435,1
4e-05,11873.070704657,0.65175,1
4.05e-05,10677.510914109,0.66,1
4.1e-05,9399.4022089034,0.66825,1
4.15e-05,8308.5575046306,0.6765,1
4.2e-05,7719.8411459462,0.68475,1
4.25e-05,7819.2556333222,0.693,1
4.3e-05,8646.2451336573,0.70125,1
4.35e-05,9933.9742303603,0.7095,1
4.4e-05,11148.970801784,0.71775,1
4.45e-05,11739.385160624,0.726,1
4.5e-05,11295.044496352,0.73425,1
4.55e-05,9974.2528271627,0.7425,1
4.6e-05,8375.1156938626,0.75075,1
4.65e-05,7253.471090228,0.759,1
4.7e-05,7109.0453769144,0.76725,1
4.75e-05,7734.3233405079,0.7755,1
4.8e-05,8344.7291884147,0.78375,1
4.85e-05,8176.8028254679,0.792,1
4.9e-05,7175.0810619154,0.80025,1
4.95e-05,6083.9457939067,0.8085,1
5e-05,5750.5157405683,0.81675,1
5.05e-05,6329.0460192868,0.825,1
5.1e-05,7133.0547807552,0.83325,1
5.15e-05,7317.8389838025,0.8415,1
