time,Fx,disp_x,max_d
0,0,0,0
5e-07,2552.4295932316,0.0020625,0
1e-06,7185.5018714802,0.00825,0.00058078241693282
1.5e-06,8690.3679225062,0.0165,0.0050461890357533
2e-06,8190.1845914995,0.02475,0.0083705922199044
2.5e-06,8280.1015847695,0.033,0.0084586145234046
3e-06,8207.5558881385,0.04125,0.0091531147085822
3.5e-06,8182.7598787369,0.0495,0.0099056342320694
4e-06,8167.7940753653,0.05775,0.01056045694702
4.5e-06,8102.5492328012,0.066,0.011041783815194
5e-06,8081.6016504602,0.07425,0.011924450107804
5.5e-06,8034.3974712129,0.0825,0.012138911581572
6e-06,7997.1444268928,0.09075,0.012606831616533
6.5e-06,7957.3471630994,0.099,0.012614177950396
7e-06,7951.0095854757,0.10725,0.01287892922634
7.5e-06,7893.4839645308,0.1155,0.013122748683638
8e-06,7855.4825549792,0.12375,0.013199774925643
8.5e-06,7830.5254792894,0.132,0.0133462218848
9e-06,7764.4853826182,0.14025,0.013993828161602
9.5e-06,7759.7019164925,0.1485,0.015839598364752
1e-05,7728.6808202626,0.15675,0.017425222513633
1.05e-05,7682.0415653218,0.165,0.017915355278303
1.1e-05,7674.9549209417,0.17325,0.018487840324341
1.15e-05,7670.073615694,0.1815,0.019578414679351
1.2e-05,7681.6548737316,0.18975,0.029949156222619
1.25e-05,7703.7139964231,0.198,0.062011227568896
1.3e-05,7724.4564224252,0.20625,0.10186969720576
1.35e-05,7744.1444667633,0.2145,0.13810096998973
1.4e-05,7775.3094895548,0.22275,0.16396465205075
1.45e-05,7824.6647360203,0.231,0.18381922667481
1.5e-05,7850.2760987978,0.23925,0.20921733271523
1.55e-05,7910.6932220789,0.2475,0.2459588164798
1.6e-05,7942.3936786768,0.25575,0.28538639261517
1.65e-05,7980.4450411873,0.264,0.31560848222281
1.7e-05,8053.3497048101,0.27225,0.33804158393024
1.75e-05,8073.9266140549,0.2805,0.36484858813755
1.8e-05,8132.2669059708,0.28875,0.39980993162835
1.85e-05,8203.8698687389,0.297,0.4337886107104
1.9e-05,8253.0498333039,0.30525,0.46201616015567
1.95e-05,8335.3223573276,0.3135,0.49102019570966
2e-05,8445.2294226317,0.32175,0.52388536829768
2.05e-05,8596.5904645315,0.33,0.554514277378
2.1e-05,8798.8309092764,0.33825,0.58278678620451
2.15e-05,9050.7242623596,0.3465,0.61769086840997
2.2e-05,9365.4422492093,0.35475,0.66089840465554
2.25e-05,9721.6817107863,0.363,0.70656939602383
2.3e-05,10114.153007788,0.37125,0.75611748256938
2.35e-05,10423.891465321,0.3795,0.81412690473276
2.4e-05,10672.184643756,0.38775,0.87717034852762
2.45e-05,10914.095818654,0.396,0.93788572765179
2.5e-05,11096.204745768,0.40425,0.98558805710697
2.55e-05,11267.778146226,0.4125,1
2.6e-05,11452.277769786,0.42075,1
2.65e-05,11609.098184847,0.429,1
2.7e-05,11693.154182889,0.43725,1
2.75e-05,11724.591010636,0.4455,1
2.8e-05,11770.351277733,0.45375,1
2.85e-05,11818.888536968,0.462,1
2.9e-05,11870.12774293,0.47025,1
2.95e-05,11915.852089948,0.4785,1
3e-05,11891.131064797,0.48675,1
3.05e-05,11896.187479327,0.495,1
3.1e-05,11911.798958791,0.50325,1
3.15e-05,11912.869196223,0.5115,1
3.2e-05,11948.477575294,0.51975,1
3.25e-05,11981.160804616,0.528,1
3.3e-05,12046.762383554,0.53625,1
3.35e-05,12157.473351447,0.5445,1
3.4e-05,12293.554106219,0.55275,1
3.45e-05,12462.389620234,0.561,1
3.5e-05,12653.721880173,0.56925,1
3.55e-05,12916.189468403,0.5775,1
3.6e-05,13204.192322567,0.58575,1
3.65e-05,13457.959442518,0.594,1
3.7e-05,13724.836119669,0.60225,1
3.75e-05,13893.517177291,0.6105,1
3.8e-05,13939.889766123,0.61875,1
3.85e-05,13829.741670369,0.627,1
3.9e-05,13461.159066659,0.63525,1
3.95e-05,12824.376392309,0.6435,1
4e-05,11880.542605915,0.65175,1
4.05e-05,10675.45229988,0.66,1
4.1e-05,9391.7355981484,0.66825,1
4.15e-05,8301.205973018,0.6765,1
4.2e-05,7720.1034875137,0.68475,1
4.25e-05,7836.6428133402,0.693,1
4.3e-05,8695.4224877472,0.70125,1
4.35e-05,10035.225006816,0.7095,1
4.4e-05,11322.505425795,0.71775,1
4.45e-05,11997.584138623,0.726,1
4.5e-05,11639.827672314,0.73425,1
4.55e-05,10400.182698066,0.7425,1
4.6e-05,8872.1460828581,0.75075,1
4.65e-05,7807.5697088995,0.759,1
4.7e-05,7704.8468669519,0.76725,1
4.75e-05,8363.4252400498,0.7755,1
4.8e-05,9015.0588410597,0.78375,1
4.85e-05,8913.7164632144,0.792,1
4.9e-05,8007.209749532,0.80025,1
4.95e-05,7023.7080973982,0.8085,1
5e-05,6786.5131012019,0.81675,1
5.05e-05,7433.8424605396,0.825,1
5.1e-05,8272.4453780486,0.83325,1
5.15e-05,8452.6764097551,0.8415,1
