time,Fx,disp_x,max_d
0,0,0,0
5e-07,2552.4295931896,0.0020625,0
1e-06,7185.5018712547,0.00825,0.0005807824169864
1.5e-06,8690.3679220285,0.0165,0.005046189036058
2e-06,8190.1845906359,0.02475,0.0083705922202936
2.5e-06,8280.1015838643,0.033,0.0084586145239394
3e-06,8207.5558885735,0.04125,0.0091531147118873
3.5e-06,8182.7598800328,0.0495,0.0099056342353386
4e-06,8167.7940754841,0.05775,0.010560456948503
4.5e-06,8102.5492321743,0.066,0.011041783812158
5e-06,8081.6016504425,0.07425,0.011924450106833
5.5e-06,8034.3974715013,0.0825,0.012138911593669
6e-06,7997.1444269193,0.09075,0.012606831610844
6.5e-06,7957.3471631864,0.099,0.012614177942003
7e-06,7951.0095856808,0.10725,0.012878929219956
7.5e-06,7893.4839647567,0.1155,0.013122748674185
8e-06,7855.4825554346,0.12375,0.013199774948333
8.5e-06,7830.5254797155,0.132,0.01334622188377
9e-06,7764.485383011,0.14025,0.013993828161086
9.5e-06,7759.7019165972,0.1485,0.015839598368209
1e-05,7728.6808193417,0.15675,0.017425222513146
1.05e-05,7682.0415641611,0.165,0.017915355273888
1.1e-05,7674.9549213297,0.17325,0.018487840327621
1.15e-05,7670.0736171105,0.1815,0.019578414682723
1.2e-05,7681.6548738885,0.18975,0.029946418907522
1.25e-05,7703.7139955059,0.198,0.061999911017865
1.3e-05,7724.4564211984,0.20625,0.10183146244328
1.35e-05,7744.1444659009,0.2145,0.13799102081133
1.4e-05,7775.3094893511,0.22275,0.16369638578448
1.45e-05,7824.6647358762,0.231,0.18323168405286
1.5e-05,7850.2760992902,0.23925,0.20804460971056
1.55e-05,7910.6932211828,0.2475,0.24380633515108
1.6e-05,7942.393676643,0.25575,0.28177433058137
1.65e-05,7980.4450374166,0.264,0.31010103538155
1.7e-05,8053.3496909017,0.27225,0.33041882635426
1.75e-05,8073.9265674068,0.2805,0.35521377986139
1.8e-05,8132.2667435685,0.28875,0.38842233269546
1.85e-05,8203.8693335803,0.297,0.42078604280106
1.9e-05,8253.0481774605,0.30525,0.44730934587394
1.95e-05,8335.3174992619,0.3135,0.47439602923289
2e-05,8445.2159325094,0.32175,0.50517242099202
2.05e-05,8596.5550702189,0.33,0.53375548758513
2.1e-05,8798.7432729515,0.33825,0.56042992353478
2.15e-05,9050.5195898559,0.3465,0.59445186111483
2.2e-05,9364.9920621971,0.35475,0.63708636118804
2.25e-05,9720.7507306771,0.363,0.68182643963044
2.3e-05,10112.345760375,0.37125,0.73009668078215
2.35e-05,10420.607281283,0.3795,0.78738610877748
2.4e-05,10666.615199557,0.38775,0.85149383627685
2.45e-05,10905.317348648,0.396,0.9165026880181
2.5e-05,11083.410808039,0.40425,0.97253466010417
2.55e-05,11250.653084875,0.4125,1
2.6e-05,11431.397605325,0.42075,1
2.65e-05,11586.151586649,0.429,1
2.7e-05,11670.771494713,0.43725,1
2.75e-05,11705.651818413,0.4455,1
2.8e-05,11757.031450516,0.45375,1
2.85e-05,11811.937489858,0.462,1
2.9e-05,11868.637065523,0.47025,1
2.95e-05,11918.246418098,0.4785,1
3e-05,11896.36478275,0.48675,1
3.05e-05,11904.193581693,0.495,1
3.1e-05,11922.823796545,0.50325,1
3.15e-05,11925.914535177,0.5115,1
3.2e-05,11960.523310742,0.51975,1
3.25e-05,11988.13503466,0.528,1
3.3e-05,12045.958285521,0.53625,1
3.35e-05,12149.184999294,0.5445,1
3.4e-05,12280.562446747,0.55275,1
3.45e-05,12447.553262558,0.561,1
3.5e-05,12638.252763918,0.56925,1
3.55e-05,12900.001451163,0.5775,1
3.6e-05,13187.556994904,0.58575,1
3.65e-05,13442.211480401,0.594,1
3.7e-05,13711.572191576,0.60225,1
3.75e-05,13883.296398866,0.6105,1
3.8e-05,13932.127906332,0.61875,1
3.85e-05,13824.207978135,0.627,1
3.9e-05,13458.836613511,0.63525,1
3.95e-05,12827.077361385,0.6435,1
4e-05,11889.001709551,0.65175,1
4.05e-05,10687.665821452,0.66,1
4.1e-05,9402.7648714674,0.66825,1
4.15e-05,8305.0576048291,0.6765,1
4.2e-05,7712.0887186491,0.68475,1
4.25e-05,7813.9239965143,0.693,1
4.3e-05,8655.2778855636,0.70125,1
4.35e-05,9973.646581243,0.7095,1
4.4e-05,11235.459752222,0.71775,1
4.45e-05,11882.982005102,0.726,1
4.5e-05,11497.524889537,0.73425,1
4.55e-05,10230.565248081,0.7425,1
4.6e-05,8676.2634565028,0.75075,1
4.65e-05,7588.4960308473,0.759,1
4.7e-05,7466.9447047289,0.76725,1
4.75e-05,8108.4607132488,0.7755,1
4.8e-05,8739.5113200857,0.78375,1
4.85e-05,8611.1822773904,0.792,1
4.9e-05,7674.9024429338,0.80025,1
4.95e-05,6666.099241265,0.8085,1
5e-05,6412.2017762761,0.81675,1
5.05e-05,7049.881682751,0.825,1
5.1e-05,7882.0936588451,0.83325,1
5.15e-05,8057.7593825244,0.8415,1
5.2e-05,7401.71218608,0.84975,1
5.25e-05,6665.1968848763,0.858,1
5.3e-05,6697.1801782726,0.86625,1
5.35e-05,7313.6303285825,0.8745,1
5.4e-05,7714.5489104252,0.88275,1
5.45e-05,7403.7401363906,0.891,1
5.5e-05,6765.9807705903,0.89925,1
5.55e-05,6593.2798797231,0.9075,1
5.6e-05,7041.6118052426,0.91575,1
5.65e-05,7590.2755100221,0.924,1
5.7e-05,7684.9184647062,0.93225,1
5.75e-05,7582.4977030553,0.9405,1
5.8e-05,7964.4735664381,0.94875,1
5.85e-05,8737.3715665459,0.957,1
5.9e-05,9236.6612803762,0.96525,1
5.95e-05,9121.5100669569,0.9735,1
6e-05,8790.9643186383,0.98175,1
