time,Fx,disp_x,max_d
0,0,0,0
5e-07,2552.4295932316,0.0020625,0
1e-06,7185.5018714802,0.00825,0.00058078241693282
1.5e-06,8690.3679225062,0.0165,0.0050461890357533
2e-06,8190.1845914995,0.02475,0.0083705922199044
2.5e-06,8280.1015847695,0.033,0.0084586145234046
3e-06,8207.5558881385,0.04125,0.0091531147085822
3.5e-06,8182.7598787369,0.0495,0.0099056342320694
4e-06,8167.7940753653,0.05775,0.01056045694702
4.5e-06,8102.5492328011,0.066,0.011041783815194
5e-06,8081.6016504602,0.07425,0.011924450107804
5.5e-06,8034.3974712129,0.0825,0.012138911581572
6e-06,7997.1444268928,0.09075,0.012606831616533
6.5e-06,7957.3471630994,0.099,0.012614177950396
7e-06,7951.0095854757,0.10725,0.01287892922634
7.5e-06,7893.4839645308,0.1155,0.013122748683638
8e-06,7855.4825549792,0.12375,0.013199774925643
8.5e-06,7830.5254792894,0.132,0.0133462218848
9e-06,7764.4853826181,0.14025,0.013993828161602
9.5e-06,7759.7019164925,0.1485,0.015839598364752
1e-05,7728.6808202626,0.15675,0.017425222513633
1.05e-05,7682.0415653218,0.165,0.017915355278303
1.1e-05,7674.9549209417,0.17325,0.018487840324341
1.15e-05,7670.0736156939,0.1815,0.019578414679351
1.2e-05,7681.6548737316,0.18975,0.029947567376973
1.25e-05,7703.7139964231,0.198,0.062004854427856
1.3e-05,7724.4564224251,0.20625,0.10184889080962
1.35e-05,7744.144466763,0.2145,0.13804340013474
1.4e-05,7775.3094895537,0.22275,0.16383020115495
1.45e-05,7824.6647360146,0.231,0.18354025046108
1.5e-05,7850.2760987707,0.23925,0.20869569880853
1.55e-05,7910.6932219572,0.2475,0.2450742612714
1.6e-05,7942.3936781588,0.25575,0.28403730827366
1.65e-05,7980.445039102,0.264,0.31377450524816
1.7e-05,8053.3496968676,0.27225,0.33582879878405
1.75e-05,8073.9265854287,0.2805,0.36244736853609
1.8e-05,8132.2668083645,0.28875,0.39733489660241
1.85e-05,8203.8695539799,0.297,0.43113168168439
1.9e-05,8253.0488740007,0.30525,0.45884657896373
1.95e-05,8335.319595118,0.3135,0.48697758704156
2e-05,8445.2219178924,0.32175,0.51885851938809
2.05e-05,8596.5712399092,0.33,0.54874684946023
2.1e-05,8798.7845496448,0.33825,0.57674985872458
2.15e-05,9050.6191531675,0.3465,0.61176064902035
2.2e-05,9365.2186903887,0.35475,0.65505282476129
2.25e-05,9721.2367912817,0.363,0.70050593497051
2.3e-05,10113.326744966,0.37125,0.74965769534946
2.35e-05,10422.465819729,0.3795,0.80750163303599
2.4e-05,10669.911488307,0.38775,0.87094281168432
2.45e-05,10910.770837979,0.396,0.932886481494
2.5e-05,11091.788786015,0.40425,0.98272726786735
2.55e-05,11262.532162819,0.4125,1
2.6e-05,11446.828137882,0.42075,1
2.65e-05,11604.335307048,0.429,1
2.7e-05,11689.923937397,0.43725,1
2.75e-05,11723.270107814,0.4455,1
2.8e-05,11770.544573586,0.45375,1
2.85e-05,11819.554630228,0.462,1
2.9e-05,11870.18602736,0.47025,1
2.95e-05,11915.039723871,0.4785,1
3e-05,11890.385135073,0.48675,1
3.05e-05,11897.06962788,0.495,1
3.1e-05,11915.210632149,0.50325,1
3.15e-05,11917.995121268,0.5115,1
3.2e-05,11953.077527147,0.51975,1
3.25e-05,11983.164654643,0.528,1
3.3e-05,12045.896319052,0.53625,1
3.35e-05,12155.315937688,0.5445,1
3.4e-05,12291.916333159,0.55275,1
3.45e-05,12461.600303901,0.561,1
3.5e-05,12652.633649034,0.56925,1
3.55e-05,12913.754848301,0.5775,1
3.6e-05,13200.70422736,0.58575,1
3.65e-05,13454.606273016,0.594,1
3.7e-05,13722.367992091,0.60225,1
3.75e-05,13891.773221092,0.6105,1
3.8e-05,13938.60890338,0.61875,1
3.85e-05,13829.454767676,0.627,1
3.9e-05,13462.686099922,0.63525,1
3.95e-05,12827.686730465,0.6435,1
4e-05,11884.350368154,0.65175,1
4.05e-05,10678.07634105,0.66,1
4.1e-05,9392.2585970653,0.66825,1
4.15e-05,8299.6512389043,0.6765,1
4.2e-05,7716.6014043113,0.68475,1
4.25e-05,7830.5137087475,0.693,1
4.3e-05,8685.255134303,0.70125,1
4.35e-05,10019.720986845,0.7095,1
4.4e-05,11301.074232727,0.71775,1
4.45e-05,11969.791466898,0.726,1
4.5e-05,11604.769957814,0.73425,1
4.55e-05,10357.10241048,0.7425,1
4.6e-05,8821.6177610984,0.75075,1
4.65e-05,7751.3352403442,0.759,1
4.7e-05,7644.4122584089,0.76725,1
4.75e-05,8299.2431533435,0.7755,1
4.8e-05,8946.7008309349,0.78375,1
4.85e-05,8840.3251654653,0.792,1
4.9e-05,7928.6591877257,0.80025,1
4.95e-05,6942.3860244377,0.8085,1
5e-05,6706.6279338267,0.81675,1
5.05e-05,7357.404800909,0.825,1
5.1e-05,8196.8175998388,0.83325,1
5.15e-05,8374.3061498974,0.8415,1
