time,DJ1,DJ2,DJint,EW,FE,Fy_top,J,KE,PEW,SE,max_disp_y
0,0,0,0,0,0,0,0,0,0,0,0
0.25,-6.2007461428418e-08,2.1992696980279e-21,-6.2007461428415e-08,0.001567268156067,0,42.964650277745,-5.5229371718462e-08,0.00047412534118529,0.0036493128724821,0.0010171229905469,1.9066369220006e-05
0.5,1.3460525078886e-07,-7.565542130484e-08,5.8949829484022e-08,0.0080017868565815,0,102.46228137674,1.2165743966136e-07,0.0025403334640011,0.0099118381797674,0.0046809857044236,5.196165525608e-05
0.75,5.0396325305759e-08,-2.6063947129109e-07,-2.1024314598533e-07,0.013659179547646,0,109.13367254172,-4.9985256474157e-08,0.005198344152751,0.015061971290508,0.0070380747577244,8.0320470814876e-05
1,5.5842067052037e-07,-4.8017779729918e-07,7.8242873221189e-08,0.018314760844698,0,93.617801533971,1.6315469932139e-07,0.0078543012938577,0.02000803766395,0.0093196431407088,0.00010774729975526
1.25,2.4534130314065e-07,-2.2255578483579e-08,2.2308572465707e-07,0.024022869436903,0,99.498383043885,1.2739673486163e-08,0.010529731591005,0.025724440738942,0.012326523965069,0.00013770566552777
1.5,-6.792094078147e-07,4.9874909091825e-07,-1.8046031689644e-07,0.029666595378813,0,104.1727946415,-4.9887370460951e-07,0.013198046400496,0.031107296813855,0.015000075393084,0.00016602452395447
1.75,-9.430969063356e-08,-1.9086042792496e-07,-2.8517011855852e-07,0.034686949471476,0,97.997790587409,-1.9688554067095e-07,0.015879426505415,0.036198506790617,0.017397746639577,0.00019396795118876
2,4.2194508139746e-07,-5.3986023137995e-07,-1.1791514998249e-07,0.04006446485433,0,98.417066664845,-1.1073310685454e-07,0.018562567341008,0.041642509125726,0.020135621037287,0.00022335478628684
2.25,-7.2066388806063e-07,8.8417214049637e-07,1.6350825243574e-07,0.045652665354436,0,101.88779808444,-5.3906063217267e-07,0.021249385669837,0.047099656921303,0.022893275965489,0.0002521994490468
2.5,-1.8898789539006e-06,2.0238510443971e-06,1.3397209049643e-07,0.050934085677809,0,99.906869259458,-3.5629641212748e-07,0.023941068841696,0.052352132599284,0.025443888762392,0.00028050093021408
2.75,-1.6501976251286e-06,6.6037272758316e-07,-9.8982489754541e-07,0.056251425406193,0,98.888321377951,-1.8576727194291e-07,0.026635901608409,0.057704562640535,0.02809117461725,0.00030910255837288
3,-3.2832780421261e-07,-1.4140441010334e-06,-1.742371905246e-06,0.061735425133815,0,100.55456179453,-5.295855337549e-07,0.029335601213954,0.063133832782771,0.030815831938265,0.00033770569572737
3.25,5.9847768563951e-07,-1.3444403872956e-06,-7.4596270165612e-07,0.067122368210944,0,100.26668957749,-5.4711031141207e-07,0.032038610995588,0.068474133007845,0.033448526630271,0.00036619745181425
3.5,-2.4861124939041e-07,1.0530279506943e-07,-1.4330845432098e-07,0.072470601046729,0,99.483093774675,-6.5109066458267e-07,0.034745541103879,0.073822992697058,0.036088791311862,0.00039513865607595
3.75,-1.1115688924008e-06,4.1859838214557e-07,-6.9297051025527e-07,0.077902247189495,0,100.1135735983,-7.1275962526172e-07,0.03745598291724,0.079225016362422,0.038779704966527,0.00042392526255607
4,-7.1560895441487e-07,-3.0157078511046e-07,-1.0171797395253e-06,0.083316617845787,0,100.19786833039,-5.2252302445776e-07,0.040170302883641,0.084598886557169,0.041439817142789,0.00045249318197463
4.25,-3.5663572244986e-07,-2.6353460023821e-07,-6.2017032268807e-07,0.088696781816549,0,99.723666456667,-4.5566542982667e-07,0.042887864255399,0.089963015294348,0.04408808568445,0.00048085719383408
4.5,-4.9050961308005e-07,5.5020216038856e-07,5.9692547308513e-08,0.094112851748726,0,99.943092723985,-5.7554075086867e-08,0.045608904582924,0.095355934326871,0.046763020628709,0.00050952191992625
4.75,4.1495327571164e-08,8.760601394809e-07,9.1755546705206e-07,0.099535414754694,0,100.13957964719,1.548309581086e-06,0.048333221108054,0.10074427335427,0.049431218219668,0.00053812505741031
5,3.2425091450582e-06,1.7687314107437e-06,5.0112405558019e-06,0.10493747908381,0,99.903015129304,7.5236131703078e-06,0.051059399114115,0.10612308090988,0.052090250014867,0.00056672654034209
5.25,1.1670168433125e-05,9.2600912670946e-06,2.0930259700219e-05,0.11035346042214,0,99.90006852234,2.6987827777327e-05,0.053785239029132,0.11151738951115,0.054767317068031,0.00059554061425843
5.5,2.8768433296528e-05,3.6425686583766e-05,6.5194119880294e-05,0.11578373067843,0,100.04009290853,7.7169050537234e-05,0.056506309511288,0.11691819031965,0.05745968330183,0.00062419258626935
5.75,5.5197607410992e-05,0.00010627324414794,0.00016147085155893,0.12120689165104,2.1871868517395e-08,99.980485352136,0.00017571460179405,0.05921248615367,0.12231387035017,0.060170005901967,0.00065266854819843
6,8.1053326236959e-05,0.0002395360838402,0.00032058941007716,0.12663082499004,4.0976564929508e-06,99.941405979428,0.00031884028610372,0.061885333100653,0.12771366260737,0.062926165736666,0.000681235245195
6.25,9.0879253926578e-05,0.00042247261615367,0.00051335187008025,0.13206323748852,2.8447199148598e-05,99.987863123863,0.00047065932263869,0.064508712527958,0.13311996162865,0.065723131467901,0.00070987426275581
6.5,8.5781949628568e-05,0.00061746852163733,0.0007032504712659,0.13749813430167,7.7007026779517e-05,99.973861120882,0.00059639941829504,0.067086890166239,0.13852811839911,0.068533666691363,0.00073844638881007
6.75,8.5621149637742e-05,0.00078876094890189,0.00087438209853963,0.14293494077638,0.0001283396186725,99.957883924213,0.00070446702093936,0.06963692830489,0.14393878901107,0.071365234451036,0.00076700954472836
7,9.4749843728629e-05,0.00091089833991246,0.0010056481836411,0.14837481313361,0.00016986502772475,99.973468799821,0.00082047965782155,0.072160986363448,0.14935252092526,0.074242466348982,0.00079573083851263
7.25,9.5739456310986e-05,0.00098427288579865,0.0010800123421096,0.15381715881924,0.00020860868356856,99.964791936982,0.00093651061966535,0.074643928188365,0.15476934577712,0.077173526873759,0.00082446502159462
7.5,8.8944548862794e-05,0.0010387151252186,0.0011276596740814,0.15926420876336,0.00026853701796333,99.967481004804,0.0010389366715727,0.077088943363261,0.1601906053474,0.080114778362682,0.00085308704720383
7.75,8.8924329103684e-05,0.0011143177907277,0.0012032421198314,0.16471526508797,0.00036628668174507,99.985320097682,0.0011425611952975,0.079514180591529,0.16561484164915,0.083040167701094,0.00088166159986245
8,9.2046225920873e-05,0.0012287873418913,0.0013208335678122,0.17016737877118,0.00049622046072099,99.969069205873,0.001254112504142,0.081908447878894,0.17104068965088,0.08597729612821,0.00091024833386085
8.25,9.3801827863952e-05,0.001363260288946,0.0014570621168099,0.17562232949373,0.0006368489363341,99.956517056803,0.0013657696011771,0.084266622775648,0.17647003307517,0.088935197839214,0.00093886542655319
8.5,9.7378286545317e-05,0.001482447876215,0.0015798261627603,0.18108167219493,0.00077828719486601,99.975156386666,0.0014780701472651,0.086600864438215,0.18190314037417,0.091920452682801,0.00096747469309535
8.75,0.00010067762991188,0.0015675001339382,0.0016681777638501,0.18654333568764,0.00093104270404256,99.976380793097,0.0015898494603081,0.088905164977732,0.18733853725716,0.094930062443582,0.00099617012322891
9,0.00010598917787391,0.0016325080712984,0.0017384972491723,0.19200755907362,0.0011089655483957,99.965001186474,0.0017011907654916,0.091182685509273,0.19277699488451,0.097939429573138,0.0010250635643801
9.25,0.00011446076756611,0.0017044787817557,0.0018189395493218,0.19747548928748,0.0013123956068449,99.981306628349,0.0018140280236197,0.093437509349393,0.19821889091157,0.10095159904486,0.0010542217771019
9.5,0.00012251861297278,0.00179223178706,0.0019147504000328,0.20294312263913,0.0015379532294421,100.00138458313,0.0019254014015153,0.095670739971553,0.20366195821915,0.10395963033457,0.00108383266253
9.75,0.00012957265090478,0.0018799611287643,0.0020095337796691,0.20840159008298,0.00178685531981,100.00252248765,0.0020352317133831,0.097898279667634,0.20910484294972,0.10693823589145,0.0011144183505103
10,0.00013384281069525,0.0019516955084683,0.0020855383191635,0.21383177274546,0.0020617265096496,100.01201908641,0.002143056291686,0.1001602189652,0.21454768184724,0.10982208843731,0.0011469424687859
10.25,0.00013356082506028,0.0020115659964091,0.0021451268214694,0.21918443274254,0.0023615917848793,100.03651102358,0.0022474328211385,0.10256388061812,0.21998904331154,0.11245563800557,0.0011828532987541
10.5,0.0001279984539272,0.0020763623453449,0.0022043607992721,0.22435955653283,0.0026841955315832,100.05633572101,0.0023492669676964,0.10533046921167,0.22542622137176,0.11454715674886,0.0012240783369023
10.75,0.00011815204567038,0.0021507820443793,0.0022689340900497,0.22920870701606,0.0030313969124503,100.0779251175,0.0024505843832435,0.10882218208343,0.23085677401734,0.11566696167272,0.0012728937208227
11,0.00010852500304739,0.0022261554959862,0.0023346804990336,0.23359729197593,0.0034074308840606,100.11790968363,0.0025548627597391,0.11345285092016,0.23627730886734,0.11543124172274,0.0013315871393937
11.25,0.0001054135590686,0.002296393769905,0.0024018073289736,0.23755074589117,0.0038137999573204,100.1739292209,0.0026669823907371,0.11941401000473,0.24168235902414,0.11385874630218,0.0014018595325914
11.5,0.00011368698349451,0.002363183968007,0.0024768709515015,0.24140349172317,0.0042495133565355,100.23891573225,0.0027907630209725,0.12635331437648,0.24706501862905,0.11162144365957,0.0014840149823816
11.75,0.00013439517265405,0.0024296985780604,0.0025640937507145,0.24574397485533,0.0047141876145743,100.30358493012,0.0029261412912322,0.1333977757541,0.25241768093158,0.10971389197527,0.0015762391086081
12,0.00016260700422855,0.0024949018079417,0.0026575088121703,0.25104039845968,0.005209044897253,100.34236086955,0.0030676851486003,0.13979086432881,0.25773358287725,0.10856096662534,0.0016744816429914
12.25,0.0001857550211873,0.0025553793203088,0.0027411343414961,0.25721436088499,0.0057346648124748,100.32243943822,0.0032033470103622,0.14563687645618,0.26301036367691,0.10754098041817,0.0017733356875846
12.5,0.00018773457858612,0.0026134164811256,0.0028011510597117,0.26365575955408,0.0062905623534421,100.22586633759,0.0033172949700703,0.15173446834171,0.26825369170665,0.10580568723178,0.0018677980194338
12.75,0.00015858971272062,0.0026703041141624,0.002828893826883,0.26972465762672,0.0068763823358928,100.06910826702,0.0033987476181413,0.15848695308179,0.27347803729001,0.10346338940214,0.0019551965603666
13,0.00010476027913761,0.002725704868285,0.0028304651474226,0.27514859912445,0.0074914496051364,99.916916710017,0.0034535325861266,0.16541228933246,0.27870272093244,0.10128825536948,0.0020362584733388
13.25,5.1128171919142e-05,0.0027762479507152,0.0028273761226343,0.27996921502095,0.0081343217537855,99.860497169733,0.0035076993829465,0.1720337433627,0.28394314180986,0.09942365850003,0.002114525119467
13.5,2.8575079109246e-05,0.0028203610763469,0.0028489361554562,0.28443497550395,0.0088031974901006,99.948207772698,0.0035937646928877,0.17857682891383,0.28920132201931,0.097396682804528,0.00219417158439
13.75,5.2343659032319e-05,0.0028575753389443,0.0029099189979767,0.28902677423638,0.0094968124458103,100.12358891018,0.003726654051251,0.1853012720878,0.29446367018702,0.09520759971283,0.0022774154366625
