time,DJ1,DJ2,DJint,EW,FE,Fy_top,J,KE,PEW,SE,max_disp_y
0,0,0,0,0,0,0,0,0,0,0,0
0.25,6.9741262184608e-07,2.1469011322757e-20,6.9741262184611e-07,0.0053389737135842,0,89.687298638548,-3.7483517758321e-07,0.0010303767391085,0.0084928852928461,0.0026072426636956,3.3111827081829e-05
0.5,-9.7614982326908e-06,6.2088553849191e-06,-3.5526428477717e-06,0.018790306318305,0,150.88887914085,-9.4743380966575e-06,0.0057087746157346,0.021860690882077,0.0099309440866341,7.7650016141971e-05
0.75,-1.3672963124346e-05,1.4556482626639e-05,8.8351950229208e-07,0.031441580919229,0,155.16422909734,-1.2170534124912e-05,0.011646644852526,0.03400019502036,0.015975801557765,0.00012442663581446
1,-2.5194203860289e-05,2.1592485844737e-05,-3.6017180155516e-06,0.042955024427276,0,149.65067092599,-1.2923946640476e-05,0.017677852514998,0.045473067344935,0.021366759359276,0.00016541296826861
1.25,-3.2940628104471e-05,1.9630426406613e-05,-1.3310201697858e-05,0.054747009073285,0,146.88564713675,-1.6785555341792e-05,0.023661803765725,0.057440825625415,0.027266711050785,0.00020605296680065
1.5,-2.5798061517512e-05,7.7723623381647e-06,-1.8025699179347e-05,0.067128976559923,0,150.41461770986,-1.4108312730228e-05,0.029689388422958,0.069745330565058,0.033487341169763,0.00024903485893977
1.75,-1.4064351694917e-05,-2.5864275113001e-06,-1.6650779206218e-05,0.07942949814607,0,151.52135880982,-9.5895611410693e-06,0.035713425888736,0.081843639764272,0.039527100009654,0.00029331525120964
2,-9.0348804239877e-06,-5.7660790096599e-06,-1.4800959433648e-05,0.091405687097819,0,150.00318774784,-9.698091808944e-06,0.041755553780376,0.093738250207085,0.045344346069961,0.00033665849449945
2.25,-1.5086739049123e-05,-2.618891156771e-06,-1.7705630205894e-05,0.10336137211748,0,149.08271656173,-1.2092433210249e-05,0.047798298679999,0.10570271068039,0.05123752156666,0.00037783195829158
2.5,-2.1575800491513e-05,7.626282796517e-07,-2.0813172211861e-05,0.11549983313444,0,149.65344248527,-1.159689727254e-05,0.053856985833585,0.11781750740952,0.057268308025909,0.00042076877362986
2.75,-1.851200123022e-05,-3.5294713287794e-06,-2.2041472559e-05,0.12772156762173,0,150.42483865702,-7.6134014656367e-06,0.059921612327847,0.12993936190624,0.063317002702534,0.00046414770364633
3,-1.1348451464662e-05,-1.2350517310795e-05,-2.3698968775457e-05,0.13984909055741,0,150.2234050408,-5.9514416040899e-06,0.065995248609751,0.14197732962007,0.069269533207231,0.00050817281631517
3.25,-8.8050914275825e-06,-1.6631627467922e-05,-2.5436718895504e-05,0.15191958708062,0,149.60750736407,-8.423855118719e-06,0.072077925080213,0.15400996449357,0.075213053802355,0.0005499245347467
