time,DJ1,DJ2,DJint,EW,FE,Fy_top,J,KE,PEW,SE,max_disp_y
0,0,0,0,0,0,0,0,0,0,0,0
0.25,1.2410538468664e-06,9.6132447247285e-21,1.2410538468664e-06,0.00949142909248,0,119.58279116914,-6.6480710569738e-07,0.0018317736703867,0.015098375453905,0.0046351110563688,4.41486640912e-05
0.5,-1.735379566969e-05,1.1038349436936e-05,-6.3154462327542e-06,0.033404790985659,0,201.18505425579,-1.6841669968605e-05,0.010148942511869,0.038863259458257,0.01765517089457,0.00010353237109972
0.75,-2.4311092843627e-05,2.5878673720248e-05,1.5675808766208e-06,0.055895866635335,0,206.88571938514,-2.1637802460135e-05,0.020705154954674,0.06044450947052,0.028401697602696,0.00016590150180141
1,-4.4791359606768e-05,3.8386678513778e-05,-6.40468109299e-06,0.076364109066614,0,199.53426386866,-2.2975567999836e-05,0.031427288910871,0.080840614625153,0.037985681999032,0.00022054959160829
1.25,-5.8561780780892e-05,3.4898373233018e-05,-2.3663407547874e-05,0.097327515613495,0,195.84743246376,-2.98400565943e-05,0.042065415103818,0.1021165048355,0.048474557670585,0.00027473483985014
1.5,-4.5863928549434e-05,1.381794551778e-05,-3.2045983031654e-05,0.11933978340993,0,200.55269441861,-2.5080675523435e-05,0.052781114300721,0.12399106477384,0.059533544191522,0.00033204354027576
1.75,-2.500614569449e-05,-4.5966922570428e-06,-2.9602837951533e-05,0.14120727798444,0,202.02842311035,-1.704880664522e-05,0.063490504299355,0.14549906353419,0.070270989997585,0.00039108434265528
2,-1.6064892143829e-05,-1.0249011271182e-05,-2.6313903415011e-05,0.16249817961133,0,200.00422117325,-1.7241347182201e-05,0.074232049968089,0.16664492110411,0.080612838101925,0.00044887504787977
2.25,-2.682223050235e-05,-4.6544572496533e-06,-3.1476687752003e-05,0.18375261081772,0,198.77685469673,-2.1496769280739e-05,0.084974692416014,0.18791494141847,0.091089663374201,0.00050377155673626
2.5,-3.8357973991971e-05,1.3567864979071e-06,-3.7001187494064e-05,0.20533197054688,0,199.53775887222,-2.0616064371116e-05,0.095745676299302,0.20945222704648,0.10181113393645,0.00056102016568965
2.75,-3.291237847384e-05,-6.2730539190444e-06,-3.9185432392885e-05,0.22705938364194,0,200.56630762971,-1.3535437917387e-05,0.10652721880794,0.23100206788373,0.11256445317922,0.00061885890664999
3,-2.0177402447682e-05,-2.1954161250139e-05,-4.213156369782e-05,0.24861931512162,0,200.29777293749,-1.0580635998064e-05,0.11732477521951,0.25240277256791,0.12314680940991,0.00067755873023464
3.25,-1.5655261303469e-05,-2.9565132597159e-05,-4.5220393900628e-05,0.27007785434389,0,199.47654219372,-1.4975176481232e-05,0.12813840171555,0.27379398373069,0.13371313689061,0.00073322731121449
3.5,-1.26519279801e-05,-2.5645580745554e-05,-3.8297508725654e-05,0.29166733318508,0,199.66479459993,-1.2898338912983e-05,0.13896476020196,0.29531366481095,0.14439613838485,0.0007900125546785
3.75,-1.2155325986645e-05,-1.9654791748335e-05,-3.181011773498e-05,0.31336073471656,0,200.42661742284,-7.09617696831e-06,0.14980632879064,0.3168649477993,0.15510779355472,0.00084726088434124
4,-1.3095191357361e-05,-2.1405669936924e-05,-3.4500861294285e-05,0.33496975524793,0,200.24465181102,-6.8055964978671e-06,0.16066185386792,0.33833559476989,0.16572761974454,0.0009049691485605
4.25,-1.5090567248344e-05,-2.6702943788874e-05,-4.1793511037217e-05,0.35651258218235,0,199.555733007,-1.134846541238e-05,0.17153207494835,0.35979797064896,0.1763304188463,0.00096175663019656
4.5,-1.0960705672026e-05,-2.6970200469889e-05,-3.7930906141915e-05,0.37813432314819,0,199.63539506845,-1.0099920100976e-05,0.1824073626023,0.38134182549328,0.18701898142212,0.0010190044325124
4.75,-1.7710749194463e-06,-2.2700721302212e-05,-2.4471796221658e-05,0.39983578025129,0,200.16491700642,1.7106649080288e-06,0.19327431997114,0.40292359215575,0.19777151981106,0.001076252341766
5,1.0876017788349e-05,-1.4268048925369e-05,-3.3920311370205e-06,0.42151929563334,0,200.17453790653,2.5969782216836e-05,0.20410236672634,0.42447629421725,0.2085544922603,0.0011336407713184
5.25,4.0780162034782e-05,1.8423554207124e-05,5.9203716241906e-05,0.44316638404097,0,199.82593352344,9.8674514512607e-05,0.21488973155231,0.44601781521737,0.21934073130571,0.0011913987918437
5.5,0.00011023505387527,0.00012822595158918,0.00023846100546445,0.46483436223482,6.4791104669211e-07,199.77092690156,0.0003017808244577,0.22575123804222,0.46759247472668,0.22999041751573,0.0012479958475311
5.75,0.00022057016232274,0.00035590578832043,0.00057647595064317,0.48654564620101,4.6854470511255e-05,199.96195002504,0.00071140005566544,0.23685691507735,0.48919831493511,0.24036130133478,0.0013052436660504
6,0.00010718841089602,0.00065645143355636,0.00076363984445238,0.50827291868329,0.0067073037220959,200.02483258801,0.0010560527257936,0.24907767612159,0.5108086284676,0.2430751868077,0.0013625312675217
6.25,-0.00012511752458662,0.00097873860778599,0.00085362108319937,0.52999474534132,0.015540105624237,199.96543069565,0.0013140720618346,0.26283082828104,0.5324180466322,0.24181729930407,0.0014208198158835
6.5,-0.00035551623749762,0.0013370303008319,0.00098151406333427,0.5517221111273,0.024134280511939,199.954035039,0.0015149709907111,0.2764359003813,0.554041654624,0.2418437069351,0.001477669311102
6.75,-0.00056176534715774,0.0017267199819558,0.0011649546347981,0.57347130482306,0.032410692977757,199.97206146829,0.0017076802018826,0.28947732807217,0.57568660425337,0.24185312525691,0.0015342348331215
7,-0.00077909615098967,0.0020972345547393,0.0013181384037497,0.5952388754623,0.040309797240383,199.95369010996,0.0018862317214498,0.30411570668048,0.59734416559195,0.23984345238389,0.0015914825011485
7.25,-0.0010063655090123,0.002378244242119,0.0013718787331066,0.61701277069955,0.047802904801334,199.92856542717,0.002024200156993,0.32043568538302,0.61900729977274,0.23744317145414,0.0016487298670544
7.5,-0.0012173516610468,0.0025211031822557,0.0013037515212089,0.63879324411162,0.055356917263596,199.92770030895,0.0021308491512386,0.33732228352578,0.64068125252935,0.23434453897243,0.001706692183271
7.75,-0.0014252320433902,0.002563608858216,0.0011383768148258,0.66059006560775,0.063657858224722,199.93839399799,0.0022061964822874,0.35546399031531,0.66237346033057,0.2288123536397,0.0017636282865997
8,-0.0016445129157255,0.0026088197488502,0.00096430683312469,0.68240652854115,0.072494503648499,199.95104216112,0.0022486803499503,0.37494575268381,0.68408230595007,0.22181763520104,0.0018204555764255
8.25,-0.0018637911710005,0.0027216780761889,0.00085788690518838,0.70423352349149,0.081164905854524,199.95567446426,0.0022752617763507,0.39530596063681,0.70579900606237,0.21402171963866,0.0018776700793824
8.5,-0.0020734989766387,0.002885417200932,0.00081191822429336,0.72605685611111,0.089218194250894,199.92156531497,0.0022902004090724,0.41695413963448,0.72751619850687,0.20533150658777,0.0019348312599272
8.75,-0.0022624040570014,0.0030338278236881,0.00077142376668673,0.74786585054152,0.096858226796433,199.81825277058,0.002298730790329,0.44000946939624,0.74923189702158,0.19579750519351,0.0019923879000349
9,-0.0024319636025007,0.0031099627315258,0.00067799912902509,0.76964760416471,0.10447989610681,199.61249586666,0.0022998274108039,0.46427902102994,0.77094347455447,0.18510658619195,0.0020497775577142
9.25,-0.002588158415693,0.0031143893137638,0.00052623089807086,0.79136817201332,0.11210031354187,199.19868612997,0.0022852080416714,0.48972579000787,0.79263952277348,0.17325333543127,0.0021071084341231
9.5,-0.0027358710678606,0.003113754912771,0.00037788384491036,0.81296198392069,0.11943517393927,198.34005204924,0.002254203898529,0.51624462168007,0.81430766472963,0.16063077439152,0.0021650201687055
9.75,-0.0028872867691121,0.0031601631665614,0.00027287639744936,0.83434619421247,0.12620447519161,196.70458976093,0.002208940413097,0.54376504374814,0.83596605489218,0.14755586611667,0.0022245433656544
10,-0.003051603152725,0.0032445090796488,0.00019290592692375,0.85544759535815,0.13227668254831,193.96674612466,0.0021521729238568,0.5723186527813,0.85771223062992,0.13419374525519,0.0022875581133349
