time,DJ,DJint_1,DJint_2,Fy_top,J,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_power,preset_ext_work,preset_ext_work_p,strain_energy
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,-5.4193812126469e-12,-5.4193811981421e-12,-1.45048063853e-20,63.324579383873,3.1041815744661e-12,0.0050792669242076,0,0.00090907939985183,4.1676039744752e-05,0.0303818105027,0.007981020993019,0.007595452625675,0.0026568197199769
1,1.1665601937268e-11,-9.0348503706878e-11,1.0201410564415e-10,112.00644919987,-1.3689503409328e-12,0.018121397080223,0,0.0049761054480311,0.00010411117302671,0.018982682814586,0.019565350348571,0.019936575954997,0.0088802431014735
1.5,-1.0946585762015e-10,-1.1266783895279e-10,3.2019813326329e-12,99.273355506175,-3.8044230214599e-11,0.028256186193045,0,0.010310353273305,0.00015946600568403,0.02044273589652,0.02972076525875,0.029792930632773,0.013606888430745
2,7.3956425390554e-10,-1.1359652108127e-09,1.8755294647183e-09,97.739662132295,-3.1782683120518e-11,0.038941432950308,0,0.015658728647119,0.00021726923757429,0.023555287803594,0.04059709480457,0.040792436557802,0.019038756715562
2.5,-5.9646545897225e-10,-2.1208276432781e-09,1.5243621843059e-09,102.18238507042,-1.4458763252976e-10,0.050007401150958,0,0.0210238700431,0.00027486723988264,0.020076462969185,0.051371075122252,0.051700374250997,0.024381097172816
3,-1.0706513950149e-09,6.4177612416018e-10,-1.7124275191751e-09,98.682323352289,1.1515013778108e-09,0.060497452243623,0,0.026405802444911,0.00033159594656533,0.022067189700308,0.061946247431706,0.06223628741837,0.029527667992056
3.5,1.8052783514727e-08,1.4953998217775e-08,3.0987852969521e-09,100.27221868215,2.3414402656379e-08,0.071439749802583,0,0.031803118779173,0.0003893432484414,0.021812907646215,0.072802936547168,0.073206311755,0.034949345952833
4,2.5223914045237e-07,1.9175160167659e-07,6.0487538775779e-08,100.27573788403,3.3245092773772e-07,0.082224116198641,0,0.037215072141933,0.0004463750399755,0.021179181737465,0.083502465757904,0.08395433410092,0.040205091268591
4.5,2.4257087642392e-06,1.7127987808281e-06,7.1290998341115e-07,99.508886521493,3.1521647314962e-06,0.092978690522172,0,0.042641098335445,0.00050363638956666,0.021986422181489,0.094254709158359,0.094745735080659,0.045507692224521
5,1.5952857795156e-05,1.0084389144298e-05,5.8684686508583e-06,100.28249098371,2.0155142536256e-05,0.10387266274954,0,0.048077748249984,0.00056102594518979,0.021561784994215,0.10506249329508,0.10563278687458,0.05086498055774
5.5,7.280458825955e-05,3.908952408417e-05,3.371506417538e-05,99.882405764838,8.7670362174637e-05,0.11467249413087,0,0.053509910365608,0.0006181509371562,0.021645569410408,0.11581979407796,0.11643462547574,0.056194109435933
6,0.00023509740471872,9.8268729505366e-05,0.00013682867521335,99.898030887293,0.00026096654382568,0.12552867069091,1.7462137644632e-06,0.058895577556844,0.0006754735059184,0.021837722331784,0.12663163734815,0.12730544841129,0.061659395840828
6.5,0.00054551893911957,0.00015697449885781,0.00038854444026176,100.08456924409,0.00053968676521831,0.13640714447038,1.9952163310276e-05,0.064165417132718,0.00073273833322787,0.02166600645895,0.13744556831253,0.13818138060897,0.067279689439157
7,0.00092999286255151,0.00016255109242149,0.00076744177013002,99.887764151455,0.00081673064962853,0.14726604582218,8.8434416739794e-05,0.069271488888522,0.00078997458449314,0.021804000377395,0.14826135221416,0.14904888231806,0.073041495915255
