time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y,preset_ext_power,preset_ext_work_p
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,-1.3041358204221e-19,-1.2874900798265e-19,1.0506766477306e-47,-1.6645740595517e-21,2.8136973699843e-57,1.050676648012e-47,0.0015044795920719,-7.2268133378999e-40,0,0,41.38406196705,-1.6940658945086e-21,0.00047522149873308,1.9249792776635e-41,0.0036175397542554,0.00099036538151209,4.0147277351737e-41,1.8518122966021e-05,0.027539372982723,0.0034424216228404
0.5,4.2351647362715e-22,-3.3881317890172e-19,-3.6461720657555e-45,3.3923669537535e-19,1.6616963601482e-45,-1.9844757056072e-45,0.0078988739651165,-1.2303194328898e-35,0,0,101.08037162481,2.5749801596531e-19,0.0025463895245814,3.5005072634115e-37,0.0099119640865531,0.0046905754780344,7.2918488240272e-37,5.1632407149397e-05,0.025151614058313,0.01002879500297
0.75,-6.2341624917917e-19,-6.505213034913e-19,-1.8345292482166e-43,2.7105054312138e-20,-4.207228693934e-43,-6.0417579421506e-43,0.013632291588632,-4.7163383683007e-32,0,0,110.02021462146,1.3552527156069e-20,0.0051968638682451,1.43895033214e-33,0.015095870485855,0.0070808234714332,2.9931823228083e-33,8.0300601246898e-05,0.016389864696843,0.015221479847364
1,-1.9481757786849e-19,-7.3183646642772e-19,5.9268356454388e-41,5.3701888855923e-19,5.7155712325008e-42,6.4983927686889e-41,0.018240965476875,-7.2023641336899e-29,0,0,93.849932634463,-2.4394548880924e-19,0.0078553074807191,2.3665864289935e-30,0.019980522681971,0.0093011041131844,4.9144288520059e-30,0.00010722169415969,0.022126959607689,0.020036082885431
1.25,-2.7782680669941e-19,-5.1499603193061e-19,-1.2731413119715e-39,2.371692252312e-19,2.3684801933273e-39,1.0953388813558e-39,0.023890335278148,-5.5164049207928e-26,0,0,98.619749992309,1.8973538018496e-19,0.010532617704704,1.9615597229243e-27,0.02567978603972,0.012290361739188,4.0650992124518e-27,0.00013737179097573,0.02411329221324,0.025816114363047
1.5,-1.1113072267976e-18,4.336808689942e-19,-9.4315054554257e-38,-1.5449880957918e-18,-9.0080662911141e-38,-1.843957174654e-37,0.029582819845452,-2.3974373068986e-23,0,0,104.45657555029,8.1315162936413e-20,0.01319937196286,9.2753196062936e-25,0.03110158553885,0.014999712921504,1.9175151660665e-24,0.00016621846090056,0.01974795567159,0.03129877034865
1.75,-1.7618285302889e-19,1.1384122811098e-18,9.7330932248085e-36,-1.3145951341387e-18,-1.4822819736802e-36,8.2508112511283e-36,0.034605288693137,-6.3760497715135e-21,0,0,98.290226596496,-2.4394548880924e-19,0.015880926575722,2.7001893875205e-22,0.036184742899251,0.017395317779745,5.565731657947e-22,0.00019380031112447,0.020770886427022,0.036363625610977
2,-3.354250471127e-19,1.1384122811098e-18,2.1004673455973e-33,-1.4738373282225e-18,1.137689420798e-34,2.2142362876771e-33,0.039968642211198,-1.090620140437e-18,0,0,97.997396419195,-1.6263032587283e-19,0.018563509931066,5.0902183805552e-20,0.041629455466669,0.020127888895179,1.0454536709345e-19,0.00022296976793918,0.023041781493366,0.041840209101026
2.25,5.7937053592194e-19,-2.168404344971e-19,3.6130445756705e-31,7.9621097041904e-19,1.1509036932039e-32,3.7281349449908e-31,0.045591447045094,-1.2414609070137e-16,0,0,102.1316317708,-2.4394548880924e-19,0.021249390395004,6.4353035910354e-18,0.047106809273383,0.022909059960028,1.3159188987726e-17,0.00025209190178873,0.021234095184989,0.04737469368582
2.5,3.6591823321386e-19,6.505213034913e-19,3.9122570518305e-29,-2.8460307027744e-19,3.0706085839806e-30,4.2193179102285e-29,0.050855118607584,-9.6312539784749e-15,0,0,100.11515375513,3.2526065174565e-19,0.023942191274552,5.5938308057879e-16,0.052337281174114,0.025435749214944,1.1376863626053e-15,0.00028015916032243,0.020706267543798,0.052617239026918
2.75,9.0869694581441e-18,8.2399365108898e-18,2.6710830250783e-27,8.470329472543e-19,5.0973852726643e-28,3.1808215523448e-27,0.056145725496535,-5.1777274426818e-13,0,0,98.442385879855,1.1655173354219e-17,0.026636424145239,3.4035063694987e-14,0.057683896721395,0.02807601233542,6.8760896918269e-14,0.00030877627769863,0.022213187854583,0.057982170951716
3,5.5547065428221e-16,4.9244462674292e-16,1.1021333479024e-25,6.3026027539298e-17,5.737662085866e-26,1.675899556489e-25,0.061668809299492,-1.9507526976735e-11,0,0,100.68662342059,7.4961738205648e-16,0.029336072738392,1.468197504413e-12,0.063141325864888,0.030830797382267,2.9417893620401e-12,0.00033779805605148,0.02180671820717,0.063484659209435
3.25,2.645658621651e-14,2.3030080446851e-14,1.9451669092067e-24,3.4265057696596e-15,4.6623246656729e-24,6.6074915748796e-24,0.067056672389943,-5.1878533869003e-10,0,0,100.62480365444,3.5612897179849e-14,0.03203913453806,4.5310965270106e-11,0.068468273199493,0.03344823791093,8.9865230654337e-11,0.00036626437023745,0.021025665193421,0.068838707134509
3.5,9.3484681801259e-13,7.9632871477497e-13,-6.2762328977461e-23,1.3851810323762e-13,2.7933773112613e-22,2.1657540214867e-22,0.07236520902304,-9.7764969424656e-09,0,0,99.126617706392,1.2542536453886e-12,0.034745631670109,1.0066020276966e-09,0.073796033362351,0.036067238179944,1.9714586390228e-09,0.00039474867092766,0.021742829507663,0.074184768972144
3.75,2.4640216441925e-11,2.0447093779415e-11,-5.9920963573341e-21,4.1931226625103e-12,1.259847584807e-20,6.6063794907358e-21,0.077815105848989,-1.3070303131524e-07,0,0,99.9676951219,3.2920816734564e-11,0.037456357631711,1.6161137430587e-08,0.07921985579088,0.038779783069929,3.1174051009566e-08,0.00042356637842185,0.021928633153857,0.079643701804834
4,4.8585337351746e-10,3.9049820527767e-10,-2.4203966467792e-19,9.5355168239794e-11,4.3124699098163e-19,1.8920732630371e-19,0.083251665853985,-1.2380633590731e-06,0,0,100.55290833002,6.4560671186268e-10,0.040170239774126,1.8794816078978e-07,0.084598922921905,0.041444627281137,3.5614518922448e-07,0.00045219121515702,0.021362698761053,0.085055118294198
4.25,7.1767179574351e-09,5.5434925396803e-09,-6.6083392962412e-18,1.6332254177548e-09,1.128535743385e-17,4.6770181376092e-18,0.088604150818396,-8.2795234167631e-06,0,0,99.657209280714,9.4667064187703e-09,0.042887958915763,1.5847522594989e-06,0.089942287175297,0.044072280766905,2.9454563871486e-06,0.00048070920822142,0.021561970030623,0.090420701893157
4.5,7.9425543366885e-08,5.8326391686077e-08,-1.3434239004985e-16,2.1099151680808e-08,2.2678300760221e-16,9.2440617552362e-17,0.094017732049929,-3.8858046244036e-05,0,0,99.728450721271,1.036933480187e-07,0.045609196867771,9.6849835913484e-06,0.095342867583685,0.046754028461933,1.7689988181056e-05,0.00050941424936968,0.021878426681361,0.095850751482155
4.75,6.581175426115e-07,4.5240435433665e-07,-2.0994050410877e-15,2.0571318827485e-07,3.5080542242758e-15,1.4086491831881e-15,0.099464543771693,-0.00012688024523327,0,0,100.31613170197,8.4633260834368e-07,0.048333857681082,4.2816984287958e-05,0.10074483752278,0.049435174225046,7.7684066882991e-05,0.00053807842898402,0.021598764377179,0.10128540036447
5,4.0792275358413e-06,2.5655040822546e-06,-2.5459370939576e-14,1.5137234535867e-06,4.1793990728798e-14,1.6334619789222e-14,0.10485767144756,-0.00028480748973354,0,0,99.951625066533,5.127415536176e-06,0.051061564405574,0.00013629916534744,0.10611301205358,0.052080907457014,0.0002531916247773,0.000566632693069,0.021553947965637,0.10667948940733
5.25,1.8916708406952e-05,1.051211689863e-05,-2.3946231282601e-13,8.404591508322e-06,3.8278053003481e-13,1.433182172088e-13,0.11026322968235,-0.00043239209929575,0,0,99.733759608006,2.2949289650219e-05,0.053789628213406,0.00030926160786144,0.11150533154333,0.054753375573815,0.00063004543645797,0.0005952797651209,0.021802679287317,0.11209906781394
5.5,6.5854606116968e-05,3.0640276829415e-05,-1.7336367259292e-12,3.5214329287552e-05,2.6804058480164e-12,9.4676912208723e-13,0.11570700387443,-0.00043299198646424,0,0,100.10735727946,7.5568790339648e-05,0.056511279612021,0.00048936787829484,0.116915566111,0.05745646850808,0.0012483776053702,0.00062395503190441,0.021729611085858,0.11754060411059
5.75,0.00017386614368822,6.2420793245634e-05,-9.4954563959956e-12,0.00011144535044259,1.4181561336016e-11,4.6861049400207e-12,0.12112856072293,-0.00026935276867095,3.9700978330442e-08,0,100.06083917049,0.00018317288307826,0.059213102786671,0.00051492227796405,0.1223062056344,0.060168781827448,0.0020520822230601,0.00065254597878579,0.021621113525347,0.12295944468699
6,0.00034727938802627,8.8266884588862e-05,-3.7916547451691e-11,0.0002590125034374,5.529788323363e-11,1.738133578194e-11,0.126542047212,-7.6954242865243e-05,5.7696739952082e-06,0,99.821363824583,0.00033210382492701,0.061878983277527,0.00032283830690035,0.12770174059665,0.062924894981509,0.0028559362771209,0.00068115798000548,0.021759122526359,0.12838197419345
6.25,0.00054330089994277,9.1710221235895e-05,-1.0053143278781e-10,0.00045159067870688,1.4983961353353e-10,4.9308180745723e-11,0.13198265714989,3.2843946655207e-05,3.3458880338309e-05,0,99.982918584428,0.00047457260933588,0.064502605325215,9.0070281501047e-05,0.13311559862943,0.065719850625175,0.0034123018617051,0.0007098189313381,0.021790420022094,0.13382566701201
6.5,0.00072704083808425,8.750315471166e-05,-1.1877350443229e-10,0.00063953768337259,2.32024265637e-10,1.1325076120471e-10,0.1374215104749,6.8164437492846e-05,7.7088379636935e-05,0,100.06619478166,0.0005916565019195,0.067087058865532,1.039914444768e-05,0.13852320300448,0.068529599225059,0.0036677084487209,0.00073844205041514,0.02170384309237,0.13926244990132
6.75,0.0008823363908639,9.3929327038728e-05,2.654040387527e-10,0.00078840706382517,-5.258002258665e-11,2.1282401616605e-10,0.14284907861779,7.9679467092748e-05,0.00011665814245419,0,99.906447933382,0.0007083949031894,0.069634063378637,2.8220477509211e-05,0.14392820821043,0.071377081827815,0.0037545848696571,0.00076704940382575,0.0217562926327,0.14469496686695
7,0.00098238597747645,9.750625248007e-05,1.5125023960063e-09,0.00088487972499638,-1.3334384289374e-09,1.7906396706888e-10,0.14829103718237,7.7748190559871e-05,0.00015191607913453,0,99.933013618162,0.00082692851995967,0.072147881294167,2.0656606432936e-05,0.14934614563805,0.074273204126143,0.0036686641789783,0.0007956879573995,0.021818149512904,0.15014177213515
7.25,0.0010407202032472,9.2911464411556e-05,2.7117385072602e-09,0.00094780873883565,-3.5863723006987e-09,-8.7463379343852e-10,0.15374038726317,7.8310148111228e-05,0.00020105891348007,0,100.03268151255,0.00093339146754253,0.07462952742712,6.5048877472528e-06,0.15476605898657,0.077191408378809,0.0034260478911354,0.00082432099476985,0.021775803690599,0.15559101628559
7.5,0.0011143207134439,9.2142764193998e-05,-2.585852154147e-11,0.0010221779492499,-4.2093886972238e-09,-4.2352472187653e-09,0.15918255160301,9.197610065886e-05,0.00028126440963593,0,99.959985387055,0.0010382623310459,0.077079479930755,5.9611217911442e-06,0.1601827526791,0.080105577523781,0.0032503511287471,0.00085293728581469,0.021782696669097,0.16103582883055
7.75,0.0012251971855322,9.2411961353374e-05,-9.3988480906693e-09,0.0011327852241789,2.5082200802675e-09,-6.8906280104018e-09,0.16463038898403,9.3082798687167e-05,0.00038920185291716,0,99.927774685282,0.0011468303168901,0.079500534258645,2.3698752229201e-06,0.16560685836857,0.083028609683527,0.0032537892608909,0.00088156614284004,0.021837661333434,0.16648837358087
8,0.0013573958075107,9.1550683176831e-05,-1.5650434304418e-08,0.0012658451243339,1.8459056085761e-08,2.8086217813436e-09,0.17008741646503,9.2410496327582e-05,0.00050803422969793,0,99.997092702996,0.0012562224950746,0.081890032388869,1.8787462122315e-06,0.1710363773516,0.085979475650073,0.0033574260599637,0.00091019826515827,0.021831555930591,0.17194702573887
8.25,0.0014764406139107,9.1862698141278e-05,1.015747541416e-09,0.0013845779157694,2.6160567178552e-08,2.7176314719967e-08,0.17554252294062,9.6426097556106e-05,0.0006318754686453,0,99.982613212851,0.0013669689875343,0.084249716540995,1.1482914798804e-06,0.17646477847807,0.088951994053128,0.0034335663165947,0.00093882101495128,0.021823906616492,0.17740395855726
8.5,0.0015684033969388,9.4542788649971e-05,3.3569548097635e-08,0.0014738606082888,-5.6323350033993e-09,2.7937213094236e-08,0.18099918775051,9.5821000041355e-05,0.00077145233189926,0,99.940352580552,0.0014782326107804,0.086580947480054,3.3514797351843e-07,0.18189703450224,0.091942181190682,0.0034147006749151,0.00096745433688388,0.021861018349988,0.18286457417807
8.75,0.0016498701720242,0.00010142267327037,2.6204611609745e-08,0.0015484474987538,-6.0314200887783e-08,-3.4109589278037e-08,0.18646355010715,9.6334163251793e-05,0.00093330352440804,0,99.973271619108,0.0015904775902827,0.0888844067641,5.4073667687832e-07,0.18733518525086,0.094942925092288,0.0033575484135387,0.00099611068897992,0.021875271423308,0.18833161039973
9,0.001740008006547,0.00011103603034796,-4.7551913540404e-08,0.0016289719761991,-4.6711720638076e-08,-9.426363417848e-08,0.19192981588194,9.6649082664861e-05,0.0011157780022158,0,99.98619962254,0.0017031717705382,0.09116133997056,1.8106060216557e-07,0.19277457328662,0.097951064294196,0.0033333462108403,0.0010248114277021,0.021869650714192,0.19379972566692
9.25,0.0018375827718221,0.00012134965984433,-9.9079956426964e-08,0.0017162331119778,5.6955642069542e-08,-4.2124314357422e-08,0.19739650746676,9.6208512133364e-05,0.0013190394722121,0,99.957825961211,0.0018158349145976,0.093412520101248,4.2719955738948e-07,0.19821616332009,0.10096633179073,0.0033423893404442,0.0010536536497901,0.021890575568232,0.19926975395222
9.5,0.0019271414355589,0.00013023189529756,-5.2040825076669e-08,0.0017969095402614,1.0492335206543e-07,5.2882526988759e-08,0.20286730861486,9.5667637676607e-05,0.0015453391191592,0,99.97093663906,0.0019276767022591,0.095640581280216,8.1825383326036e-07,0.20366242940726,0.10398377387356,0.0033434479579941,0.0010828575267634,0.021909300750195,0.20474473849202
9.75,0.0020037562253552,0.00013585409424407,-7.9816173962559e-09,0.0018679021311112,2.6017844984928e-08,1.8036227588672e-08,0.20833515566487,9.4660898026382e-05,0.0017965412129145,0,100.00078716127,0.0020373666217972,0.097854586055245,1.7006946622909e-06,0.20911036830273,0.10698466041996,0.0033175727650083,0.0011128727713968,0.021904567630126,0.21022147203957
10,0.0020739450671115,0.00013628148819344,-5.4614859429101e-08,0.001937663578918,-1.7142091850283e-08,-7.1756951279384e-08,0.21377763970289,9.3771001996926e-05,0.0020698890925225,0,100.00709273283,0.0021433971362204,0.10008674590958,2.9419052661974e-06,0.2145577135625,0.10991499736326,0.0032811434107612,0.0011445858173488,0.021902823668837,0.21569739595194
10.25,0.0021444822322362,0.00013006087676995,-8.7835553709027e-08,0.0020144213554663,6.8661446134945e-08,-1.9174107574083e-08,0.21913865509075,9.2987564629249e-05,0.0023658348871814,0,100.03561146305,0.0022447635271703,0.10243528131897,4.4966012440363e-06,0.22000398729459,0.11262440071186,0.00325187338374,0.0011795332018471,0.021896739517862,0.22117234135027
10.5,0.0022069700654581,0.00011780612315851,-9.1025158244923e-08,0.0020891639422996,1.8364070967347e-07,9.2615551428547e-08,0.22428471157793,9.2254237785777e-05,0.0026880532627159,0,100.09466968895,0.0023420057904667,0.10514032060643,6.1436559250581e-06,0.22544487269787,0.114768311492,0.003227768625192,0.0012200171655678,0.021860752359372,0.22664202783493
10.75,0.0022612992248174,0.00010337613540268,-1.9716237300633e-07,0.0021579230894147,2.9979033708573e-07,1.026279640794e-07,0.22899927130483,9.1531701609825e-05,0.0030392635539798,0,100.14551928473,0.0024385243143601,0.10863629138627,7.6336471876114e-06,0.23087423176862,0.11581543322692,0.0031997479609112,0.001268972646212,0.021871329419997,0.23210853805735
11,0.0023184693806087,9.3827245582848e-05,-3.8752199431482e-07,0.0022246421350258,4.4907201674578e-07,6.1550022430962e-08,0.23310867429868,9.0803161501596e-05,0.0034180004621157,0,100.19419751824,0.0025413605211826,0.11342488052331,8.9566069648902e-06,0.23628742983763,0.11532380973468,0.0031681646748601,0.0013293588659044,0.028589846750997,0.23841618507872
11.25,0.0023938718736351,9.7713535167619e-05,-6.3326969131395e-07,0.0022961583384675,6.29242942448e-07,-4.0267488659468e-09,0.236757519937,8.9852516241103e-05,0.0038242428959188,0,100.24870342782,0.0026591822543012,0.11964950717419,1.0543823933429e-05,0.24167923873904,0.11348539385018,0.0031392242658579,0.001403021346816,0.037140750396173,0.24663250972212
11.5,0.0024878372672083,0.00012033494665939,-1.1508000972185e-06,0.0023675023205489,1.0129260452501e-06,-1.3787405196837e-07,0.2405926656584,8.8339051165407e-05,0.0042590288257294,0,100.27966094762,0.0027968775475384,0.12667884263399,1.3042712164227e-05,0.24704443439026,0.11132811658371,0.003113930835505,0.0014893917483186,0.043638079104589,0.25672986340971
11.75,0.0025905161380541,0.00015728412367935,-2.2172776194494e-06,0.0024332320143748,1.924668746497e-06,-2.9260887295242e-07,0.24542777236073,8.6138400046378e-05,0.0047238127972397,0,100.2800957525,0.0029492773309721,0.13342305522208,1.6919424572392e-05,0.25238104179638,0.109871213653,0.0030892604064786,0.0015847883888585,0.045936317816423,0.26792666302484
12,0.0026852571944934,0.00019122066036839,-3.9153177843174e-06,0.002494036534125,3.4864162404089e-06,-4.2890154390848e-07,0.25147001477301,8.3349423267684e-05,0.0052190156655487,0,100.26766241146,0.0030983008466191,0.13943648529267,2.224363774586e-05,0.2576895989085,0.10893728330934,0.0030656849999801,0.0016831246725899,0.043510481428955,0.27910751293051
