"Time","Points:0","Points:1","Points:2"
0,50,0,0
0.25,50,0,0
0.5,50,0,0
0.75,50,0,0
1,50,0,0
1.25,50,0,0
1.5,50,0,0
1.75,50,0,0
2,50,0,0
2.25,50,0,0
2.5,50,0,0
2.75,50,0,0
3,50,0,0
3.25,50,0,0
3.5,50,0,0
3.75,50,0,0
4,50,0,0
4.25,50,0,0
4.5,50,0,0
4.75,50,0,0
5,50,0,0
5.25,50,0,0
5.5,50,0,0
5.75,50,0,0
6,50,0,0
6.25,50,0,0
6.5,50,0,0
6.75,50,0,0
7,50,0,0
7.25,50,0,0
7.5,50,0,0
7.75,50,0,0
8,50,0,0
8.25,50,0,0
8.5,50,0,0
8.75,50,0,0
9,50,0,0
9.25,50,0,0
9.5,50,0,0
9.75,50,0,0
10,50,0,0
10.25,50,0,0
10.5,50,0,0
10.75,50,0,0
11,50,0,0
11.25,50.25,0.12523,0
11.5,50.5,0.1252,0
11.75,50.75,0.12519,0
12,51,0.12519,0
12.25,51.25,0.12519,0
12.5,51.625,0.12518,0
12.75,51.875,0.12518,0
13,52.125,0.12518,0
13.25,52.5,0.12517,0
13.5,52.75,0.12518,0
13.75,53,0.12518,0
14,53.375,0.12518,0
14.25,53.625,0.12518,0
14.5,54,0.12518,0
14.75,54.25,0.12518,0
15,54.625,0.12517,0
15.25,54.875,0.12518,0
15.5,55.125,0.12518,0
15.75,55.5,0.12518,0
16,55.875,2.271e-18,0
16.25,56,7.43e-19,0
16.5,56.249,3.9426e-19,0
16.75,56.374,4.7502e-18,0
17,56.374,3.8678e-18,0
17.25,56.499,2.9912e-18,0
17.5,56.499,9.8294e-18,0
17.75,56.499,6.4638e-18,0
18,56.374,0.12517,0
18.25,56.624,4.7707e-18,0
18.5,56.749,1.0852e-17,0
18.75,56.874,5.5464e-18,0
19,57.124,5.4755e-18,0
19.25,57.124,4.1274e-18,0
19.5,57.249,5.9718e-18,0
19.75,57.249,2.6378e-19,0
20,57.124,0.12517,0
20.25,57.124,0.12518,0
20.5,57.249,0.12517,0
20.75,57.499,6.3709e-19,0
21,57.499,0.12517,0
21.25,57.624,0.12517,0
21.5,57.874,2.1777e-18,0
21.75,57.874,0.12517,0
22,57.999,0.12517,0
22.25,58.124,0.12517,0
22.5,58.374,0.12516,0
22.75,58.624,1.3214e-18,0
23,58.624,0.12517,0
23.25,58.874,0.12517,0
23.5,59.124,0.12516,0
23.75,59.249,0.12517,0
24,59.499,0.12517,0
24.25,59.749,0.12517,0
24.5,59.999,0.12516,0
24.75,60.249,0.12516,0
25,60.499,0.12516,0
25.25,60.749,0.12516,0
25.5,60.999,0.12516,0
25.75,61.374,0.12515,0
26,61.624,0.12515,0
26.25,61.874,0.12515,0
26.5,62.249,0.12514,0
26.75,62.499,0.12515,0
27,62.874,0.12514,0
27.25,63.249,0.12513,0
27.5,63.624,0.12513,0
27.75,63.999,0.12513,0
28,64.374,0.12513,0
28.25,64.749,0.12513,0
28.5,65.124,0.12513,0
28.75,65.499,0.12513,0
29,65.749,0.12513,0
29.25,66.124,0.12512,0
29.5,66.249,0.25025,0
29.75,66.499,0.12512,0
30,66.749,0.12511,0
30.25,66.874,0.25022,0
30.5,67.124,0.1251,0
30.75,67.249,0.25021,0
31,67.499,0.25019,0
31.25,67.749,0.12509,0
31.5,67.874,0.37528,0
31.75,68.124,0.25017,0
32,68.249,0.50036,0
32.25,68.374,0.62546,0
32.5,68.624,0.62542,0
32.75,68.749,0.7505,0
33,68.999,0.87552,0
33.25,69.249,1.0005,0
33.5,69.499,1.1255,0
33.75,69.749,1.3756,0
34,70.124,1.5006,0
34.25,70.499,1.7506,0
34.5,70.749,1.8756,0
34.75,71.124,2.0006,0
35,71.374,2.1256,0
35.25,71.624,2.2506,0
35.5,71.999,2.3756,0
35.75,72.249,2.5006,0
36,72.499,2.6257,0
36.25,72.874,2.6255,0
36.5,73.124,2.7506,0
36.75,73.374,2.8756,0
37,73.624,2.8756,0
37.25,73.749,3.0007,0
37.5,73.999,3.0006,0
37.75,74.124,3.0006,0
38,74.374,3.1256,0
38.25,74.499,3.2507,0
38.5,74.749,3.2506,0
38.75,74.999,3.3756,0
39,75.249,3.5006,0
39.25,75.499,3.6256,0
39.5,75.624,3.7507,0
39.75,75.749,3.8757,0
40,75.874,3.8757,0
40.25,75.999,3.8756,0
40.5,76.124,3.8756,0
40.75,76.124,4.0007,0
41,76.249,4.0007,0
41.25,76.374,4.1258,0
41.5,76.624,4.1256,0
41.75,76.874,4.2507,0
42,77.124,4.3757,0
42.25,77.374,4.5007,0
42.5,77.624,4.5006,0
42.75,77.874,4.6257,0
43,77.999,4.6256,0
43.25,78.249,4.7507,0
43.5,78.499,4.7506,0
43.75,78.624,4.8757,0
44,78.874,4.8756,0
44.25,78.999,5.0007,0
44.5,79.249,5.0006,0
44.75,79.374,5.1257,0
45,79.624,5.1256,0
45.25,79.749,5.2507,0
45.5,79.999,5.3757,0
45.75,80.124,5.3757,0
46,80.374,5.5007,0
46.25,80.499,5.6258,0
46.5,80.749,5.6257,0
46.75,80.999,5.7507,0
47,81.124,5.8758,0
47.25,81.374,6.0008,0
47.5,81.624,6.0007,0
47.75,81.749,6.1259,0
48,81.999,6.1258,0
48.25,82.249,6.2509,0
48.5,82.499,6.2509,0
48.75,82.874,6.2508,0
49,83.124,6.2508,0
49.25,83.374,6.2508,0
49.5,83.624,6.2508,0
49.75,83.874,6.3759,0
50,84.124,6.3759,0
50.25,84.374,6.3758,0
50.5,84.624,6.5009,0
50.75,84.999,6.5008,0
51,85.249,6.6259,0
51.25,85.499,6.6259,0
51.5,85.875,6.6258,0
51.75,86.125,6.7509,0
52,86.375,6.7509,0
52.25,86.75,6.7509,0
52.5,87,6.7509,0
52.75,87.25,6.876,0
53,87.5,6.876,0
53.25,87.75,6.876,0
53.5,88,6.8759,0
53.75,88.25,6.8759,0
54,88.625,6.8759,0
54.25,88.875,6.8758,0
54.5,89.25,6.8758,0
