Time,Points:0,Points:1,Points:2,Raw Length,Raw Velocity,Smoothed:0,Smoothed:1,Smoothed Length,Smoothed Velocity
0.0,50.0,0.0,0,0.0,0.0,50.00000000000007,0.0,0.0,0.0
0.25,50.0,0.0,0,0.0,0.0,50.00000000000007,0.0,0.0,0.0
0.5,50.0,0.0,0,0.0,0.0,50.00000000000007,0.0,0.0,0.0
0.75,50.0,0.0,0,0.0,0.0,50.00000000000007,0.0,0.0,0.0
1.0,50.0,0.0,0,0.0,0.0,50.000000000000064,0.0,7.105427357601002e-15,2.842170943040401e-14
1.25,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,1.1596057447604835e-11
1.5,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
1.75,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
2.0,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
2.25,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
2.5,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
2.75,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
3.0,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
3.25,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
3.5,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
3.75,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
4.0,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
4.25,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
4.5,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
4.75,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
5.0,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
5.25,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
5.5,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
5.75,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
6.0,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
6.25,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
6.5,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
6.75,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
7.0,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
7.25,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
7.5,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
7.75,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
8.0,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
8.25,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
8.5,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
8.75,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
9.0,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
9.25,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
9.5,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
9.75,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
10.0,50.0,0.0,0,0.0,0.0,50.01048951049247,0.005254405594405896,0.011731948198324862,0.04692779278167497
10.25,50.0,0.0,0,0.0,0.0,49.9947552447582,-0.007882867132867621,0.03222963228475972,0.08199073634573942
10.5,50.0,0.0,0,0.0,0.0,49.97319347319644,-0.010799254079254729,0.05398774124906888,0.08703243585723666
10.75,50.0,0.0,0,0.0,0.0,49.9865967365997,0.006717179487179911,0.0760438722503244,0.08822452400502206
11.0,50.0,0.0,0,0.0,0.0,50.06993006993304,0.041742587412589904,0.16643869314613796,0.36157928358325425
11.25,50.25,0.12523,0,0.279611431990897,1.118445727963588,50.24184149184447,0.08347571095571588,0.3433431605410461,0.7076178695796325
11.5,50.5,0.1252,0,0.529611433790897,1.0000000072000002,50.46532634032933,0.1184933333333403,0.5695548122729629,0.9048466069276673
11.75,50.75,0.12519,0,0.779611433990897,1.0000000008,50.73397435897736,0.13599652680653482,0.8387724188763869,1.076870426413696
12.0,51.0,0.12519,0,1.029611433990897,1.0,51.02243589743892,0.1330686013986093,1.1272488163837067,1.1539055900292792
12.25,51.25,0.12519,0,1.279611433990897,1.0,51.28379953380257,0.1199305594405666,1.3889424513076838,1.0467745396959085
12.5,51.625,0.12518,0,1.6546114341242304,1.5000000005333334,51.5725524475555,0.12518419580420323,1.677743154035098,1.1552028109096568
12.75,51.875,0.12518,0,1.9046114341242304,1.0,51.88024475524783,0.12517955710956455,1.9854354617623917,1.230769230909175
13.0,52.125,0.12518,0,2.1546114341242304,1.0,52.16958041958351,0.12517634032634778,2.2747711261159544,1.157342657414251
