time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,-6.6924410919898e-07,-6.6924410919899e-07,-3.3841364708113e-43,1.7586496887646e-20,4.5153613948048e-53,-3.3841364703598e-43,0.0020672381589916,-1.6382759383562e-36,0,0,65.820871588854,-7.9303732477477e-07,0.00046638350833524,6.8014393368009e-37,0.0037511822216281,0.00111577763604,2.2777469609063e-36,2.2075032667491e-05
0.5,-7.7833022678353e-07,-9.5988769610097e-07,-1.7330912241575e-39,1.8155746931743e-07,-9.8719757811225e-42,-1.7429631999386e-39,0.0083414818572597,-6.7603237161334e-33,0,0,104.17221141965,-1.3743950654727e-06,0.0025267573582063,2.9734868403933e-33,0.0098434518034573,0.0045821729655318,9.7382280123617e-33,5.1767752555424e-05
0.75,-2.8055689455736e-07,-1.1645396961852e-06,-2.1294140475981e-36,8.8398280162785e-07,-2.5768907610838e-38,-2.1551829552089e-36,0.013916377275528,-6.6750009183829e-30,0,0,103.07019619972,-8.707385397736e-07,0.0051801440375337,3.117375594995e-30,0.015051406116334,0.0070177737206673,9.9770686187197e-30,8.030170402024e-05
1,-2.6691156483494e-06,-3.0152227484286e-06,-1.1141679518242e-33,3.461071000792e-07,-2.1558941671501e-35,-1.1357268934957e-33,0.018749089022414,-2.7991722921865e-27,0,0,97.775154836041,-2.2211908582854e-06,0.0078408250267253,1.3913411294624e-27,0.0200622246694,0.0093535622053678,4.3485920439988e-27,0.00010881226697623
1.25,-1.9599820650661e-06,-1.1375401771703e-06,-3.1363514870224e-31,-8.2244188789582e-07,-8.6607324807593e-33,-3.22295881183e-31,0.024315097077452,-6.29885292869e-25,0,0,99.053819864395,-7.8262765739801e-07,0.010516809404747,3.3406522345273e-25,0.025666209948142,0.012249513468267,1.0190388937614e-24,0.00013737334277274
1.5,-1.7962494877178e-06,-5.6978237167354e-07,-5.3933365904511e-29,-1.2264671160442e-06,-2.0021533708248e-30,-5.5935519275336e-29,0.029929312857578,-8.6375241789406e-23,0,0,102.23469460674,-6.8498484320049e-07,0.013186182263998,4.901069761538e-23,0.03107098962254,0.014944884321988,1.4586071150402e-22,0.00016622042057783
1.75,-2.5135939300816e-06,-1.5690393290665e-06,-6.133049597098e-27,-9.4455460101514e-07,-2.9554515000805e-28,-6.428594747106e-27,0.035042082625936,-7.8158609527124e-21,0,0,99.154997616589,-1.4751355874157e-06,0.015867663122072,4.7580000009981e-21,0.036222863333464,0.017405880152232,1.3816775963124e-20,0.00019463944641755
2,-2.6263547621263e-06,-1.562633270388e-06,-4.8653610766158e-25,-1.0637214917383e-06,-2.9803960236354e-26,-5.1634006789794e-25,0.040410011767473,-4.9262363334933e-19,0,0,99.027877945419,-1.1839128456838e-06,0.018550986676737,3.2265073753839e-19,0.041644787625117,0.020118598927692,9.1510969876803e-19,0.00022326935732239
2.25,-2.3758913131142e-06,-7.6435590755944e-07,-2.7961427973702e-23,-1.6115354055547e-06,-2.1525944127809e-24,-3.0114022386483e-23,0.045970923326554,-2.2483449597244e-17,0,0,101.03349427907,-5.3154307779556e-07,0.021237809012825,1.5885872373502e-17,0.047091237156686,0.022867420622369,4.4114858965341e-17,0.00025209480730197
2.5,-3.1483731819052e-06,-1.3089406000191e-06,-1.1960755519715e-21,-1.8394325818862e-06,-1.1527085915163e-22,-1.3113464111231e-21,0.051266159921648,-7.6492966888535e-16,0,0,100.0461971465,-1.3017322920085e-06,0.023930771918926,5.8434803819542e-16,0.052355643114352,0.025428196136891,1.5966703913121e-15,0.00028051802251796
2.75,-3.1833681403458e-06,-1.5926955252122e-06,-3.8815177163282e-20,-1.5906726151336e-06,-4.697455857754e-21,-4.3512633021036e-20,0.056582403580688,-1.984222274223e-14,0,0,99.251162340361,-1.4885927901735e-06,0.026625782008864,1.6410339501195e-14,0.057706877066673,0.02807346502874,4.4502497006338e-14,0.00030914321328907
3,-2.6917614375191e-06,-1.2291842615071e-06,-9.6761931425833e-19,-1.4625771760119e-06,-1.4858595195441e-19,-1.1162052662127e-18,0.062071647523755,-3.9974858302745e-13,0,0,100.32502902516,-9.0221688668071e-07,0.029325778149215,3.5782377175367e-13,0.063141137186427,0.030804019698408,9.764935921206e-13,0.00033780186292059
3.25,-3.1978757951377e-06,-1.5122899384086e-06,-1.8645653800668e-17,-1.6855858567291e-06,-3.7022651430843e-18,-2.2347918943752e-17,0.067461647310935,-6.3562874233944e-12,0,0,100.30170369913,-1.2146489689708e-06,0.032029256009407,6.1414032186038e-12,0.06847949138728,0.033433035946066,1.7209731708081e-11,0.00036639281563808
3.5,-3.5335216805556e-06,-1.7266099716724e-06,-2.7754722227608e-16,-1.8069117088831e-06,-7.3425401111744e-17,-3.5097262338783e-16,0.0727934292547,-8.0949002094926e-11,0,0,99.573989805598,-1.5873440650566e-06,0.034736223968404,8.3949167767432e-11,0.073819178390237,0.036063346908545,2.4802316902975e-10,0.00039501733310597
