time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,-6.69244109199e-07,-6.69244109199e-07,-3.3841741964676e-43,-3.0418069096289e-21,-2.3256488032559e-55,-3.3841741964699e-43,0.0020672381589916,-1.6382804662204e-36,0,0,65.820871588854,-7.9303732477478e-07,0.00046638350833524,6.8015167036332e-37,0.0037511822216281,0.00111577763604,2.277720698847e-36,2.2075032667491e-05
0.5,-7.7833022678344e-07,-9.5988769610089e-07,-1.7331359211652e-39,1.8155746931745e-07,-9.8716194326153e-42,-1.7430075405979e-39,0.0083414818572597,-6.760365149975e-33,0,0,104.17221141965,-1.3743950654728e-06,0.0025267573582063,2.9735597586712e-33,0.0098434518034573,0.0045821729655318,9.7379836314547e-33,5.1767752555424e-05
0.75,-2.8055689455748e-07,-1.1645396961851e-06,-2.1295323252459e-36,8.8398280162762e-07,-2.5767170512693e-38,-2.1552994957586e-36,0.013916377275528,-6.6750881996801e-30,0,0,103.07019619972,-8.7073853977359e-07,0.0051801440375338,3.1175347087944e-30,0.015051406116334,0.0070177737206673,9.9765410094644e-30,8.030170402024e-05
1,-2.6691156483493e-06,-3.0152227484285e-06,-1.1142952395886e-33,3.4610710007929e-07,-2.1556320111615e-35,-1.1358515597002e-33,0.018749089022414,-2.7992471751591e-27,0,0,97.775154836041,-2.2211908582855e-06,0.0078408250267254,1.3914838741998e-27,0.0200622246694,0.0093535622053679,4.3481217474098e-27,0.00010881226697623
1.25,-1.9599820650663e-06,-1.1375401771704e-06,-3.137059824995e-31,-8.2244188789592e-07,-8.6589093136307e-33,-3.2236489181313e-31,0.024315097077453,-6.299181009534e-25,0,0,99.053819864395,-7.8262765739802e-07,0.010516809404747,3.3413164036387e-25,0.025666209948143,0.012249513468267,1.0188198458362e-24,0.00013737334277275
1.5,-1.7962494877177e-06,-5.6978237167346e-07,-5.3956554032275e-29,-1.2264671160442e-06,-2.0014573775094e-30,-5.5958011409784e-29,0.029929312857578,-8.6383466255076e-23,0,0,102.23469460674,-6.8498484320034e-07,0.013186182263998,4.9028841152907e-23,0.03107098962254,0.014944884321989,1.4580007557742e-22,0.00016622042057783
1.75,-2.5135939300815e-06,-1.5690393290664e-06,-6.1378835687871e-27,-9.4455460101513e-07,-2.9538470320654e-28,-6.4332682719936e-27,0.035042082625936,-7.8171087303343e-21,0,0,99.154997616589,-1.4751355874157e-06,0.015867663122072,4.7611358323719e-21,0.036222863333464,0.017405880152232,1.380595588625e-20,0.00019463944641755
2,-2.6263547621261e-06,-1.5626332703875e-06,-4.8721251404698e-25,-1.0637214917386e-06,-2.9780338211047e-26,-5.1699285225803e-25,0.040410011767473,-4.9273916258488e-19,0,0,99.027877945419,-1.1839128456833e-06,0.018550986676737,3.2301025866092e-19,0.041644787625117,0.020118598927693,9.1379382427294e-19,0.00022326935732239
2.25,-2.3758913130847e-06,-7.6435590753266e-07,-2.8027312410844e-23,-1.611535405552e-06,-2.1503074593722e-24,-3.0177619870216e-23,0.045970923326554,-2.2489484934013e-17,0,0,101.03349427907,-5.3154307775539e-07,0.021237809012824,1.5914034967992e-17,0.047091237156686,0.022867420622371,4.4001388979558e-17,0.00025209480730197
2.5,-3.1483731802367e-06,-1.308940598549e-06,-1.2006582817022e-21,-1.8394325816877e-06,-1.1512501585545e-22,-1.3157832975576e-21,0.051266159921648,-7.6502497505337e-16,0,0,100.0461971465,-1.3017322897617e-06,0.023930771918878,5.858798472929e-16,0.052355643114352,0.02542819613702,1.5895363612118e-15,0.00028051802251796
2.75,-3.1833680761456e-06,-1.592695470024e-06,-3.9046844024756e-20,-1.5906726061216e-06,-4.6916323519086e-21,-4.3738476376665e-20,0.056582403580688,-1.9832870997554e-14,0,0,99.251162340361,-1.4885927041684e-06,0.02662578200708,1.6468407785101e-14,0.057706877066673,0.028073465033439,4.4169470608004e-14,0.00030914321328907
3,-2.6917597462263e-06,-1.2291828503156e-06,-9.762251694033e-19,-1.4625768959108e-06,-1.4847554990611e-19,-1.1247007193094e-18,0.062071647523755,-3.989728421332e-13,0,0,100.32502902516,-9.0221463562194e-07,0.029325778102781,3.5934008024513e-13,0.063141137186427,0.030804019814806,9.6483670967608e-13,0.00033780186292059
3.25,-3.1978452383877e-06,-1.5122653496369e-06,-1.8881704534731e-17,-1.6855798887508e-06,-3.7042156940328e-18,-2.2585920228764e-17,0.067461647310935,-6.3263143664724e-12,0,0,100.30170369913,-1.2146086515152e-06,0.032029255184727,6.1676009631642e-12,0.06847949138728,0.033433037891151,1.6902925673108e-11,0.00036639281563807
3.5,-3.5331435145902e-06,-1.7263187264076e-06,-2.8231642320395e-16,-1.8068247881826e-06,-7.3635998834609e-17,-3.5595242203855e-16,0.0727934292547,-8.023227196559e-11,0,0,99.573989805598,-1.5868512194857e-06,0.034736214064061,8.4212885753311e-11,0.073819178390237,0.03606336857974,2.4196841188778e-10,0.00039501733310597
3.75,-2.9577087912076e-06,-1.3158907165083e-06,-3.2295201904899e-15,-1.6418180746994e-06,-1.1740767496663e-15,-4.4035969401562e-15,0.078230983363265,-8.2490093148022e-10,0,0,99.982952031833,-1.1569503572037e-06,0.03744723990828,9.241855131383e-10,0.079230965883244,0.038763317760683,2.8751975048699e-09,0.00042364227416388
4,-2.9176637679535e-06,-1.3714614417014e-06,-2.7500335255142e-14,-1.5462023262521e-06,-1.5052941903761e-14,-4.2553277158903e-14,0.083659404743876,-6.9439712201746e-09,0,0,100.2640291692,-1.0960004159973e-06,0.040161560062698,8.2276806175554e-09,0.084610364818277,0.04142799931775,2.8622324220464e-08,0.00045226689670718
4.25,-3.3730797335321e-06,-1.680075116313e-06,-1.625155622126e-13,-1.6930046172191e-06,-1.5495265949713e-13,-3.1746822170973e-13,0.089026309979738,-4.7930494261076e-08,0,0,99.831890394449,-1.4250341318522e-06,0.042879700907618,5.98029306297e-08,0.089964109027647,0.04406523550315,2.3860409856744e-07,0.00048089169549811
