time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y,preset_ext_power,preset_ext_work_p
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,8.3912660340027e-20,8.9785492408956e-20,3.49934907131e-36,-5.8728320689287e-21,-1.6565477925423e-44,3.4993490547446e-36,0.0014992281615565,6.7639551347166e-29,0,0,40.354866862314,1.8634724839595e-20,0.00049075445151209,1.0505902669538e-28,0.0036967063761876,0.00099460281207724,1.5877037430075e-26,1.8811804860234e-05,0.028141202558802,0.0035176503198503
0.5,1.5903043584699e-19,1.8973538018496e-19,2.4483709182775e-36,-3.0704944337968e-20,1.1211896243324e-37,2.5604898807108e-36,0.0080446527733356,5.946314822087e-28,0,0,99.92569870024,-4.7433845046241e-20,0.0026377674747529,3.8409800829058e-28,0.0102141372002,0.0048268261774236,1.0987061027907e-26,5.261936925254e-05,0.026348240615199,0.010328830716601
0.75,-2.8036790554117e-19,1.1655173354219e-18,3.8943860049001e-37,-1.4458852409631e-18,9.1080049015492e-38,4.805186495055e-37,0.014053334915465,1.3401518150996e-27,0,0,110.47550524303,1.3552527156069e-20,0.0053693321817791,2.0930640653667e-28,0.015624800617457,0.0073569288139719,1.3810407047061e-27,8.1741683382379e-05,0.017071155351557,0.015756255212445
1,9.9865184481282e-19,1.2468324983583e-18,1.8245035485487e-37,-2.4818065354551e-19,1.0213842047176e-37,2.8458877532663e-37,0.018802543120749,2.0263795829561e-27,0,0,94.319128482805,1.0842021724855e-19,0.0081141424528439,8.9650392429399e-29,0.020633627467197,0.0096214865463776,2.5557310898902e-28,0.00010874575701923,0.02241765363482,0.020692356335742
1.25,-1.7110065534537e-19,1.4636729328554e-18,1.3700119313508e-36,-1.6347735882008e-18,4.7326146958584e-37,1.8432734009366e-36,0.024560957388926,1.6763723991093e-27,0,0,98.008554008879,2.7105054312138e-20,0.010873015405216,2.1546578011158e-28,0.026479105249352,0.012667447746502,2.1693155288861e-27,0.00013929418327636,0.024948420000877,0.026613115540204
1.5,7.4200086179477e-19,1.8431436932254e-18,2.7380432114001e-36,-1.1011428314306e-18,-5.5623148857702e-37,2.1818117228231e-36,0.030475366008614,-1.2800713536519e-25,0,0,104.42271441685,-5.4210108624275e-20,0.013621372168778,3.4001186233105e-27,0.032114183411894,0.015512644208556,1.0500076384012e-26,0.00016877266388941,0.020662058216856,0.032314425317421
1.75,1.0028870095491e-18,3.7947076036993e-19,9.4528755753817e-35,6.2341624917917e-19,1.1218175721335e-35,1.0574693147515e-34,0.035690598049941,-7.1370033242532e-23,0,0,98.818012676578,-8.1315162936413e-20,0.016383945251348,2.5260666674599e-24,0.037364466399368,0.017991588011066,5.3676447186342e-24,0.00019667497632121,0.021217593343007,0.037549381762404
2,2.4055735702022e-19,9.2157184661268e-19,-9.4974771371297e-33,-6.8101448959246e-19,1.7229143475447e-33,-7.7745627895851e-33,0.041174534400291,-1.7910661406674e-20,0,0,97.786124925717,5.6920614055489e-19,0.019145149403131,6.8664187710372e-22,0.042943692057398,0.020779010237162,1.4390675615164e-21,0.00022612227259603,0.023633629878928,0.043155784665146
2.25,-1.3552527156069e-19,3.7947076036993e-19,-4.4020739997616e-31,-5.1499603193061e-19,1.1236695500324e-31,-3.2784044497292e-31,0.046968349843897,-3.0175646255779e-18,0,0,101.86169651199,1.0842021724855e-19,0.021909791986346,1.2835763017873e-19,0.0486026193066,0.023663874926683,2.6779989998953e-19,0.00025576416142531,0.022101585979904,0.0488726866475
2.5,4.336808689942e-19,1.5178830414797e-18,-5.3465356000145e-29,-1.0842021724855e-18,5.2816544361863e-30,-4.8183701563959e-29,0.05243146775178,-3.4268424655748e-16,0,0,100.43735374475,5.4210108624275e-19,0.024679405683687,1.6296133661282e-17,0.054014024244644,0.026292679520636,3.3798391035882e-17,0.00028427101437711,0.021318938483348,0.054300252205406
2.75,1.8295911660693e-19,1.7347234759768e-18,-4.2736539540348e-27,-1.5517643593699e-18,3.2459247685901e-28,-3.9490614771758e-27,0.057867491510713,-2.6669294753018e-14,0,0,98.505361660018,4.336808689942e-19,0.027449638320414,1.4324029025177e-15,0.059504171986037,0.029001027505629,2.9500123987155e-15,0.00031320453985707,0.022734789905358,0.059806968253994
3,1.3837130226346e-17,1.4853569763051e-17,-2.2675333404035e-25,-1.0164395367052e-18,8.5391512753028e-27,-2.1821418276505e-25,0.06353852040972,-1.4360840682816e-12,0,0,100.4388205726,1.9678269430612e-17,0.030224240341305,8.8133573521558e-14,0.065121610050278,0.031840059227802,1.7997546408768e-13,0.00034266396127946,0.022554936320621,0.065468184032242
3.25,9.2595608914767e-16,8.3797985911405e-16,-8.5000078081926e-24,8.7976230033621e-17,7.5233173966294e-26,-8.4247746342263e-24,0.069111242570511,-5.3804200926568e-11,0,0,100.73231093369,1.2789248826639e-15,0.033000865662932,3.824122045934e-12,0.070625534751155,0.034560636307746,7.7289024997349e-12,0.0003715858430317,0.021716320802803,0.07100209117267
