time,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_power,preset_ext_work,preset_ext_work_p,strain_energy
0,0,0,0,0,0,0,0,0,0
5e-07,-3.3881317890172e-21,0.0050792669622776,0,0.00090907943725982,4.1676064549075e-05,30381.810801015,0.0079810210428853,0.0075954527002538,0.0026568197060272
1e-06,1.5138172833329e-17,0.018121397871434,0,0.0049761057853823,0.00010411119831156,18982.684181356,0.01956535078091,0.019936576445847,0.0088802433876766
1.5e-06,4.1836380280241e-15,0.028256187652119,0,0.010310353975903,0.00015946597041803,20442.736178388,0.029720766106971,0.029792931535783,0.013606889072241
2e-06,4.8862926508783e-13,0.038941417516172,0,0.015658725839118,0.00021726639757358,23555.256739494,0.040597088793766,0.040792429765253,0.019038750547698
2.5e-06,2.9814566587056e-11,0.050007384922647,0,0.021023857841749,0.00027486437290521,20076.495561936,0.051371069802902,0.051700367840611,0.02438109590046
3e-06,1.0582098623475e-09,0.060497443007856,0,0.026405782743206,0.00033159553142746,22067.161235417,0.061946240477322,0.062236282039949,0.029527666578989
3.5e-06,2.3321593564099e-08,0.071439728276372,0,0.03180309289612,0.00038934232100903,21812.884762444,0.072802919660544,0.073206293539414,0.03494934531827
4e-06,3.3265403968897e-07,0.082224089216353,0,0.037214985107986,0.0004463733718441,21179.197966843,0.083502447663981,0.083954314221736,0.040205219464337
4.5e-06,3.1523302933118e-06,0.092978664882717,0,0.04264059855854,0.00050363498902435,21986.412275831,0.094254691178096,0.094745716782404,0.045508609321851
5e-06,2.0155509780479e-05,0.10387262742872,0,0.048075180202838,0.00056102504915719,21561.767454311,0.10506246848225,0.10563276171494,0.050869601632616
5.5e-06,8.7671562440327e-05,0.11467244908181,0,0.053499234869174,0.00061815043949295,21645.562919913,0.11581976309491,0.1164345943085,0.056212212534353
6e-06,0.00026096941405591,0.12552862101178,0,0.058861423685178,0.00067547318067313,21837.706754698,0.12663160035645,0.12730541172715,0.061711950398153
6.5e-06,0.00053969029362379,0.13640708181847,0,0.06408352015142,0.00073273820467226,21665.946218426,0.1374455117475,0.13818132497043,0.067395188597716
7e-06,0.00081673199171863,0.14726594065692,9.1965844838367e-06,0.069117564109766,0.00078997465561863,21803.817691163,0.14826123375879,0.14904876594783,0.073264929781893
