time,Fy,Jint,ce_int,external_work,fracture_energy,kinetic_energy,max_disp_y,nucleation_energy,preset_ext_work,strain_energy
0,0,0,0,0,0,0,0,0,0,0
5e-07,63.32457803061,-1.3552527156069e-20,-0.083930061521679,0.0050792669622776,0,0.00090907943725982,4.1676064549075e-05,0.027976687173893,0.0079810210428853,0.0026568197060272
1e-06,112.00644993197,1.5124620306173e-17,-0.20572287317111,0.018121397871434,0,0.0049761057853823,0.00010411119831156,0.068574291057036,0.01956535078091,0.0088802433876766
1.5e-06,99.273357698687,4.1836380280241e-15,-0.31243995923597,0.028256187652119,0,0.010310353975903,0.00015946597041803,0.10414665307866,0.029720766106971,0.013606889072241
2e-06,97.739487455992,4.8862926508783e-13,-0.42667005980051,0.038941417516172,0,0.015658725839118,0.00021726639757358,0.14222335326684,0.040597088793766,0.019038750547698
2.5e-06,102.18223989674,2.9814566587056e-11,-0.53976889826712,0.050007384922647,0,0.021023857841749,0.00027486437290521,0.17992296608904,0.051371069802902,0.02438109590046
3e-06,98.682395652786,1.0582098621849e-09,-0.65066976970763,0.060497443007856,0,0.026405782743206,0.00033159553142746,0.21688992323588,0.061946240477322,0.029527666578989
3.5e-06,100.2722270924,2.3321593564044e-08,-0.76416140695702,0.071439728276372,0,0.03180309289612,0.00038934232100903,0.25472046898567,0.072802919660544,0.03494934531827
4e-06,100.27568123916,3.326540396888e-07,-0.87475060353456,0.082224089216352,0,0.037214985107986,0.0004463733718441,0.29158353451152,0.083502447663981,0.040205219464337
4.5e-06,99.508895284859,3.1523302933114e-06,-0.98210731518774,0.092978664882717,0,0.04264059855854,0.00050363498902435,0.32736910506258,0.094254691178096,0.045508609321851
5e-06,100.28246959599,2.0155509780479e-05,-1.080663473491,0.10387262742872,0,0.048075180202838,0.00056102504915719,0.36022115783033,0.10506246848225,0.050869601632616
5.5e-06,99.882374697828,8.7671562440327e-05,-1.1599984967882,0.11467244908181,0,0.053499234869174,0.00061815043949294,0.38666616559606,0.11581976309491,0.056212212534353
6e-06,99.898049792189,0.00026096941405591,-1.2107125483003,0.12552862101178,0,0.058861423685178,0.00067547318067313,0.40357084943343,0.12663160035645,0.061711950398153
6.5e-06,100.0846234507,0.00053969029362379,-1.227664732514,0.13640708181847,0,0.06408352015142,0.00073273820467226,0.40922157750466,0.1374455117475,0.067395188597715
7e-06,99.887933801696,0.00081673199171863,-1.2206756173236,0.14726594065692,3.772145086663e-05,0.069117478486896,0.00078997465561863,0.40688159474347,0.14826123375879,0.07326556324907
7.5e-06,99.992312517233,0.0010239803705945,-1.2371880282038,0.1581648648816,0.00036515864398062,0.074026342622061,0.00084733685443057,0.41230041832101,0.15910562285716,0.079041176445598
8e-06,99.989629481713,0.001228966139757,-1.2540863146251,0.16906453906439,0.00085628896848325,0.078789748425622,0.00090483269760468,0.41781605203358,0.16995115940576,0.085111364289672
8.5e-06,99.944366227863,0.0014557484862942,-1.2690596637541,0.17997254117315,0.0013289612807644,0.083399688657845,0.00096286976701252,0.42268925345676,0.18081052915316,0.09133700942379
9e-06,100.00715159649,0.0016764067049064,-1.2968883452786,0.19089505699631,0.0019813162699165,0.087881244986667,0.0010223099217435,0.43180710815379,0.19168133271436,0.097676546202932
9.5e-06,100.00172231878,0.0019037480039069,-1.3179255876997,0.20179593470565,0.0030770708554703,0.092264647766071,0.0010849758052468,0.43857618706446,0.20255046692415,0.1039418665972
1e-05,100.04452992559,0.0021252264019016,-1.3351619646904,0.21261831965832,0.0044010221560663,0.096740533551467,0.0011543543306464,0.44406451321051,0.21341352964504,0.10987655134893
1.05e-05,100.12554446713,0.00234176478658,-1.3544984793567,0.22318607396761,0.0057826075792972,0.10178788394992,0.0012359393812329,0.45027383191751,0.2242464655371,0.11478039919804
1.1e-05,100.19997768431,0.0025571132032511,-1.3733121917324,0.23318754786977,0.0073449132476516,0.10839901673821,0.0013369002003984,0.45629796150619,0.23501918559575,0.11735804674873
1.15e-05,100.29596010675,0.0027710351539608,-1.3855769659738,0.24235725955055,0.0091949656675698,0.11776317241477,0.0014641741713138,0.46014663988133,0.24569819200952,0.1164826343089
1.2e-05,100.34682708679,0.0029923183475145,-1.3922569698201,0.25091276735832,0.01142145290494,0.13015595408554,0.0016209787677132,0.46220281709735,0.25625118872329,0.11264198337363
1.25e-05,100.32787568605,0.0032235484142899,-1.3920270647181,0.25981564520168,0.014116248461703,0.14399033638638,0.0018031989281411,0.46208389874857,0.2666676123842,0.10817020997757
1.3e-05,100.26549164583,0.0034640735935388,-1.3873260471803,0.27005684175012,0.017161670822799,0.1571352296606,0.0019983884474677,0.46054852180644,0.27695995629449,0.10469944758479
1.35e-05,100.20804839355,0.0037043082008156,-1.3779781180357,0.28148553060424,0.020267821632501,0.16952165889889,0.0021898398080045,0.45744823754642,0.28715183970069,0.10114259683752
1.4e-05,100.21352506025,0.003930141273615,-1.3661686942668,0.29293147475445,0.023331255851018,0.18263846539624,0.0023648269701889,0.45350851068806,0.29725732334242,0.096305837289292
1.45e-05,100.2443842108,0.0041314007884162,-1.3583095829742,0.30349971977614,0.026412363660815,0.1963351447319,0.0025217879882819,0.45089758721014,0.30727153576321,0.091569042751659
1.5e-05,100.20113761671,0.0043239151100938,-1.3465600896934,0.31307758587079,0.029479357211212,0.20931735814572,0.0026702553686747,0.44702602799545,0.31719387919195,0.087702623270513
1.55e-05,100.06647052688,0.0045574207253575,-1.328012009088,0.3221618986419,0.032480262384459,0.22189892324268,0.0028225129440487,0.44093991793074,0.32705423304014,0.083637193579907
1.6e-05,99.944957186464,0.0048792865649258,-1.2948546879923,0.33171581631114,0.03532671205394,0.23464907364226,0.0029838198164363,0.43002445811722,0.33690278836247,0.079569721477616
1.65e-05,99.913558355662,0.0052770482705053,-1.2461405589841,0.34217219860217,0.037992043667893,0.2471852250905,0.003150144724881,0.41394726124991,0.34677439354341,0.075911876682712
1.7e-05,99.862699309646,0.005679686399672,-1.1807673795425,0.35285557264221,0.040427388973394,0.25965588483835,0.0033148902310893,0.39239056658242,0.35668568271157,0.072205059782894
1.75e-05,99.624915737604,0.0060441698654529,-1.0990372451453,0.36307639069562,0.042601720155609,0.27235999524003,0.0034764924269214,0.36521668768813,0.36668537557006,0.068453923556772
1.8e-05,99.234692454268,0.0064063866490018,-1.0134763395387,0.37295761089896,0.044641181656713,0.28528335604942,0.003638550191942,0.33669317644377,0.37688994945568,0.064751465241449
1.85e-05,98.876099110136,0.00681300042134,-0.92709382262468,0.38318738826922,0.046647699412371,0.29847742326944,0.0038039709574622,0.30790401911042,0.3874498142761,0.061142620476427
1.9e-05,98.572484196611,0.0072485335410245,-0.84468078567246,0.39426118042136,0.04876669189244,0.31187660399014,0.0039718444106064,0.28038733858207,0.39850182402555,0.057914911484694
1.95e-05,98.108115979217,0.0076679902873901,-0.77493199100784,0.40605041990057,0.051009714131239,0.32528272765545,0.0041408842897274,0.25720074613121,0.41019330939447,0.055360502807685
2e-05,97.277578960723,0.0080565006359888,-0.72264680297186,0.41838590779181,0.053234757942434,0.33863228046382,0.0043137189624059,0.239821582662,0.42276292739629,0.053711916882508
2.05e-05,96.04963849327,0.0084196515318313,-0.69289932051405,0.43162079092494,0.055283083413661,0.35211841985321,0.0044958635316112,0.22999629703802,0.43659717896449,0.053034431248646
2.1e-05,94.508202278929,0.008761421044097,-0.67779940660346,0.44643983338073,0.057098355963299,0.36631948698399,0.0046916421454704,0.22503650968907,0.45222999159193,0.053117104056188
2.15e-05,92.873383712698,0.0090987024539652,-0.67690000509305,0.46340087264521,0.058795594352993,0.38206383794266,0.0049032943199431,0.22464908343992,0.47029231333659,0.053765522182669
2.2e-05,91.636961776319,0.0094756524725116,-0.6958234056615,0.48287521412538,0.06057089931068,0.40000601932304,0.0051335717020879,0.23081182903848,0.49138563343468,0.055062501549869
2.25e-05,91.474828459091,0.0099568960614784,-0.73784103328431,0.50528202863425,0.062616810772053,0.42029656349808,0.0053864835513003,0.24465196497792,0.51586067595276,0.057482397661614
2.3e-05,92.876541261612,0.01058272941833,-0.81111636649332,0.53101194301823,0.064978944537296,0.44228621489475,0.0056640214017812,0.26904426378742,0.54357559856297,0.061923509752716
2.35e-05,95.807415893862,0.011323864313282,-0.91677237853417,0.55999695248789,0.067562819740084,0.46471113530885,0.0059627374866713,0.30427989416895,0.57377170741811,0.068982172927634
2.4e-05,99.591607543584,0.012105029661161,-1.0306406868378,0.59137837787689,0.070175328541253,0.48663891889294,0.0062738978970259,0.34228969379337,0.60517056851368,0.077879071090114
2.45e-05,103.00306371875,0.012833670063455,-1.1328753993445,0.62360169798643,0.07281347155178,0.50833210057859,0.0065865219404885,0.37629738241127,0.63631618762932,0.086267297918696
2.5e-05,104.64942886153,0.013396313690763,-1.2068645955468,0.65494588033477,0.07561887879461,0.53080454091607,0.0068910608865125,0.40090699397157,0.66608669328469,0.092021410490493
2.55e-05,103.70620023233,0.013723092962562,-1.2557219433357,0.68430453460681,0.078768152880799,0.55438441145278,0.0071828594212057,0.4171501393483,0.69416847591832,0.095065485499514
2.6e-05,100.63383346522,0.013892119084831,-1.2837704267529,0.71175371675855,0.08233731646537,0.57836284543623,0.0074645254935815,0.42632221578692,0.72120250807226,0.096946063781398
2.65e-05,97.205250472192,0.014125249480729,-1.3027236301794,0.73844323930277,0.086373125988562,0.6022704203537,0.0077452394053573,0.43254929786773,0.74842422518704,0.098806219951793
2.7e-05,95.531260711178,0.014648972005011,-1.3172434549128,0.76591420957631,0.090885011535499,0.62667269445196,0.0080363332936576,0.43751067159275,0.77693238519905,0.10084984693464
2.75e-05,96.609708025191,0.015528223560966,-1.3312013432078,0.79527420868859,0.095926228390713,0.65205893147436,0.0083524483142022,0.44212772625644,0.80702514791909,0.10337423084704
2.8e-05,99.505438967452,0.016595033587178,-1.3399274657405,0.82651567467878,0.10143416098004,0.67801025951256,0.0086875023145062,0.44487269590897,0.83806531220698,0.10641921143134
2.85e-05,101.96849980381,0.017530167106884,-1.3288490484552,0.85844088555284,0.10731212931883,0.70416444252511,0.0090199836766415,0.44135766967756,0.86899877400944,0.10895420073723
2.9e-05,102.16909111718,0.018087848824777,-1.2991018536918,0.8895832055971,0.11346286141072,0.73069932311122,0.009373173238645,0.43196161779857,0.8991601336219,0.11012500117908
2.95e-05,100.15493793113,0.018323242279227,-1.2596245374665,0.91939557588852,0.1196956177307,0.75752955006306,0.0097362689900014,0.41944510628066,0.92874647211518,0.11053292242405
3e-05,97.717861556986,0.018581269870058,-1.2206508714613,0.94852188207256,0.12586169059234,0.78447507295606,0.010109713130397,0.40735856590684,0.95859015765682,0.11103319263633
3.05e-05,96.738043646324,0.019189195911114,-1.1891314170067,0.97809937166689,0.13191424215471,0.8118455802956,0.010496222146733,0.39805006730054,0.9894579360715,0.11192531603201
3.1e-05,97.525527505885,0.020132318363698,-1.1729724415187,1.0088409292686,0.1379921394022,0.83991047162477,0.010895956799346,0.39392027396349,1.0215173810722,0.11332215697075
3.15e-05,98.718736530584,0.021071489308514,-1.1687339610976,1.0405618388728,0.14434841460319,0.86860560546965,0.011305917033406,0.39328481208751,1.0544262904406,0.114854056619
3.2e-05,98.786585398484,0.021716664820558,-1.1675709298896,1.0725798427048,0.1512179565739,0.89818476203787,0.011722670983305,0.39316134899897,1.0878796774209,0.11558013807099
