time,DJ1,DJ2,DJint,EW,FE,Fy,J,KE,PEW,SE,max_disp_y
0,0,0,0,0,0,0,0,0,0,0,0
0.25,4.1695077976194e-06,-5.8835835384569e-21,4.1695077976194e-06,0.0018493650366449,0,48.107062876942,4.8328200376981e-06,0.00046389649508434,0.0036161831981174,0.0010315756863139,2.2574841604393e-05
0.5,-8.3237005470684e-07,3.4192713370782e-06,2.5869012823714e-06,0.007811972519984,0,97.573163250133,-2.0497686720885e-07,0.0025652516201493,0.0097004973205264,0.0044519241268299,5.0401452561269e-05
0.75,2.5673445429881e-06,6.6646074706774e-06,9.2319520136655e-06,0.013646230527257,0,106.0527303913,3.5053717382988e-06,0.0051930497040285,0.01514352339413,0.0072133776942451,8.2574034676164e-05
1,-4.4684151031193e-06,5.1618476418101e-06,6.9343253869077e-07,0.018650007199755,0,99.331787946713,-3.8534284630554e-06,0.0078844648549824,0.020132054220456,0.0094996537715787,0.00011010070618079
1.25,-5.7567930245661e-06,7.0196568828769e-06,1.2628638583108e-06,0.023824289594993,0,97.158164078433,-3.2310596637803e-06,0.010540595005074,0.025394273776505,0.012098242515329,0.00013682467889185
1.5,-8.37133516264e-06,1.1787348963457e-05,3.4160138008169e-06,0.029332029623678,0,100.0779346977,1.4058603242566e-06,0.013215334244143,0.030880952323007,0.014892316736006,0.00016537911932108
1.75,-5.3636306933081e-06,4.908678664704e-06,-4.5495202860407e-07,0.034884523546208,0,101.70289371528,3.8700334728257e-07,0.015894343586536,0.03630022114513,0.017640988519029,0.00019577045329274
2,1.5779422780123e-06,-3.1060129060459e-06,-1.5280706280337e-06,0.040239803578217,0,100.164633193,-4.4317101337895e-07,0.018577310108908,0.041568833944981,0.020223145844784,0.00022499606132716
2.25,9.2603149612274e-07,-3.061061989459e-06,-2.1350304933362e-06,0.045511935680392,0,99.037089310979,-3.8537565296842e-06,0.021264989776676,0.046825482469204,0.022798605947807,0.00025325351198706
2.5,-2.9349138983547e-06,6.161577850143e-06,3.2266639517883e-06,0.050862923258987,0,99.683589936254,-7.3360501776696e-07,0.023955137176763,0.052167035707492,0.025456000524589,0.00028047911527561
