time,DJ1,DJ2,DJint,EW,FE,Fy,J,KE,PEW,SE,max_disp_y
0,0,0,0,0,0,0,0,0,0,0,0
0.25,5.439631355939e-07,-3.9420555512265e-21,5.4396313559389e-07,0.0025896589368024,0,64.459697121575,7.9967815756358e-07,0.00045535739989375,0.0039595942056971,0.0012999550954453,2.174532483438e-05
0.5,3.8839511810043e-07,-6.4176861572663e-07,-2.533734976262e-07,0.0089720184887906,0,109.00667058561,1.5595548236264e-07,0.002492252141603,0.009783832549426,0.0044531247443649,5.2022946652266e-05
0.75,1.465325057328e-06,1.0685542652251e-06,2.533879322553e-06,0.014154354802236,0,100.71869637567,1.4430210374981e-06,0.0051540454147523,0.014912168598659,0.006853889237677,8.0241381566938e-05
1,-2.5019451114579e-06,2.1657829301551e-06,-3.3616218130279e-07,0.019379969687642,0,97.612021947665,-1.0219596646556e-06,0.0078170816746955,0.020239253579109,0.0094708529029952,0.0001076435953726
1.25,5.5193498355453e-07,2.8482337147216e-08,5.8041732070175e-07,0.024919898398561,0,101.14180343212,9.372551817425e-07,0.010489085380505,0.025688799702344,0.012218639009459,0.00013761445511396
1.5,1.4384911885926e-06,-2.9803514832924e-07,1.1404560402633e-06,0.030250996455595,0,100.31396962422,7.5386019578462e-07,0.013163732905112,0.030983790411839,0.014808496091015,0.00016609005670187
1.75,-2.9252855752877e-06,4.0726318650684e-06,1.1473462897807e-06,0.035577213823537,0,99.362398968161,-1.564270047241e-06,0.015844093913146,0.036319218827914,0.017441005137616,0.00019483694130186
2,-3.431154435564e-06,5.4682603323857e-06,2.0371058968218e-06,0.040993457561353,0,100.07108714317,5.3952897470586e-07,0.018528602367481,0.041705343736972,0.020124247669796,0.00022334685668796
2.25,-2.3538178026018e-06,2.2713357686409e-06,-8.2482033960938e-08,0.04638293862091,0,100.2382230994,6.6615853543167e-07,0.021217320567278,0.0470594958851,0.022774470107746,0.00025209418910093
2.5,-2.3044435741958e-06,2.0050286500794e-06,-2.994149241164e-07,0.051746914432513,0,99.817794381438,-7.3241936015567e-07,0.023909800827397,0.052408558524191,0.025418788006466,0.00028040030791043
2.75,-2.1744878862198e-06,3.4097200504917e-06,1.2352321642719e-06,0.057138378771318,0,99.923516636493,2.5090810052119e-08,0.026605909165667,0.0577795717284,0.028083546574687,0.00030912805891632
3,-1.1290685176318e-06,1.581800315497e-06,4.5273179786517e-07,0.062536917233519,0,100.07869233362,6.7366220596617e-07,0.029306321643187,0.063150973877208,0.030746494946892,0.00033777744371838
3.25,-3.0693402520765e-07,1.5464628625335e-07,-1.522877389543e-07,0.067927367864945,0,99.961929760082,-8.626051652453e-08,0.032010285657888,0.068519322785435,0.033404805599996,0.00036638942806315
3.5,-9.2884308436505e-07,2.6386612699164e-06,1.7098181855514e-06,0.073324024074699,0,99.951870855195,-1.2367971645487e-07,0.034717819667251,0.073894558815769,0.036067638676619,0.00039517327532306
3.75,-2.0741805801299e-06,4.4672656956145e-06,2.3930851154846e-06,0.078726845305582,0,100.0042863898,7.8965851204739e-07,0.037429066911313,0.079273585461925,0.038732098938381,0.0004237740709479
4,-1.8791510718567e-06,2.5239013735155e-06,6.4475030165881e-07,0.084130275588472,0,99.980660296466,9.2697195666153e-07,0.040143825211969,0.084654049890692,0.041395463570373,0.00045229422214695
4.25,-1.2388809283114e-07,4.5675945351667e-08,-7.8212147479473e-08,0.089537732809764,0,99.984085699162,6.2249480582436e-07,0.042861990317801,0.090038764687575,0.044061056403445,0.00048088842934665
4.5,1.0870649983978e-06,1.4829478070661e-07,1.2353597791044e-06,0.094949287406035,0,99.998614640175,7.9490605024344e-07,0.045583245061078,0.095426672515168,0.046727804821338,0.00050969346659652
4.75,7.1501949138342e-07,2.5152925537069e-06,3.2303120450903e-06,0.10036184039333,0,99.978727817358,1.9394668653307e-06,0.048307020139667,0.10081613639013,0.049394992262681,0.00053814732704029
5,1.592968457256e-06,6.1314146842417e-06,7.7243831414977e-06,0.10577665324573,0,99.976397337565,7.3978276388694e-06,0.051031431420929,0.10620846964629,0.052066457022963,0.00056663953371534
5.25,8.8742605327846e-06,1.4365943181452e-05,2.3240203714236e-05,0.11119556485606,0,99.983099415566,2.6715735941414e-05,0.053754298370463,0.11160463269643,0.054744928406619,0.00059532366072434
5.5,2.7378532025655e-05,3.9912288876934e-05,6.7290820902589e-05,0.11661852675008,0,99.97538673152,7.8012591216594e-05,0.056474175882464,0.11700477491947,0.057431900284505,0.00062397784873628
5.75,5.5993978708598e-05,0.00010627016582798,0.00016226414453658,0.12204551750883,4.0082648338369e-07,99.983909426354,0.00017916114722438,0.059185958576137,0.12240873509361,0.060136937622986,0.00065258061202674
6,8.1452349002643e-05,0.00023892320109496,0.00032037555009761,0.12747544562809,1.5159627836729e-05,99.996752521294,0.00032313303879213,0.061870194348824,0.12781524474495,0.062887647144498,0.00068125291497127
6.25,8.8830689043697e-05,0.00043593937149044,0.00052477006053413,0.1329071245678,0.0001503085742853,99.98843730849,0.00047122091692369,0.064494234163334,0.13322379959479,0.065708596212857,0.00070996475511038
6.5,8.4462218183805e-05,0.00065802412542445,0.00074248634360826,0.13834167841434,0.00047784647305374,99.983247477065,0.00059463314267972,0.067049309231267,0.138635661054,0.068575178867046,0.00073857518930552
6.75,8.7272120105498e-05,0.00085676595365196,0.00094403807375746,0.14378033471593,0.00079589742150574,99.987265922918,0.00070651369510814,0.069576244428276,0.14405144246351,0.071444881269017,0.0007671963213181
7,9.4848384373248e-05,0.00099842940009671,0.00109327778447,0.14922241577017,0.0010042978184009,99.982474931771,0.00082340806763144,0.072100129351041,0.14947041831246,0.074340761803801,0.00079581188831281
7.25,9.3634850683499e-05,0.0010772158495417,0.0011708507002252,0.15466716910414,0.001190858748787,99.978567947914,0.00093529380046848,0.074572329774618,0.15489219673039,0.077324875542708,0.00082438965686834
