time,DJ1,DJ2,DJint,EW,FE,Fy,J,KE,PEW,SE,max_disp_y
0,0,0,0,0,0,0,0,0,0,0,0
0.25,-1.5227320224075e-07,3.9194936451236e-21,-1.5227320224075e-07,0.0025707883404925,0,63.883327052486,-2.6574934353975e-07,0.00045566676872161,0.0039562182341447,0.0012977564493639,2.0848983330576e-05
0.5,5.7838637240076e-07,-6.5644014675155e-07,-7.8053774350786e-08,0.0089695252068227,0,109.1342818469,-1.5338285056557e-07,0.0024924221648101,0.0097836031793327,0.0044575148035566,5.2608627268032e-05
0.75,1.6297480313973e-06,-3.1742311876675e-07,1.3123249126305e-06,0.014146758782803,0,100.80943742417,1.0664625704079e-06,0.0051540315149256,0.014903624947865,0.0068530749984888,8.1361791046304e-05
1,-1.4053181857989e-07,1.0390653184438e-06,8.9853349986394e-07,0.01936988255745,0,97.472919183859,6.8505251431286e-07,0.0078167930885998,0.020232124358682,0.0094718653741085,0.00010790034798009
1.25,4.5181950115894e-07,-3.8876732420474e-08,4.1294276873846e-07,0.024917220650923,0,101.2487555545,3.12877369723e-07,0.010489119394368,0.025680187834879,0.01222094824313,0.00013779502090192
1.5,8.1282439268489e-07,9.0676615212086e-07,1.7195905448057e-06,0.030236716674524,0,100.29468474533,5.831726786055e-07,0.013163972095809,0.030965501762071,0.01480293857603,0.00016623732195497
1.75,-3.2773508066844e-06,5.4116750903786e-06,2.1343242836943e-06,0.035563727307034,0,99.289627834389,-9.3878608829457e-07,0.015844216168054,0.036303328237586,0.017439353770866,0.00019392593192725
2,-5.0092162696206e-06,6.1726034478973e-06,1.1633871782767e-06,0.04098743253047,0,100.09282747062,-1.7088124281209e-07,0.018528587632593,0.041690795874309,0.020127102692322,0.00022328386175329
2.25,-2.1577959308381e-06,1.1274048751633e-06,-1.0303910556748e-06,0.046372798513346,0,100.25153637773,5.73979565613e-07,0.021217080932298,0.047039171577142,0.022773596140886,0.00025209503249986
2.5,-4.7733202372571e-07,-4.3852312949522e-07,-9.1585515322093e-07,0.05173572064788,0,99.800578627528,-8.0600892923323e-07,0.023909745478758,0.052387198624616,0.02541883251267,0.00028040092126553
2.75,-3.7859470479755e-07,3.1118394315993e-06,2.7332447268017e-06,0.057131004775049,0,99.925297315127,1.8527141244768e-07,0.026606038371533,0.057758202946945,0.028085827913738,0.00030920296924565
3,-1.235965514633e-06,3.5336865684233e-06,2.2977210537903e-06,0.0625271843341,0,100.08155205925,1.0589252813773e-06,0.029306310412747,0.063124967840675,0.030746485469465,0.00033815590420316
3.25,-6.9360930659836e-07,7.1235427730687e-07,1.8744970708513e-08,0.067915769112108,0,99.94764560864,5.3616833379464e-07,0.032010340564698,0.068491136133595,0.033404394738584,0.0003663952404698
3.5,5.1093634429513e-07,8.6256934269418e-07,1.3735056869893e-06,0.073315965884461,0,99.957990602092,5.0796024252321e-07,0.034717839904557,0.073866351276662,0.03606965306603,0.00039517189554633
3.75,-1.5222552496801e-07,3.1012461893979e-06,2.9490206644299e-06,0.078718092967991,0,100.01373927858,9.0400132982932e-07,0.037428892162691,0.079241208929362,0.038732214027052,0.00042366351245608
4,-1.5296957009588e-06,3.5547104753233e-06,2.0250147743645e-06,0.084117828813716,0,99.966296788399,7.8944271461143e-07,0.040143809117886,0.084617469584302,0.041393298992749,0.00045211258245895
4.25,-1.3336752450913e-06,2.6086502549363e-06,1.274975009845e-06,0.089525988421268,0,99.978721730643,7.9352144770432e-07,0.04286206701164,0.090001273853217,0.044060167489799,0.00048090115712002
4.5,-3.4317914773905e-07,2.0113408819915e-06,1.6681617342525e-06,0.094938817305137,0,100.00599674969,1.1164318621621e-06,0.045583189015094,0.095387476570863,0.046727684473497,0.00050969163763967
4.75,5.5041400009255e-07,2.3317121647339e-06,2.8821261648265e-06,0.10035095507387,0,99.980374391266,2.1621852952369e-06,0.048306886693043,0.10077448288698,0.04939468453926,0.00053826493763406
5,2.8955454837449e-06,5.0188394982942e-06,7.9143849820391e-06,0.10576684481915,0,99.976630788732,7.6365790766906e-06,0.051031395544433,0.10616560673935,0.052066929730439,0.00056666115036073
5.25,1.0111414408866e-05,1.4426899365349e-05,2.4538313774215e-05,0.11118688749094,0,99.983729984246,2.7006583442111e-05,0.053754446614809,0.11156004667794,0.054745601081405,0.00059529836996839
