time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,ce_int,max_disp_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,5.6045348565411e-21,1.3552527156069e-20,1.6663681027197e-52,-7.9479922995277e-21,-2.0230583206419e-60,1.6663680824891e-52,0.0015045057187246,-3.9319763346994e-44,0,0,41.384359038764,-3.3881317890172e-21,0.00047523279385085,1.5361099293013e-44,0.0036175766279398,0.00099038010223618,6.001967110644e-44,0,1.8518287197428e-05
0.5,1.3976043629696e-20,-1.2197274440462e-19,-1.6931439967087e-49,1.3594878803432e-19,-1.2921395194689e-49,-2.9852835161777e-49,0.0078990805065393,-7.6381111124203e-40,0,0,101.08128829368,-2.7105054312138e-20,0.0025465044349046,3.0562880324912e-40,0.0099121215677895,0.0046906875594863,1.1905954294325e-39,0,5.1633090965584e-05
0.75,-1.5246593050577e-19,-1.0842021724855e-19,-8.997695348731e-47,-4.4045713257224e-20,2.7090306729325e-47,-6.2886646757985e-47,0.013632646721274,-3.3724698782526e-36,0,0,110.02079740076,-1.3552527156069e-19,0.0051971423221112,1.3851130300099e-36,0.015096135000012,0.0070810126439178,5.379806684507e-36,0,8.0301704020239e-05
1,-5.2516042729767e-20,4.8789097761848e-19,-4.7895943604852e-47,-5.4040702034824e-19,9.7433419271264e-45,9.6954459835216e-45,0.018241356540806,-5.9939172538253e-33,0,0,93.849575601716,1.8973538018496e-19,0.0078557238676296,2.5329303798081e-33,0.019980844028244,0.0093013237875184,9.8097067614662e-33,0,0.00010722294248153
1.25,1.2366681029913e-19,6.505213034913e-19,1.1264688030091e-42,-5.2685449319217e-19,-2.9020963512138e-43,8.3625916788773e-43,0.023890807051155,-5.405132310546e-30,0,0,98.619551311293,1.3552527156069e-19,0.010533174994469,2.3565251910598e-30,0.025680200465381,0.012290645373403,9.1019278233782e-30,0,0.00013737334277275
1.5,-4.8789097761848e-19,1.3552527156069e-18,1.9532979553916e-40,-1.8431436932254e-18,-4.8005495591774e-41,1.4732429994739e-40,0.029583421296591,-2.801580904337e-27,0,0,104.45688285902,-1.3552527156069e-19,0.013200082372639,1.2640102266217e-27,0.031102107639015,0.015000075969383,4.8704533353683e-27,0,0.00016622042057783
1.75,1.1350241493208e-18,2.2768245622196e-18,9.0228374975226e-38,-1.1418004128988e-18,4.7272328618971e-39,9.4955607837123e-38,0.034605959105583,-9.0145705178653e-25,0,0,98.290214489915,4.336808689942e-19,0.015881777052197,4.223525655096e-25,0.036185335478288,0.017395723263894,1.624245581757e-24,0,0.00019380254868239
2,1.4602848010664e-18,3.2526065174565e-19,2.9446133488098e-35,1.1350241493208e-18,1.6521383187835e-36,3.1098271806882e-35,0.039969377911538,-1.8956301158361e-22,0,0,97.997184115577,0,0.018564496167391,9.2590244234051e-23,0.041630126224145,0.020128343617669,3.5562946117327e-22,0,0.00022297231114993
2.25,-8.4025668367627e-19,-1.8431436932254e-18,6.4676639577723e-33,1.0028870095491e-18,4.4528014045657e-34,6.9129440982289e-33,0.045592290947524,-2.7005228293919e-20,0,0,102.131742731,-2.1141942363467e-18,0.021250520023403,1.3812315482901e-20,0.047107579623228,0.022909586253825,5.3038034472651e-20,0,0.00025209480730197
2.5,-1.1109345323009e-16,-9.8553977478932e-17,1.0062983959423e-30,-1.2539475751153e-17,9.1359988484649e-32,1.097658384427e-30,0.050856048398024,-2.67461224538e-18,0,0,100.11524516966,-1.4896937849951e-16,0.023943459548944,1.4396975439163e-18,0.052338132184725,0.02543632753292,5.5347389967295e-18,0,0.00028016234706921
2.75,-5.3293415687439e-15,-4.6604430384289e-15,1.135035257145e-28,-6.6889853031493e-16,1.3528018815698e-29,1.2703154453019e-28,0.056146720604586,-1.8765783756103e-16,0,0,98.442250068168,-7.1761173392471e-15,0.026637825301559,1.0691784419715e-16,0.057684821191352,0.028076635651783,4.123345049334e-16,0,0.00030877974467138
3,-1.800383233881e-13,-1.5358948921712e-13,9.4331987046329e-27,-2.6448834170977e-14,1.4874080125453e-27,1.0920606717178e-26,0.061669894767954,-9.4555882169765e-15,0,0,100.68661768751,-2.4116591969964e-13,0.02933760998583,5.7393823893107e-15,0.063142340049339,0.030831482091194,2.2266523891422e-14,0,0.0003378018629206
3.25,-4.2633458273585e-12,-3.5312993848513e-12,5.8346676905043e-25,-7.3204644250721e-13,1.2324001631843e-25,7.0670678536885e-25,0.067057848367378,-3.4546717778292e-13,0,0,100.62489726675,-5.6746356203417e-12,0.032040806945305,2.2505280804358e-13,0.068469372022943,0.033448978440336,8.8175412803759e-13,0,0.00036626847894214
3.5,-7.071940734025e-11,-5.6530158483968e-11,2.7006962323716e-23,-1.4189248856281e-11,7.7839935013516e-24,3.4790955825068e-23,0.072366455558386,-9.2103756742733e-12,0,0,99.126563236081,-9.3331925575622e-11,0.0347474362362,6.4939697494715e-12,0.073797205996877,0.036068019885016,2.5833781129022e-11,0,0.00039475305810446
3.75,-8.1614921402075e-10,-6.2486121572142e-10,9.3462361930542e-22,-1.9128799829933e-10,3.7830665098558e-22,1.312930270291e-21,0.07781643182224,-1.7980895238755e-10,0,0,99.967644543145,-1.0640732288889e-09,0.037458312894697,1.3853953319614e-10,0.079221110309557,0.038780574639944,5.6376904201005e-10,0,0.00042357108972329
4,-6.4244426536646e-09,-4.6664329937055e-09,2.3931575892078e-20,-1.7580096599591e-09,1.4249561963867e-20,3.8181137855945e-20,0.083253079654555,-2.5723677681696e-09,0,0,100.55296504873,-8.2180707379172e-09,0.04017247542121,2.1898753212941e-09,0.084600261402615,0.041445181809995,9.2102652893391e-09,0,0.00045219624400748
4.25,-3.2457043314459e-08,-2.2063799005379e-08,4.399608242047e-19,-1.0393244309079e-08,4.182395825027e-19,8.582004067074e-19,0.088605639848413,-2.6909375054463e-08,0,0,99.657206355007,-4.0068060510169e-08,0.042891031187421,2.5637650144458e-08,0.089943700992599,0.04407167547103,1.1304790251439e-07,0,0.00048071452042892
4.5,-7.9104726365543e-08,-4.8336404582031e-08,5.3167993401356e-18,-3.0768321783513e-08,9.5975662924027e-18,1.4914365632538e-17,0.09401929539642,-2.0467197579942e-07,0,0,99.728399811323,-8.654241428368e-08,0.045614297318339,2.215652130645e-07,0.09534435836759,0.04675095499295,1.0448970538821e-06,0,0.00050941986375678
4.75,2.1024465675726e-07,1.4390290117546e-07,2.7463984523537e-17,6.6341755581797e-08,1.7243194268977e-16,1.9989592721331e-16,0.09946618966992,-1.1200551682667e-06,0,0,100.31615037877,3.4124216731908e-07,0.048340654659046,1.4034284367772e-06,0.10074640925173,0.049432246374911,7.2803833147597e-06,0,0.00053808436063836
5,3.1396053048611e-06,1.8177345630479e-06,-3.6952405247032e-16,1.3218707418132e-06,2.4228495685966e-15,2.0533255161263e-15,0.10485939462226,-4.3315294810612e-06,0,0,99.951642236654,4.1477824822739e-06,0.051062952572826,6.4338856524685e-06,0.10611465984815,0.052089526932524,3.8226311274305e-05,0,0.00056663892333904
5.25,1.7268865679598e-05,8.8619112696953e-06,-1.0521114822458e-14,8.4069544099024e-06,2.6506573698994e-14,1.5985458876536e-14,0.11026502542322,-1.1474374856221e-05,0,0,99.733725950933,2.131562201432e-05,0.053776200166442,2.0897792598866e-05,0.11150705360887,0.054778044095601,0.00015097303382297,0,0.00059528629308786
5.5,6.3077650946709e-05,2.7558828663087e-05,-1.3091710739576e-13,3.5518822283622e-05,2.2360937416909e-13,9.2692266773328e-14,0.11570887709256,-1.9634615792611e-05,0,0,100.10735181408,7.2815241411376e-05,0.056495509831082,4.6352024108768e-05,0.11691736553946,0.057467176963573,0.00044698411310509,0,0.00062396186853515
