Time,Points:0,Points:1,Points:2,Raw Length,Raw Velocity,Smoothed:0,Smoothed:1,Smoothed Length,Smoothed Velocity
0.0,50.0,0.0,0,0.0,0.0,50.00000000000007,0.0,0.0,0.0
0.25,50.0,0.0,0,0.0,0.0,50.00000000000007,0.0,0.0,0.0
0.5,50.0,0.0,0,0.0,0.0,50.00000000000007,0.0,0.0,0.0
0.75,50.0,0.0,0,0.0,0.0,50.00000000000007,0.0,0.0,0.0
1.0,50.0,0.0,0,0.0,0.0,50.000000000000064,0.0,7.105427357601002e-15,2.842170943040401e-14
1.25,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,1.1596057447604835e-11
1.5,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
1.75,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
2.0,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
2.25,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
2.5,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
2.75,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
3.0,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
3.25,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
3.5,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
3.75,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
4.0,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
4.25,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
4.5,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
4.75,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
5.0,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
5.25,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
5.5,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
5.75,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
6.0,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
6.25,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
6.5,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
6.75,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
7.0,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
7.25,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
7.5,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
7.75,50.0,0.0,0,0.0,0.0,50.00000000000296,0.0,2.9061197892588098e-12,0.0
8.0,50.0,0.0,0,0.0,0.0,50.005244755247716,5.221678321678622e-20,0.005244755247659327,0.02097902097901283
8.25,50.0,0.0,0,0.0,0.0,49.99737762238058,-1.3063891888112673e-19,0.013111888114792691,0.031468531468533456
8.5,50.0,0.0,0,0.0,0.0,49.991841491844454,-5.2206782051284994e-20,0.018648018650921472,0.022144522144515122
8.75,50.0,0.0,0,0.0,0.0,49.9854312354342,1.2118079020979797e-19,0.02505827506117697,0.025641025641021997
9.0,50.0,0.0,0,0.0,0.0,50.02418414918712,5.188646759907072e-19,0.06381118881409975,0.15501165501169112
9.25,50.125,1.2445e-18,0,0.125,0.5,50.13024475524772,5.939144335664685e-19,0.16987179487470172,0.4242424242424079
9.5,50.25,-2.3109e-21,0,0.25,0.5,50.270396270399246,4.114811491841663e-20,0.3100233100262244,0.5606060606060908
9.75,50.5,-5.5865e-19,0,0.5,1.0,50.44493006993306,-8.854388298368827e-19,0.4845571095600363,0.6981351981352475
10.0,50.625,-2.6581e-18,0,0.625,0.5,50.63548951049251,-2.087086606060729e-18,0.6751165501194905,0.7622377622378167
10.25,50.75,-2.8783e-18,0,0.75,0.5,50.794580419583426,-2.826768044289211e-18,0.8342074592104041,0.6363636363636545
10.5,51.0,-2.5268e-18,0,1.0,1.0,50.96066433566736,-2.789277411422076e-18,1.0002913752943385,0.6643356643357379
10.75,51.125,-2.629e-18,0,1.125,0.5,51.11188811189114,-2.3183949794873166e-18,1.1515151515181188,0.604895104895121
11.0,51.25,-1.459e-18,0,1.25,0.5,51.296911421914466,-1.866964522144634e-18,1.3365384615414442,0.7400932400933016
11.25,51.5,-1.6984e-18,0,1.5,1.0,51.470279720282775,-1.7076670163171178e-18,1.5099067599097538,0.6934731934732383
11.5,51.625,-1.2599e-18,0,1.625,0.5,51.64131701632007,-1.2089440559441273e-18,1.6809440559470517,0.6841491841491916
11.75,51.875,-1.6187e-18,0,1.875,1.0,51.837412587415656,-9.86288344988403e-19,1.8770396270426346,0.7843822843823318
12.0,52.0,-1.592e-19,0,2.0,0.5,52.036130536133626,-6.841447552447958e-19,2.075757575760605,0.7948717948718809
12.25,52.25,-4.1631000000000003e-19,0,2.25,1.0,52.24883449883759,-7.522744289044741e-19,2.288461538464567,0.8508158508158488
12.5,52.5,-1.9922e-18,0,2.5,1.0,52.49446386946698,-1.513643822843913e-18,2.534090909093962,0.9825174825175793
