time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,ce_int,max_disp_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,-6.6924410919897e-07,-6.6924410919899e-07,-3.384136471229e-43,1.8746436964466e-20,4.4669193032509e-53,-3.3841364707823e-43,0.0020672381589916,-1.6382759383562e-36,0,0,65.820871588854,-7.9303732477477e-07,0.00046638350833524,6.8014393368009e-37,0.0037551698784717,0.00111577763604,2.2777469609063e-36,0,2.2075032667491e-05
0.5,-7.7833022678352e-07,-9.5988769610095e-07,-1.7330912243286e-39,1.8155746931743e-07,-9.8719757943634e-42,-1.7429632001229e-39,0.0083414818572597,-6.7603237161334e-33,0,0,104.17221141965,-1.3743950654727e-06,0.0025267573582063,2.9734868403933e-33,0.0098529110336996,0.0045821729655318,9.7382280123617e-33,0,5.1767752555424e-05
0.75,-2.8055689455737e-07,-1.1645396961852e-06,-2.1294140474229e-36,8.8398280162784e-07,-2.5768907409034e-38,-2.1551829548319e-36,0.013916377275528,-6.6750009183829e-30,0,0,103.07019619972,-8.7073853977359e-07,0.0051801440375337,3.117375594995e-30,0.015066206597486,0.0070177737206673,9.9770686187197e-30,0,8.030170402024e-05
1,-2.6691156483495e-06,-3.0152227484287e-06,-1.1141679520036e-33,3.4610710007918e-07,-2.1558941631769e-35,-1.1357268936353e-33,0.018749089022414,-2.7991722921865e-27,0,0,97.775154836041,-2.2211908582854e-06,0.0078408250267253,1.3913411294624e-27,0.020082426846012,0.0093535622053678,4.3485920439988e-27,0,0.00010881226697623
1.25,-1.9599820650661e-06,-1.1375401771703e-06,-3.1363514865633e-31,-8.2244188789584e-07,-8.6607324622048e-33,-3.2229588111853e-31,0.024315097077452,-6.29885292869e-25,0,0,99.053819864395,-7.8262765739801e-07,0.010516809404747,3.3406522345273e-25,0.025691759366596,0.012249513468267,1.0190388937614e-24,0,0.00013737334277274
1.5,-1.7962494877178e-06,-5.6978237167348e-07,-5.3933365904511e-29,-1.2264671160443e-06,-2.0021533702078e-30,-5.5935519274719e-29,0.029929312857578,-8.6375241789406e-23,0,0,102.23469460674,-6.8498484320044e-07,0.013186182263998,4.901069761538e-23,0.031101914927271,0.014944884321988,1.4586071150402e-22,0,0.00016622042057783
1.75,-2.5135939300815e-06,-1.5690393290664e-06,-6.133049597098e-27,-9.4455460101509e-07,-2.9554514992781e-28,-6.4285947470258e-27,0.035042082625936,-7.8158609527124e-21,0,0,99.154997616589,-1.4751355874156e-06,0.015867663122072,4.7580000009981e-21,0.036259153460945,0.017405880152232,1.3816775963124e-20,0,0.00019463944641755
2,-2.6263547621261e-06,-1.5626332703879e-06,-4.8653610768566e-25,-1.0637214917383e-06,-2.9803960237959e-26,-5.1634006792362e-25,0.040410011767473,-4.9262363334933e-19,0,0,99.027877945419,-1.1839128456837e-06,0.018550986676737,3.2265073753839e-19,0.041686445897705,0.020118598927692,9.1510969876803e-19,0,0.00022326935732239
2.25,-2.3758913131143e-06,-7.6435590755949e-07,-2.7961427978324e-23,-1.6115354055548e-06,-2.1525944091495e-24,-3.0114022387474e-23,0.045970923326554,-2.2483449597244e-17,0,0,101.03349427907,-5.315430777955e-07,0.021237809012825,1.5885872373502e-17,0.047138262240867,0.022867420622369,4.4114858965341e-17,0,0.00025209480730197
