time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,ce_int,max_disp_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,-6.6924410919896e-07,-6.6924410919899e-07,-3.3840615943599e-43,2.2986193322856e-20,1.7963601119131e-53,-3.3840615941803e-43,0.0020672381589916,-1.6382680143896e-36,0,0,65.820871588854,-7.9303732477476e-07,0.00046638350833524,6.8013033722266e-37,0.0037551698784717,0.00111577763604,2.2777932370603e-36,0,2.2075032667491e-05
0.5,-7.7833022678347e-07,-9.5988769610094e-07,-1.7330118942478e-39,1.8155746931747e-07,-9.8725009793685e-42,-1.7428843952271e-39,0.0083414818572596,-6.7602549161552e-33,0,0,104.17221141965,-1.3743950654728e-06,0.0025267573582063,2.9733647876295e-33,0.0098529110336996,0.0045821729655318,9.7386389239351e-33,0,5.1767752555423e-05
0.75,-2.8055689455755e-07,-1.1645396961853e-06,-2.1292181133643e-36,8.8398280162772e-07,-2.5771402106714e-38,-2.154989515471e-36,0.013916377275528,-6.6748630557845e-30,0,0,103.07019619971,-8.7073853977362e-07,0.0051801440375337,3.1171206923043e-30,0.015066206597486,0.0070177737206673,9.9779205273428e-30,0,8.0301704020239e-05
1,-2.6691156483494e-06,-3.0152227484286e-06,-1.1139681377965e-33,3.4610710007927e-07,-2.1562581830933e-35,-1.1355307196274e-33,0.018749089022413,-2.7990600053646e-27,0,0,97.775154836041,-2.2211908582854e-06,0.0078408250267252,1.3911218657204e-27,0.020082426846012,0.0093535622053677,4.349324105221e-27,0,0.00010881226697623
1.25,-1.959982065066e-06,-1.1375401771706e-06,-3.1352901275712e-31,-8.2244188789542e-07,-8.6631660220581e-33,-3.2219217877918e-31,0.024315097077452,-6.2983888424521e-25,0,0,99.053819864395,-7.82627657398e-07,0.010516809404747,3.3396741014131e-25,0.025691759366596,0.012249513468267,1.0193685387914e-24,0,0.00013737334277274
1.5,-1.7962494877178e-06,-5.6978237167392e-07,-5.3900077779954e-29,-1.2264671160439e-06,-2.003041113426e-30,-5.590311889338e-29,0.029929312857578,-8.6364401008114e-23,0,0,102.23469460674,-6.8498484320054e-07,0.013186182263998,4.8985114458448e-23,0.031101914927271,0.014944884321988,1.4594914496334e-22,0,0.00016622042057783
1.75,-2.5135939300815e-06,-1.5690393290668e-06,-6.126387819852e-27,-9.4455460101472e-07,-2.9573945695752e-28,-6.4221272768096e-27,0.035042082625935,-7.8143648292692e-21,0,0,99.154997616588,-1.4751355874159e-06,0.015867663122072,4.7537769454995e-21,0.036259153460944,0.017405880152231,1.383210142972e-20,0,0.00019463944641755
2,-2.6263547621415e-06,-1.5626332704016e-06,-4.8564025081931e-25,-1.0637214917399e-06,-2.9830881397356e-26,-5.1547113221667e-25,0.040410011767473,-4.9250472918951e-19,0,0,99.027877945419,-1.183912845704e-06,0.018550986676737,3.2218993785844e-19,0.041686445897704,0.020118598927691,9.169226563723e-19,0,0.00022326935732239
2.25,-2.375891314129e-06,-7.6435590846063e-07,-2.7877506760953e-23,-1.6115354056683e-06,-2.1550100511465e-24,-3.00325168121e-23,0.045970923326553,-2.2479245487061e-17,0,0,101.03349427907,-5.3154307916314e-07,0.021237809012852,1.5851681835631e-17,0.047138262240867,0.02286742062229,4.4267030033899e-17,0,0.00025209480730196
2.5,-3.1483732275489e-06,-1.308940639606e-06,-1.1904582153773e-21,-1.8394325879429e-06,-1.1540894480721e-22,-1.3058671601845e-21,0.051266159921647,-7.6505456591333e-16,0,0,100.0461971465,-1.3017323531858e-06,0.02393077192017,5.8259818383538e-16,0.052408035614164,0.025428196133551,1.6059770652636e-15,0,0.00028051802251796
2.75,-3.1833695075915e-06,-1.5926966762366e-06,-3.8541736628598e-20,-1.5906728313549e-06,-4.7018938151829e-21,-4.3243630443781e-20,0.056582403580687,-1.9864793002627e-14,0,0,99.251162340361,-1.4885946109013e-06,0.026625782045783,1.6348559951359e-14,0.057764636663078,0.028073464934599,4.4924311935179e-14,0,0.00030914321328907
3,-2.6917888467776e-06,-1.2292065047033e-06,-9.5783082325107e-19,-1.4625823420743e-06,-1.4860313373588e-19,-1.1064339569869e-18,0.062071647523754,-4.0101205187677e-13,0,0,100.32502902516,-9.0225306400942e-07,0.029325778878096,3.5634971195926e-13,0.063204263893202,0.030804017950619,9.9079054621661e-13,0,0.00033780186292059
3.25,-3.1982437947231e-06,-1.5125754551309e-06,-1.8386687186259e-17,-1.6856683395923e-06,-3.6964937457383e-18,-2.2083180931997e-17,0.067461647310935,-6.3979222423795e-12,0,0,100.30170369913,-1.2151285897846e-06,0.032029265525738,6.1192080350681e-12,0.068547985296129,0.033433014801512,1.7573142771149e-11,0,0.00036639281563807
3.5,-3.5368177632585e-06,-1.7290334129169e-06,-2.7249569056988e-16,-1.8077843503416e-06,-7.310969588471e-17,-3.4560538645459e-16,0.0727934292547,-8.1847730560584e-11,0,0,99.573989805598,-1.5915609553317e-06,0.034736304723546,8.379051212363e-11,0.07389303934666,0.036063184194343,2.5493755256297e-10,0,0.00039501733310597
3.75,-2.9804650334328e-06,-1.3317752573076e-06,-3.0878002095102e-15,-1.6486897761252e-06,-1.1569622108088e-15,-4.244762420319e-15,0.078230983363265,-8.492843498459e-10,0,0,99.982952031833,-1.1853544530741e-06,0.037447748734328,9.2447388177344e-10,0.079310194005411,0.038762402905071,3.0620182776658e-09,0,0.00042364227416389
4,-3.0125732363248e-06,-1.4346137595025e-06,-2.6064858632844e-14,-1.5779594768224e-06,-1.4688738975076e-14,-4.0753597607921e-14,0.083659404743873,-7.1904653786002e-09,0,0,100.2640291692,-1.2096258166591e-06,0.040163290988542,8.2840343697218e-09,0.084694960010556,0.041425398993198,3.0603408213449e-08,0,0.00045226689670719
