time,DJ1,DJ2,DJint,EW,FE,Fy,J,KE,PEW,SE,max_disp_y
0,0,0,0,0,0,0,0,0,0,0,0
0.25,3.5542590572878e-06,4.0611245301794e-21,3.5542590572878e-06,0.0018449164486855,0,48.387009530573,3.8818548564839e-06,0.00046402994012015,0.0036161918947151,0.0010309795096984,2.2454571743626e-05
0.5,1.1804938725758e-06,8.9499332591286e-07,2.0754871984887e-06,0.007817775663146,0,98.14821270621,9.5671384826307e-07,0.0025651406866776,0.0097019489113838,0.0044540898105127,5.0710519672303e-05
0.75,2.9625247167706e-06,1.1751526291778e-06,4.1376773459484e-06,0.013651138942113,0,106.02594549138,5.7161748038679e-07,0.0051932256452166,0.01513906818251,0.0072122842715565,8.2992062191659e-05
1,2.1593149921263e-06,2.222266847378e-06,4.3815818395043e-06,0.018653848023125,0,99.11135812546,-9.8544502223247e-07,0.0078825666760194,0.020129035754439,0.0095014210030674,0.00011030794982899
1.25,-4.4018326147985e-06,8.1389484081727e-06,3.7371157933742e-06,0.023836809009313,0,97.346601715916,-2.8361659641021e-06,0.010539960344937,0.025398226222883,0.012103695153598,0.00013640238504961
1.5,-9.5801130672808e-06,1.2867458177649e-05,3.2873451103684e-06,0.029337102349546,0,100.18537293241,-2.2481093720975e-06,0.013215577261706,0.030875935796735,0.014887408313764,0.00016443641245903
1.75,-5.9147928629952e-06,6.9002237911407e-06,9.8543092814552e-07,0.034873766373302,0,101.51833017328,3.1506874663479e-07,0.015894949193377,0.036286270797546,0.017628981841547,0.00019559245026042
2,-9.5782415728416e-07,-1.9850062711214e-07,-1.1563247843963e-06,0.040234675574609,0,100.12367052425,5.1713854700224e-07,0.018576604648698,0.041561260318791,0.020218752181251,0.00022442333936529
2.25,-2.6837021474767e-06,4.1717701708455e-07,-2.2665251303922e-06,0.045516295333006,0,99.09872582512,-3.0049791132279e-06,0.021264299040494,0.046824642879643,0.022800014386681,0.00025224824433978
2.5,-6.9145009772549e-06,4.7784537707733e-06,-2.1360472064816e-06,0.050866805204883,0,99.642717062498,-5.7248691928753e-06,0.023955016227707,0.052166115753324,0.025456327779466,0.0002811958372311
2.75,-7.8290568211683e-06,7.5032385909108e-06,-3.2581823025745e-07,0.056301036729422,0,100.36945024642,-3.5883807999778e-06,0.026650143622993,0.057551553510628,0.028159049949281,0.00031009035914128
3,-1.1289238700615e-05,8.9816686429281e-06,-2.3075700576871e-06,0.061726984550778,0,100.26877018606,-3.6916771886316e-06,0.029349787132483,0.062908785059864,0.030829158861638,0.00033885578409421
3.25,-1.4139164305526e-05,9.6770221271513e-06,-4.4621421783744e-06,0.067099594506997,0,99.77110597392,-4.3879276706821e-06,0.032052458541844,0.068232496697964,0.033464036810633,0.00036666727065347
3.5,-1.3193948284964e-05,6.4706993631589e-06,-6.7232489218048e-06,0.072468813307882,0,99.723730585915,-3.9451804058474e-06,0.03475880164025,0.073570966985388,0.036110949986609,0.0003952117484965
3.75,-7.6962241924639e-06,-1.044412790623e-06,-8.7406369830869e-06,0.077877298987824,0,100.10647142502,-3.2729968018883e-06,0.037468724159725,0.078937698947269,0.038786650491082,0.00042411198478579
4,-2.2460435419813e-06,-6.1156063692704e-06,-8.3616499112518e-06,0.0832957222001,0,100.18154981909,-3.4665154917955e-06,0.040182091372186,0.084302857092364,0.041457040960237,0.00045268653587573
4.25,-1.9510947150252e-06,-3.1243624373091e-06,-5.0754571523344e-06,0.088695825699935,0,99.874727161775,-3.6544242927421e-06,0.042899409358385,0.089656612496357,0.044113176423104,0.00048088665932928
