time,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,DJint,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,1.185846126156e-20,1.0508189239653e-47,7.3809378695875e-22,-1.7805020473684e-57,1.0508189237873e-47,1.2596555048519e-20,0.0015045057187246,-7.2274722197013e-40,0,0,41.384359038764,-1.6940658945086e-21,0.00047523279385085,1.9251547815453e-41,0.0036175766279398,0.00099038010223618,4.0150937652693e-41,1.8518287197428e-05
0.5,-1.4907779871676e-19,-3.6463176270273e-45,1.4865428224313e-19,1.6619715820709e-45,-1.9843460449564e-45,-4.2351647362715e-22,0.0078990805065394,-1.2304346236886e-35,0,0,101.08128829368,-6.098637220231e-20,0.0025465044349046,3.5008347221862e-37,0.0099121215677895,0.0046906875594864,7.2925309585492e-37,5.1633090965595e-05
0.75,-1.6263032587283e-19,-1.8351784093094e-43,-1.185846126156e-20,-4.2075136231118e-43,-6.0426920324212e-43,-1.7448878713439e-19,0.013632646721275,-4.7167931571599e-32,0,0,110.02079740076,-9.4867690092482e-20,0.0051971423221115,1.4390888208071e-33,0.015096135000012,0.0070810126439183,2.9934704062837e-33,8.0301704020368e-05
1,4.8789097761848e-19,5.9270020496315e-41,-4.4553933025576e-19,5.712060626869e-42,6.4982081123184e-41,4.2351647362715e-20,0.018241356540809,-7.203081824898e-29,0,0,93.849575601733,2.168404344971e-19,0.0078557238676308,2.3668214881459e-30,0.019980844028245,0.00930132378752,4.9149170087795e-30,0.00010722294248196
1.25,5.6920614055489e-19,-1.2696436710046e-39,-4.336808689942e-19,2.3681505602887e-39,1.0985068892841e-39,1.3552527156069e-19,0.023890807051161,-5.5169751512523e-26,0,0,98.619551311321,1.4907779871676e-19,0.010533174994471,1.9617615040443e-27,0.025680200465384,0.012290645373407,4.0655174307918e-27,0.00013737334277346
1.5,1.4094628242312e-18,-9.4406890050415e-38,-1.7516641349219e-18,-8.9952449233756e-38,-1.8435933928417e-37,-3.4220131069074e-19,0.029583421296601,-2.3976955390264e-23,0,0,104.45688285905,-1.3552527156069e-19,0.013200082372644,9.2763118039388e-25,0.03110210763902,0.015000075969388,1.9177203258134e-24,0.00016622042057869
1.75,2.168404344971e-18,9.6625635637592e-36,-9.7239382344794e-19,-1.488053838076e-36,8.1745097256832e-36,1.1960105215231e-18,0.034605959105598,-6.3767691118075e-21,0,0,98.290214489956,4.6078592330634e-19,0.015881777052204,2.7004911665372e-22,0.036185335478295,0.017395723263901,5.5663538809696e-22,0.00019380254868342
2,5.9631119486703e-19,2.1064858766735e-33,7.5555338895084e-19,1.1753386419233e-34,2.2240197408659e-33,1.3518645838179e-18,0.039969377911559,-1.0907497996141e-18,0,0,97.997184115629,8.1315162936413e-20,0.018564496167401,5.0908159796383e-20,0.041630126224155,0.02012834361768,1.045576463534e-19,0.00022297231115124
2.25,-1.6263032587283e-19,3.6130445756705e-31,8.8091426514447e-19,1.2189443899409e-32,3.7349390146645e-31,7.1828393927165e-19,0.045592290947551,-1.2416175426793e-16,0,0,102.13174273106,1.6263032587283e-19,0.021250520023416,6.4361022312081e-18,0.047107579623241,0.022909586253839,1.3160823163338e-17,0.00025209480730349
2.5,2.168404344971e-19,3.9122570518305e-29,-8.9446679230054e-19,3.1329838044307e-30,4.2255554322735e-29,-6.7762635780344e-19,0.05085604839806,-9.6325544367318e-15,0,0,100.11524516973,-2.7105054312138e-20,0.023943459548959,5.5945700310264e-16,0.052338132184742,0.025436327532947,1.1378368542249e-15,0.00028016234707091
2.75,8.1315162936413e-18,2.6726607468888e-27,1.5653168865259e-18,5.1369461537824e-28,3.186355362267e-27,9.6968331801672e-18,0.056146720604631,-5.1784830419494e-13,0,0,98.442250068245,1.1600963245595e-17,0.026637825301429,3.4039894109147e-14,0.057684821191373,0.028076635652216,6.8770669627775e-14,0.00030877974467329
3,4.9266146717741e-16,1.1031430898611e-25,6.3276749291685e-17,5.7344974308083e-26,1.6765928329419e-25,5.559382164691e-16,0.061669894768009,-1.9510639554517e-11,0,0,100.68661768759,7.4999685281685e-16,0.029337609980771,1.4684235255877e-12,0.063142340049365,0.030831482104431,2.9422431629455e-12,0.00033780186292273
3.25,2.3033333053368e-14,1.9500136706084e-24,3.4257468281389e-15,4.6634483187991e-24,6.6134619894075e-24,2.6459079881507e-14,0.067057848367443,-5.1887704366445e-10,0,0,100.62489726684,3.5617288198647e-14,0.032040806826006,4.5318618474541e-11,0.068469372022975,0.033448978735272,8.988045338358e-11,0.00036626847894446
3.5,7.9646109586023e-13,-6.2762328977461e-23,1.3853654822708e-13,2.7959370249647e-22,2.1683137351901e-22,9.3499764408731e-13,0.072366455558463,-9.7784377891953e-09,0,0,99.126563236186,1.2544579090779e-12,0.034747434280821,1.0067909365556e-09,0.073797205996914,0.036068024439234,1.9718300858581e-09,0.00039475305810699
3.75,2.0450735072411e-11,-5.9954050797843e-21,4.1938206786453e-12,1.2604162297072e-20,6.6087572172872e-21,2.4644555751056e-11,0.07781643182233,-1.3073248417064e-07,0,0,99.96764454326,3.2926637382347e-11,0.037458290684587,1.6164549245841e-08,0.0792211103096,0.038780622770233,3.1180664386667e-08,0.00042357108972603
4,3.9057417532389e-10,-2.4219186591063e-19,9.5372449785455e-11,4.314664151039e-19,1.8927454919327e-19,4.8594662510935e-10,0.083253079654659,-1.2383803676695e-06,0,0,100.55296504885,6.4573121367128e-10,0.04017230332748,1.8799318126452e-07,0.084600261402665,0.041445522520314,3.5623090380763e-07,0.00045219624401041
