time,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.0015044795920719,-7.2268133378998e-40,0,0,41.38406196705,-4.5445981550355e-21,0.00047522149873308,1.9249792776635e-41,0.0036175397542554,0.00099036538151209,4.0147277351737e-41,1.8518122966023e-05
0.5,0.0078988739651167,-1.2303194328898e-35,0,0,101.08037162481,2.5700339131877e-19,0.0025463895245815,3.5005072634115e-37,0.0099119640865532,0.0046905754780346,7.291848824027e-37,5.1632407149431e-05
0.75,0.013632291588633,-4.7163383683006e-32,0,0,110.02021462147,7.2025257029553e-20,0.0051968638682456,1.43895033214e-33,0.015095870485855,0.007080823471434,2.9931823228083e-33,8.0300601247107e-05
1,0.018240965476879,-7.2023641336899e-29,0,0,93.849932634484,-2.6272986598098e-19,0.0078553074807206,2.3665864289935e-30,0.019980522681972,0.0093011041131864,4.9144288520059e-30,0.00010722169416023
1.25,0.023890335278156,-5.5164049207928e-26,0,0,98.61974999234,1.8375916140187e-19,0.010532617704707,1.9615597229243e-27,0.025679786039723,0.012290361739192,4.0650992124518e-27,0.00013737179097653
1.5,0.029582819845464,-2.3974373068986e-23,0,0,104.45657555033,2.7105054312138e-20,0.013199371962865,9.2753196062936e-25,0.031101585538855,0.01499971292151,1.9175151660665e-24,0.0001662184609015
1.75,0.034605288693154,-6.3760497715135e-21,0,0,98.29022659654,-2.0703341621646e-19,0.01588092657573,2.7001893875206e-22,0.036184742899259,0.017395317779753,5.565731657947e-22,0.00019380031112559
2,0.039968642211221,-1.090620140437e-18,0,0,97.99739641925,-1.9992547945913e-20,0.018563509931077,5.0902183805552e-20,0.041629455466679,0.020127888895191,1.0454536709345e-19,0.00022296976794056
2.25,0.045591447045125,-1.2414609070137e-16,0,0,102.13163177086,-2.279667323151e-19,0.021249390395018,6.4353035910354e-18,0.047106809273397,0.022909059960043,1.3159188987726e-17,0.00025209190179032
2.5,0.050855118607622,-9.6312539784749e-15,0,0,100.1151537552,1.3044032482105e-19,0.02394219127457,5.5938308057879e-16,0.052337281174132,0.025435749214964,1.1376863626053e-15,0.0002801591603242
2.75,0.056145725496582,-5.1777274426817e-13,0,0,98.442385879936,1.1380932403848e-17,0.026636424145261,3.4035063694987e-14,0.057683896721418,0.028076012335444,6.8760896918269e-14,0.00030877627770062
3,0.06166880929955,-1.9507526976735e-11,0,0,100.68662342068,7.5007858297362e-16,0.02933607273842,1.468197504413e-12,0.063141325864916,0.030830797382297,2.9417893620401e-12,0.00033779805605367
3.25,0.067056672390013,-5.1878533869003e-10,0,0,100.62480365454,3.5612822566656e-14,0.032039134538094,4.5310965270106e-11,0.068468273199526,0.033448237910965,8.9865230654337e-11,0.00036626437023984
3.5,0.072365209023122,-9.7764969424656e-09,0,0,99.1266177065,1.2542537772581e-12,0.034745631670148,1.0066020276966e-09,0.07379603336239,0.036067238179986,1.9714586390228e-09,0.00039474867093026
3.75,0.077815105849084,-1.3070303131524e-07,0,0,99.967695122018,3.2920816683069e-11,0.037456357631757,1.6161137430587e-08,0.079219855790925,0.038779783069977,3.1174051009566e-08,0.00042356637842465
4,0.083251665854094,-1.2380633590731e-06,0,0,100.55290833015,6.4560671173294e-10,0.040170239774179,1.8794816078978e-07,0.084598922921957,0.041444627281193,3.5614518922448e-07,0.00045219121516002
4.25,0.08860415081852,-8.2795234167631e-06,0,0,99.65720928085,9.4667064191927e-09,0.042887958915824,1.5847522594989e-06,0.089942287175357,0.044072280766967,2.9454563871486e-06,0.00048070920822462
4.5,0.09401773205007,-3.8858046244036e-05,0,0,99.728450721416,1.0369334801874e-07,0.04560919686784,9.6849835913484e-06,0.095342867583752,0.046754028462004,1.7689988181056e-05,0.00050941424937309
4.75,0.099464543771851,-0.00012688024523327,0,0,100.31613170213,8.4633260834525e-07,0.04833385768116,4.2816984287958e-05,0.10074483752285,0.049435174225126,7.7684066882991e-05,0.00053807842898763
5,0.10485767144774,-0.00028480748973354,0,0,99.951625066696,5.1274155361805e-06,0.051061564405661,0.00013629916534744,0.10611301205366,0.052080907457103,0.0002531916247773,0.0005666326930728
5.25,0.11026322968254,-0.00043239209929575,0,0,99.733759608178,2.2949289650241e-05,0.053789628213503,0.00030926160786144,0.11150533154343,0.054753375573913,0.00063004543645797,0.00059527976512491
5.5,0.11570700387464,-0.00043299198646424,0,0,100.10735727964,7.556879033975e-05,0.056511279612128,0.00048936787829484,0.1169155661111,0.057456468508189,0.0012483776053702,0.00062395503190862
5.75,0.12112856072316,-0.00026935276867095,2.7949622207905e-07,0,100.06083917068,0.00018317288307859,0.059213094362082,0.00051492227796405,0.12230620563452,0.060168818974439,0.0020520822230601,0.0006525459787902
6,0.12654204721226,-7.6954242865243e-05,1.1753882433339e-05,0,99.821363824782,0.00033210382492782,0.061877773768047,0.00032283830690035,0.12770174059677,0.062931432095197,0.0028559362771209,0.00068115798001009
6.25,0.13198265715018,3.2843946655209e-05,9.5921764557982e-05,0,99.982918584636,0.00047457260933742,0.0644949882045,9.0070281501047e-05,0.13311559862957,0.065756400343971,0.0034123018617051,0.00070981893134292
6.5,0.13742151047521,6.8164437492852e-05,0.00023394149542843,0,100.06619478188,0.00059165650192189,0.067067425096266,1.039914444768e-05,0.13852320300463,0.06861158794744,0.003667708448721,0.00073844205042016
6.75,0.14284907861812,7.9679467092684e-05,0.00032400537117605,0,99.906447933608,0.00070839490319275,0.069600379641083,2.8220477509218e-05,0.14392820821059,0.071506090564709,0.0037545848696581,0.00076704940383097
7,0.14829103718273,7.7748190557981e-05,0.00042534015509073,0,99.933013618397,0.00082692851996428,0.072094437887637,2.0656606433141e-05,0.14934614563822,0.074452766641886,0.0036686641789958,0.00079568795740492
7.25,0.15374038726356,7.831014809156e-05,0.00064412952029121,0,100.0326815128,0.00093339146754883,0.074549326379128,6.504887748867e-06,0.15476605898676,0.077430951306019,0.003426047891388,0.00082432099477547
7.5,0.15918255160343,9.1976100616574e-05,0.0010335111443217,0,99.959985387311,0.0010382623310543,0.076966856053251,5.9611217887739e-06,0.1601827526793,0.08042619957645,0.0032503511316079,0.00085293728582051
7.75,0.16463038898448,9.3082799548633e-05,0.0015091675344848,0,99.927774685589,0.0011468303169007,0.079346471853659,2.3698750935841e-06,0.16560685836879,0.083458330588238,0.0032537892871922,0.00088156614284607
8,0.17008741646552,9.2410504350378e-05,0.001999515778925,0,99.997092703821,0.0012562224950873,0.081687234126098,1.8787453280355e-06,0.17103637735181,0.086532079759148,0.0033574262571039,0.0009101982651645
8.25,0.17554252294129,9.6426130639981e-05,0.0025262047251353,0,99.982613218974,0.0013669689875492,0.083990319479689,1.1482883433985e-06,0.17646477847813,0.089640015202912,0.0034335675107938,0.00093882101495771
8.5,0.18099918775237,9.5821166521902e-05,0.0031373364441146,0,99.940352633244,0.0014782326107976,0.086255790767422,3.351261233852e-07,0.18189703450066,0.092779632888866,0.0034147065146973,0.00096745433689051
8.75,0.18646355011676,9.6335478360268e-05,0.0038249144584363,0,99.973272021395,0.0015904775903057,0.088483956716842,5.4049214096105e-07,0.18733518523547,0.095950781478621,0.0033575717235134,0.00099611068898675
9,0.19192981593377,9.6656501813093e-05,0.0045934333101511,0,99.98620227424,0.0017031717706391,0.090675689812277,1.7933227900861e-07,0.19277457317141,0.099147460185551,0.0033334229942821,0.0010248114277091
9.25,0.1973965077011,9.6235459430641e-05,0.0054646025286282,0,99.957841057429,0.0018158349159309,0.092830538285424,4.1918213318108e-07,0.19821616257881,0.10237146690036,0.0033425982496315,0.0010536536497973
9.5,0.20286730941157,9.5735236919581e-05,0.0064192819475654,0,99.971011041005,0.0019276767195618,0.0949507795174,7.9109652435941e-07,0.2036624252453,0.10562227215081,0.003343915459456,0.0010828575267709
9.75,0.20833515711497,9.4781410319183e-05,0.0074411203761572,0,100.00110514201,0.0020373668047819,0.097044628047265,1.630784591499e-06,0.20911034781302,0.10888139375157,0.0033184341865924,0.0011128727714045
10,0.21377763560467,9.3919541520449e-05,0.0084935214202015,0,100.00827205714,0.002143398692478,0.099143196404806,2.8076776577109e-06,0.21455762485277,0.11209798013917,0.0032824623526642,0.0011445858173568
10.25,0.21913860103522,9.3106180041907e-05,0.0096054884895472,0,100.03940592488,0.0022447741545983,0.10134444515345,4.3138359372457e-06,0.22000364875558,0.11511687633397,0.0032535736384304,0.0011795332018554
10.5,0.22428440367193,9.2298872308124e-05,0.010798535632364,0,100.1052455221,0.0023420639757789,0.10388723655207,5.9895372974798e-06,0.22544373163941,0.11759746972175,0.0032296585168695,0.0012200171655766
10.75,0.22899799269558,9.1470633493142e-05,0.012046605946754,0,100.17098040811,0.0024387791444544,0.10720609431008,7.6282853535766e-06,0.23087082881861,0.1190100201961,0.0032016948793442,0.0012689726462215
11,0.23310439452204,9.0575932389191e-05,0.013352360586253,0,100.2468976416,0.0025422504367217,0.11180204080371,9.2328883326779e-06,0.23627843392545,0.11890932941783,0.0031702977607578,0.0013293588659153
11.25,0.2367455177837,8.9409954106087e-05,0.014710418157391,0,100.34183177741,0.0026616498535078,0.11781812998837,1.1224132638378e-05,0.24165811396423,0.11748452306493,0.0031418577117152,0.001403021346829
11.5,0.240563890739,8.7717052689314e-05,0.016125489954038,0,100.41878929457,0.0028022818379754,0.12462262057504,1.4196364931e-05,0.24700024508682,0.11575785239748,0.0031172060113331,0.0014893917483346
11.75,0.24536795022261,8.5431365855726e-05,0.017596087492849,0,100.45364512079,0.0029585691398722,0.13112531760441,1.8508196843523e-05,0.25229835338777,0.11474592429228,0.0030929873507228,0.0015847883888786
12,0.25136074579952,8.2593101498987e-05,0.019111243478498,0,100.44661256622,0.0031107773984408,0.13688100792733,2.4109136548697e-05,0.25755026407395,0.11426618434294,0.0030696503450276,0.0016831246726146
12.25,0.25785424218786,7.9222721307076e-05,0.020674208010009,0,100.39347688174,0.0032322659554672,0.1425474079495,3.073612383128e-05,0.26275798378878,0.11332140650599,0.0030507064211658,0.0017782041099105
12.5,0.26395660279733,7.5389330158191e-05,0.022272201639888,0,100.31060264901,0.0033089439038143,0.14876998445119,3.8153977999778e-05,0.26792810889148,0.11172404977452,0.0030366990234459,0.0018665811735281
12.75,0.26928221215913,7.1244852486809e-05,0.023894780580692,0,100.2428753353,0.0033564906550523,0.15524824303537,4.6209637290628e-05,0.27306902213715,0.11014834039528,0.0030253075784012,0.0019490979337913
13,0.27392237972227,6.6853564708415e-05,0.025532044264758,0,100.21846418876,0.0034149167767059,0.16155164650825,5.4806767601094e-05,0.27818629383221,0.10871082906387,0.0030151613193451,0.0020297337119948
13.25,0.2782733846764,6.2107594245361e-05,0.027169280626736,0,100.23177177642,0.0035185590531969,0.16785133405857,6.394662404548e-05,0.28328111349501,0.10706356332061,0.0030057404338252,0.0021123451327335
13.5,0.28290892393096,5.6827534913132e-05,0.028791248884466,0,100.25970702427,0.0036657503178216,0.17425869448787,7.3731066567664e-05,0.28835162936703,0.10533206321719,0.0029954545845267,0.0021977485852606
13.75,0.28807384984386,5.0849653949999e-05,0.030376742962419,0,100.27022108655,0.0038195128442605,0.1805890857252,8.4275610083092e-05,0.29339549750897,0.10366352104164,0.0029820041494597,0.0022835183797802
