time,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,DJint,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,1.185846126156e-20,1.0508179953839e-47,7.3730142292769e-22,-1.0990218215763e-57,1.050817995274e-47,1.2595762684488e-20,0.0015045057187246,-7.2274722197017e-40,0,0,41.384359038764,-1.6940658945086e-21,0.00047523279385085,1.9251547815452e-41,0.0036175766279398,0.00099038010223618,4.0150937652701e-41,1.8518287197428e-05
0.5,-1.4907779871676e-19,-3.6463110077584e-45,1.5077186461127e-19,1.6619684198174e-45,-1.984342587941e-45,1.6940658945086e-21,0.0078990805065394,-1.2304346236886e-35,0,0,101.08128829368,-6.098637220231e-20,0.0025465044349046,3.5008347221861e-37,0.0099121215677895,0.0046906875594864,7.292530958549e-37,5.1633090965595e-05
0.75,-1.6263032587283e-19,-1.8352015019965e-43,-1.1011428314306e-20,-4.2075050104698e-43,-6.0427065124662e-43,-1.7364175418713e-19,0.013632646721275,-4.7167931571599e-32,0,0,110.02079740076,-9.4867690092482e-20,0.0051971423221115,1.4390888208071e-33,0.015096135000012,0.0070810126439183,2.9934704062837e-33,8.0301704020368e-05
1,4.8789097761848e-19,5.9271509375933e-41,-4.4892746204478e-19,5.7117500961904e-42,6.4983259472123e-41,3.8963515573698e-20,0.018241356540809,-7.203081824898e-29,0,0,93.849575601733,2.168404344971e-19,0.0078557238676308,2.3668214881459e-30,0.019980844028245,0.00930132378752,4.9149170087795e-30,0.00010722294248196
1.25,5.6920614055489e-19,-1.2702714527166e-39,-4.3029273720518e-19,2.3680640525836e-39,1.097792599867e-39,1.3891340334971e-19,0.023890807051161,-5.5169751512523e-26,0,0,98.619551311321,1.6263032587283e-19,0.010533174994471,1.9617615040443e-27,0.025680200465384,0.012290645373407,4.0655174307918e-27,0.00013737334277346
1.5,1.3552527156069e-18,-9.4131383561941e-38,-1.7110065534537e-18,-9.0067515182667e-38,-1.8419889874461e-37,-3.5575383784681e-19,0.029583421296601,-2.3976955390264e-23,0,0,104.45688285905,-8.1315162936413e-20,0.013200082372644,9.2763118039388e-25,0.03110210763902,0.015000075969388,1.9177203258134e-24,0.00016622042057869
1.75,2.1141942363467e-18,9.6743185072674e-36,-9.9949887776007e-19,-1.4929952118719e-36,8.1813232953955e-36,1.1146953585867e-18,0.034605959105598,-6.3767691118075e-21,0,0,98.290214489956,4.8789097761848e-19,0.015881777052204,2.7004911665372e-22,0.036185335478295,0.017395723263901,5.5663538809696e-22,0.00019380254868342
2,5.4210108624275e-19,2.1094951422116e-33,7.6571778431789e-19,1.1333665278409e-34,2.2228317949957e-33,1.3078188705606e-18,0.039969377911559,-1.0907497996141e-18,0,0,97.997184115629,5.4210108624275e-20,0.018564496167401,5.0908159796383e-20,0.041630126224155,0.02012834361768,1.045576463534e-19,0.00022297231115124
2.25,-1.6263032587283e-19,3.6168964355592e-31,9.7578195523695e-19,1.1943461476567e-32,3.7363310503249e-31,8.1315162936413e-19,0.045592290947551,-1.2416175426793e-16,0,0,102.13174273106,1.8973538018496e-19,0.021250520023416,6.4361022312081e-18,0.047107579623241,0.022909586253839,1.3160823163338e-17,0.00025209480730349
2.5,3.2526065174565e-19,3.9097918615016e-29,-1.3213713977167e-18,3.1245931330567e-30,4.2222511748073e-29,-9.9611074597106e-19,0.05085604839806,-9.6325544367318e-15,0,0,100.11524516973,2.7105054312138e-20,0.023943459548959,5.5945700310264e-16,0.052338132184742,0.025436327532947,1.1378368542249e-15,0.00028016234707091
2.75,8.3483567281384e-18,2.6695053032679e-27,1.3281476612947e-18,5.0895211741826e-28,3.1784574206862e-27,9.6765043894331e-18,0.056146720604631,-5.1784830419494e-13,0,0,98.442250068245,1.1709383462843e-17,0.026637825301429,3.4039894109147e-14,0.057684821191373,0.028076635652216,6.8770669627775e-14,0.00030877974467329
3,4.9276988739466e-16,1.101628476923e-25,6.3757864005726e-17,5.7457762491553e-26,1.6762061018386e-25,5.5652775140039e-16,0.061669894768009,-1.9510639554517e-11,0,0,100.68661768759,7.4978001238235e-16,0.029337609980771,1.4684235255877e-12,0.063142340049365,0.030831482104431,2.9422431629455e-12,0.00033780186292273
3.25,2.3032682532065e-14,1.9451669092067e-24,3.4264109019695e-15,4.6683885327072e-24,6.6135554419139e-24,2.6459093434034e-14,0.067057848367443,-5.1887704366445e-10,0,0,100.62489726684,3.5617396618864e-14,0.032040806826006,4.5318618474541e-11,0.068469372022975,0.033448978735272,8.988045338358e-11,0.00036626847894446
3.5,7.9646077059958e-13,-6.2710630189176e-23,1.3853676506751e-13,2.7954297064242e-22,2.1683234045324e-22,9.3499753566709e-13,0.072366455558463,-9.7784377891953e-09,0,0,99.126563236186,1.2544582343385e-12,0.034747434280821,1.0067909365556e-09,0.073797205996914,0.036068024439234,1.9718300858581e-09,0.00039475305810699
3.75,2.0450735614512e-11,-5.9937507185592e-21,4.1938201500967e-12,1.2603065910519e-20,6.6093151919594e-21,2.4644555764609e-11,0.07781643182233,-1.3073248417064e-07,0,0,99.96764454326,3.2926637382347e-11,0.037458290684587,1.6164549245841e-08,0.0792211103096,0.038780622770233,3.1180664386667e-08,0.00042357108972603
4,3.9057417532389e-10,-2.4218524846573e-19,9.5372449555062e-11,4.3147862633975e-19,1.8929337787402e-19,4.8594662487895e-10,0.083253079654659,-1.2383803676695e-06,0,0,100.55296504885,6.4573121334602e-10,0.04017230332748,1.8799318126452e-07,0.084600261402665,0.041445522520314,3.5623090380763e-07,0.00045219624401041
4.25,5.5446757428468e-09,-6.6125215214183e-18,1.6335496023088e-09,1.1292143945984e-17,4.6796224245653e-18,7.1782253451556e-09,0.088605639848532,-8.2818892520793e-06,0,0,99.65720635514,9.4687041283311e-09,0.042890149717177,1.5851825693199e-06,0.089943700992657,0.044073222892535,2.9462573465377e-06,0.00048071452043206
4.5,5.8340032658543e-08,-1.3444149290468e-16,2.1103773977494e-08,2.2694653911785e-16,9.2505046213178e-17,7.9443806636037e-08,0.094019295396555,-3.8869859550187e-05,0,0,99.728399811482,1.0371725400038e-07,0.04561151344769,9.6879134621149e-06,0.095344358367654,0.046755019056997,1.7695295437675e-05,0.00050941986376012
4.75,4.5251915813853e-07,-2.1011871984087e-15,2.0576315095816e-07,3.5109278209739e-15,1.4097406225652e-15,6.5828230909669e-07,0.099466189670075,-0.00012691773548984,0,0,100.31615037907,8.4654367260654e-07,0.048336299908726,4.2830860824897e-05,0.10074640925179,0.049436217349809,7.7708541367039e-05,0.00053808436064186
5,2.5661941335572e-06,-2.5482505103432e-14,1.5141300401506e-06,4.183131405754e-14,1.6348808954109e-14,4.0803241737078e-06,0.10485939462245,-0.00028487698648088,0,0,99.951642237848,5.1287675036391e-06,0.051064129735162,0.00013634350995736,0.10611465984819,0.052081998803856,0.00025326942615415,0.00056663892334245
5.25,1.0514983926837e-05,-2.396880843759e-13,8.4070519103195e-06,3.8313720134384e-13,1.4344911696793e-13,1.8922035837157e-05,0.11026502542355,-0.00043245191958746,0,0,99.733725957939,2.2955422785921e-05,0.053792310971471,0.0003093530064519,0.11150705360867,0.054754517244023,0.00063021904619669,0.00059528629308942
5.5,3.0648127885822e-05,-1.7352498019214e-12,3.5225208910517e-05,2.6828502954859e-12,9.476004935645e-13,6.5873336796339e-05,0.11570887709347,-0.0004329790792156,0,0,100.10735185521,7.5587849633766e-05,0.056514056941187,0.00048947769924999,0.11691736553762,0.05745768029807,0.0012486669338769,0.00062396186852364
5.75,6.2432712162825e-05,-9.5026900844702e-12,0.00011148945263799,1.4191808125997e-11,4.6891180415266e-12,0.00017392216480081,0.12113051185316,-0.00026926948965167,6.9428944427899e-07,0,100.06086076886,0.00018321163568,0.059215910661509,0.00051496657328917,0.12230808142445,0.060170112365468,0.0020524673120907,0.00065255312061475
6,8.8274302257529e-05,-3.7938489860518e-11,0.00026580153815292,5.5328520165214e-11,1.7390030304696e-11,0.00035407584041045,0.12654407291451,-7.6860181357153e-05,2.7380678386999e-05,0,99.821357067895,0.0003321529472398,0.061880781248949,0.00032278549288408,0.12770369113161,0.062931677210487,0.0028563316488494,0.00068116542296552
6.25,9.1708673867942e-05,-1.0056524276519e-10,0.00048044448992369,1.4989207052485e-10,4.9326827759654e-11,0.00057215316379163,0.13198475879989,3.2911282362999e-05,0.00019591284083724,0,99.982904152615,0.00047461266359981,0.064499261934214,9.0008602534165e-05,0.13311762558712,0.065749867238173,0.0034125948743484,0.00070982667656634
