"Time","Points:0","Points:1","Points:2"
0,50,0,0
0.25,50,0,0
0.5,50,0,0
0.75,50,0,0
1,50,0,0
1.25,50,0,0
1.5,50,0,0
1.75,50,0,0
2,50,0,0
2.25,50,0,0
2.5,50,0,0
2.75,50,0,0
3,50,0,0
3.25,50,0,0
3.5,50,0,0
3.75,50,0,0
4,50,0,0
4.25,50,0,0
4.5,50,0,0
4.75,50,0,0
5,50,0,0
5.25,50,0,0
5.5,50,0,0
5.75,50,0,0
6,50,0,0
6.25,50,0,0
6.5,50,0,0
6.75,50,0,0
7,50,0,0
7.25,50,0,0
7.5,50,0,0
7.75,50,0,0
8,50,0,0
8.25,50,0,0
8.5,50,0,0
8.75,50,0,0
9,50,0,0
9.25,50,0,0
9.5,50,0,0
9.75,50,0,0
10,50,0,0
10.25,50,0,0
10.5,50.375,0.25017,0
10.75,50.625,0.25015,0
10.875,50.75,0.25015,0
11.125,50.875,0.25016,0
11.375,51.125,0.25014,0
11.625,51.375,0.25014,0
11.875,51.5,0.25015,0
12.125,51.75,0.25015,0
12.375,52,0.25014,0
12.625,52.25,0.25014,0
12.875,52.5,0.25014,0
13.125,52.75,0.25014,0
13.375,53,0.25014,0
13.625,53.375,0.25012,0
13.875,53.625,0.25012,0
14.125,53.875,0.25013,0
14.375,54.25,0.25011,0
14.625,54.5,0.25012,0
14.75,54.625,0.25012,0
15,54.875,0.25013,0
15.25,55.25,0.25011,0
15.5,55.5,0.25012,0
15.75,55.75,0.25013,0
16,56,0.25013,0
16.25,56.25,0.25013,0
16.5,56.5,0.25012,0
16.75,56.749,0.25011,0
17,56.874,0.25013,0
17.25,57.124,0.25012,0
17.5,57.249,0.25014,0
17.75,57.499,0.25013,0
18,57.749,0.25013,0
18.25,57.999,0.25014,0
18.5,58.249,0.25014,0
18.75,58.499,0.25014,0
19,58.624,0.25016,0
19.25,58.749,0.25017,0
19.5,58.874,0.25017,0
19.75,59.124,0.25014,0
20,59.249,0.25015,0
20.25,59.374,0.25016,0
20.5,59.499,0.25016,0
20.75,59.499,0.25018,0
21,59.624,0.25016,0
21.25,59.749,0.25015,0
21.5,59.874,0.25013,0
21.75,59.999,0.25013,0
22,60.124,0.25013,0
22.25,60.374,0.25011,0
22.5,60.499,0.25012,0
22.75,60.749,0.25011,0
23,60.999,0.25011,0
23.125,60.999,0.25013,0
23.375,61.249,0.25012,0
23.625,61.499,0.25011,0
23.875,61.749,0.2501,0
24.125,61.999,0.25009,0
24.375,62.249,0.25008,0
24.625,62.499,0.25008,0
24.875,62.749,0.25008,0
25.125,62.874,0.37514,0
25.375,63.124,0.37514,0
25.625,63.374,0.37514,0
25.875,63.624,0.37515,0
26.125,63.999,0.25009,0
26.375,64.249,0.25009,0
26.5,64.374,0.25009,0
26.75,64.749,0.25009,0
27,64.999,0.37514,0
27.25,65.374,0.37513,0
27.5,65.749,0.37513,0
27.75,66.124,0.37513,0
28,66.499,0.25008,0
28.25,66.749,0.50017,0
28.375,66.874,0.50017,0
28.625,67.249,0.25008,0
28.875,67.499,0.25008,0
29.125,67.624,0.62521,0
29.25,67.749,0.50017,0
29.5,67.874,0.87529,0
29.625,67.999,0.87528,0
29.875,68.249,1.0003,0
30.125,68.499,1.2504,0
30.375,68.749,1.3754,0
30.625,68.999,1.5004,0
30.875,69.249,1.5004,0
31.125,69.499,1.6255,0
31.375,69.749,1.7505,0
31.625,70.124,1.7504,0
31.875,70.374,2.0005,0
32.125,70.624,2.1255,0
32.375,70.999,2.1255,0
32.625,71.249,2.2505,0
32.875,71.499,2.3755,0
33.125,71.749,2.5006,0
33.25,71.874,2.6256,0
33.5,72.249,2.5005,0
33.75,72.499,2.6256,0
34,72.749,2.7506,0
34.25,72.999,2.7506,0
34.5,73.249,2.7506,0
34.75,73.499,2.8756,0
34.875,73.499,3.1257,0
35,73.624,3.2507,0
35.25,73.874,3.2507,0
35.5,74.124,3.3757,0
35.75,74.374,3.3757,0
36,74.624,3.3757,0
36.25,74.749,3.7508,0
36.5,74.999,3.6257,0
36.625,74.999,4.0008,0
36.75,75.124,4.0008,0
37,75.374,4.0008,0
37.25,75.499,4.2508,0
37.5,75.749,4.3758,0
37.75,75.999,4.5008,0
37.875,76.124,4.5008,0
38.125,76.374,4.6257,0
38.375,76.749,4.6257,0
38.625,76.999,4.7507,0
38.75,77.124,4.8757,0
39,77.374,5.0007,0
39.125,77.499,5.0007,0
39.375,77.749,5.0006,0
39.625,77.999,5.0006,0
39.75,78.124,5.0006,0
40,78.374,5.1256,0
40.25,78.624,5.1255,0
40.5,78.999,5.0004,0
40.75,79.249,5.2505,0
41,79.499,5.5005,0
41.25,79.874,5.5005,0
41.375,79.999,5.6255,0
41.625,80.249,5.7505,0
41.875,80.499,6.0006,0
42.125,80.749,6.2506,0
42.375,80.999,6.3755,0
42.625,81.124,6.5006,0
42.875,81.249,6.7506,0
43.125,81.374,6.8756,0
43.375,81.624,6.8756,0
43.625,81.874,6.8756,0
43.875,82.124,6.8755,0
44.125,82.374,7.0005,0
44.375,82.624,7.1255,0
44.5,82.749,7.1255,0
44.75,82.874,7.5006,0
45,83.124,7.5006,0
45.25,83.374,7.6256,0
45.5,83.624,7.6256,0
45.75,83.749,7.7506,0
46,83.999,7.8757,0
46.25,84.25,7.8757,0
46.375,84.375,7.8757,0
46.625,84.625,7.8757,0
46.75,84.75,7.8757,0
47,85,7.8757,0
47.125,85.125,7.8757,0
47.375,85.375,7.8757,0
47.625,85.625,7.8757,0
47.875,85.875,7.8757,0
48.125,86.125,7.8757,0
48.375,86.375,7.8757,0
48.625,86.5,8.1258,0
48.875,86.75,8.1258,0
49.125,87,8.1258,0
49.375,87.25,8.1258,0
49.438,87.375,8.0007,0
49.562,87.5,8.1257,0
49.812,87.75,8.1257,0
50.062,88,8.1258,0
50.188,88.125,8.1258,0
50.25,88.125,8.2508,0
50.375,88.25,8.2508,0
50.625,88.5,8.3759,0
50.875,88.75,8.3759,0
