time,DJint,DJint_over_Jint,Jint,dt,tip,tip_adv,tip_cum,tip_vel
0,0,0,0,0,50,0,0,0
0.2,-6.3211527754747e-17,-1.1886876602794,5.3177575461572e-17,0.2,50,0,0,0
0.4,-3.7730235602496e-16,-0.76298011702317,4.9451138713422e-16,0.2,50,0,0,0
0.6,-5.6440176967806e-16,-0.66165144756859,8.5301977612549e-16,0.2,50,0,0,0
0.8,7.7557047156035e-16,0.74419360711592,1.0421622332474e-15,0.2,50,0,0,0
1,2.0533840469975e-15,1.7508768077841,1.172774713714e-15,0.2,50,0,0,0
1.2,1.8140599699484e-15,1.6404078531337,1.1058591108809e-15,0.2,50,0,0,0
1.4,9.5859735080306e-16,0.9406976898831,1.019028069392e-15,0.2,50,0,0,0
1.6,1.06688204278e-15,0.86468733867159,1.2338356248157e-15,0.2,50,0,0,0
1.8,2.3343956975785e-15,1.4230549978933,1.6404114394977e-15,0.2,50,0,0,0
2,3.8909305465074e-15,2.1228612413304,1.8328708776411e-15,0.2,50,0,0,0
2.2,5.2408164613604e-15,2.85142090283,1.8379666278517e-15,0.2,50,0,0,0
2.4,6.039765042265e-15,3.1486445432001,1.9182111411428e-15,0.2,50,0,0,0
2.6,6.5434311614931e-15,3.2459796697682,2.0158570993023e-15,0.2,50,0,0,0
2.8,7.9111522020836e-15,3.5576548025353,2.2236986557678e-15,0.2,50,0,0,0
3,9.8196190762012e-15,4.0493142723015,2.425007894144e-15,0.2,50,0,0,0
3.2,1.0925342661811e-14,4.5481872651569,2.4021312283046e-15,0.2,50,0,0,0
3.4,1.1568220339986e-14,4.9049786236381,2.3584649858077e-15,0.2,50,0,0,0
3.6,1.2667005031691e-14,5.0811651245474,2.4929331602502e-15,0.2,50,0,0,0
3.8,1.4605721146421e-14,4.3323712202221,3.3712995502894e-15,0.2,50,0,0,0
4,9.2674023836892e-14,0.79401327292543,1.1671596306627e-13,0.2,50,0,0,0
4.2,5.7045876811386e-12,0.66209168455991,8.6160086498147e-12,0.2,50,0,0,0
4.4,2.2373827042368e-10,0.63836196554547,3.5048809687854e-10,0.2,50,0,0,0
4.6,4.9457912084348e-09,0.61138994153408,8.0894219424432e-09,0.2,50,0,0,0
4.8,6.4963192417783e-08,0.57875768585233,1.1224592606855e-07,0.2,50,0,0,0
5,5.3108728028902e-07,0.53935979069682,9.8466235238427e-07,0.2,50,0,0,0
5.2,2.7896820559843e-06,0.49166781989708,5.6739162969183e-06,0.2,50,0,0,0
5.4,9.5924625990729e-06,0.43382883025277,2.211116903753e-05,0.2,50,0,0,0
5.6,2.1812497422489e-05,0.36454450670363,5.9834936534162e-05,0.2,50,0,0,0
5.8,3.335650326947e-05,0.28620308298803,0.0001165483716011,0.2,50,0,0,0
6,3.6959055553318e-05,0.21170538784347,0.00017457777494375,0.2,50,0,0,0
6.2,3.6893848470398e-05,0.16456059408119,0.00022419613077111,0.2,50,0,0,0
6.4,4.0350325865223e-05,0.14762596534427,0.00027332810844708,0.2,50,0,0,0
6.6,4.3164504229507e-05,0.13320628858869,0.00032404254098537,0.2,50,0,0,0
6.8,4.2511935451953e-05,0.11469073104679,0.00037066583379445,0.2,50,0,0,0
7,4.2107971759695e-05,0.10162326282712,0.000414353668523,0.2,50,0,0,0
7.2,4.1900238394837e-05,0.091674439209858,0.00045705475545829,0.2,50,0,0,0
7.4,4.1289792202446e-05,0.082665703518539,0.00049947911219538,0.2,50,0,0,0
7.6,4.0282324051812e-05,0.074238892982969,0.0005426040506969,0.2,50,0,0,0
7.8,3.8740214291592e-05,0.066113824748588,0.00058596238288906,0.2,50,0,0,0
8,3.7933051738717e-05,0.060236473690656,0.0006297355972981,0.2,50,0,0,0
8.2,3.8369882098975e-05,0.056933302368163,0.00067394443151837,0.2,50,0,0,0
8.4,4.0139054052668e-05,0.055865148528819,0.00071849901252767,0.2,50,0,0,0
8.6,4.3131446807624e-05,0.056500124656058,0.00076338675481132,0.2,50,0,0,0
8.8,4.7113259629081e-05,0.058270245521369,0.00080853030920908,0.2,50,0,0,0
9,5.167333451747e-05,0.060512136658654,0.00085393339866608,0.2,50,0,0,0
9.2,5.6218555969519e-05,0.06250356601063,0.00089944557659251,0.2,50,0,0,0
9.4,6.0312630415627e-05,0.0638326617559,0.00094485532573067,0.2,50,0,0,0
9.6,6.3541760594494e-05,0.064199335474627,0.00098975729460014,0.2,50,0,0,0
9.8,6.5252379320615e-05,0.063140886413403,0.0010334409766342,0.2,50,0,0,0
10,6.4350433095714e-05,0.059862289399,0.0010749744746112,0.2,50,0,0,0
10.2,5.9761600983661e-05,0.053667621212088,0.0011135503984328,0.2,50,0,0,0
10.4,5.1539888239522e-05,0.044849452828652,0.0011491754077008,0.2,50,0,0,0
10.6,4.1785030886449e-05,0.035302235027288,0.0011836369808923,0.2,50,0,0,0
10.8,3.4671853619143e-05,0.028396973597912,0.00122097002695,0.2,50,0,0,0
11,3.5423571151046e-05,0.027967165022119,0.001266612869879,0.2,50,0,0,0
11.2,4.7861493359496e-05,0.036128983498979,0.0013247395504733,0.2,50,0,0,0
11.4,7.0694021660773e-05,0.05070774764262,0.0013941463572591,0.2,50,0,0,0
11.6,9.5245808788608e-05,0.064983479486316,0.0014656926582188,0.2,50,0,0,0
11.8,0.00010843896266467,0.071082521352285,0.0015255362443779,0.2,50,0.0070940797962789,0.0070940797962789,0.035470398981395
12,0.00010102076173027,0.064592848697192,0.0015639620138733,0.2,50.007094079796,0.017332352076738,0.024426431873017,0.086661760383688
12.2,7.6040045481622e-05,0.048007279359811,0.0015839274063358,0.2,50.024426431873,0.022455881214797,0.046882313087814,0.11227940607399
12.4,4.9669066578053e-05,0.0310119254329,0.0016016118278602,0.2,50.046882313088,0.026887385260538,0.073769698348352,0.13443692630269
12.6,3.950423491561e-05,0.024162350847563,0.0016349499750599,0.2,50.073769698348,0.034980814166645,0.108750512515,0.17490407083322
12.8,4.861721163961e-05,0.028806533813757,0.0016877147370085,0.2,50.108750512515,0.047136887300618,0.15588739981561,0.23568443650309
13,6.2923558966661e-05,0.036037556954553,0.0017460550682171,0.2,50.155887399816,0.059722221245796,0.21560962106141,0.29861110622898
13.2,6.6775475323124e-05,0.037228334639582,0.0017936734471095,0.2,50.215609621061,0.069387761265652,0.28499738232706,0.34693880632826
13.4,5.9662809012002e-05,0.032614954423638,0.0018293083668626,0.2,50.284997382327,0.076291722085347,0.36128910441241,0.38145861042673
13.6,5.4988562150215e-05,0.029464016407575,0.001866295531117,0.2,50.361289104412,0.083178824350598,0.44446792876301,0.41589412175299
13.8,6.3504141365123e-05,0.033146473803809,0.0019158641652502,0.2,50.444467928763,0.091991639368,0.53645956813101,0.45995819684
14,8.1582531103258e-05,0.041308267283303,0.0019749686072219,0.2,50.536459568131,0.10192161180376,0.63838117993476,0.50960805901878
14.2,9.7006647362914e-05,0.047739987054839,0.0020319789205532,0.2,50.638381179935,0.11095242513791,0.74933360507268,0.55476212568957
14.4,0.00010303874710973,0.049518691883987,0.0020808051099397,0.2,50.749333605073,0.11829342236502,0.8676270274377,0.59146711182512
14.6,0.00010295499106382,0.048442299337591,0.0021253118136762,0.2,50.867627027438,0.12469112722738,0.99231815466508,0.62345563613688
14.8,0.00010219536095336,0.047069798340031,0.0021711450772553,0.2,50.992318154665,0.13100538219658,1.1233235368617,0.65502691098292
15,0.00010134451075204,0.04567970749609,0.0022185893103785,0.2,51.123323536862,0.13726676856689,1.2605903054285,0.68633384283443
15.2,9.8451119635865e-05,0.043462356170408,0.002265204381692,0.2,51.260590305429,0.1431632763554,1.4037535817839,0.71581638177699
15.4,9.4334997459047e-05,0.040809243192672,0.0023116085984164,0.2,51.403753581784,0.14879690978634,1.5525504915703,0.74398454893172
15.6,9.1959881231122e-05,0.038943946096252,0.0023613395777571,0.2,51.55255049157,0.15458862364162,1.7071391152119,0.7729431182081
15.8,9.2204216384906e-05,0.038146845377851,0.0024170862746738,0.2,51.707139115212,0.16079761955556,1.8679367347675,0.80398809777779
16,9.4139979983251e-05,0.037943132666647,0.0024810808535586,0.2,51.867936734767,0.1675812619981,2.0355179967656,0.83790630999051
16.2,9.8989421672366e-05,0.03869535534558,0.0025581732171293,0.2,52.035517996766,0.17530261359065,2.2108206103562,0.87651306795325
16.4,0.00010935167650872,0.041222931968764,0.0026526904149268,0.2,52.210820610356,0.1841567692796,2.3949773796358,0.92078384639797
16.6,0.00012294483230649,0.044553498820878,0.0027594877071445,0.2,52.394977379636,0.19343143023323,2.588408809869,0.96715715116614
16.8,0.00013116036966464,0.045815887022305,0.002862770497072,0.2,52.588408809869,0.20174266972689,2.7901514795959,1.0087133486345
17,0.00012771503333713,0.043296038497841,0.0029498087531379,0.2,52.790151479596,0.20829480146207,2.998446281058,1.0414740073103
17.2,0.0001167982986875,0.038616397451234,0.0030245778062286,0.2,52.998446281058,0.21362221110233,3.2120684921603,1.0681110555116
17.4,0.00010836668109648,0.034936257158349,0.0031018400341316,0.2,53.21206849216,0.21885744273602,3.4309259348964,1.0942872136801
17.6,0.00010589717852095,0.033216388465819,0.0031881003146962,0.2,53.430925934896,0.22440258029226,3.6553285151886,1.1220129014613
17.8,0.00010286495305286,0.031405089557085,0.0032754230127536,0.2,53.655328515189,0.22971852682793,3.8850470420165,1.1485926341397
18,9.158068823472e-05,0.027300560581655,0.0033545350821938,0.2,53.885047042017,0.23429568418995,4.1193427262065,1.1714784209497
18.2,7.1764488837758e-05,0.020948537210802,0.0034257517895212,0.2,54.119342726206,0.238235233055,4.3575779592615,1.191176165275
18.4,4.9132118747738e-05,0.014059937091004,0.003494476428289,0.2,54.357577959261,0.24188468197966,4.5994626412411,1.2094234098983
18.6,2.842730083852e-05,0.0079780538304567,0.0035631873941483,0.2,54.599462641241,0.24539267004819,4.8448553112893,1.226963350241
18.8,1.1247313068093e-05,0.0030964932008945,0.0036322744273566,0.2,54.844855311289,0.24878604663973,5.0936413579291,1.2439302331987
19,4.9643919086337e-07,0.00013398355967896,0.0037052246712424,0.2,55.093641357929,0.25223181739399,5.3458731753231,1.2611590869699
19.2,1.8835609188496e-06,0.00049721290619175,0.0037882381880956,0.2,55.345873175323,0.25599148820702,5.6018646635301,1.2799574410351
19.4,1.7871514948943e-05,0.0046011055181263,0.0038841784607062,0.2,55.60186466353,0.26013641941922,5.8620010829493,1.3006820970961
19.6,4.2324104250516e-05,0.010611724499079,0.0039884284834373,0.2,55.862001082949,0.2644142935926,6.1264153765419,1.322071467963
19.8,5.781599969526e-05,0.014149302174704,0.0040861378873243,0.2,56.126415376542,0.26822560442717,6.3946409809691,1.3411280221358
20,3.1641542718878e-05,0.0076294786787452,0.0041472745453798,0.2,56.394640980969,0.27051899870017,6.6651599796692,1.3525949935009
20.2,-7.2143777173285e-05,-0.017435789014353,0.0041376835378024,0.2,56.665159979669,0.27016369722618,6.9353236768954,1.3508184861309
20.4,-0.00025009081634525,-0.061579031903349,0.0040612982798719,0.2,56.935323676895,0.2672740806263,7.2025977575217,1.3363704031315
20.6,-0.00043341385787595,-0.10872218279665,0.0039864344766385,0.2,57.202597757522,0.2643345688679,7.4669323263896,1.3216728443395
20.8,-0.00054415873454984,-0.13637815372673,0.0039900726009256,0.2,57.46693232639,0.26447996904523,7.7314122954349,1.3223998452262
21,-0.00059123505631268,-0.14555191396465,0.0040620218601609,0.2,57.731412295435,0.26730196317164,7.9987142586065,1.3365098158582
21.2,-0.0006691765612569,-0.16296250339006,0.0041063222970696,0.2,57.998714258606,0.26899032510825,8.2677045837147,1.3449516255412
21.4,-0.00082539136986468,-0.20258428357471,0.0040743109746729,0.2,58.267704583715,0.26777400120659,8.5354785849213,1.338870006033
21.6,-0.00095854891696161,-0.23570302515588,0.0040667654406542,0.2,58.535478584921,0.26748450724053,8.8029630921619,1.3374225362026
21.8,-0.0009004955918879,-0.21176006297421,0.004252433528968,0.2,58.802963092162,0.27430951957421,9.0772726117361,1.3715475978711
22,-0.00059936100368171,-0.12793733634862,0.0046848013315559,0.2,59.077272611736,0.28810629089829,9.3653789026344,1.4405314544915
