time,Fy_lower,Fy_upper,external_work,kinetic_energy,potenial_energy,strain_energy
0,0,0,0,0,0,0
1,-67.272821708673,67.272821708673,0.034876740932076,0.004662821509949,-0.019608697935276,0.015268042996801
2,-188.67165088289,188.67165088289,0.30686936736005,0.064415657842678,-0.16485243950542,0.14201692785464
3,-308.9455567891,308.9455567891,1.0465697646699,0.29014597898369,-0.54786432092355,0.49870544374635
4,-428.08006294396,428.08006294396,2.4792102639499,0.80053865857707,-1.2797275094236,1.1994827545264
5,-548.16334606008,548.16334606008,4.8344568873701,1.7094613831515,-2.4764688419416,2.3579880454286
6,-667.64000286188,667.64000286187,8.3369017271646,3.1281681500412,-4.2453098914124,4.0915918357521
7,-787.27547334927,787.27547334927,13.219074430634,5.1660398731118,-6.6957183736378,6.5233560569957
8,-907.11031399068,907.11031399068,19.710822700117,7.9307474856599,-9.9354649938453,9.775357706272
9,-1027.3294590604,1027.3294590604,28.026144837042,11.528847384108,-14.073949542228,13.952195294814
10,-1146.8975900084,1146.8975900084,38.368566326598,16.06677962526,-19.212594951304,19.155971375294
11,-1266.2348419956,1266.2348419956,50.970110151158,21.65026806513,-25.45404386155,25.516066289608
12,-1386.2476662395,1386.2476662395,66.066306292639,28.383249063786,-32.907813663965,33.158492628674
13,-1506.2072652137,1506.2072652137,83.859871106461,36.368202543843,-41.675572051618,42.184299054844
14,-1625.6961041315,1625.6961041315,104.55917780108,45.706852222575,-51.853119525773,52.706058275305
15,-1745.430763781,1745.430763781,128.39410592955,56.499838660688,-63.543354091699,64.850751837848
16,-1865.3514081566,1865.3514081566,155.57765509479,68.846434764313,-76.847516246942,78.730138847852
17,-1985.0066054286,1985.0066054286,186.3140435932,82.844801912239,-91.859475016034,94.454568577164
18,-2104.7054010594,2104.7054010594,220.82212000824,98.59200637348,-108.67626435051,112.14585565773
19,-2224.5552311126,2224.5552311126,259.31420487645,116.18388717735,-127.39557331442,131.91863156202
20,-2344.2720754777,2344.2720754777,301.99336989576,135.71515021854,-148.10932878145,153.88404111431
21,-2463.9704386587,2463.9704386587,349.07181478052,157.27938495954,-170.91016526887,178.16164951165
22,-2583.7761497087,2583.7761497087,400.75971883785,180.96897281409,-195.89188008752,204.86783875033
23,-2703.5248469822,2703.5248469822,457.258511724,206.87513491677,-223.14400285103,234.11450887297
24,-2823.2379925984,2823.2379925984,518.77416736361,235.08797039444,-252.75529537483,266.01887198878
25,-2943.0104404266,2943.0104404266,585.5133324756,265.69639604646,-284.81536140482,300.69797107078
26,-2995.4942849315,2995.4942849315,654.53864243908,297.97681184839,-317.84050881266,336.69813362641
27,-2993.8271214498,2993.8271214498,723.39989064313,330.72989068184,-350.58549538382,372.81439525931
28,-2993.309549183,2993.309549183,792.0265483045,363.34162319835,-383.07520803142,408.95134027308
29,-2993.9301187178,2993.9301187178,860.43506207349,395.70965977846,-415.33544367328,445.09961840021
30,-2993.5892341647,2993.5892341647,928.60104559401,427.83396050488,-447.34399053843,481.25705505558
31,-2993.8625983708,2993.8625983708,996.5310014795,459.71274576972,-479.11193235538,517.41906912412
32,-2993.9801054048,2993.9801054048,1064.1936691339,491.34338617404,-510.63320454636,553.56046458759
33,-2993.892951612,2993.892951612,1131.575088758,522.72276457921,-541.89948472883,589.67560402917
34,-2993.4217309437,2993.4217309437,1198.7098104316,553.84711849402,-572.89814905175,625.81166137989
35,-2993.6045928684,2993.6045928684,1265.6448015904,584.71212057056,-603.63943424429,662.00536734607
36,-2994.0172493686,2994.0172493686,1332.3435319284,615.31289353693,-634.12328024153,698.22025168689
37,-2993.7525491772,2993.7525491772,1398.7699601636,645.64407173577,-664.32876840289,734.44119176076
38,-2993.5426214379,2993.5426214379,1464.9590553208,675.69985367121,-694.25107878263,770.70797653819
39,-2993.8039746028,2993.8039746028,1530.9247783999,705.47413678431,-723.89454021634,807.03023818352
40,-2993.8181381826,2993.8181381826,1596.6401199845,734.96073625907,-753.24750579283,843.39261419163
41,-2993.6467840967,2993.6467840967,1662.1085708905,764.15374837035,-782.30007974092,879.80849114958
42,-2993.7414968873,2993.7414968873,1727.343809678,793.04798643114,-811.05329685371,916.29051282431
43,-2993.7918892139,2993.7918892139,1792.3350822398,821.63934023837,-839.50266386797,952.83241837186
44,-2993.6913622295,2993.6913622295,1857.0808277763,849.92497472085,-867.64266939437,989.43815838196
45,-2993.7243044375,2993.7243044375,1921.5896001853,877.90348165452,-895.47548385162,1026.1141163337
46,-2993.7754406632,2993.7754406632,1985.8563211027,905.57516112127,-923.00268249096,1062.8536386117
47,-2993.7193499436,2993.7193499436,2049.8778228059,932.94237097577,-950.22535932673,1099.6524634792
48,-2993.7209232423,2993.7209232423,2113.6594093521,960.00968858007,-977.15033315384,1136.5090761983
49,-2993.7585394925,2993.7585394925,2177.199536199,986.78368093534,-1003.7856632542,1173.4138729447
50,-2993.7377509243,2993.7377509243,2240.4950098431,1013.2722811519,-1030.1383706731,1210.35663917
51,-2993.734456423,2993.734456423,2303.5476356354,1039.4840333032,-1056.2174338357,1247.3302017998
52,-2993.7584279506,2993.7584279506,2366.3566892056,1065.4275727624,-1082.0320435513,1284.3246456544
