time,DJint,Jint,tip,tip_adv,tip_cum
0,0,0,0,0,0
1,2.4360340947129e-13,2.6131776186293e-13,0,0,0
2,8.0836502395305e-11,8.5812480520942e-11,0,0,0
3,5.8773651925121e-09,6.1904794114453e-09,0,0,0
4,1.6057677458699e-07,1.6794574031489e-07,0,0,0
5,2.0316658051518e-06,2.1095464668973e-06,0,0,0
6,1.3138797950971e-05,1.3532341934146e-05,0,0,0
7,4.5391017281285e-05,4.6315029677445e-05,0,0,0
8,8.481773179898e-05,8.5654056803448e-05,0,0,0
9,8.6299939963471e-05,8.6432333734886e-05,0,0,0
10,5.2400250450154e-05,5.2639821445628e-05,0,0,0
11,2.9550884476642e-05,2.9904085289108e-05,0,0.25,0.25
12,2.9485550629571e-05,2.9430746726862e-05,0.25,0.25,0.5
13,6.7832212405514e-05,6.9031083011857e-05,0.5,0.25,0.75
14,0.00010461145996503,0.00010597769357471,0.75,0.25,1
15,0.0001119964480226,0.00010786287943737,1,0.25,1.25
16,9.6047759217766e-05,8.4554022828238e-05,1.25,0.25,1.5
17,5.6672285598823e-05,4.1502654255993e-05,1.5,0.25,1.75
18,1.554808134404e-05,6.5338425846574e-06,1.75,0.25,2
19,6.4035234370289e-06,2.2193200980543e-05,2,0.25,2.25
20,2.7498322770671e-05,7.244994005117e-05,2.25,0.25,2.5
21,5.2385708501269e-05,9.1876852335895e-05,2.5,0.25,2.75
22,6.8113741068054e-05,7.2161145653864e-05,2.75,0.25,3
23,6.5841563007285e-05,5.3864127382047e-05,3,0.25,3.25
24,2.8813742874545e-05,2.3290652256804e-05,3.25,0.25,3.5
25,-1.8789765325339e-05,-3.1277955690815e-05,3.5,0.25,3.75
26,-3.6887182176971e-05,-5.4775485400113e-05,3.75,0.25,4
27,-4.1700201079617e-05,-3.1768936075724e-05,4,0.25,4.25
28,-3.8349195640046e-05,1.9251344372371e-05,4.25,0.25,4.5
29,5.087087963267e-06,0.00014177438697443,4.5,0.25,4.75
30,8.9347491180854e-05,0.0003676846071719,4.75,0.25,5
31,0.00019654188604084,0.00065194669681801,5,0.25,5.25
32,0.0003215623917387,0.00089754872425539,5.25,0.25,5.5
33,0.00047974020759202,0.0010321113228877,5.5,0.25,5.75
34,0.00066369089529296,0.0010640462063398,5.75,0.25,6
35,0.00085658108430851,0.0010488865795396,6,0.25,6.25
36,0.0010487504679451,0.001039632189283,6.25,0.25,6.5
37,0.0011901464777998,0.0010333447416838,6.5,0.25,6.75
38,0.0012215366816333,0.0009940379194435,6.75,0.25,7
39,0.0011538451331337,0.00094219541088719,7,0.25,7.25
40,0.0010211735839585,0.00090238915839408,7.25,0.25,7.5
41,0.00086191009031982,0.00087973199078798,7.5,0.25,7.75
42,0.00070711433436158,0.0008759888391354,7.75,0.25,8
43,0.00055660249179533,0.00085489287611433,8,0.25,8.25
44,0.00043068887308575,0.00078566311513743,8.25,0.25,8.5
45,0.00037436403094055,0.00068881628166309,8.5,0.25,8.75
46,0.00038239839962381,0.0005785767769282,8.75,0.25,9
47,0.00038140566243406,0.00043375044966299,9,0.25,9.25
48,0.00035496024866889,0.00026938908264316,9.25,0.25,9.5
49,0.00036255972634172,0.00015850528210046,9.5,0.25,9.75
50,0.00037740358041199,0.00015997711875865,9.75,0.25,10
51,0.00033268752391954,0.00022891001489126,10,0.25,10.25
52,0.00027082957855575,0.0003040528942381,10.25,0.25,10.5
53,0.00022641776563123,0.00039812859879966,10.5,0.25,10.75
