time,DJint,DJint_2,DJint_box,DJint_box_2,Jint,Jint_box,bot_react,external_work,fracture_energy,kinetic_energy,strain_energy,top_react
0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,-4.6845493752082e-05,-1.2441487129096e-19,2.2563330066694e-10,-1.5831326232228e-25,0.00021905526273561,4.4063634452683e-10,172.11583405232,0.053669483943088,0.031179432164022,0.0089093973870138,0.018817343134114,-172.11583405232
1,-0.00059583125497797,0.0008959073772049,3.003280109427e-08,1.2742493704911e-09,-0.00032270666619966,6.0642500519094e-08,-5.4636542195499,0.053657602305948,0.031179432164105,0.0094677783073629,0.011441694074833,5.4636542195499
1.5,-0.00048329313167725,0.00011551106141265,6.0110068599339e-07,6.4188740057925e-08,-0.00026251148862041,1.3817477447036e-06,-5.7566244151865,0.053645114326766,0.031179432242907,0.0079045899620047,0.0089193235731182,5.7566244151865
2,-0.00036736574578807,0.00056340110033517,3.0226048467644e-06,1.2250724772808e-06,-0.00018815155531299,9.2999725138696e-06,4.8685120308004,0.053659362669124,0.031179441093458,0.0064881191703057,0.0081768680801507,-4.8685120308004
2.5,-0.00035921600921917,0.0001487832727677,-2.258840314437e-07,9.3767157080683e-06,-0.00024061394543439,1.7604562212154e-05,0.099285419280437,0.053662051206293,0.03117961158199,0.0041451250826688,0.0094662312819353,-0.099285419280434
3,-0.00031698760782898,0.00040077928776785,-2.2331000846305e-05,3.1807518907961e-05,-0.00027961550317842,-7.3303492354693e-06,2.6228035896392,0.053671797286651,0.031180180969644,0.0010950790007332,0.011150836414954,-2.6228035896392
3.5,-0.00024069459429115,0.00018977676063615,-3.2762539708373e-05,5.0361352991534e-05,-0.00021704124789511,-2.7064124006722e-05,5.683799315887,0.053690188781274,0.031180183173784,0.00066762716902475,0.0092267269405588,-5.683799315887
4,-0.00019255189670457,0.00025974228662416,-2.8283768200864e-05,4.1178013709986e-05,-0.00010234174356219,-1.1904970483566e-06,13.026600216041,0.053729391791801,0.031180183173784,0.0030600285663774,0.0059996025494615,-13.026600216041
4.5,-0.00016788794357733,0.00013291621937891,-4.1546550865292e-05,3.1080352937287e-05,-6.1816154316655e-05,-1.0739871437713e-05,26.80456791432,0.053809144127078,0.031180183173784,0.0038158327053045,0.0057943991747953,-26.80456791432
