time,DJint,DJint_2,Jint,dt,external_work,kinetic_energy,strain_energy,tip,tip_adv,tip_cum,top_react
0,0,0,0,0,0,0,0,10,0,0,0
0.5,3.3116023861292e-05,1.3471766504275e-20,7.2264734158033e-05,0.5,0.010849253362428,0.0012795243534702,0.0031416947964405,10,0,0,69.657480072908
1,-0.00011458437203269,0.00016242416274956,-4.7425562544968e-05,0.5,0.010822555930328,0.0011872868524644,0.0026158662769281,10,0,0,-20.403091411743
1.5,-3.5076610471377e-05,0.00018684218159964,2.9638820295919e-05,0.5,0.010838251019313,0.00049227587250493,0.0024571180138754,10,0,0,20.707942638075
2,-2.5504826167635e-05,0.00020382323596729,-1.3672406596898e-05,0.5,0.010846673281659,0.00026118818542421,0.0023063948114079,10,0,0,21.030192329207
2.5,3.1675017119363e-05,6.9271251667829e-05,4.0076701418696e-05,0.5,0.010866108719561,0.00016007325455305,0.0020871706175856,10,0,0,28.927525157386
3,5.3162113243191e-05,2.4151601517486e-05,7.3934650939082e-05,0.5,0.010891553806862,0.00027219864858373,0.0019366622964635,10,0,0,25.201891909773
3.5,6.1164505962425e-05,-7.3659198305565e-06,7.7424641117323e-05,0.5,0.010923342739478,8.0183609331576e-05,0.0021165260057427,10,0,0,24.044694789556
4,7.0491004624161e-05,-6.6549827695628e-06,7.4656656796165e-05,0.5,0.010957508285653,5.0267231678385e-05,0.0020142316147363,10,0,0,27.79728653519
4.5,6.7582184563704e-05,1.1532565098892e-05,7.8395392520146e-05,0.5,0.010986957125501,0.00012358281344821,0.0019514364338865,10,0,0,28.443402018613
5,4.6688345005808e-05,4.5547093745315e-05,6.1849633198868e-05,0.5,0.01100894697572,0.00010126203197346,0.0020009591794289,10,0,0,23.979684065053
5.5,4.5653160233116e-05,4.8027236133573e-05,4.8643961723779e-05,0.5,0.011028900115034,2.9375683021178e-05,0.0020607684229733,10,0,0,21.381160392412
6,6.767441967045e-05,2.4318821189512e-05,6.979802087818e-05,0.5,0.01105552378341,2.4198182847371e-05,0.0020436613667159,10,0,0,24.071727364346
6.5,8.4484043761641e-05,-7.2912832690398e-06,9.0735075353302e-05,0.5,0.011091344469616,3.7172176941072e-05,0.0020609915449695,10,0,0,27.602248167149
7,9.3348257595398e-05,-2.1684842185461e-05,9.491254820073e-05,0.5,0.011131423357197,2.2816927235282e-05,0.0021024490811451,10,0,0,28.363932841624
7.5,9.2956436948577e-05,-1.3157186745487e-05,9.4304499422924e-05,0.5,0.011169452803914,2.8127208235087e-05,0.0021155936277704,10,0,0,27.158594658999
8,8.4055319764343e-05,5.3127414044827e-06,9.0095780638242e-05,0.5,0.011202910343861,4.2222712685543e-05,0.0021350663285085,10,0,0,26.09898059031
8.5,7.780781198673e-05,1.8922598179467e-05,8.2924030602532e-05,0.5,0.011233165145111,2.8900353012574e-05,0.0021841556320539,10,0,0,25.820454802195
9,8.1827565675959e-05,2.2020603242624e-05,8.2987861894734e-05,0.5,0.011263664861693,6.9743059030097e-06,0.0022272469475516,10,0,0,25.959906090896
9.5,9.32431048143e-05,1.3880559707909e-05,9.3507925358803e-05,0.5,0.011298260688483,4.2582538143951e-06,0.0022527642779412,10,0,0,26.439975462517
10,0.00010594537604482,-3.3315681962896e-07,0.00010674583186971,0.5,0.011339269750757,8.8115108522495e-06,0.0022851523264332,10,0,0,27.313083348364
10.5,0.00011534190616621,-1.1280641362934e-05,0.00011587007951306,0.5,0.011386062385448,8.0916791938869e-06,0.0023293514919574,10,0,0,28.128654709266
11,0.00011889266572126,-1.2248624114382e-05,0.0001193908466439,0.5,0.011435839874106,7.8577081112909e-06,0.0023748143765798,10,0,0,28.36333791858
11.5,0.00011812048626872,-4.579594344417e-06,0.00011906696845457,0.5,0.011486126664245,9.7759915077134e-06,0.002421712445448,10,0,0,28.114809281463
12,0.00011795921974903,4.4761059338078e-06,0.0001190517565923,0.5,0.011536636410968,9.0307655509678e-06,0.002473021923612,10,0,0,27.924640980116
12.5,0.00012204516538231,8.0653399586747e-06,0.00012316705297885,0.5,0.011589049883231,7.7562454213107e-06,0.0025243748162819,10,0,0,28.138687402722
13,0.00013035322824271,4.6626945975555e-06,0.00013162240151052,0.5,0.01164532332386,1.0349486448662e-05,0.0025748201348878,10,0,0,28.658549522572
13.5,0.00014040430618512,-1.7207921116713e-06,0.00014171510582769,0.5,0.011706161561897,1.4139558000476e-05,0.0026305301424806,10,0,0,29.186606275754
14,0.00014922678708297,-5.4388196989071e-06,0.00015064050089249,0.5,0.011770792770455,1.4713669009413e-05,0.0026944452718168,10,0,0,29.529851364008
14.5,0.00015541480737888,-3.7902104460245e-06,0.00015718348320785,0.5,0.011838023110437,1.2656857566164e-05,0.0027632763276285,10,0,0,29.685227804064
15,0.00016038723811723,1.3621798432887e-06,0.00016233794143293,0.5,0.011907669040479,1.0424504139377e-05,0.0028344690676379,10,0,0,29.773113339811
15.5,0.00016723024535249,5.622970942108e-06,0.00016886396829992,0.5,0.011981307132093,8.5371002971942e-06,0.0029090754290744,10,0,0,29.94546144838
16,0.00017802862895219,5.6083034832022e-06,0.00017919461700964,0.5,0.01206179559732,6.9558274318008e-06,0.002989224941668,10,0,0,30.297733004012
16.5,0.00019240282153577,1.2950321752773e-06,0.00019339007104376,0.5,0.012151872536993,6.3450629868531e-06,0.0030768127422552,10,0,0,30.808919171009
17,0.00020823005958906,-4.2799729055695e-06,0.00020945165610127,0.5,0.012252791089218,7.3955297537444e-06,0.0031730002422979,10,0,0,31.361866677788
17.5,0.00022331463960786,-7.4416450326316e-06,0.00022527793951982,0.5,0.0123639241799,1.0736703893064e-05,0.0032772199178489,10,0,0,31.837018518796
18,0.00023676115167829,-6.451203850682e-06,0.00024001094905079,0.5,0.012483563727585,1.6681213955853e-05,0.0033882331110805,10,0,0,32.196495806318
18.5,0.00024952884501606,-2.3986345855588e-06,0.00025421740148857,0.5,0.012610312268604,2.3991970561229e-05,0.0035065057849059,10,0,0,32.49170747287
19,0.00026382894468965,1.9665356654363e-06,0.00026947528517958,0.5,0.012744140898215,3.0075681244804e-05,0.003634252105977,10,0,0,32.807720231876
19.5,0.00028163473591958,4.2957280067568e-06,0.00028750734196942,0.5,0.012886529933727,3.3090310570504e-05,0.0037735608946138,10,0,0,33.20313015306
20,0.00030348573082848,4.0028340347924e-06,0.00030915514913674,0.5,0.013039779413632,3.324820250845e-05,0.0039254572824654,10,0,0,33.685605231101
20.5,0.00032853144362508,2.1764580101432e-06,0.00033403627410783,0.5,0.013206077609917,3.2214196739306e-05,0.0040901842991379,10,0,0,34.22453026788
21,0.00035554539633222,4.4685205491334e-07,0.00036119127454532,0.5,0.01338694886526,3.1860103237038e-05,0.0042677626182354,10,0,0,34.781325676401
21.5,0.00038394580894279,-2.1537402389346e-07,0.00039003354824994,0.5,0.013583321192733,3.3224182174447e-05,0.0044587449374279,10,0,0,35.3360461618
22,0.00041413408009344,2.8410897447203e-08,0.00042079936676471,0.5,0.013795980559347,3.6064633020286e-05,0.0046646342817318,10,0,0,35.895965610401
