"Time","Points:0","Points:1","Points:2"
0,10,0,0
1,10,0,0
2,10,0,0
3,10.125,0,0
4,10.125,0,0
5,10.125,0,0
6,10.125,0,0
7,10.125,0,0
8,10.125,0,0
9,10.125,0,0
10,10.125,0,0
11,10.125,0,0
12,10.125,0,0
13,10.125,0,0
14,10.125,0,0
15,10.125,0,0
16,10.125,0,0
17,10.125,0,0
18,10.125,0,0
19,10.125,0,0
20,10.125,0,0
21,10.125,0,0
22,10.125,0,0
23,10.125,0,0
24,10.125,0,0
25,10.125,0,0
26,10.125,0,0
27,10.125,0,0
28,10.125,0,0
29,10.125,0,0
30,10.125,0,0
31,10.125,0,0
32,10.125,0,0
33,10.125,0,0
34,10.125,0,0
35,10.125,0,0
36,10.25,0,0
37,10.25,0,0
38,10.25,0,0
39,10.25,0,0
40,10.25,0,0
41,10.25,0,0
42,10.25,0,0
43,10.375,0,0
44,10.5,0,0
45,10.75,0,0
46,11.125,0,0
47,11.375,0,0
48,11.625,0,0
49,11.75,0,0
50,11.875,0,0
51,12,0,0
52,12.25,0,0
53,12.5,0,0
54,13,0,0
55,13.5,0,0
56,14,0,0
57,14.625,0,0
58,15.125,0,0
59,15.625,0,0
60,16.125,0,0
61,16.375,0,0
62,16.75,0,0
63,17,0,0
64,17.25,0,0
65,17.5,0,0
66,18,0,0
67,18.375,0,0
68,18.875,0,0
69,19.5,0,0
70,20,0,0
71,20.5,0,0
72,21,0,0
73,21.5,0,0
74,21.875,0,0
75,22.25,0,0
76,22.625,0,0
77,22.875,0,0
78,23.25,0,0
79,23.625,0,0
80,24,0,0
81,24.5,0,0
82,25,0,0
83,25.5,0,0
84,26,0,0
85,26.5,0,0
86,26.875,0,0
87,27.375,0,0
88,27.75,0,0
89,28.125,0,0
90,28.5,0,0
91,28.875,0,0
92,29.25,0,0
93,29.625,0,0
94,30.125,0,0
95,30.5,0,0
96,31,0,0
97,31.5,0,0
98,31.875,0,0
99,32.375,0,0
100,32.875,0,0
