"Time","Points:0","Points:1","Points:2"
0,10,0,0
1,10,0,0
2,10,0,0
3,10,0,0
4,10,0,0
5,10,0,0
6,10,0,0
7,10,0,0
8,10,0,0
9,10,0,0
10,10,0,0
11,10,0,0
12,10,0,0
13,10,0,0
14,10,0,0
15,10,0,0
16,10,0,0
17,10,0,0
18,10,0,0
19,10,0,0
20,10,0,0
21,10,0,0
22,10,0,0
23,10,0,0
24,10,0,0
25,10,0,0
26,10.125,0,0
27,10.125,0,0
28,10.125,0,0
29,10.125,0,0
30,10.125,0,0
31,10.125,0,0
32,10.125,0,0
33,10.125,0,0
34,10.125,0,0
35,10.125,0,0
36,10.125,0,0
37,10.125,0,0
38,10.125,0,0
39,10.125,0,0
40,10.125,0,0
41,10.125,0,0
42,10.125,0,0
43,10.125,0,0
44,10.125,0,0
45,10.125,0,0
46,10.25,0,0
47,10.25,0,0
48,10.25,0,0
49,10.25,0,0
50,10.375,0,0
51,10.375,0,0
52,10.375,0,0
53,10.375,0,0
54,10.5,0,0
55,10.5,0,0
56,10.625,0,0
57,10.625,0,0
58,10.75,0,0
59,10.75,0,0
60,10.875,0,0
61,11,0,0
62,11,0,0
63,11.125,0,0
64,11.25,0,0
65,11.375,0,0
66,11.375,0,0
67,11.5,0,0
68,11.625,0,0
69,11.75,0,0
70,11.875,0,0
71,12.125,0,0
72,12.25,0,0
73,12.5,0,0
74,12.625,0,0
75,12.75,0,0
76,13,0,0
77,13.125,0,0
78,13.375,0,0
79,13.5,0,0
80,13.75,0,0
81,14,0,0
82,14.125,0,0
83,14.375,0,0
84,14.625,0,0
85,14.75,0,0
86,15,0,0
87,15.25,0,0
88,15.375,0,0
89,15.625,0,0
90,15.875,0,0
91,16,0,0
92,16.25,0,0
93,16.5,0,0
94,16.625,0,0
95,16.875,0,0
96,17.125,0,0
97,17.25,0,0
98,17.5,0,0
99,17.75,0,0
100,17.875,0,0
101,18.125,0,0
102,18.375,0,0
103,18.625,0,0
104,18.75,0,0
105,19,0,0
106,19.25,0,0
107,19.375,0,0
108,19.625,0,0
109,19.875,0,0
110,20.125,0,0
111,20.25,0,0
112,20.5,0,0
113,20.75,0,0
114,20.875,0,0
115,21.125,0,0
116,21.375,0,0
117,21.5,0,0
118,21.75,0,0
119,22,0,0
120,22.25,0,0
121,22.375,0,0
122,22.625,0,0
123,22.875,0,0
124,23,0,0
125,23.25,0,0
126,23.5,0,0
127,23.625,0,0
128,23.875,0,0
129,24.125,0,0
130,24.375,0,0
131,24.5,0,0
132,24.75,0,0
133,25,0,0
134,25.125,0,0
135,25.375,0,0
136,25.625,0,0
137,25.875,0,0
138,26,0,0
139,26.25,0,0
140,26.5,0,0
141,26.625,0,0
142,26.875,0,0
143,27.125,0,0
144,27.25,0,0
145,27.5,0,0
146,27.75,0,0
147,28,0,0
148,28.125,0,0
149,28.375,0,0
150,28.625,0,0
