time,DJ,DJ1,DJ2,EW,FE,Fy_top,J,KE,PEW,SE,max_disp_y,preset_ext_power,preset_ext_work_p
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.00036201043749882,0.00036199474655549,1.5690943336638e-08,-1.5563892108909e-24,0,291.65758854729,0.00040722204328209,0.0018655784623104,0.49517683293119,1.0228727192435,0.0025,0,0
0.5,0.00081793532357349,0.0005657696943157,0.00025216562925779,-4.5144830270447e-24,1.0553422230033e-06,416.65369792285,0.00091505520199452,0.01426531205588,0.49517683293119,0.99952705723871,0.0025,0,0
0.75,0.0014229545219671,0.00055010310835524,0.00087285141361188,-6.5111759927368e-24,1.9415562850952e-05,416.65369791986,0.0014219478984983,0.035420479086851,0.49517683293119,0.97635204564223,0.0025,0,0
1,0.0019603688166054,0.00048552484853656,0.0014748439680689,-8.0832350681405e-24,9.7876736758566e-05,416.65369791754,0.0019235561592125,0.058109103011106,0.49517683293119,0.95330094927423,0.0025,0,0
1.25,0.0023538728412384,0.00041283032400583,0.0019410425172326,2.2831478477433e-23,0.00029511477374134,416.65369791659,0.0024204778763479,0.080670942345578,0.49517683293119,0.93028118714023,0.0025,0,0
1.5,0.0026311855534262,0.00033451907527382,0.0022966664781524,1.2888097335759e-21,0.00064988622205713,416.65369791626,0.0029140108772049,0.10313265632691,0.49517683293119,0.90721106646506,0.0025,0,0
1.75,0.0028287339753863,0.00025378601384541,0.0025749479615409,5.961027400124e-20,0.0011708910812812,416.65369791507,0.0034063877867272,0.12553530540232,0.49517683293119,0.88403360669026,0.0025,0,0
2,0.0029670980733105,0.0001711227687979,0.0027959753045126,2.5368082173487e-18,0.0018567259615974,416.65369804821,0.0038978847915075,0.14791914166243,0.49517683293118,0.8607080826666,0.0025,0,0
2.25,0.0030518169368196,8.8732642654858e-05,0.0029630842941647,6.3427840330311e-17,0.0027022171904931,416.65370077775,0.0043893113051845,0.1703267405624,0.49517683293117,0.83719206164552,0.0025,0,0
2.5,0.0030917285245395,9.6793034051502e-06,0.0030820492211344,7.3799871660208e-16,0.0036950384797183,416.65372903436,0.0048825996450296,0.19279928296009,0.49517683293107,0.8134595284687,0.0025,0,0
