time,avg_disp_y_impactor,avg_vel_impactor,max_disp_bego,max_vel_bego
0,0,0,0,0
1e-06,-0.01,-19200,0,0
2e-06,-0.02,-2560,0,0
3e-06,-0.03,-15616,0,0
4e-06,-0.04,-5939.2,0,0
5e-06,-0.05,-12851.2,0,0
6e-06,-0.06,-8040.448,0,0
7e-06,-0.07,-11325.0304,0,0
8e-06,-0.08,-9115.4022400001,0,0
9e-06,-0.09,-10584.506368,0,0
1e-05,-0.1,-9617.0475519999,0,0
1.01e-05,-0.10062959203109,-9267.4888739696,-0.00067403912287905,-12941.551159278
1.02e-05,-0.1011996378071,-9172.5259435008,-0.0020268809754255,-14758.552564185
1.03e-05,-0.10217772389374,-9172.5144543928,-0.0032519882439071,-9811.025916783
1.04e-05,-0.10326653375255,-9163.9150916528,-0.0038841009956433,-5143.8948627816
1.05e-05,-0.10402528578521,-9055.3122158803,-0.0041162920856982,-7639.430596465
1.06e-05,-0.10453448075159,-8853.0570767957,-0.0046490100886865,-8307.5526970771
1.07e-05,-0.10523914898327,-8741.13338486,-0.0053916793140327,-7848.2628474262
1.08e-05,-0.10609086399331,-8593.9516564712,-0.0062786527113124,-10145.137105609
1.09e-05,-0.10687285632102,-8535.1747226,-0.0071071396510677,-7643.6997224362
1.1e-05,-0.10761042383233,-8446.1375271765,-0.0078477659248012,-7866.9803817738
1.11e-05,-0.1083391477173,-8307.7481734979,-0.0086020250120419,-8908.7023180112
1.12e-05,-0.10910168189963,-8211.7385890157,-0.0094032774589209,-8461.354007299
1.13e-05,-0.10984914830402,-8094.5499749813,-0.010180387854469,-8428.4971416966
1.14e-05,-0.11056115487571,-7990.571053555,-0.010973463365842,-7468.0733294425
1.15e-05,-0.11127070656023,-7860.465254404,-0.011716712435652,-7704.7816615621
1.16e-05,-0.11199262854928,-7743.861292468,-0.012449070208621,-8000.5664288768
1.17e-05,-0.11270920184109,-7626.1283254987,-0.013185344553646,-8118.9042429451
1.18e-05,-0.11341514392519,-7512.4949806,-0.01392134395098,-8113.7881781997
1.19e-05,-0.11412728662058,-7392.7674746929,-0.014661562618274,-7899.8292286351
1.2e-05,-0.1148516065253,-7277.7496867256,-0.015413383687647,-7628.7701114578
1.21e-05,-0.1155752442572,-7164.4757638304,-0.016168760346752,-7935.2686853722
1.22e-05,-0.11629116302333,-7050.0612465927,-0.01690978060235,-8113.922090865
1.23e-05,-0.1170063102811,-6930.4839394476,-0.01762712203907,-8092.4562168043
1.24e-05,-0.11772508093596,-6809.1596582215,-0.018325798072959,-7901.918886565
1.25e-05,-0.1184431651413,-6686.8618457668,-0.019019827070184,-7661.357704794
1.26e-05,-0.11915930126181,-6562.657869564,-0.019732174197162,-7873.4890392628
1.27e-05,-0.11987976651423,-6436.0101588464,-0.020457546657928,-8035.4636642811
1.28e-05,-0.12060806049168,-6309.4180635697,-0.021206985167031,-7991.3721776187
1.29e-05,-0.1213359695872,-6185.8187059246,-0.021947686967479,-7765.0001580753
1.3e-05,-0.12204373456506,-6067.9496570412,-0.022641809086666,-7556.8107787402
1.31e-05,-0.12270672494221,-5957.0071477375,-0.02325897495035,-7768.1478227451
1.32e-05,-0.12331235595794,-5849.3420703566,-0.023800075810954,-7859.9002035478
1.33e-05,-0.12388291940135,-5735.870197998,-0.024326213523849,-7762.6651052999
1.34e-05,-0.12447443444563,-5610.5868478961,-0.024908611323126,-7887.1177979382
1.35e-05,-0.12513052516936,-5480.4194919757,-0.025608969899619,-7968.1732721418
1.36e-05,-0.12582802268635,-5361.596083124,-0.02637703982711,-7959.3465779107
1.37e-05,-0.12648350323652,-5262.050572914,-0.027070377767148,-7699.9890695905
1.38e-05,-0.12703290897654,-5169.901851437,-0.027637905489674,-8011.7462136323
1.39e-05,-0.12750380505684,-5064.6566616009,-0.028127968345604,-8093.19969503
1.4e-05,-0.12799227573317,-4940.671990368,-0.028647921143733,-7929.285970735
1.41e-05,-0.12856131414731,-4814.6934953571,-0.029385169605164,-8155.1541630792
1.42e-05,-0.12917441451029,-4706.7442749705,-0.030156652345789,-7775.7664606776
1.43e-05,-0.12974067884398,-4617.2056245809,-0.030761275414648,-8005.5855049262
1.44e-05,-0.13021429754538,-4528.6515836883,-0.031146747968851,-8037.4004611463
1.45e-05,-0.13062941061479,-4428.9271482165,-0.031456935497193,-7894.0448808936
1.46e-05,-0.13104054238926,-4324.4572071359,-0.031856420796421,-7618.6481386411
1.47e-05,-0.13145820907302,-4227.6778720353,-0.032348291217003,-7676.7057073918
1.48e-05,-0.13185998620689,-4138.8020243207,-0.032799553424186,-7886.3047497982
1.49e-05,-0.13224310889186,-4047.9208391382,-0.033122914488206,-7866.8267541523
1.5e-05,-0.13263330910363,-3951.7893349675,-0.03338072185191,-7636.903737547
1.51e-05,-0.13304151312219,-3858.8095765231,-0.033710741316336,-7270.9515799189
1.52e-05,-0.13344045960505,-3775.5737676506,-0.034118359536592,-7426.6378827389
1.53e-05,-0.13379859355504,-3696.4907996588,-0.034566731244261,-7554.8659222842
1.54e-05,-0.13412040129348,-3611.8966700153,-0.034949429119902,-7451.4533953648
1.55e-05,-0.13443591749073,-3521.5274630949,-0.035240943706047,-7162.8794826115
1.56e-05,-0.13475919369369,-3433.6716329589,-0.035487386510359,-6780.0013424478
1.57e-05,-0.13507546737519,-3353.0944078361,-0.035804310171711,-7003.694580566
1.58e-05,-0.13536777935532,-3276.0803140266,-0.036140738931794,-7054.0425504261
1.59e-05,-0.13563892012573,-3197.7861001158,-0.03646899917648,-6898.4970237549
1.6e-05,-0.13590121277357,-3119.0998194283,-0.036869497341468,-6828.7322722119
1.61e-05,-0.13615672204348,-3043.8133798932,-0.037220813817495,-6740.3241110394
1.62e-05,-0.136397486774,-2972.3477481794,-0.037480332865715,-6541.8467829024
1.63e-05,-0.13662092680144,-2901.1633885598,-0.037651812415174,-6707.1098746751
1.64e-05,-0.13683778298949,-2826.7488486342,-0.037777737579713,-6824.9928695196
1.65e-05,-0.13706633144037,-2747.9043901385,-0.037912232352365,-6807.4832283863
1.66e-05,-0.13732225951965,-2665.348581491,-0.03809775809201,-6643.9747462122
1.67e-05,-0.1376095643438,-2581.5631867424,-0.038347613271123,-6473.9808279043
1.68e-05,-0.13791368683253,-2500.4867822313,-0.038632037471062,-6684.4559066915
1.69e-05,-0.13820482390257,-2424.6185134515,-0.038887307774896,-6761.0293721833
1.7e-05,-0.13845785414466,-2351.5212493434,-0.039063064906936,-6672.1126859943
1.71e-05,-0.13867579236368,-2274.9568858744,-0.039175114146397,-6425.9182708558
1.72e-05,-0.13889115383735,-2191.0544668587,-0.039317913510101,-6378.6491618303
1.73e-05,-0.13913799400109,-2102.9727386203,-0.039573796799547,-6554.4614795356
1.74e-05,-0.13941969370933,-2018.3682521505,-0.039870589126803,-6570.8329483114
1.75e-05,-0.13970497659446,-1942.0162775871,-0.040167155659067,-6414.1619264613
1.76e-05,-0.13995667897139,-1871.335341657,-0.040445418823362,-6112.3068885607
1.77e-05,-0.14016480254606,-1799.2878055075,-0.040658215148722,-6169.2224672775
1.78e-05,-0.14035221164733,-1721.3819347835,-0.040852011111678,-6303.8202922549
1.79e-05,-0.14054999288225,-1639.5588229246,-0.041073491412422,-6273.1278712689
1.8e-05,-0.14076941819998,-1559.2981349785,-0.041325344495785,-6080.0258128867
1.81e-05,-0.14099790231343,-1483.5523058167,-0.041580094019654,-5766.0608268718
1.82e-05,-0.14121818434807,-1410.390765785,-0.041822997573101,-5860.9467378961
1.83e-05,-0.14142530066968,-1336.6443337312,-0.042054573284198,-5970.399970132
1.84e-05,-0.14162265764285,-1262.5514365993,-0.042314641456037,-5921.2724638314
1.85e-05,-0.14180697026426,-1191.3824080016,-0.042583511723821,-5727.4707626162
1.86e-05,-0.14196551733382,-1124.7537280222,-0.042815119671176,-5440.0323831401
1.87e-05,-0.14209088264873,-1060.1235261855,-0.042972743531703,-5505.8565661508
1.88e-05,-0.14219314119334,-994.01162016733,-0.043065287040357,-5609.4496422061
1.89e-05,-0.1422914726739,-926.75511867624,-0.043136605438335,-5563.9961577268
1.9e-05,-0.14239376415209,-862.53304759175,-0.043222374872282,-5389.2691749567
1.91e-05,-0.14248852487494,-804.60224879871,-0.043322595950129,-5134.8682784585
1.92e-05,-0.14255832642993,-751.67834855743,-0.04341275092483,-5159.9110528872
1.93e-05,-0.14259864123155,-699.49667134099,-0.043471416932126,-5262.9053299633
1.94e-05,-0.14262196976534,-645.04261100725,-0.043493368394411,-5222.5864013676
1.95e-05,-0.14264616433836,-588.43008679482,-0.043485442823585,-5062.6049852679
1.96e-05,-0.14268189403021,-531.24565444041,-0.043461953139814,-4833.1512144375
1.97e-05,-0.14273009946437,-474.3889753417,-0.043444451749798,-4858.0394349693
1.98e-05,-0.1427863787367,-417.91444475143,-0.043454041148688,-4946.0123051206
1.99e-05,-0.14284424291847,-362.07895207735,-0.043493015577048,-4892.176831732
2e-05,-0.14289551505503,-307.58553315178,-0.043534199159484,-4725.7624881247
2.01e-05,-0.14293182621255,-254.73992225442,-0.043536623629504,-4551.8683249527
