time,max_disp_y,min_disp_y
0,0,0
1e-07,0.00034587113864713,-0.001995
2e-07,0.00013637223033535,-0.00398
3e-07,0.00071643488967748,-0.005955
4e-07,0.0013084595396043,-0.00792
5e-07,0.0019025560364742,-0.009875
6e-07,0.0022178774143671,-0.01182
7e-07,0.0019435218716136,-0.013755
8e-07,0.0019267759841306,-0.01568
9e-07,0.0018272630179215,-0.017595
1e-06,0.0016152191231772,-0.0195
1.1e-06,0.0011782233888747,-0.021395
1.2e-06,0.0015217835962613,-0.02328
1.3e-06,0.0018607540270984,-0.025155
1.4e-06,0.0019057261475839,-0.02702
1.5e-06,0.0015554216609399,-0.028875
1.6e-06,0.0015831337855907,-0.03072
1.7e-06,0.001881053053704,-0.032555
1.8e-06,0.0025742879427845,-0.03438
1.9e-06,0.0036067496249169,-0.036195
2e-06,0.0046762447836469,-0.038
2.1e-06,0.0057196909022627,-0.039795
2.2e-06,0.0067100598902898,-0.04158
2.3e-06,0.0076327872723591,-0.043355
2.4e-06,0.008529448627437,-0.04512
2.5e-06,0.00944695758631,-0.046875
2.6e-06,0.010377379088155,-0.04862
2.7e-06,0.011321368852068,-0.050355
2.8e-06,0.01234422330129,-0.05208
2.9e-06,0.013471786060763,-0.053795
3e-06,0.014540795823813,-0.0555
3.1e-06,0.015360052817441,-0.057195
3.2e-06,0.015966460455612,-0.05888
3.3e-06,0.016512209685515,-0.060555
3.4e-06,0.017048907663805,-0.06222
3.5e-06,0.017846810986145,-0.063875
3.6e-06,0.019376228280218,-0.06552
3.7e-06,0.020940788403368,-0.067155
3.8e-06,0.022519636551122,-0.06878
3.9e-06,0.024076572286233,-0.070395
4e-06,0.025581865831844,-0.072
4.1e-06,0.027027110482468,-0.073595
4.2e-06,0.028390330761171,-0.07518
4.3e-06,0.029641787258121,-0.076755
4.4e-06,0.030784372043207,-0.07832
4.5e-06,0.031835112657897,-0.079875
4.6e-06,0.032781961288323,-0.08142
4.7e-06,0.033588963864937,-0.082955
4.8e-06,0.034233666135689,-0.08448
4.9e-06,0.034722151423373,-0.085995
5e-06,0.035065146397451,-0.0875
5.1e-06,0.0352678662734,-0.088995
5.2e-06,0.03534325906381,-0.09048
5.3e-06,0.035294202987405,-0.091955
5.4e-06,0.03508928965161,-0.09342
5.5e-06,0.034686873586214,-0.094875
5.6e-06,0.034067593764777,-0.09632
5.7e-06,0.034443269089927,-0.097755
5.8e-06,0.035766550009949,-0.09918
5.9e-06,0.037114697191045,-0.100595
6e-06,0.038482116036228,-0.102
6.1e-06,0.039843029324654,-0.103395
6.2e-06,0.041159299950057,-0.10478
6.3e-06,0.042422759408826,-0.106155
6.4e-06,0.043666770209637,-0.10752
6.5e-06,0.044925907904682,-0.108875
6.6e-06,0.046201743531461,-0.11022
6.7e-06,0.047469346264789,-0.111555
6.8e-06,0.048700114623704,-0.11288
6.9e-06,0.049874133043704,-0.114195
