time,max_d,max_disp_y,min_disp_y
0,0,0,0
1e-07,0,0.00034690204315911,-0.001995
2e-07,0.026402614514903,0.00032705232633374,-0.00398
3e-07,0.061348462810016,0.00020071096273856,-0.005955
4e-07,0.13384583129533,0.00022859793481762,-0.00792
5e-07,0.16894235947502,0.00022309756950947,-0.009875
6e-07,0.21473886672255,0.00026055748812963,-0.01182
7e-07,0.25923751193343,0.00024269583405693,-0.013755
8e-07,0.29637405428674,0.00027328288811342,-0.01568
9e-07,0.32451526333886,0.00032973575859084,-0.017595
1e-06,0.35727222392251,0.0003264821578766,-0.0195
1.1e-06,0.39059411451904,0.00034960536225397,-0.021395
1.2e-06,0.4280126699607,0.00036875091038117,-0.02328
1.3e-06,0.46572287654671,0.00039823890102391,-0.025155
1.4e-06,0.48719773095252,0.00047152693609832,-0.02702
1.5e-06,0.51724866082433,0.00046993929956065,-0.028875
1.6e-06,0.55105123715728,0.0004942735104908,-0.03072
1.7e-06,0.57850746401777,0.00050691178252744,-0.032555
1.8e-06,0.61186915716712,0.00052932078484378,-0.03438
1.9e-06,0.64373140874931,0.00056162044054678,-0.036195
2e-06,0.67405497552905,0.00056145760738834,-0.038
2.1e-06,0.70103216704096,0.00057070556150943,-0.039795
2.2e-06,0.72540444794672,0.00063935848762206,-0.04158
2.3e-06,0.76630695652121,0.00066019153082993,-0.043355
2.4e-06,0.80755345549025,0.00069478582350281,-0.04512
2.5e-06,0.83991278427765,0.00068826051799876,-0.046875
2.6e-06,0.86960063273901,0.000673857536951,-0.04862
2.7e-06,0.89417192541828,0.00072831303148531,-0.050355
2.8e-06,0.91801155650487,0.000776372582807,-0.05208
2.9e-06,0.93811873801872,0.00082500811048673,-0.053795
3e-06,0.95424965401621,0.00086717592530338,-0.0555
3.1e-06,0.96559386441887,0.00086337720806734,-0.057195
3.2e-06,0.97288931826228,0.0008995676974625,-0.05888
3.3e-06,0.98271985129378,0.0009270570875105,-0.060555
3.4e-06,0.99017581539771,0.00094048721613651,-0.06222
3.5e-06,0.99558928400485,0.00096795160463006,-0.063875
3.6e-06,0.99937246062853,0.00099022871548724,-0.06552
3.7e-06,1,0.0010477097872092,-0.067155
3.8e-06,1,0.001092204615798,-0.06878
3.9e-06,1,0.0012019437444106,-0.070395
4e-06,1,0.0012430394295934,-0.072
4.1e-06,1,0.0012122790437993,-0.073595
4.2e-06,1,0.0012128441540542,-0.07518
4.3e-06,1,0.0012377480112977,-0.076755
4.4e-06,1,0.0012335699623202,-0.07832
4.5e-06,1,0.0012880449068046,-0.079875
4.6e-06,1,0.0013371525882638,-0.08142
4.7e-06,1,0.0014358531543527,-0.082955
4.8e-06,1,0.0014546661146177,-0.08448
4.9e-06,1,0.0014631382798454,-0.085995
5e-06,1,0.0014797991029133,-0.0875
5.1e-06,1,0.0014740866299265,-0.088995
5.2e-06,1,0.0015129466390843,-0.09048
5.3e-06,1,0.0015503171081939,-0.091955
5.4e-06,1,0.0015881676047096,-0.09342
5.5e-06,1,0.0016286430915407,-0.094875
5.6e-06,1,0.0016786747022118,-0.09632
5.7e-06,1,0.0017156664895279,-0.097755
5.8e-06,1,0.0017190919220672,-0.09918
5.9e-06,1,0.0017693086012752,-0.100595
6e-06,1,0.0017710871081894,-0.102
6.1e-06,1,0.0017503243176657,-0.103395
6.2e-06,1,0.0017919572484909,-0.10478
6.3e-06,1,0.0017910954663369,-0.106155
6.4e-06,1,0.0018495936445394,-0.10752
6.5e-06,1,0.0019014404415584,-0.108875
6.6e-06,1,0.0019039564477315,-0.11022
6.7e-06,1,0.0019567671475366,-0.111555
6.8e-06,1,0.0019823958706908,-0.11288
6.9e-06,1,0.002010709779713,-0.114195
7e-06,1,0.0020348584041016,-0.1155
7.1e-06,1,0.0020318667614215,-0.116795
7.2e-06,1,0.0020697712683077,-0.11808
7.3e-06,1,0.0020593131928693,-0.119355
7.4e-06,1,0.0021321541173296,-0.12062
7.5e-06,1,0.0021738397662102,-0.121875
7.6e-06,1,0.0021824105770031,-0.12312
7.7e-06,1,0.0021906702853528,-0.124355
7.8e-06,1,0.0022940449855176,-0.12558
7.9e-06,1,0.0023543370753134,-0.126795
8e-06,1,0.0023702730788152,-0.128
8.1e-06,1,0.0023308808578655,-0.129195
8.2e-06,1,0.0023230624631986,-0.13038
8.3e-06,1,0.0023415051291366,-0.131555
8.4e-06,1,0.0023832386756553,-0.13272
8.5e-06,1,0.0024322855937413,-0.133875
8.6e-06,1,0.0024294236692402,-0.13502
8.7e-06,1,0.0025015541985444,-0.136155
8.8e-06,1,0.0025281210806246,-0.13728
8.9e-06,1,0.0025531034653388,-0.138395
9e-06,1,0.0025545962583901,-0.1395
9.1e-06,1,0.002560674071754,-0.140595
9.2e-06,1,0.00256869912585,-0.14168
9.3e-06,1,0.0026126557162657,-0.142755
9.4e-06,1,0.0026422389168363,-0.14382
9.5e-06,1,0.0026729310337936,-0.144875
9.6e-06,1,0.0027196562863289,-0.14592
9.7e-06,1,0.0027563634083493,-0.146955
9.8e-06,1,0.0028096778354073,-0.14798
9.9e-06,1,0.0028293516891671,-0.148995
1e-05,1,0.0028339198865054,-0.15
1.01e-05,1,0.0028321897936043,-0.150995
1.02e-05,1,0.0028500736546589,-0.15198
1.03e-05,1,0.0028559077670909,-0.152955
1.04e-05,1,0.0029345605432897,-0.15392
1.05e-05,1,0.0029821201931192,-0.154875
1.06e-05,1,0.0030099173404304,-0.15582
1.07e-05,1,0.0030256391897613,-0.15734051878123
1.08e-05,1,0.0030558560690563,-0.15943874068005
1.09e-05,1,0.0030734771212585,-0.16152260132303
1.1e-05,1,0.0030888953379105,-0.16360400925629
1.11e-05,1,0.003116264172719,-0.16568657156343
1.12e-05,1,0.0031043065991438,-0.16776995543617
1.13e-05,1,0.0030967016963182,-0.16985192319272
1.14e-05,1,0.0030830910407074,-0.17192885471115
1.15e-05,1,0.0030575943595134,-0.17399478039662
1.16e-05,1,0.003016173583091,-0.17604249252295
1.17e-05,1,0.0029921052532648,-0.1780674548161
1.18e-05,1,0.0029821383490769,-0.18007042016008
1.19e-05,1,0.002970331068777,-0.18205682693999
1.2e-05,1,0.0029448197198844,-0.1840330785301
1.21e-05,1,0.0029312365181399,-0.18600388693976
1.22e-05,1,0.0028908562625879,-0.18797113645104
1.23e-05,1,0.0028266658679983,-0.18993479436495
1.24e-05,1,0.0027646020247167,-0.19189526509992
1.25e-05,1,0.0027733482237148,-0.19385470934672
1.26e-05,1,0.002759721778426,-0.19581601843614
1.27e-05,1,0.0027150300296088,-0.19778021378792
1.28e-05,1,0.0026807518988748,-0.19974517023439
1.29e-05,1,0.0027215952260499,-0.20170699562046
1.3e-05,1,0.0030001535027133,-0.20366292222755
1.31e-05,1,0.0032796435462603,-0.20561301400685
1.32e-05,1,0.0035599346301562,-0.20755884759681
1.33e-05,1,0.0038395963984616,-0.2095008711977
1.34e-05,1,0.0041158233902425,-0.21143752254129
1.35e-05,1,0.0043848436980422,-0.21336644859959
1.36e-05,1,0.0046424802036994,-0.21528616815068
1.37e-05,1,0.0048869574734403,-0.21719674715457
1.38e-05,1,0.0051167477898047,-0.21909892779829
1.39e-05,1,0.0053283081091044,-0.22099266445183
1.4e-05,1,0.0055191553132963,-0.22287767655143
