time,max_disp_y,min_disp_y
0,0,0
1e-07,1.7337676331419e-06,-1e-05
2e-07,6.8387049951832e-07,-2e-05
3e-07,3.5980756349341e-06,-3e-05
4e-07,6.5707754388131e-06,-4e-05
5e-07,9.5647581330194e-06,-5e-05
6e-07,1.1615009032224e-05,-6e-05
7e-07,1.2473947585407e-05,-7e-05
8e-07,1.2099938474692e-05,-8e-05
9e-07,1.0622842874358e-05,-9e-05
1e-06,8.2637136367686e-06,-0.0001
1.1e-06,5.2439494082577e-06,-0.00011
1.2e-06,7.4523020923947e-06,-0.00012
1.3e-06,9.4155425419273e-06,-0.00013
1.4e-06,9.9415156927883e-06,-0.00014
1.5e-06,1.003327612101e-05,-0.00015
1.6e-06,1.0735557868788e-05,-0.00016
1.7e-06,1.0896745547993e-05,-0.00017
1.8e-06,1.1091907438151e-05,-0.00018
1.9e-06,1.1286800890394e-05,-0.00019
2e-06,9.3544425576539e-06,-0.0002
2.1e-06,9.0809497510108e-06,-0.00021
2.2e-06,1.0939560504763e-05,-0.00022
2.3e-06,1.2771025512894e-05,-0.00023
2.4e-06,1.2904690000954e-05,-0.00024
2.5e-06,1.3201492501626e-05,-0.00025
2.6e-06,1.3203859941681e-05,-0.00026
2.7e-06,1.2844127638275e-05,-0.00027
2.8e-06,1.432938455002e-05,-0.00028
