time,max_disp_y,min_disp_y
0,0,0
1e-07,2.2676382524078e-06,-1e-05
2e-07,8.3282188944604e-07,-2e-05
3e-07,1.5869680623727e-06,-3e-05
4e-07,1.8963308143518e-06,-4e-05
5e-07,1.377774219066e-06,-5e-05
6e-07,1.2538031332324e-06,-6e-05
7e-07,1.8336913815172e-06,-7e-05
8e-07,2.5208576716371e-06,-8e-05
9e-07,2.7266397554212e-06,-9e-05
1e-06,2.1565090094913e-06,-0.0001
1.1e-06,1.5982394308016e-06,-0.00011
1.2e-06,2.5341802601989e-06,-0.00012
1.3e-06,3.2463940076466e-06,-0.00013
1.4e-06,3.4496731294592e-06,-0.00014
1.5e-06,2.9105314191514e-06,-0.00015
1.6e-06,2.1958545843769e-06,-0.00016
1.7e-06,3.1890942426124e-06,-0.00017
1.8e-06,3.9514277105438e-06,-0.00018
1.9e-06,4.1935756316795e-06,-0.00019
2e-06,3.9666281771709e-06,-0.0002
2.1e-06,4.4315558125091e-06,-0.00021
2.2e-06,4.9598161666274e-06,-0.00022
2.3e-06,5.4949901616782e-06,-0.00023
2.4e-06,5.9320859094935e-06,-0.00024
2.5e-06,6.1545416651565e-06,-0.00025
2.6e-06,6.0783610472465e-06,-0.00026
2.7e-06,5.6826072521393e-06,-0.00027
2.8e-06,5.2903884808895e-06,-0.00028
2.9e-06,6.0529849349307e-06,-0.00029
3e-06,6.7409546642495e-06,-0.0003
3.1e-06,7.3410217833548e-06,-0.00031
3.2e-06,7.8614476412041e-06,-0.00032
3.3e-06,8.5093531339699e-06,-0.00033
3.4e-06,9.0265387737401e-06,-0.00034
3.5e-06,9.3391839831431e-06,-0.00035
3.6e-06,9.4571427832346e-06,-0.00036
3.7e-06,9.4132160076622e-06,-0.00037
3.8e-06,9.2385643066235e-06,-0.00038
3.9e-06,8.9397766163725e-06,-0.00039
4e-06,9.3245737583841e-06,-0.0004
4.1e-06,1.0213772789472e-05,-0.00041
4.2e-06,1.1057284566019e-05,-0.00042
4.3e-06,1.1823159046091e-05,-0.00043
4.4e-06,1.2464884877705e-05,-0.00044
4.5e-06,1.2931407959388e-05,-0.00045
4.6e-06,1.3182880629528e-05,-0.00046
4.7e-06,1.3204405280073e-05,-0.00047
4.8e-06,1.3011044615847e-05,-0.00048
4.9e-06,1.2640901919365e-05,-0.00049
5e-06,1.2440455733734e-05,-0.0005
5.1e-06,1.3352841982243e-05,-0.00051
5.2e-06,1.4152029823523e-05,-0.00052
5.3e-06,1.4843535661715e-05,-0.00053
5.4e-06,1.5431602299188e-05,-0.00054
5.5e-06,1.5910286608455e-05,-0.00055
5.6e-06,1.6260075026447e-05,-0.00056
5.7e-06,1.6452123444397e-05,-0.00057
5.8e-06,1.6458699657439e-05,-0.00058
5.9e-06,1.6265298302441e-05,-0.00059
6e-06,1.587870261658e-05,-0.0006
6.1e-06,1.6316722610663e-05,-0.00061
6.2e-06,1.7158021642057e-05,-0.00062
6.3e-06,1.7841846075554e-05,-0.00063
6.4e-06,1.8373165079469e-05,-0.00064
6.5e-06,1.8770426359965e-05,-0.00065
6.6e-06,1.9056688291643e-05,-0.00066
6.7e-06,1.924910256488e-05,-0.00067
6.8e-06,1.9351073742803e-05,-0.00068
6.9e-06,1.9350469634823e-05,-0.00069
