time,max_disp_z,min_disp_z
0,0,0
1e-07,5.8974241862004e-05,-0.0001
2e-07,0.0001108496002002,-0.0002
3e-07,0.00015093252055432,-0.0003
4e-07,0.00017706389131411,-0.0004
5e-07,0.00018983503121235,-0.0005
6e-07,0.00019158271924867,-0.0006
7e-07,0.00018585711585136,-0.0007
8e-07,0.00017519057373439,-0.0008
9e-07,0.00015887562952294,-0.0009
1e-06,0.00013564032142393,-0.001
1.1e-06,0.00010412188659793,-0.0011
1.2e-06,7.9920073473641e-05,-0.0012
1.3e-06,6.9765476302259e-05,-0.0013
1.4e-06,8.0079869679681e-05,-0.0014
1.5e-06,8.85485366644e-05,-0.0015
1.6e-06,9.3976004149529e-05,-0.0016
1.7e-06,9.7178796724087e-05,-0.0017
1.8e-06,9.5232582912079e-05,-0.0018
1.9e-06,8.7894099236408e-05,-0.0019
2e-06,9.084244483411e-05,-0.002
2.1e-06,9.2629592409099e-05,-0.0021
2.2e-06,9.6872794670257e-05,-0.0022
2.3e-06,9.0762803853249e-05,-0.0023
2.4e-06,9.131511313114e-05,-0.0024
2.5e-06,9.5086251890898e-05,-0.0025
2.6e-06,0.00010052684409252,-0.0026
2.7e-06,0.00010938956517995,-0.0027
2.8e-06,0.00010277172951709,-0.0028
2.9e-06,0.00010280053293107,-0.0029
3e-06,0.00010331878462119,-0.003
3.1e-06,0.00011234146581295,-0.0031
3.2e-06,0.00012020769658231,-0.0032
3.3e-06,0.00011406334834311,-0.0033
3.4e-06,0.00011216453917149,-0.0034
3.5e-06,0.00011471790379912,-0.0035
3.6e-06,0.00012250314481464,-0.0036
3.7e-06,0.00013065026795706,-0.0037
3.8e-06,0.00012335248241314,-0.0038
3.9e-06,0.00011875117867786,-0.0039
4e-06,0.00011447206551933,-0.004
4.1e-06,0.00013127050758057,-0.0041
4.2e-06,0.00013934831091347,-0.0042
4.3e-06,0.00013021417950395,-0.0043
4.4e-06,0.00012664845009048,-0.0044
4.5e-06,0.00012545376157424,-0.0045
4.6e-06,0.00013986539165414,-0.0046
4.7e-06,0.00014599589948686,-0.0047
4.8e-06,0.00013639560843542,-0.0048
4.9e-06,0.00012023314972549,-0.0049
5e-06,0.00012782589057292,-0.005
5.1e-06,0.00014699140881092,-0.0051
5.2e-06,0.00015116431018139,-0.0052
5.3e-06,0.00014387930606768,-0.0053
5.4e-06,0.000131984792773,-0.0054
5.5e-06,0.00013575542593804,-0.0055
5.6e-06,0.00015285637805826,-0.0056
5.7e-06,0.00015907488457503,-0.0057
5.8e-06,0.00014842458871401,-0.0058
5.9e-06,0.00012810910690093,-0.0059
6e-06,0.00014293282387394,-0.006
6.1e-06,0.00016166058806374,-0.0061
6.2e-06,0.00016461406458942,-0.0062
6.3e-06,0.00014963792104417,-0.0063
6.4e-06,0.00013821752552434,-0.0064
