time,max_d,max_disp_z,min_disp_z
0,0,0,0
1e-07,0,0.00026083087117418,-0.001
2e-07,0,0.00049283107116891,-0.002
3e-07,0,0.00067567732023649,-0.003
4e-07,0,0.00079831248075828,-0.004
5e-07,0,0.00085989779835814,-0.005
6e-07,0,0.00086676315866039,-0.006
7e-07,0,0.00082718105541491,-0.007
8e-07,0,0.00074631994930593,-0.008
9e-07,0,0.00062335061023245,-0.009
1e-06,0,0.00045186795286906,-0.01
1.1e-06,0,0.00060006163934357,-0.011
1.2e-06,0.0048496694397477,0.00070551298517813,-0.012
1.3e-06,0.052723364720087,0.00069689080154613,-0.013
1.4e-06,0.053552058471917,0.00066769060713215,-0.014
1.5e-06,0.073779779656378,0.00064714496765479,-0.015
1.6e-06,0.075721328611936,0.00073662424929059,-0.016
1.7e-06,0.076532795734063,0.00082745741412642,-0.017
1.8e-06,0.12833838270346,0.0007766426144822,-0.018
1.9e-06,0.17006921944765,0.00064561962294865,-0.019
2e-06,0.21031704307223,0.00068050739451117,-0.02
2.1e-06,0.24776616148254,0.00087615808784159,-0.021
2.2e-06,0.30868191543227,0.00096886698495911,-0.022
2.3e-06,0.35822122817669,0.00091559042991643,-0.023
2.4e-06,0.406487006686,0.00067408481882957,-0.024
2.5e-06,0.45332312413972,0.00080544064284963,-0.025
2.6e-06,0.47721325075897,0.0010053921439422,-0.026
2.7e-06,0.47760851526974,0.0011054272200831,-0.027
2.8e-06,0.48585928071335,0.0010412099052667,-0.028
2.9e-06,0.56245361091933,0.00078181977374529,-0.029
3e-06,0.66069808108558,0.00092216930358909,-0.03
3.1e-06,0.75594904546826,0.0011345434796926,-0.031
3.2e-06,0.85422687273565,0.0012261448545644,-0.032
3.3e-06,0.92085917551275,0.0011422770494919,-0.033
3.4e-06,0.96831512819243,0.00088118172925,-0.034
3.5e-06,0.99127976198318,0.001031805180091,-0.035
3.6e-06,1,0.00124870885063,-0.036
3.7e-06,1,0.0013215549211239,-0.037
3.8e-06,1,0.001223487544327,-0.038
3.9e-06,1,0.00097226951041299,-0.039
4e-06,1,0.0011379097421796,-0.04
4.1e-06,1,0.0013395384890798,-0.041
4.2e-06,1,0.0013873440626588,-0.042
4.3e-06,1,0.0013057730528777,-0.043
4.4e-06,1,0.0010696710842032,-0.044
4.5e-06,1,0.0012254045972364,-0.045
4.6e-06,1,0.0014039343197004,-0.046
4.7e-06,1,0.0014682261833175,-0.047
4.8e-06,1,0.0013745042500437,-0.048
4.9e-06,1,0.0011455355231258,-0.049
5e-06,1,0.0012925375761401,-0.05
