time,max_d,max_disp_z,min_disp_z
0,0,0,0
1e-07,0,0.00026083087120242,-0.001
2e-07,0,0.00049283107127496,-0.002
3e-07,0,0.00067567732068583,-0.003
4e-07,0,0.00079831248164803,-0.004
5e-07,0,0.00085989779946747,-0.005
6e-07,0,0.0008667631593676,-0.006
7e-07,0,0.00082718105450588,-0.007
8e-07,0,0.00074631994592956,-0.008
9e-07,0,0.00062335060402004,-0.009
1e-06,0,0.00045186794337745,-0.01
1.1e-06,0,0.00060006166013205,-0.011
1.2e-06,0.0048496692916823,0.00070551301143545,-0.012
1.3e-06,0.052723363834934,0.00069689078080541,-0.013
1.4e-06,0.053552058599554,0.00066769059841793,-0.014
1.5e-06,0.07377977920519,0.00064714495991691,-0.015
1.6e-06,0.07572132857862,0.00073662429456455,-0.016
1.7e-06,0.076532796337775,0.00082745747698247,-0.017
1.8e-06,0.12833838356573,0.00077664254266991,-0.018
1.9e-06,0.17006922060164,0.00064561962531508,-0.019
2e-06,0.21031704402669,0.0006805074554718,-0.02
2.1e-06,0.24776616319697,0.00087615815979995,-0.021
2.2e-06,0.30868191786581,0.00096886691481063,-0.022
2.3e-06,0.35822123228009,0.00091559040621636,-0.023
2.4e-06,0.40648701267607,0.00067408482545261,-0.024
2.5e-06,0.45332313219063,0.0008054406863209,-0.025
2.6e-06,0.47721326072638,0.0010053921016374,-0.026
2.7e-06,0.47760852572362,0.0011054272298263,-0.027
2.8e-06,0.48585929037041,0.0010412099575936,-0.028
2.9e-06,0.56245361522072,0.00078181983763219,-0.029
3e-06,0.6606980856254,0.00092216930465397,-0.03
3.1e-06,0.75594905031608,0.00113454350003,-0.031
3.2e-06,0.85422687452457,0.0012261449000447,-0.032
3.3e-06,0.92085917694052,0.001142277091834,-0.033
3.4e-06,0.96831512836921,0.00088118169999507,-0.034
3.5e-06,0.99127976201984,0.0010318052050618,-0.035
3.6e-06,1,0.0012487088835205,-0.036
3.7e-06,1,0.0013215549393753,-0.037
3.8e-06,1,0.001223487541157,-0.038
3.9e-06,1,0.00097226954259502,-0.039
4e-06,1,0.0011379097578666,-0.04
4.1e-06,1,0.0013395384873079,-0.041
4.2e-06,1,0.001387344069827,-0.042
4.3e-06,1,0.0013057730826178,-0.043
4.4e-06,1,0.0010696710737753,-0.044
4.5e-06,1,0.0012254045850033,-0.045
4.6e-06,1,0.0014039342913639,-0.046
4.7e-06,1,0.0014682262039721,-0.047
4.8e-06,1,0.0013745042439756,-0.048
4.9e-06,1,0.0011455355320854,-0.049
5e-06,1,0.0012925375475402,-0.05
5.1e-06,1,0.0014825075281078,-0.051
5.2e-06,1,0.001526541830813,-0.052
5.3e-06,1,0.0014408236929109,-0.053
5.4e-06,1,0.0012218785761729,-0.054
5.5e-06,1,0.0013746152057145,-0.055
5.6e-06,1,0.0015499011634001,-0.056
5.7e-06,1,0.0015958392346337,-0.057
5.8e-06,1,0.0014693522868331,-0.058
5.9e-06,1,0.001191053946596,-0.059
6e-06,1,0.0014541207922591,-0.06
6.1e-06,1,0.0016261447066907,-0.061
6.2e-06,1,0.0016357861559729,-0.062
6.3e-06,1,0.0014560595953378,-0.063
6.4e-06,1,0.0012603212961049,-0.064
6.5e-06,1,0.0015444101592868,-0.065
6.6e-06,1,0.0016827218287608,-0.066
6.7e-06,1,0.0016386349865127,-0.067
6.8e-06,1,0.0014058908440432,-0.068
6.9e-06,1,0.0013627706218694,-0.069
7e-06,1,0.0016176757602677,-0.07
7.1e-06,1,0.0017068984117833,-0.071
