time,DJ,DJint_1,DJint_2,Fy_top,J,external_work,fracture_energy,kinetic_energy,max_disp_y,strain_energy
0,0,0,0,0,0,0,0,0,0,0
0.05,-4.4729763713386e-13,-4.472976198824e-13,-1.725146226253e-20,13.07277157863,-6.3843391590564e-13,0.00011078243154302,0,0.00050887396240851,4.2372881355932e-06,0.00010406827891048
0.1,-7.8706939456907e-13,-1.5995531247735e-12,8.1248373020448e-13,30.752916478913,-3.1521884373011e-12,0.00037136673854948,0,0.00052521722815482,8.4745762711864e-06,0.00037670149665435
0.15,2.3857268622482e-12,-3.1940088781153e-12,5.5797357403635e-12,46.261976506426,-3.6312335508488e-12,0.00076332246066678,0,0.00060178100148567,1.271186440678e-05,0.00073183047392049
0.2,8.4436063801681e-12,-1.0949032631745e-11,1.9392639011913e-11,58.779195839305,3.1138058101464e-12,0.001261299522183,0,0.00078695984283085,1.6949152542373e-05,0.0010920962379058
0.25,6.9514311988132e-12,-3.0791728684225e-11,3.7743159883038e-11,67.936637917277,1.1208944257929e-11,0.0018368644546495,0,0.0010901041130152,2.1186440677966e-05,0.0014271928034314
0.3,-8.194829154118e-12,-5.4369748483387e-11,4.6174919329269e-11,73.847670296984,5.2090603931806e-12,0.0024625370866494,0,0.0014731889671558,2.5423728813559e-05,0.001748640666586
0.35,-2.8152426814768e-11,-5.9416163625974e-11,3.1263736811207e-11,77.024305687209,-2.2214722960733e-11,0.0031151430558401,0,0.0018787049386816,2.9661016949153e-05,0.0020769685773417
0.4,-3.7169887323492e-11,-2.7805076417578e-11,-9.3648109059139e-12,78.224933444947,-5.9862651931287e-11,0.0037779210813401,0,0.0022651353084849,3.3898305084746e-05,0.0024167205856495
0.45,-2.8300183182477e-11,3.8532428333141e-11,-6.6832611515618e-11,78.273142826493,-8.7803974204906e-11,0.0044411065843047,0,0.0026209456258896,3.8135593220339e-05,0.0027577836564287
0.5,-7.5711320111847e-12,1.187055634317e-10,-1.2627669544288e-10,77.891802975947,-9.5013122454517e-11,0.0051010771249075,0,0.0029537853162035,4.2372881355932e-05,0.0030917031281627
0.55,1.3645660304586e-11,1.8682356864601e-10,-1.7317790834142e-10,77.588359608059,-8.7267348776704e-11,0.0057584995180722,0,0.0032735843145384,4.6610169491525e-05,0.0034208286737755
0.6,2.7137190471953e-11,2.2737247246671e-10,-2.0023528199476e-10,77.610575170902,-8.0793072508882e-11,0.0064161172553114,0,0.003586364406219,5.0847457627119e-05,0.0037525166362256
0.65,3.252521576442e-11,2.4247602012459e-10,-2.0995080436017e-10,77.971868136175,-8.8524977604441e-11,0.0070767843458655,0,0.0038981475751453,5.5084745762712e-05,0.0040891098791766
0.7,3.6039982715314e-11,2.466332145836e-10,-2.1059323186829e-10,78.527745792592,-1.095060088682e-10,0.0077421495937296,0,0.004217571034088,5.9322033898305e-05,0.0044263301818567
0.75,1.2644187259218e-09,-9.4239528595325e-10,2.2068140118751e-09,79.074206629961,-7.3476239618986e-11,0.0084121470623741,0,0.0045514327104538,6.3559322033898e-05,0.004759956268792
0.8,1.6164970213356e-09,-3.4004098083709e-09,5.0169068297065e-09,79.437557317682,5.6445331407236e-11,0.009085230997836,0,0.0048987284524463,6.7796610169492e-05,0.0050909849823452
0.85,1.4557917591712e-09,-6.0997833286399e-09,7.5555750878111e-09,79.532411315022,2.2632108323252e-10,0.009759117432914,0,0.0052510732881779,7.2033898305085e-05,0.0054233719818407
0.9,2.7732779414658e-10,-7.4646495472878e-09,7.7419773414344e-09,79.377482719598,2.914944890011e-10,0.010431681845912,0,0.0055993851448826,7.6271186440678e-05,0.0057585599627665
0.95,-2.6917209164749e-10,-7.3505611448662e-09,7.0813890532187e-09,79.072771604609,1.3259400378335e-10,0.011101660967905,0,0.0059397076798975,8.0508474576271e-05,0.0060941144203674
1,-4.807802351592e-10,-6.5457687545571e-09,6.0649885193979e-09,78.752712638346,-1.596224119679e-10,0.011768936713675,0,0.0062731356187574,8.4745762711864e-05,0.0064274364277635
1.05,-5.0811678740272e-10,-5.2924666838709e-09,4.7843498964681e-09,78.534880458984,-3.5409954425559e-10,0.012434377596238,0,0.0066021179089094,8.8983050847458e-05,0.0067590756146322
1.1,-4.2458744463678e-10,-3.7331027403446e-09,3.3085152957078e-09,78.482110355766,-3.267868083068e-10,0.013099373707042,0,0.0069284399575153,9.3220338983051e-05,0.0070915528292319
1.15,-4.0551554639705e-10,-2.1668059787291e-09,1.7612904323321e-09,78.588803620899,-1.8865608780846e-10,0.013765270038198,0,0.0072542767331307,9.7457627118644e-05,0.007425859343388
1.2,-4.9384918111286e-10,-7.8620667100108e-10,2.9235748988821e-10,78.792648066054,-1.5720798094028e-10,0.014432893783906,0,0.0075831192568915,0.00010169491525424,0.0077604029510993
1.25,-5.6635940157502e-10,3.8279962010011e-10,-9.4915902167513e-10,79.004331702863,-3.2887699119198e-10,0.015102318201848,0,0.007918025299772,0.00010593220338983,0.0080933987905081
1.3,-5.1549768252732e-10,1.327384330246e-09,-1.8428820127733e-09,79.142739122543,-6.0531972682454e-10,0.015772921761552,0,0.0082588840653178,0.00011016949152542,0.0084251914239653
1.35,-3.7487519923025e-10,1.9653853213137e-09,-2.340260520544e-09,79.162830358932,-8.2131541010496e-10,0.016443695244004,0,0.008602149861589,0.00011440677966102,0.0087575439639001
1.4,-2.3667825934526e-10,2.2683325677042e-09,-2.5050108270495e-09,79.067447175713,-8.9826510489002e-10,0.017113657113916,0,0.0089436026564561,0.00011864406779661,0.0090911857422128
1.45,-1.1372660924902e-10,2.3959989383976e-09,-2.5097255476466e-09,78.900831657935,-8.6302665548385e-10,0.017782207738243,0,0.0092811803512518,0.0001228813559322,0.0094249871873846
1.5,5.5436244406198e-11,2.6306866397719e-09,-2.5752503953657e-09,78.728203299261,-7.5988222291367e-10,0.018449300313012,0,0.0096152417427028,0.0001271186440678,0.0097576378380533
1.55,2.9166283786324e-10,3.1819672119621e-09,-2.8903043740989e-09,78.610099050331,-5.9224716926173e-10,0.019115394809273,0,0.0099469281812378,0.00013135593220339,0.010089372492853
1.6,5.3045792702259e-10,4.0899958366652e-09,-3.5595379096426e-09,78.581079358369,-3.5464250098063e-10,0.019781240721992,0,0.010277146464598,0.00013559322033898,0.010421500491895
1.65,7.0328693274602e-10,5.2961661943767e-09,-4.5928792616307e-09,78.639883698512,-8.7500422326584e-11,0.020447580691341,0,0.01060707584203,0.00013983050847458,0.010754583683513
1.7,8.2055119601249e-10,6.7412867529144e-09,-5.9207355569019e-09,78.753386126388,1.2866251392475e-10,0.0211148817862,0,0.01093866687395,0.00014406779661017,0.01108777633664
1.75,9.4397456554942e-10,8.370126099817e-09,-7.4261515342675e-09,78.871606059931,2.3350590462135e-10,0.021783187255861,0,0.011273696508783,0.00014830508474576,0.01142007167862
1.8,1.0969438296276e-09,1.0082348163331e-08,-8.9854043337033e-09,78.9473777317,2.2898881558021e-10,0.022452136479855,0,0.011612184194177,0.00015254237288136,0.011751638806812
1.85,1.246299363314e-09,1.1734463000303e-08,-1.0488163636989e-08,78.953217103268,1.6097585993412e-10,0.023121134273257,0,0.011952127891911,0.00015677966101695,0.012083490850092
1.9,1.3645858477829e-09,1.3204471036986e-08,-1.1839885189204e-08,78.889590642753,7.2003165257385e-11,0.02378959214949,0,0.012291030501751,0.00016101694915254,0.012416074856912
1.95,1.4662821139642e-09,1.4433858408947e-08,-1.2967576294982e-08,78.78236350093,-1.9683643481968e-11,0.024457143432422,0,0.012627596168462,0.00016525423728814,0.012748733009484
