time,DJ,DJint_1,DJint_2,Fy_top,J,external_work,fracture_energy,kinetic_energy,max_disp_y,strain_energy
0,0,0,0,0,0,0,0,0,0,0
0.25,0.0092934932378203,0.010442900569202,-0.0011494073313815,156.86750017982,0.010442900569201,-2.5214894436592e-14,0.0031839669782425,3.3387407562487e-05,0.002542949010221,0.55843265188156
0.5,0.0041540079711718,0.010442899846555,-0.0062888918753835,224.09583490865,0.010442899846554,-1.9741386264848e-13,0.0062691236218745,0.001183081365911,0.0025429490282142,0.54527627965929
0.75,0.0028693785514625,0.01044288948485,-0.0075735109333876,224.08740461204,0.01044288948485,-7.5879687524042e-12,0.010932985896545,0.0054058271624237,0.0025429490931432,0.53460587769867
1,0.0023543017749719,0.010442807117249,-0.0080885053422769,224.01793349785,0.010442807117249,-4.933681357462e-10,0.015640470307058,0.010625424773002,0.0025429493012545,0.5232856899461
1.25,0.0015339380781318,0.010442377334001,-0.0089084392558692,223.63660581743,0.010442377334,-1.6722003781829e-08,0.020310425574602,0.016666214290031,0.0025429500395143,0.51076541123877
1.375,0.0013741173156955,0.010441877451772,-0.0090677601360765,223.0702563619,0.01044187745177,-6.0618417751331e-08,0.02275522213467,0.022667838778287,0.0025429508423858,0.50418911059655
1.625,-0.00035482794673202,0.010439223890716,-0.010794051837448,220.60117585347,0.010439223890713,-9.7339576346581e-07,0.027717166375147,0.02743455231669,0.00254295611825,0.49042752266542
1.875,-0.00078206833532701,0.010433048103384,-0.011215116438711,213.95826498548,0.010433048103379,-8.4009420527791e-06,0.032989514845459,0.035514472473986,0.0025429727782874,0.47596362737317
2.125,-0.001189215183608,0.010422845318131,-0.011612060501739,201.25011112537,0.010422845318125,-4.3861349321114e-05,0.038593672698214,0.043590773635205,0.0025430041070028,0.46146171398561
2.375,-0.0015063807673982,0.010411283494485,-0.011917664261883,183.1071682789,0.010411283494464,-0.00014640643579598,0.04441238314184,0.050810230784576,0.0025429895193628,0.44777575905161
2.625,-0.0021222526291363,0.010403451500148,-0.012525704129285,163.93723144411,0.010403451499428,-0.00032837261420028,0.050528236652109,0.056798844336058,0.002593463373657,0.43492954721744
2.875,-0.0027541057299863,0.010402877974656,-0.013156983704642,148.86156937509,0.0104028779584,-0.00052605557824378,0.056897241170335,0.061628725934129,0.0027023680632452,0.42281897657182
3,-0.0006522593778707,0.010405402354855,-0.011057661732725,141.78614254487,0.010405402269488,-0.00060978431233087,0.060304343738374,0.066166072046857,0.0027600349292211,0.41730108018029
3.0625,0.0011205440473469,0.010407351000243,-0.0092868069528964,139.17651151571,0.010407350805723,-0.0006441566802827,0.062072470773934,0.068019744035763,0.0027872885217768,0.4146867629096
3.1875,-0.0014789047583749,0.010412414353682,-0.011891319112057,135.76631042654,0.010412413840331,-0.00068723806609764,0.065653218241826,0.068301576446938,0.0028390366351166,0.40962333696325
3.4375,-0.0051251782110976,0.010424436741365,-0.015549614952463,126.79459908694,0.010424432381461,-0.000694355712458,0.072855681987174,0.066987495084142,0.002939585623941,0.4002515541732
3.6875,-0.0055532111395561,0.010433059294391,-0.015986270433947,114.42054992735,0.010433018230667,-0.00066064905088152,0.080409265747452,0.066728402277787,0.0030223485010755,0.39156253633701
3.9375,-0.0060593660667721,0.010432784556721,-0.016492150623493,102.62583298273,0.010432488463786,-0.00062704413281354,0.088142834055873,0.065729052343492,0.0031073541023861,0.38324169499494
4.0625,-0.0029927370050467,0.010430509576801,-0.013423246581848,95.915083123405,0.010429553532132,-0.00062142728999516,0.092301905352611,0.067200275374502,0.0031260071364926,0.37889599007247
4.3125,-0.0073289085405636,0.010429708739003,-0.017758617279566,87.550579097318,0.010426164874535,-0.00061264610593016,0.1004198381823,0.064302281625036,0.003135951574693,0.36982499625816
4.5625,-0.0072683270470104,0.010444645239557,-0.017712972286567,76.984097085087,0.010430519383051,-0.00060630715392573,0.10868637006049,0.06397580791262,0.0031343840714092,0.35954779944664
4.8125,-0.0074432420403718,0.010481789104683,-0.017925031145055,66.778329808891,0.010437445379598,-0.00058644626586391,0.11730106110727,0.065210136127216,0.0031335235948677,0.34729824331108
5.0625,-0.0077234816168557,0.010551269635559,-0.018274751252415,59.070416496478,0.010439539854883,-0.00056953136477338,0.12604163422966,0.068020414430271,0.0031237196976225,0.33319879763272
5.1875,-0.0035943241097196,0.010633745849516,-0.014228069959236,55.810059494305,0.010438937023791,-0.00057642230162329,0.13071398866918,0.07369421193204,0.0031168734955862,0.32521847522045
5.4375,-0.0090418533094888,0.010752163136898,-0.019794016446387,55.458015302508,0.010445463469947,-0.00062575142227398,0.13999018840629,0.075870306946009,0.0030975601921882,0.30813878861061
5.6875,-0.0090882334393621,0.0109537980739,-0.020042031513262,58.773190268564,0.010473372201228,-0.00072497739975261,0.14963802908245,0.082465143540333,0.0030830095403342,0.28992354499515
