time,DJ,DJint_1,DJint_2,Fy_top,J,external_work,fracture_energy,kinetic_energy,max_disp_y,strain_energy
0,0,0,0,0,0,0,0,0,0,0
0.05,2.0521470372175e-20,1.6940658945086e-21,1.8827404477667e-20,15.4258720146,4.2351647362715e-22,0.00015425347642858,0,0.00070855671481153,5e-06,0.00014490484356661
0.1,-9.6201105239917e-22,1.6940658945086e-21,-2.6560769469078e-21,36.288443750376,2.5410988417629e-21,0.00051709110057663,0,0.00073131373485193,1e-05,0.00052452019767855
0.15,4.7844126630067e-21,6.7762635780344e-21,-1.9918509150277e-21,54.589136816937,1.6940658945086e-21,0.0010628503143811,0,0.00083792179568185,1.5e-05,0.0010190036405219
0.2,-2.8455013071824e-20,1.0164395367052e-20,-3.8619408438876e-20,69.359462288861,-1.6940658945086e-20,0.0017562337060024,0,0.0010957655296813,2e-05,0.0015206402251314
0.25,-3.1763735522036e-21,2.7105054312138e-20,-3.0281427864341e-20,80.165256699803,-4.7433845046241e-20,0.0025576505546188,0,0.0015178643846806,2.5e-05,0.0019872312582879
0.3,7.316247081909e-20,4.0657581468206e-20,3.2504889350884e-20,87.140294196292,-6.098637220231e-20,0.0034288375105936,0,0.0020512725821582,3e-05,0.0024348174244782
0.35,1.0630263488041e-19,-9.4867690092482e-20,2.011703249729e-19,90.888747743316,-7.1150767569361e-20,0.004337526616821,0,0.0026159141798096,3.5e-05,0.002891982947866
0.4,5.2092526256139e-20,-2.8460307027744e-19,3.3669559653358e-19,92.305513402797,-5.4210108624275e-20,0.0052603794687283,0,0.00315398132949,4e-05,0.0033650552584254
0.45,-8.8726701224888e-20,-3.7947076036993e-19,2.9074405914504e-19,92.362422895919,-8.8091426514447e-20,0.0061837998492025,0,0.0036494134980675,4.5e-05,0.0038399530955281
0.5,-1.403957110074e-19,-2.4394548880924e-19,1.0354977780184e-19,91.912459214594,-9.4867690092482e-20,0.0071027438439795,0,0.0041128616265953,5e-05,0.0043049040216416
0.55,3.3881317890172e-21,-1.3552527156069e-19,1.3891340334971e-19,91.554407417811,-1.4907779871676e-19,0.0080181398976935,0,0.0045581520246166,5.5e-05,0.0047631795706719
0.6,6.5645053412208e-20,-1.4907779871676e-19,2.1472285212897e-19,91.580627932339,-1.2197274440462e-19,0.0089338080295559,0,0.004993669344863,6e-05,0.0052250228720037
0.65,-9.4020657145227e-20,-8.1315162936413e-20,-1.2705494208815e-20,92.006956233538,-1.4230153513872e-19,0.0098537221564763,0,0.0054277985849547,6.5e-05,0.0056936964342622
0.7,-1.3129010682442e-20,5.4210108624275e-20,-6.7339119306717e-20,92.662892573601,-1.4907779871676e-19,0.010780178074755,0,0.0058725662553044,7e-05,0.0061632433250972
0.75,-2.7105054312138e-20,2.7105054312138e-20,-5.4210108624275e-20,93.307699274609,-1.0842021724855e-19,0.011713084567971,0,0.0063374327912427,7.5e-05,0.0066277853188279
0.8,-2.7952087259392e-20,1.6263032587283e-19,-1.9058241313222e-19,93.736399279964,-1.0842021724855e-19,0.012650290675809,0,0.0068210011595446,8e-05,0.0070887107307027
0.85,-1.4060746924421e-19,0,-1.4060746924421e-19,93.84823542084,-2.168404344971e-19,0.013588617692743,0,0.0073116015993941,8.5e-05,0.0075515266762313
0.9,1.8888834723771e-19,-1.0842021724855e-19,2.9730856448626e-19,93.66529787115,-5.4210108624275e-20,0.014525107802919,0,0.007796600528897,9e-05,0.0080182413419589
0.95,-7.1997800516616e-20,-3.7947076036993e-19,3.0747295985331e-19,93.305591941482,1.3552527156069e-20,0.015458000677311,0,0.0082704891975251,9.5e-05,0.0084854671190024
1,-1.9905274260476e-19,-6.7762635780344e-19,4.7857361519868e-19,92.927756870764,-3.1170812458958e-19,0.016387129556039,0,0.0087347806047855,0.0001,0.0089495873986558
1.05,-5.8445273360547e-20,-7.5894152073985e-19,7.0049624737931e-19,92.670544774358,-6.2341624917917e-19,0.017313701475685,0,0.0091928775907027,0.000105,0.0094113664044563
1.1,6.7593229190893e-19,-2.7105054312138e-20,7.0303734622107e-19,92.608123185248,7.5894152073985e-19,0.018239650373528,0,0.0096472644132707,0.00011,0.0098743112085742
1.15,1.2493735972001e-18,1.8973538018496e-19,1.0596382170151e-18,92.733909675427,3.0764236644276e-18,0.019166848224284,0,0.010100969507022,0.000115,0.010339800592854
1.2,-3.3034284942918e-18,-4.1470733097571e-18,8.4364481546528e-19,92.97439471534,-2.2903770893756e-18,0.020096446826672,0,0.010558853253853,0.00012,0.010805618850941
1.25,-9.3470085729512e-18,-7.6165202617107e-18,-1.7304883112405e-18,93.224197887883,-1.5598958756635e-17,0.021028548929131,0,0.011025172529478,0.000125,0.011269282842908
1.3,4.5536491244391e-18,8.7278274885083e-18,-4.1741783640692e-18,93.387597094581,-6.6407383064737e-19,0.021962290415002,0,0.011499774081877,0.00013,0.011731272852228
1.35,3.6124261134501e-17,3.6537613212761e-17,-4.133520782601e-19,93.411427281092,6.7410270074286e-17,0.022896267538181,0,0.011977724409144,0.000135,0.012194042610194
1.4,-1.2586909596199e-18,-6.7220534694101e-18,5.4633625097902e-18,93.299017054122,5.9332963889269e-17,0.02382911484384,0,0.012453151701228,0.00014,0.012658606484175
1.45,-1.6554581327727e-16,-1.5200514458247e-16,-1.3540668694807e-17,93.102547567024,-2.2193618470778e-16,0.02475999813025,0,0.012923186993274,0.000145,0.013123391936355
1.5,-1.7541713524458e-16,-1.0760706561919e-16,-6.781006962539e-17,92.898959943045,-4.4208343583096e-16,0.025688852478632,0,0.013388329665746,0.00015,0.01358657544015
1.55,4.2728577024243e-16,4.8967991120308e-16,-6.2394140960646e-17,92.759680535651,4.4273395713446e-16,0.026616318281886,0,0.013850167607694,0.000155,0.014048484491523
1.6,1.0522182083972e-15,9.1381980107941e-16,1.3839840731777e-16,92.725494497268,2.1773219078397e-15,0.027543438860705,0,0.014309962489972,0.00016,0.01451094164706
1.65,-5.2792853096929e-16,-8.3396831107585e-16,3.0603978010656e-16,92.794926280915,7.3576669930298e-16,0.028471247887816,0,0.014769355868109,0.000165,0.014974728389619
1.7,-4.4333026832932e-15,-4.2147275253201e-15,-2.1857515797308e-16,92.928901918668,-7.1153749125336e-15,0.029400395389191,0,0.015231063176314,0.00017,0.015438667011835
1.75,-3.1961314427313e-15,-1.7912646192719e-15,-1.4048668234594e-15,93.068456096699,-1.0821774249284e-14,0.030330941477877,0,0.015697557974019,0.000175,0.015901356206779
1.8,1.1992414439971e-14,1.2738182904315e-14,-7.4576846434415e-16,93.15793796315,1.2410130431975e-14,0.031262384137669,0,0.016168867207332,0.00018,0.016363031744557
1.85,2.6740591281527e-14,2.19027270279e-14,4.8378642536267e-15,93.164912714362,5.3519742890945e-14,0.032193894815683,0,0.016642203954791,0.000185,0.016825104049418
1.9,-3.8647081005263e-15,-1.5005900168286e-14,1.1141192067759e-14,93.089920404863,2.7037291676357e-14,0.033124654206319,0,0.017114092192929,0.00019,0.017288195272981
1.95,-8.7394193037981e-14,-9.0889914951958e-14,3.4957219139774e-15,92.963468653845,-1.4172582378513e-13,0.034054151731274,0,0.017582727848017,0.000195,0.017751389656629
2,-9.1442961397945e-14,-6.947177208505e-14,-2.1971189312895e-14,92.832424006727,-2.7527481162581e-13,0.034982343589066,0,0.018048321373437,0.0002,0.018213574985153
2.05,1.7799658773819e-13,1.9897028902954e-13,-2.0973701291352e-14,92.741585903251,8.5915514069432e-14,0.035909629258793,0,0.018511803476532,0.000205,0.018674927751978
2.1,5.7898905430535e-13,4.9593320986321e-13,8.3055844442141e-14,92.717487874427,1.0012923107837e-12,0.036836672178791,0,0.018973961820524,0.00021,0.019136572700933
2.15,3.5958635361314e-13,9.2424548917003e-14,2.6716180469614e-13,92.760110885092,1.1744916291693e-12,0.03776413865711,0,0.019435854201618,0.000215,0.019599017799806
2.2,-1.0639946599288e-12,-1.3457042012839e-12,2.8170954135512e-13,92.844901359021,-1.3243499721351e-12,0.038692452385032,0,0.019899241574111,0.00022,0.020061531071773
2.25,-2.3185095506071e-12,-2.1828943817456e-12,-1.3561516886145e-13,92.933584465021,-5.4016687227754e-12,0.039621653643342,0,0.020365757465431,0.000225,0.02052320762037
2.3,1.8319339914388e-13,7.7826053978061e-13,-5.9506714063674e-13,92.989194389844,-4.0355835535279e-12,0.040551410665695,0,0.020835464078124,0.00023,0.020984182741097
2.35,7.7804841291506e-12,7.4977155560541e-12,2.8276857309655e-13,92.98954830621,9.7024198571216e-12,0.041481169488312,0,0.021306554759608,0.000235,0.021445373720889
2.4,1.2784178311234e-11,9.2613011443837e-12,3.5228771668502e-12,92.934365762819,2.6540515119834e-11,0.042410375386573,0,0.021776707063737,0.00024,0.021907203674658
2.45,6.9755718196574e-13,-6.276710108697e-12,6.9742672906628e-12,92.843877626828,1.4356726067309e-11,0.043338677432062,0,0.022244663438557,0.000245,0.022369075372375
2.5,-2.9288328523786e-11,-3.4130610393045e-11,4.8422818692598e-12,92.750011070984,-4.9496783136992e-11,0.044266042921171,0,0.022710516554518,0.00025,0.022830238715883
2.55,-4.0735730127219e-11,-3.5184247767876e-11,-5.5514823593423e-12,92.683867560602,-1.1504117214509e-10,0.045192748026189,0,0.023174879736665,0.000255,0.023290799822623
2.6,2.3276515863547e-11,3.580510595045e-11,-1.2528590086902e-11,92.664317816912,-4.9347018062518e-11,0.046119257004263,0,0.023638302730045,0.00026,0.023751520313208
2.65,1.5890346401239e-10,1.4926980170579e-10,9.6336623066058e-12,92.691818762113,2.233327886503e-10,0.047046039992821,0,0.024101537262249,0.000265,0.024212757247131
2.7,2.2327848914582e-10,1.5089851818171e-10,7.2379970964112e-11,92.749389480811,4.9104181807399e-10,0.047973398653442,0,0.024565828773771,0.00027,0.024674013421071
2.75,1.0045906042254e-11,-1.2100258447133e-10,1.3104849051358e-10,92.809944494996,2.4583909270814e-10,0.048901363604289,0,0.025032341846504,0.000275,0.025134657278813
2.8,-4.5895179090865e-10,-5.485507021492e-10,8.9598911240553e-11,92.846904506457,-7.9138944534965e-10,0.04982969855779,0,0.02550113981219,0.00028,0.025594776910585
