"Time","avg(d)","avg(s1)","avg(s11)","avg(s2)","avg(s22)","avg(s3)"
0,0,0,0,0,0,0
1e-06,0,-1.7573e-06,-6.5982e-05,-3.5743e-06,-5.1628e-06,-6.9165e-05
2e-06,0,2.766e-05,2.3559e-05,8.8563e-06,1.2933e-05,2.7106e-07
3e-06,0,-2.3195e-05,-0.00042888,-4.6567e-05,-5.4884e-05,-0.00044552
4e-06,0,-0.00027132,-0.00365,-0.0004892,-0.00077561,-0.0039364
5e-06,0,0.042519,0.040746,0.0048176,0.0065903,0.0025363
6e-06,0,0.062606,0.039954,0.0085175,0.020301,-0.002777
7e-06,0,-0.28356,-3.6331,-0.4513,-0.72908,-3.9109
8e-06,0,17.64,16.864,2.0096,2.7857,1.0911
9e-06,0,77.392,69.798,8.8906,16.139,5.9078
1e-05,0,-22.431,-321.72,-38.445,-56.199,-339.48
1.1e-05,0,-120.66,-1454.6,-182.84,-314.13,-1586.7
1.2e-05,0,-204.09,-2386.4,-315.63,-574.47,-2658
1.3e-05,0,-241.14,-2842.5,-384.23,-705.49,-3190.4
1.4e-05,0,-267.63,-3310.1,-452.2,-805.54,-3712.4
1.5e-05,0,-288.77,-3635.5,-504.15,-895.72,-4092.9
1.6e-05,0,-304.18,-3777.6,-528.12,-950.8,-4269
1.7e-05,0,-303.79,-3864.7,-542.02,-962.47,-4365.9
1.8e-05,0,-297.8,-3947.7,-555.55,-964.16,-4455.1
1.9e-05,0,-301.26,-3957.1,-558.74,-972.18,-4469.1
2e-05,0,-310.3,-3905.4,-550.71,-976.18,-4414.4
2.1e-05,0,-317.96,-3930.7,-548.08,-978.53,-4435.9
2.2e-05,0.017186,-341.48,-3896.9,-527.45,-973.89,-4370.7
2.3e-05,0.0498,-275.89,-3698.8,-618.44,-1067.3,-4147.7
2.4e-05,0.068854,-145.93,-3590.2,-722.66,-1197.4,-4065
2.5e-05,0.078724,-151.33,-3784.4,-825.31,-1389.1,-4348.2
2.6e-05,0.10762,-132.53,-3843.3,-853.32,-1450.1,-4440.1
2.7e-05,0.16084,-143.52,-3985,-894.05,-1558.2,-4649.2
2.8e-05,0.23517,-147.37,-4005.8,-857.86,-1541,-4689
2.9e-05,0.29132,-130.67,-3928.3,-779.82,-1483.3,-4631.8
3e-05,0.3057,-119.83,-3717.7,-730.33,-1452.7,-4440
3.1e-05,0.31625,-111.18,-3597.8,-716.85,-1465.3,-4346.2
3.2e-05,0.33478,-111.97,-3622.7,-726.07,-1507.3,-4403.9
3.3e-05,0.35735,-117.64,-3726.4,-735.72,-1580.9,-4571.6
3.4e-05,0.39406,-125.65,-3910.1,-760.37,-1690.6,-4840.3
3.5e-05,0.41433,-126.09,-3974.8,-777.63,-1700.2,-4897.4
3.6e-05,0.41715,-125.08,-3939,-773.15,-1706.4,-4872.2
3.7e-05,0.41715,-126.06,-3946.2,-775.83,-1717.7,-4888
3.8e-05,0.41715,-123.47,-3864.4,-759.08,-1724.6,-4829.9
3.9e-05,0.41715,-116.16,-3727,-750.7,-1678.1,-4654.4
4e-05,0.41911,-122.1,-3933,-797.09,-1761.1,-4896.9
4.1e-05,0.41926,-116.9,-3891.1,-767.67,-1732.1,-4855.5
4.2025e-05,0.42344,-113.69,-3844.4,-748.58,-1768.5,-4864.4
4.3025e-05,0.43837,-113.86,-3895.6,-782.85,-1809.3,-4922
4.4025e-05,0.43837,-109.65,-3838.4,-780.63,-1788.5,-4846.3
4.5025e-05,0.43837,-108.61,-3816.6,-790.69,-1824,-4850
4.6025e-05,0.49738,-112.68,-4224,-831.51,-1917.9,-5310.4
4.7025e-05,0.53051,-110.01,-4366.6,-834.32,-1999.6,-5531.8
4.8025e-05,0.53795,-102.89,-4232.7,-845.34,-2028,-5415.4
4.9025e-05,0.53795,-103.03,-4200.9,-834.73,-2055.4,-5421.6
5.0025e-05,0.53795,-102.13,-4098,-837.11,-2055.4,-5316.3
5.1025e-05,0.53795,-101.65,-4125.8,-855.21,-2067.1,-5337.7
5.2025e-05,0.53795,-96.077,-3968.9,-827.92,-2048.7,-5189.7
5.3025e-05,0.53795,-100.7,-4057.6,-840.49,-2169.3,-5386.4
5.4025e-05,0.53795,-93.512,-3826.3,-832.63,-2138,-5131.7
5.5025e-05,0.53795,-88.421,-3658.4,-783.43,-2206.7,-5081.7
5.6025e-05,0.53795,-88.527,-3651.4,-773.16,-2207.3,-5085.5
5.7025e-05,0.53795,-88.856,-3608.7,-783.69,-2271.4,-5096.4
5.8025e-05,0.53795,-86.784,-3483.7,-780.9,-2213.6,-4916.4
5.9025e-05,0.53795,-77.161,-3235.5,-721.18,-2195.8,-4710.1
