"Time","avg(d)","avg(s1)","avg(s11)","avg(s2)","avg(s22)","avg(s3)"
0,0,0,0,0,0,0
1e-06,0,2.6278e-06,1.9327e-06,7.1418e-07,1.1936e-06,-4.3879e-07
2e-06,0,1.8998e-05,1.4719e-05,5.0606e-07,3.733e-06,-5.4604e-07
3e-06,0,4.0143e-05,1.6058e-05,-1.4758e-06,2.0069e-05,-5.1227e-06
4e-06,0,0.00025056,0.00019389,-7.338e-06,-4.1272e-05,-0.00011034
5e-06,0,0.00073833,-0.00028012,0.0001751,-0.00011397,-0.001079
6e-06,0,-0.00038829,-0.026526,-0.0022055,-0.0072591,-0.032388
7e-06,0,0.59742,0.40995,0.058962,0.21627,0.01255
8e-06,0,0.064067,-0.7313,-0.18567,-0.78082,-1.5552
9e-06,0,-0.45409,-12.716,-1.4681,-5.0114,-16.755
1e-05,0,37.314,20.241,4.113,16.861,-0.90028
1.1e-05,0,305.28,228.62,27.687,95.156,9.3645
1.2e-05,0,407.07,345.03,-2.3082,-8.2388,-82.121
1.3e-05,0,585.95,513.31,-0.54225,-4.4905,-94.024
1.4e-05,0,1087.2,920.15,92.526,255.71,45.545
1.5e-05,0.0089398,1268.3,1083,108.33,291.71,53.565
1.6e-05,0.02751,1368.9,1183.8,119.85,304.92,57.483
1.7e-05,0.046909,1446.6,1256.9,132.24,321.89,59.775
1.8e-05,0.076937,1536.5,1337.1,147.54,346.96,62.521
1.9e-05,0.12841,1596.7,1399.9,166.47,363.29,62.946
2e-05,0.1828,1596.1,1415.7,184.18,364.57,60.63
2.1e-05,0.24959,1599.5,1426.5,201.01,374.03,59.717
2.2e-05,0.43704,1469.6,1329,234.43,374.96,56.222
2.3e-05,0.76619,873.43,759.67,179.51,259.81,-66.241
2.4e-05,0.96311,225.63,185.45,72.274,91.697,-27.427
2.5e-05,0.98849,63.843,42.518,17.093,-8.0199,-50.797
2.6e-05,1,47.577,42.723,18.922,-30.013,-36.78
2.7e-05,1,16.958,-16.806,3.5171,-70.356,-109.28
2.8e-05,1,8.6844,6.4441,4.0982,-54.237,-56.513
