time,Fx,external_work,fracture_energy,kinetic_energy,max_disp_x,strain_energy
0,0,0,0,0,0,0
5e-07,1835.7729824257,7.2575817003418,0,9.5995136309319,0.0020625,2.8140658761027
1e-06,7196.1466280914,67.881481530487,0,53.182717980599,0.00825,35.886220260101
1.5e-06,13048.943526794,174.91753315702,0,98.102791723429,0.0165,104.01856659438
2e-06,16019.399088015,305.67423205626,0,171.67583654618,0.02475,171.08228323711
2.5e-06,16569.30624054,443.07613744636,0,245.82937265053,0.033,238.23805651144
3e-06,16391.724957716,576.82735796704,0,312.04329555434,0.04125,304.42679017083
3.5e-06,16348.363933696,712.18004555766,0,380.48366804853,0.0495,370.23825419327
4e-06,16394.210779957,846.39723159373,0,449.70870697098,0.05775,435.33582137311
4.5e-06,16321.872600144,981.153456306,0,520.69688332564,0.066,499.91215875245
5e-06,16180.366096582,1113.9310474386,0,589.201504857,0.07425,563.79951103026
5.5e-06,16100.731362622,1246.6735075792,0,658.09354404886,0.0825,627.1266489506
6e-06,16071.777270462,1378.9756979563,0,726.87960220963,0.09075,690.32143389108
6.5e-06,16009.193005707,1511.1821665789,0,795.94357219211,0.099,753.41104591635
7e-06,15907.944525508,1642.521327088,0,863.51227230451,0.10725,816.6297095244
7.5e-06,15824.916058743,1773.3705667767,0,929.58566075248,0.1155,880.58765902138
8e-06,15772.391447862,1903.7604620676,0,994.47782318147,0.12375,945.37876690958
8.5e-06,15708.91308845,2033.7027940623,0,1058.2813829773,0.132,1011.0561543722
9e-06,15614.454873925,2162.8439638061,0,1120.4767814536,0.14025,1077.4793693789
9.5e-06,15517.592016344,2291.2254352139,0,1181.1094437939,0.1485,1144.5112422942
1e-05,15450.79845446,2419.0465025558,0,1240.1429195278,0.15675,1212.5591738345
1.05e-05,15416.526529363,2546.5493576378,0,1297.1585860291,0.165,1282.4494577835
1.1e-05,15400.13933337,2673.8398540178,0,1350.3164576036,0.17325,1356.0942721457
1.15e-05,15390.019604811,2800.9657569894,0,1398.3123871986,0.1815,1434.7811002014
1.2e-05,15380.876601118,2927.9177254076,0,1441.1155028957,0.18975,1518.4953851727
1.25e-05,15377.126929269,3054.7460860793,0,1479.2586559141,0.198,1606.6947369613
1.3e-05,15397.458882098,3181.659408892,0,1513.4787091737,0.20625,1698.7802488718
1.35e-05,15459.789815989,3309.0102585964,0.00031377397114654,1545.2181839806,0.2145,1793.7440912888
1.4e-05,15556.918977478,3437.0835791668,0.00083234290664399,1576.2814332186,0.22275,1890.2273169596
1.45e-05,15661.047404721,3565.9418718836,0.0015159189461578,1607.4097330943,0.231,1987.5918893354
1.5e-05,15756.752228632,3695.5452097732,0.0032046169254627,1638.8037045372,0.23925,2085.4386744729
1.55e-05,15854.423536056,3825.9568269643,0.0063279110917677,1670.819534862,0.2475,2183.3305903451
1.6e-05,15963.740714283,3957.3156844319,0.0097107633434239,1703.4954659862,0.25575,2281.436215686
1.65e-05,16070.063937728,4089.6115248728,0.012732800783088,1736.0059717401,0.264,2380.6945865521
1.7e-05,16152.665409332,4222.650851662,0.015959448904839,1767.0022934841,0.27225,2482.2148659066
1.75e-05,16217.247384131,4356.3102941748,0.019754328495807,1796.1364994462,0.2805,2586.0039111992
1.8e-05,16292.664335486,4490.7106389477,0.024224989711064,1821.0679614814,0.28875,2694.3571610724
1.85e-05,16398.477515998,4626.1033965982,0.028280510628886,1834.7925896931,0.297,2814.7033919648
1.9e-05,16534.907374813,4762.7149763429,0.031215548233177,1838.5637428643,0.30525,2946.2424726306
1.95e-05,16709.97176387,4900.8383866061,0.032252931577947,1850.7110994735,0.3135,3070.631581442
2e-05,16959.398462662,5041.0593944143,0.032515802119976,1885.9075626293,0.32175,3173.3415450996
2.05e-05,17324.256810523,5184.2926448214,0.033517061893186,1937.200101879,0.33,3262.4773368771
2.1e-05,17812.204227917,5331.5387674339,0.036398813077392,1990.8085287339,0.33825,3353.4125852269
2.15e-05,18389.635764206,5483.5515059171,0.043437109039409,2043.6845251285,0.3465,3450.1373160459
2.2e-05,19008.656857265,5640.6631841827,0.056596627977498,2099.7527229249,0.35475,3548.9636761287
2.25e-05,19632.826795542,5802.8595683225,0.0853275333103,2162.3092424031,0.363,3646.5727896817
2.3e-05,20240.080102218,5969.9131645111,0.13306432895907,2233.6160685936,0.37125,3740.5490394073
2.35e-05,20816.245610051,6141.4361557104,0.21838348083445,2314.3897204848,0.3795,3829.8442844658
2.4e-05,21354.928447321,6317.0045756329,0.44384110627612,2402.8482810263,0.38775,3915.7231837319
2.45e-05,21857.095619646,6496.3413855778,8.5764192776385,2499.5370940269,0.396,3978.4829290018
2.5e-05,22320.288336444,6679.3006744292,16.296458870954,2608.4735916233,0.40425,4032.1115142228
2.55e-05,22727.906299443,6865.6624890012,24.419177498595,2724.9961974215,0.4125,4086.1571925325
2.6e-05,23056.4326582,7054.9862097177,32.966081128166,2846.3494018638,0.42075,4139.556281184
2.65e-05,23296.82162432,7246.6500159961,41.677736150432,2970.389634465,0.429,4192.4858879146
2.7e-05,23465.729976573,7440.0337637732,50.512251138116,3096.8119176876,0.43725,4244.5167812907
2.75e-05,23592.639658291,7634.6791570363,59.181020882008,3226.9515526611,0.4455,4293.9249216728
2.8e-05,23696.871405851,7830.2889455926,67.946008203527,3358.9919038339,0.45375,4342.4061734506
2.85e-05,23778.550045309,8026.6239771724,77.816340498388,3489.0588669061,0.462,4392.6450172536
2.9e-05,23829.868790019,8223.4448544993,89.051179626282,3615.6380819911,0.47025,4445.1433610474
2.95e-05,23851.480873976,8420.5439488939,101.8721397796,3740.2235408557,0.4785,4497.6621060784
3e-05,23857.60049935,8617.8096888524,116.07128231776,3864.7636037737,0.48675,4547.4591558306
3.05e-05,23869.728490255,8815.2709574782,130.48850551862,3988.8851411877,0.495,4595.8341220452
3.1e-05,23911.053381481,9013.1221580249,145.30817794469,4110.6569780576,0.50325,4645.8548561675
3.15e-05,24006.729186793,9211.7559635029,159.95671896144,4231.6686694672,0.5115,4697.3196618224
3.155e-05,24045.379903502,9231.6525290127,161.73966621691,4244.3281675134,0.512325,4702.0826421296
3.16e-05,24061.290823751,9251.5617680422,163.10005774759,4256.8282076164,0.51315,4707.0705673529
3.165e-05,24078.142473649,9271.4844293585,164.56299065806,4269.3542064658,0.513975,4712.0065105023
3.17e-05,24095.96217249,9291.4212894258,166.13545677907,4281.8740126727,0.5148,4716.8792302771
3.175e-05,24114.771152878,9311.3731471816,167.68372187165,4294.3378319278,0.515625,4721.8226046107
3.18e-05,24134.585972525,9331.340819862,169.22302547456,4306.7559698008,0.51645,4726.8388488277
3.185e-05,24155.417499074,9351.3251378444,170.81927068397,4319.2378831228,0.517275,4731.7782761101
3.19e-05,24177.269850459,9371.3269384819,172.34008148111,4331.8288233974,0.5181,4736.6763145153
3.195e-05,24200.139306024,9391.3470589179,173.85509546345,4344.5790089175,0.518925,4741.4241290277
3.2e-05,24224.013206994,9411.3863278945,175.34752915334,4357.4498913894,0.51975,4746.0915784206
3.205e-05,24248.868867355,9431.4455565857,177.00647802714,4370.3141409943,0.520575,4750.6909225069
3.21e-05,24274.672518504,9451.5255285131,178.70236603807,4383.1582216701,0.5214,4755.2967846171
3.215e-05,24301.378313077,9471.6269886229,180.31396392044,4395.9610869337,0.522225,4760.0262231721
3.22e-05,24328.927415165,9491.7506316257,181.98814353174,4408.7237411213,0.52305,4764.7935967343
3.225e-05,24357.247205426,9511.8970897251,183.59639897563,4421.4997930417,0.523875,4769.6034314184
3.23e-05,24386.250630547,9532.0669198831,185.21366755601,4434.2721853399,0.5247,4774.4178689219
3.235e-05,24415.835726756,9552.260590791,186.84877572228,4447.0878595165,0.525525,4779.1964513951
3.24e-05,24445.885346775,9572.4784697359,188.59175213701,4460.1111519513,0.52635,4783.7206016891
3.2425e-05,24464.810099761,9582.5951004301,189.45390538342,4466.7441064691,0.5267625,4785.9692643781
3.2475e-05,24491.543898992,9602.8497318147,191.15336489034,4480.0496332034,0.5275875,4790.1691861462
3.2525e-05,24522.142077567,9623.1289603766,192.79045890898,4493.4054451551,0.5284125,4794.5192683728
3.2575e-05,24552.676333102,9643.4326980675,194.44248852976,4506.8000114803,0.5292375,4798.868273371
3.2625e-05,24582.965221383,9663.7607014784,196.09966448648,4520.2662156371,0.5300625,4803.206490189
3.2675e-05,24612.814779623,9684.1125617221,197.75665200611,4533.7828818605,0.5308875,4807.5383001819
3.27e-05,24631.198347346,9694.2959035799,198.57126334322,4540.5879755147,0.5313,4809.7836674523
3.275e-05,24656.325464159,9714.682408165,200.1743594785,4554.1640208867,0.532125,4814.0649502917
3.28e-05,24684.163347264,9735.0909725314,201.93427341157,4567.7983924832,0.53295,4818.3255653306
3.285e-05,24710.81463421,9755.5205557126,203.75564726037,4581.4768924629,0.533775,4822.5085789328
3.29e-05,24736.057525659,9775.9699307364,205.51565603813,4595.1590003176,0.5346,4826.7373185588
3.295e-05,24759.670313593,9796.4376854616,207.33088457067,4608.9546838106,0.535425,4830.8407794944
3.3e-05,24781.435597327,9816.9222269422,209.11885621393,4622.909366616,0.53625,4834.7856581132
3.305e-05,24801.143799817,9837.4217887197,210.87274346106,4636.9064839657,0.537075,4838.7161026998
3.31e-05,24818.596857237,9857.9344411713,212.63459505508,4650.9273125425,0.5379,4842.597410866
3.315e-05,24833.61202945,9878.4581050008,214.43778883041,4664.9835820991,0.538725,4846.4419820604
3.32e-05,24846.025773412,9898.990567912,216.29207954504,4679.2165960535,0.53955,4850.0944280067
