time,Fx,external_work,fracture_energy,kinetic_energy,max_disp_x,strain_energy
0,0,0,0,0,0,0
5e-07,1835.7729824203,7.2575817003209,0,9.5995136309292,0.0020625,2.8140658761052
1e-06,7196.1466280735,67.881481530293,0,53.182717980971,0.00825,35.886220259891
1.5e-06,13048.943526697,174.91753315709,0,98.102791718796,0.0165,104.01856659565
2e-06,16019.399087781,305.67423205612,0,171.67583654283,0.02475,171.08228323925
2.5e-06,16569.306240193,443.07613744107,0,245.82937269543,0.033,238.23805649265
3e-06,16391.724956643,576.8273579469,0,312.04329569991,0.04125,304.42679010177
3.5e-06,16348.363928672,712.180045489,0,380.48366839412,0.0495,370.2382540516
4e-06,16394.210761866,846.39723136626,0,449.70870797806,0.05775,435.33582110313
4.5e-06,16321.872579818,981.15345588793,0,520.69688435824,0.066,499.91215836413
5e-06,16180.366084001,1113.9310468991,0,589.20150524467,0.07425,563.79951063809
5.5e-06,16100.731344727,1246.6735069078,0,658.0935442513,0.0825,627.12664863343
6e-06,16071.777244166,1378.9756971021,0,726.879602467,0.09075,690.32143358516
6.5e-06,16009.192967864,1511.1821654232,0,795.9435723079,0.099,753.41104570892
7e-06,15907.944484941,1642.5213255402,0,863.51227246662,0.10725,816.6297091173
7.5e-06,15824.916019377,1773.3705647985,0,929.58566136976,0.1155,880.58765795713
8e-06,15772.391419605,1903.7604597724,0,994.47782387637,0.12375,945.37876565264
8.5e-06,15708.913090533,2033.7027917549,0,1058.2813838559,0.132,1011.0561529328
9e-06,15614.454891831,2162.8439616664,0,1120.4767829556,0.14025,1077.479367437
9.5e-06,15517.592033465,2291.2254332415,0,1181.1094453304,0.1485,1144.5112401916
1e-05,15450.798468153,2419.0465006933,0,1240.1429208374,0.15675,1212.5591719143
1.05e-05,15416.526536763,2546.5493558017,0,1297.1585873789,0.165,1282.449455949
1.1e-05,15400.139337287,2673.8398521866,0,1350.3164592125,0.17325,1356.0942702257
1.15e-05,15390.019608575,2800.9657551902,0,1398.3123890165,0.1815,1434.7810982454
1.2e-05,15380.876603911,2927.9177236472,0,1441.1155046539,0.18975,1518.4953833191
1.25e-05,15377.126924317,3054.746084288,0,1479.258657616,0.198,1606.6947352872
1.3e-05,15397.458854926,3181.6594068786,0,1513.4787109049,0.20625,1698.7802471166
1.35e-05,15459.789751792,3309.0102560564,0.0010757457900954,1545.218139533,0.2145,1793.744525588
1.4e-05,15556.918891826,3437.0835759398,0.0028734504820205,1576.2814593519,0.22275,1890.2269152225
1.45e-05,15661.047329375,3565.9418680647,0.0054058803857892,1607.4100850817,0.231,1987.589133699
1.5e-05,15756.752184007,3695.5452055921,0.012326612676725,1638.8044933991,0.23925,2085.4332960542
1.55e-05,15854.42351858,3825.9568225926,0.024989433646033,1670.820988134,0.2475,2183.3190067527
1.6e-05,15963.740695495,3957.3156798277,0.038960368654245,1703.4980886986,0.25575,2281.4111773954
1.65e-05,16070.06389913,4089.6115199217,0.05164827045052,1736.0104310818,0.264,2380.653204378
1.7e-05,16152.665358462,4222.6508463661,0.065275858723734,1767.0091080462,0.27225,2482.1577059015
1.75e-05,16217.247341004,4356.3102886737,0.082669817035982,1796.1456709669,0.2805,2585.9294243721
1.8e-05,16292.664317714,4490.7106334234,0.10317120434398,1821.0794752896,0.28875,2694.2596127129
1.85e-05,16398.477530495,4626.1033911928,0.12574211620065,1834.8071856569,0.297,2814.5750333319
1.9e-05,16534.907414136,4762.7149711451,0.14307115920742,1838.5832521898,0.30525,2946.0762178523
1.95e-05,16709.971757133,4900.8383812253,0.1537490983436,1850.7389410302,0.3135,3070.4301035859
2e-05,16959.398274651,5041.0593874647,0.15761579792617,1885.9489149056,0.32175,3173.1106760643
2.05e-05,17324.256455211,5184.2926350407,0.1647857751036,1937.2603813429,0.33,3262.2238693449
2.1e-05,17812.204428452,5331.5387593012,0.18510513231275,1990.8914536539,0.33825,3353.1298823918
2.15e-05,18389.63830241,5483.5515182815,0.23519455049488,2043.7924402102,0.3465,3449.8067477484
2.2e-05,19008.663460749,5640.6632503416,0.36121882922991,2099.8900302159,0.35475,3548.5399159738
2.25e-05,19632.835571159,5802.8597070037,0.61484988803825,2162.4908528609,0.363,3645.9337116667
2.3e-05,20240.079751062,5969.9133019965,1.3366610960257,2233.8838841233,0.37125,3739.4091929824
2.35e-05,20816.208369911,6141.4359874417,5.0146504878977,2315.6171341329,0.3795,3820.2596765528
2.4e-05,21354.803093611,6317.0033675709,10.848309854425,2408.3562842984,0.38775,3887.9029270995
2.45e-05,21856.804705157,6496.3377535208,16.892879419209,2509.518171079,0.396,3952.9963833117
2.5e-05,22319.737148259,6679.2924485374,23.411408098611,2616.9300568048,0.40425,4014.6455138345
2.55e-05,22727.00562086,6865.6467869734,30.387970523541,2729.6976117024,0.4125,4075.7927514939
2.6e-05,23055.12049655,7054.9596942204,37.474313261699,2847.1001953402,0.42075,4134.7826191169
2.65e-05,23295.059849684,7246.6090875044,44.840357215132,2968.1238284825,0.429,4191.8154737004
2.7e-05,23463.474498477,7439.9744597863,52.311758299814,3092.5666254017,0.43725,4246.6589293185
2.75e-05,23589.82400552,7634.5969184917,59.932110718949,3218.5534411892,0.4455,4300.7886177749
2.8e-05,23693.443393545,7830.1787231015,67.662410072697,3344.2086980192,0.45375,4356.0529438254
2.85e-05,23774.527581978,8026.4807984401,76.010367541933,3467.3891577129,0.462,4413.9628321778
2.9e-05,23825.348593152,8223.2644380943,85.12821182605,3587.20571977,0.47025,4474.4235760835
2.95e-05,23846.743680616,8420.3242802368,96.133252588132,3703.5365620525,0.4785,4535.9373026068
3e-05,23853.687565652,8617.557698199,108.45339726404,3818.4081866694,0.48675,4595.6000392371
3.05e-05,23869.072531555,8815.0145176255,121.94510449775,3931.8566582704,0.495,4654.0877436875
3.1e-05,23915.46349225,9012.9041410434,135.8326797144,4043.750994955,0.50325,4712.4884985194
3.15e-05,24009.277781439,9211.559460895,150.56915540248,4155.3256210927,0.5115,4771.5339002379
3.155e-05,24045.747981531,9231.4563120011,152.79875770644,4167.2230581424,0.512325,4773.5990633429
3.16e-05,24059.930033628,9251.3643598966,154.30833899321,4179.1183239919,0.51315,4778.4495137762
3.165e-05,24074.680716782,9271.2840407227,155.8086564528,4190.9448125333,0.513975,4784.0392635202
3.17e-05,24089.985043815,9291.2157835016,157.36236757139,4202.7326208871,0.5148,4789.647656042
3.175e-05,24105.822931809,9311.1600058603,159.04564353199,4214.5740603621,0.515625,4795.1068538496
3.18e-05,24122.169055167,9331.1171094808,160.64776915277,4226.514892486,0.51645,4800.3426353446
3.185e-05,24138.992364921,9351.08747501,162.42366444156,4238.5416897321,0.517275,4805.5528450734
3.19e-05,24156.255636751,9371.0714564613,164.18321395281,4250.6777248681,0.5181,4810.5499373372
3.195e-05,24173.915060834,9391.0693751549,165.82220721705,4262.9311046649,0.518925,4815.4467832325
3.2e-05,24191.919887908,9411.0815132643,167.52174014659,4275.28801463,0.51975,4820.3459365511
3.205e-05,24210.212146887,9431.1081070502,169.31019190318,4287.7095695292,0.520575,4825.1550889221
3.21e-05,24228.726447115,9451.1493398819,170.95726044249,4300.1694935655,0.5214,4829.8754649202
3.215e-05,24247.389879589,9471.2053351562,172.60320830812,4312.6713981653,0.522225,4834.6816042915
3.22e-05,24266.122030163,9491.27614924,174.26011409463,4325.1791046047,0.52305,4839.4979140539
3.225e-05,24284.835117478,9511.3617645697,176.14958132563,4337.6310577695,0.523875,4844.3715432807
3.23e-05,24303.434263986,9531.4620830487,177.9670753687,4350.0994554426,0.5247,4849.0750691437
3.235e-05,24321.817912369,9551.5769198878,179.89842506915,4362.5672911061,0.525525,4853.8277028771
3.24e-05,24339.878391242,9571.7059980363,181.76441175823,4374.929211157,0.52635,4858.6435317474
3.245e-05,24357.502637042,9591.8489433489,183.48014134265,4387.3203455985,0.527175,4863.5543293613
3.25e-05,24374.573073343,9612.0052806305,185.14442822278,4400.0143145817,0.528,4868.2826082813
3.255e-05,24390.96864774,9632.1744306926,186.85951899512,4412.9566288476,0.528825,4872.8177736782
3.26e-05,24406.566023608,9652.3557085485,188.63490864077,4425.9472750812,0.52965,4877.2729463718
3.265e-05,24421.240920517,9672.5483228616,190.5776550107,4438.9867553719,0.530475,4881.6488248987
3.27e-05,24434.869594812,9692.7513767473,192.3484301334,4452.0678046052,0.5313,4885.8802926075
3.275e-05,24447.330449375,9712.9638700165,194.03341230182,4465.1397792541,0.532125,4890.2511063016
3.28e-05,24458.505758306,9733.184702931,195.80221155815,4478.0961338117,0.53295,4894.8045250933
3.285e-05,24468.283489248,9753.4126815226,197.66939904428,4491.0973762219,0.533775,4899.2688509688
3.29e-05,24476.559204992,9773.6465245145,199.48795244382,4504.2371148784,0.5346,4903.5069468236
3.295e-05,24483.238022024,9793.8848718585,201.1202559386,4517.3716551109,0.535425,4907.8249608094
3.3e-05,24488.236603565,9814.1262948879,202.79618897181,4530.511346907,0.53625,4912.2594109344
3.305e-05,24491.485160724,9834.3693080645,204.69607592243,4543.7719226021,0.537075,4916.533170438
3.31e-05,24492.92943653,9854.612382279,206.47509612196,4557.1945524631,0.5379,4920.4709034076
3.315e-05,24492.53264529,9874.8539596487,208.37687273312,4570.7033419101,0.538725,4924.3669551324
3.32e-05,24490.277339808,9895.0924697342,210.14140937755,4584.2762088413,0.53955,4928.1533483128
3.325e-05,24486.167178494,9915.3263470838,211.89759749531,4597.8403375017,0.540375,4932.0222603293
3.33e-05,24480.228565285,9935.5540499964,213.55189494618,4611.4294771358,0.5412,4935.8768501841
3.335e-05,24472.5121362,9955.7740803772,215.24165170925,4625.0660346021,0.542025,4939.7453972937
3.34e-05,24463.094066193,9975.9850045506,217.09998371751,4638.6555555792,0.54285,4943.6164853761
3.345e-05,24452.07717211,9996.185474874,218.95353341561,4652.2659885181,0.543675,4947.3302251017
3.35e-05,24439.59178958,10016.374251992,220.72591512014,4665.9001672663,0.5445,4950.9934869432
3.355e-05,24425.796402899,10036.550227552,222.43622247667,4679.4586429456,0.545325,4954.7591038769
3.36e-05,24410.878010919,10056.712447199,224.20746914488,4693.0773461005,0.54615,4958.5228356079
3.365e-05,24395.052212652,10076.860133646,226.03236856352,4706.7477171682,0.546975,4962.1735794547
3.37e-05,24378.563002479,10096.992709629,227.7165497063,4720.4273654148,0.5478,4965.7439822453
3.375e-05,24361.682263152,10117.109820526,229.43645625307,4734.0197008994,0.548625,4969.4861409241
3.38e-05,24344.708952116,10137.211356417,231.34979052613,4747.5204205448,0.54945,4973.2625676115
3.385e-05,24327.967976707,10157.297473382,233.09991522397,4761.0392532656,0.550275,4976.8332911083
3.39e-05,24311.80875827,10177.368613774,234.85178755977,4774.6854105371,0.5511,4980.3465111148
3.395e-05,24296.603487224,10197.425525258,236.57758635809,4788.4523511679,0.551925,4983.6993633676
3.4e-05,24282.745075335,10217.469278368,238.17866823457,4802.197575916,0.55275,4987.0710985721
3.405e-05,24270.644813527,10237.501282329,239.72344000483,4815.8277481144,0.553575,4990.6532746851
3.41e-05,24260.729746684,10257.523298921,241.34945605812,4829.4947391072,0.5544,4994.2506242039
3.415e-05,24253.439779656,10277.53745412,242.98804392136,4843.2310366501,0.555225,4997.7074354006
3.42e-05,24249.224531586,10297.546247301,244.79564154569,4856.820141856,0.55605,5001.2642223192
3.425e-05,24248.539958085,10317.552557754,246.4534679793,4870.3572056871,0.556875,5004.7249241658
3.43e-05,24251.844763182,10337.5596483,248.18981573571,4884.1830796331,0.5577,5007.9713043851
3.435e-05,24259.596625392,10357.571165799,249.86909666083,4898.4208926931,0.558525,5010.7617608753
3.44e-05,24272.24826421,10377.591138367,251.62205581648,4912.7067185185,0.55935,5013.5219724247
3.445e-05,24290.243376161,10397.623969128,253.53085744091,4926.8622782459,0.560175,5016.3188285156
3.45e-05,24314.012470659,10417.674426369,255.31667784907,4941.0260661101,0.561,5018.9547457755
3.455e-05,24343.968638752,10437.747629998,257.06167188023,4955.3646931895,0.561825,5021.4718208866
3.46e-05,24380.503288713,10457.849034227,258.97014455319,4969.777776363,0.56265,5023.9292119891
3.465e-05,24423.981883305,10477.98440645,260.826248151,4984.1832242454,0.563475,5026.262703693
3.47e-05,24474.739716849,10498.159802343,262.70281826446,4998.5603979298,0.5643,5028.6678227612
3.475e-05,24533.077768265,10518.381537216,264.48977876132,5013.243396144,0.565125,5030.8275012695
3.48e-05,24599.258669746,10538.656153742,266.1402230039,5028.2256483803,0.56595,5032.787131114
3.485e-05,24673.502828126,10558.990386196,267.6957425593,5043.1955970215,0.566775,5034.9794113885
3.49e-05,24755.984739308,10579.391121392,269.3239407222,5058.2727887482,0.5676,5037.1924520057
3.495e-05,24846.829534085,10599.865356558,271.00692375733,5073.4882566283,0.568425,5039.2976195961
3.5e-05,24946.109794478,10620.420154413,272.80195017464,5088.9125637871,0.56925,5041.2324932335
3.505e-05,25053.842678336,10641.062595761,274.56670252474,5104.6880401469,0.570075,5042.8141269405
3.51e-05,25169.987388384,10661.799729929,276.20237956526,5120.712286992,0.5709,5044.2806922014
3.515e-05,25294.443020085,10682.638523444,277.94420750929,5136.8150023787,0.571725,5045.863884432
3.52e-05,25427.046820514,10703.585807301,279.64907260733,5153.0307788733,0.57255,5047.372752992
3.525e-05,25567.572887629,10724.648223273,281.49857922177,5169.6795454322,0.573375,5048.5888716533
3.53e-05,25715.731338229,10745.832169654,283.22026307885,5186.8042704764,0.5742,5049.3252280514
3.535e-05,25871.167967044,10767.143746891,285.05682244821,5204.1597353165,0.575025,5050.0349966833
3.54e-05,26033.464418898,10788.588703536,286.8837665998,5221.7104483363,0.57585,5050.6320225954
3.545e-05,26202.138889965,10810.172382971,288.70637820916,5239.3547772289,0.576675,5051.3231008217
3.55e-05,26376.647370351,10831.899671347,290.53949274253,5257.3705752793,0.5775,5051.7895879854
3.555e-05,26556.385435502,10853.77494718,292.34383920011,5275.5056687941,0.578325,5052.317547858
3.56e-05,26740.690588805,10875.802033056,293.98769277713,5293.7597859984,0.57915,5052.9265647358
3.565e-05,26928.845152365,10897.984149862,295.54764752492,5312.1573528748,0.579975,5053.7224047804
3.57e-05,27120.079697334,10920.32387398,297.23129344482,5330.8992867682,0.5808,5054.4351850121
3.575e-05,27313.576999096,10942.823097856,299.23113403996,5350.1757877365,0.581625,5054.7345746639
3.58e-05,27508.476495986,10965.482994329,300.88880420416,5369.7902072492,0.58245,5054.6727839157
3.585e-05,27703.879223255,10988.303985125,302.73782281151,5389.4254496773,0.583275,5055.0584660108
3.59e-05,27898.853187218,11011.285713841,304.56430283848,5409.1272286673,0.5841,5055.4743464152
3.595e-05,28092.439138832,11034.427023777,306.320397094,5429.0624565822,0.584925,5055.8993914734
3.6e-05,28283.656701576,11057.725940898,308.1048015659,5449.416441062,0.58575,5056.1217042807
3.605e-05,28471.510805039,11081.179662194,309.95448449476,5470.0405391888,0.586575,5056.2178683476
3.61e-05,28654.998371935,11104.784549674,311.70436142532,5490.8122814707,0.5874,5056.2774376334
3.615e-05,28833.115201625,11128.536130165,313.63205971296,5511.9560414554,0.588225,5056.2451017815
3.62e-05,29004.862987641,11152.429101056,315.46165828086,5533.4349219593,0.58905,5055.9385545884
3.625e-05,29169.256401426,11176.457342057,317.18208465149,5555.035050738,0.589875,5055.7911449637
3.63e-05,29325.330170844,11200.613932996,319.03973497653,5576.7649118393,0.5907,5055.7812371873
3.635e-05,29472.146081174,11224.89117758,320.77119005219,5598.6411499258,0.591525,5055.7031539515
3.64e-05,29608.799827891,11249.280633015,322.45715742185,5620.7446145329,0.59235,5055.639249012
3.645e-05,29734.427653859,11273.773145287,324.13406381242,5642.9821845742,0.593175,5055.6019189346
3.65e-05,29848.212707182,11298.358889846,325.9849456164,5665.235580424,0.594,5055.6583283982
3.655e-05,29949.391058411,11323.027417392,327.91211303103,5687.785723921,0.594825,5055.3747511067
3.66e-05,30037.257319275,11347.767704353,329.74723093008,5710.9066955954,0.59565,5054.6069813641
3.665e-05,30111.169805052,11372.568207641,331.64631202884,5734.4179965692,0.596475,5053.6875625991
3.67e-05,30170.555187599,11397.416923184,333.33101818835,5758.0195112852,0.5973,5052.7265364714
3.675e-05,30214.912590221,11422.301447684,334.98761640493,5781.618238024,0.598125,5052.0187517762
3.68e-05,30243.817084045,11447.209043034,336.69626128434,5805.4187202502,0.59895,5051.1523293291
3.685e-05,30256.922555677,11472.126702776,338.4631304845,5829.3800583842,0.599775,5050.1062789049
3.69e-05,30253.963926212,11497.041219994,340.46989184232,5853.4063442394,0.6006,5048.8870457507
3.695e-05,30234.758710688,11521.939256018,342.36106252667,5877.5636929404,0.601425,5047.3873860564
3.7e-05,30199.20791395,11546.807409327,344.12877437148,5901.7761177427,0.60225,5045.8522862453
3.705e-05,30147.296264143,11571.632284058,345.97106396037,5926.1346669343,0.603075,5044.2139772716
3.71e-05,30079.091789936,11596.400557558,347.94186398545,5950.8273997949,0.6039,5042.1059179228
3.715e-05,29994.744753287,11621.099046431,349.7000953779,5975.6670788598,0.604725,5039.6905977909
3.72e-05,29894.485956542,11645.714770589,351.42930314049,6000.1354853565,0.60555,5037.7048592226
3.725e-05,29778.62445069,11670.235014855,353.30459286631,6024.0360394798,0.606375,5036.2233322732
3.73e-05,29647.544679827,11694.6473877,355.16363698071,6047.8942688457,0.6072,5034.5674137063
3.735e-05,29501.703104222,11718.939876794,356.98236991114,6071.9370845298,0.608025,5032.6116137248
3.74e-05,29341.624349833,11743.100901063,358.92670036073,6096.1298516495,0.60885,5030.3994029401
3.745e-05,29167.896934969,11767.119359029,360.71888971059,6120.352943725,0.609675,5027.8818061485
3.75e-05,28981.168624716,11790.984673253,362.41291746064,6144.1805523134,0.6105,5025.6651715118
3.755e-05,28782.14146306,11814.686830758,363.98208480419,6167.7982773262,0.611325,5023.5457725515
3.76e-05,28571.566532326,11838.216419323,365.67006495439,6191.279886823,0.61215,5021.4117582246
3.765e-05,28350.238491057,11861.564659614,367.52383149844,6214.5050782551,0.612975,5019.2532505457
3.77e-05,28118.989944638,11884.723433127,369.31112092691,6237.6000570737,0.6138,5016.9192982155
3.775e-05,27878.685706108,11907.685305957,371.01915740247,6260.6441492989,0.614625,5014.4864531953
3.78e-05,27630.217005582,11930.44354844,372.72203926222,6283.2632953463,0.61545,5012.2848041806
3.785e-05,27374.495704187,11952.992150743,374.48023027448,6305.386624151,0.616275,5010.2868161874
3.79e-05,27112.448562323,11975.325834492,376.31577493864,6327.2719436898,0.6171,5008.1904532646
3.795e-05,26845.011604067,11997.440060539,377.98491200926,6348.746838813,0.617925,5006.129561743
