time,Fx,external_work,fracture_energy,kinetic_energy,max_disp_x,strain_energy
0,0,0,0,0,0,0
5e-07,1835.7729824257,7.2575817003418,0,9.5995136309319,0.0020625,2.8140658761027
1e-06,7196.1466280914,67.881481530487,0,53.182717980599,0.00825,35.886220260101
1.5e-06,13048.943526794,174.91753315702,0,98.102791723429,0.0165,104.01856659438
2e-06,16019.399088015,305.67423205626,0,171.67583654618,0.02475,171.08228323711
2.5e-06,16569.30624054,443.07613744636,0,245.82937265053,0.033,238.23805651144
3e-06,16391.724957716,576.82735796704,0,312.04329555434,0.04125,304.42679017083
3.5e-06,16348.363933696,712.18004555766,0,380.48366804853,0.0495,370.23825419327
4e-06,16394.210779957,846.39723159373,0,449.70870697098,0.05775,435.33582137311
4.5e-06,16321.872600144,981.153456306,0,520.69688332564,0.066,499.91215875245
5e-06,16180.366096582,1113.9310474386,0,589.201504857,0.07425,563.79951103026
5.5e-06,16100.731362622,1246.6735075792,0,658.09354404886,0.0825,627.1266489506
6e-06,16071.777270462,1378.9756979563,0,726.87960220963,0.09075,690.32143389108
6.5e-06,16009.193005707,1511.1821665789,0,795.94357219211,0.099,753.41104591635
7e-06,15907.944525508,1642.521327088,0,863.51227230451,0.10725,816.6297095244
7.5e-06,15824.916058743,1773.3705667767,0,929.58566075248,0.1155,880.58765902138
8e-06,15772.391447862,1903.7604620676,0,994.47782318147,0.12375,945.37876690958
8.5e-06,15708.91308845,2033.7027940623,0,1058.2813829773,0.132,1011.0561543722
9e-06,15614.454873925,2162.8439638061,0,1120.4767814536,0.14025,1077.4793693789
9.5e-06,15517.592016344,2291.2254352139,0,1181.1094437939,0.1485,1144.5112422942
1e-05,15450.79845446,2419.0465025558,0,1240.1429195278,0.15675,1212.5591738344
1.05e-05,15416.526529364,2546.5493576378,0,1297.1585860291,0.165,1282.4494577835
1.1e-05,15400.13933337,2673.8398540178,0,1350.3164576036,0.17325,1356.0942721457
1.15e-05,15390.019604811,2800.9657569894,0,1398.3123871986,0.1815,1434.7811002014
1.2e-05,15380.876601118,2927.9177254076,0.0079865657407971,1441.1155028957,0.18975,1518.4953851727
1.25e-05,15377.126929269,3054.7460860793,0.074996701260993,1479.2606455933,0.198,1606.6793646805
1.3e-05,15397.458882099,3181.6594088921,0.21073048606715,1513.4960221286,0.20625,1698.6548137893
1.35e-05,15459.789814111,3309.0102585804,0.82924047504543,1545.284027036,0.2145,1793.3448391151
1.4e-05,15556.918977725,3437.0835791528,5.4569832827718,1577.3161365632,0.22275,1881.9206950531
1.45e-05,15661.047407237,3565.9418718907,12.365752116527,1611.2836488171,0.231,1965.3657778121
1.5e-05,15756.752233532,3695.5452098208,21.318826326868,1648.1741500697,0.23925,2040.2568969719
1.55e-05,15854.423546714,3825.9568270991,31.685252905161,1688.3870223535,0.2475,2110.6692525212
1.6e-05,15963.740721398,3957.3156846362,43.307744184291,1731.1745960102,0.25575,2178.9116568043
1.65e-05,16070.063777723,4089.6115239172,55.706378954495,1775.254575353,0.264,2245.5307008234
1.7e-05,16152.664821558,4222.6508464231,69.017117094562,1818.5665541393,0.27225,2312.0024471341
1.75e-05,16217.248915029,4356.3103004009,82.855525233574,1860.6821814056,0.2805,2378.7363344556
1.8e-05,16292.679519983,4490.7107592222,97.146927236016,1900.7252863724,0.28875,2446.9666600607
1.85e-05,16398.505808492,4626.1037312665,111.91347423511,1933.7166757143,0.297,2522.4076294722
1.9e-05,16534.820311805,4762.7146277878,127.80273894027,1963.2175066222,0.30525,2601.7320958503
1.95e-05,16709.407768277,4900.8336036441,143.97565557078,2009.3616392026,0.3135,2664.6919302453
2e-05,16958.353394573,5041.0463948918,161.20683500884,2086.7473783557,0.32175,2695.9584465426
2.025e-05,17162.483055435,5112.0006273969,169.74052294411,2134.1428109309,0.325875,2709.7976468224
2.075e-05,17560.080814292,5257.1700105199,189.07849849184,2238.3162380608,0.334125,2707.2890961701
2.1e-05,17889.898396386,5331.1150326652,198.1729072432,2292.812327611,0.33825,2715.9152093757
2.1015625e-05,17974.679721633,5335.7586910828,200.57140954129,2296.4519126462,0.3385078125,2701.4989919814
2.1078125e-05,18035.683683343,5354.3960189725,202.98024733681,2311.4529389265,0.3395390625,2701.9474361321
2.1203125e-05,18169.818382209,5391.9470345548,208.0964793698,2341.4395025559,0.3416015625,2705.4033388665
2.1328125e-05,18326.540740268,5429.8219246177,213.44405371033,2371.4826913322,0.3436640625,2704.5265605572
2.1578125e-05,18607.413433923,5506.7302947026,223.83286174905,2428.8793394742,0.3477890625,2712.3153800752
2.2078125e-05,19157.629633461,5665.0663140505,246.418973153,2551.0727347352,0.3560390625,2695.9038755967
2.2128125e-05,19359.283106776,5681.0679696265,250.00576431304,2565.0729540893,0.3568640625,2688.507074627
2.2153125e-05,19396.491775538,5689.0841208551,252.0707572834,2572.3976254344,0.3572765625,2684.5849083223
2.2203125e-05,19447.646291744,5705.1581010064,254.28146030729,2587.1335008411,0.3581015625,2683.4233202981
2.2253125e-05,19505.014112991,5721.2789619412,256.80096210397,2601.964282743,0.3589265625,2681.5413259019
2.2303125e-05,19560.97503991,5737.4454872473,259.44975003723,2616.8574315024,0.3597515625,2679.2829330869
2.2353125e-05,19615.37536403,5753.6563287099,262.09909511408,2631.7891490626,0.3605765625,2676.8645131122
2.2378125e-05,19648.646541667,5761.7753843732,263.67814658368,2639.3904199846,0.3609890625,2673.6634731361
2.2428125e-05,19693.710388462,5778.0498769834,266.12876701262,2654.5657814488,0.3618140625,2672.6198787653
2.2478125e-05,19743.512090176,5794.3647077326,269.11693932873,2669.8514736593,0.3626390625,2670.1089592198
2.2503125e-05,19773.732782658,5802.5344475659,270.932233347,2677.6674088363,0.3630515625,2666.4442596213
2.2553125e-05,19814.196597119,5818.9062956492,273.51884416097,2693.2664823071,0.3638765625,2664.8899662229
2.2578125e-05,19842.287909061,5827.1036249692,275.14077917729,2701.1332507337,0.3642890625,2661.6121343139
2.2628125e-05,19879.579007413,5843.5278679613,277.96338150842,2716.7481395909,0.3651140625,2660.2735934836
2.2678125e-05,19919.966496525,5859.9842385866,280.94508203907,2732.3566575544,0.3671808963736,2657.2758479548
2.2728125e-05,19957.633411871,5876.4703444789,283.72953418387,2748.0086117992,0.37018017307286,2654.0083060705
2.2778125e-05,19992.450480353,5892.9836704116,286.76267016952,2763.7911809977,0.37316213140974,2650.7997694068
2.2828125e-05,20024.299647323,5909.5215875265,289.7246219671,2779.7069559651,0.37612745153317,2647.3084000677
2.2878125e-05,20053.076514556,5926.081365054,292.75532273489,2795.7922819054,0.37907671668167,2643.7081546473
2.2928125e-05,20078.691920373,5942.6601838138,295.68911548054,2812.0191474828,0.38200998582503,2640.0341090071
2.2978125e-05,20101.073312981,5959.2551513209,298.44108755609,2828.2897476093,0.38492704024834,2636.3985178794
2.3028125e-05,20120.165873432,5975.8633182681,301.18473630893,2844.5722581473,0.38782759689643,2632.933317502
2.3078125e-05,20135.933359687,5992.4816961176,304.43070317627,2860.8932972573,0.39071146199309,2629.4158460596
2.3128125e-05,20148.358661036,6009.107275504,307.55520624657,2877.3401282576,0.3935790768706,2625.3498043048
2.3178125e-05,20157.444006355,6025.7370451097,310.75459505754,2893.7483033632,0.39643203792867,2621.3760029448
2.3203125e-05,20161.665571928,6034.0528058672,312.55054274431,2901.9866909315,0.39785372730849,2617.1959504146
2.3253125e-05,20164.859231729,6050.6832532984,315.28175343312,2918.3597451844,0.40069156275773,2615.1032660167
2.3303125e-05,20165.729029214,6067.3104778113,318.03257937484,2934.8859466835,0.40352699613905,2611.4449067442
2.3328125e-05,20164.868488271,6075.6227002065,319.65796768015,2943.261171277,0.40494546017191,2607.5033648279
2.3378125e-05,20161.084621924,6092.2397272204,322.76133670766,2959.8558804216,0.40778709812263,2605.4204323248
2.3428125e-05,20154.154872243,6108.8465095909,326.12514490496,2976.4552214282,0.41063715236782,2601.3430779935
2.3478125e-05,20144.276832746,6125.4404052116,329.41145953444,2993.1084471457,0.41349807129507,2596.9128630346
2.3528125e-05,20131.5674446,6142.018887373,332.6136254197,3009.8692497404,0.41637181723182,2592.3903096057
2.3578125e-05,20116.154282799,6158.5795563583,335.65576581962,3026.7272374871,0.41925960743585,2587.8808571943
2.358125e-05,20111.30955259,6159.6143234253,336.76313335306,3027.8078324538,0.41944059102847,2583.876024244
2.35875e-05,20109.377512909,6161.6835777137,337.19143632781,3029.9823252487,0.41980280849662,2582.6567119174
2.35876953125e-05,20108.771202888,6161.7482398402,337.40726823682,3030.0508575474,0.41981413307706,2582.4944052067
2.3587744140625e-05,20108.74064956,6161.7644053421,338.17943818045,3030.0666867644,0.41981696436722,2609.5698582745
2.3588525390625e-05,20108.526721325,6162.02304936,338.49609768957,3030.3295328722,0.4198622837566,2582.0372292841
2.3613525390625e-05,20101.512605831,6170.2954730919,339.71230030982,3038.9926136518,0.4213170511928,2581.3524920568
2.3616650390625e-05,20098.29291733,6171.3293372408,340.04905057122,3040.0809244863,0.42149949451495,2579.6672615917
2.3666650390625e-05,20082.650526169,6187.8529962295,342.82081603736,3057.1058783864,0.42442538806323,2578.8717183738
2.3716650390625e-05,20060.481021748,6204.3529338811,346.48731784389,3074.1043760464,0.42736378725175,2574.702736404
2.3766650390625e-05,20036.144993902,6220.8272972594,349.88438591531,3091.1949378431,0.43031519648194,2569.4452893593
2.3816650390625e-05,20009.787589887,6237.2743847878,353.26169543352,3108.2579395686,0.43328178574382,2564.3676243529
