time,Fx,external_work,fracture_energy,kinetic_energy,max_disp_x,strain_energy
0,0,0,0,0,0,0
5e-07,3015.0241885876,11.656334995381,0,5.0842345350851,0.0020625,3.7024090967366
1e-06,10596.043804792,101.66099082951,0,43.502632049306,0.00825,40.678458532734
1.5e-06,16329.553416015,237.19947215785,0,108.07229420714,0.0165,108.50197429595
2e-06,17015.124389108,375.29713316993,0,178.25529313768,0.02475,175.86565522064
2.5e-06,16516.240258089,513.27611436735,0,247.0018619521,0.033,242.62761111881
3e-06,16524.065352174,648.16853224,0,315.90053150044,0.04125,308.77516012311
3.5e-06,16463.311336508,784.76162647435,0,385.91020774828,0.0495,374.26949741858
4e-06,16351.999972123,919.0046790137,0,454.55086986656,0.05775,439.28460588959
4.5e-06,16303.016953771,1053.6862831162,0,524.03090782756,0.066,503.75960729681
5e-06,16221.163852151,1187.2064498473,0,593.19899422247,0.07425,567.67614212305
5.5e-06,16112.595881518,1320.1296964029,0,662.18078340722,0.0825,631.030086184
6e-06,16032.100561634,1452.2508377044,0,730.70583686625,0.09075,694.08683325175
6.5e-06,15975.283390565,1584.0569705726,0,798.79440222414,0.099,757.19982552396
7e-06,15918.682064306,1715.4228075324,0,866.0471841165,0.10725,820.69684990028
7.5e-06,15853.134894552,1846.3287352136,0,932.23759292809,0.1155,884.77968136345
8e-06,15781.738703322,1976.6485938944,0,997.25108246206,0.12375,949.47172459597
8.5e-06,15711.516758369,2106.3934698796,0,1060.9975499491,0.132,1014.8891920626
9e-06,15642.789022728,2235.5573944261,0,1123.4314089454,0.14025,1081.092611145
9.5e-06,15568.989356038,2364.1142757841,0,1184.3923349406,0.1485,1148.1999920251
1e-05,15492.197958017,2492.0391948397,0,1243.5659890135,0.15675,1216.4708157923
1.05e-05,15429.536890138,2619.4408167983,0,1300.4723509839,0.165,1286.4680213567
1.1e-05,15395.243862093,2746.5409943943,0,1354.198881734,0.17325,1359.3231894933
1.15e-05,15386.096925063,2873.5381309631,0,1403.373478158,0.1815,1436.6124839013
1.2e-05,15393.447134083,3000.557391238,0,1447.012762073,0.18975,1519.4387108524
1.25e-05,15419.194162908,3127.7515909246,0,1485.5830387062,0.198,1607.4693598932
1.3e-05,15469.444863656,3255.3345080138,0,1520.6907923533,0.20625,1699.312532039
1.35e-05,15538.949737085,3383.4677053784,0,1553.6679414684,0.2145,1793.8311067647
1.4e-05,15612.126622724,3512.1774963815,0,1585.2278334705,0.22275,1890.362094088
1.45e-05,15679.605403971,3641.4202514135,0,1616.1862399841,0.231,1988.0239994763
1.5e-05,15747.280431447,3771.2080797122,0,1647.1582188188,0.23925,2086.1765833724
1.55e-05,15825.723043499,3901.6399872328,0,1678.2592862109,0.2475,2184.8020242037
1.6e-05,15915.263136031,4032.8159851376,0,1709.698316975,0.25575,2283.8079214348
1.65e-05,16007.471111742,4164.7685939281,0,1741.3367259886,0.264,2383.3585989418
1.7e-05,16098.668313784,4297.5018952657,0,1772.1122382693,0.27225,2484.4953071936
1.75e-05,16194.66672731,4431.061909378,0,1800.6669255166,0.2805,2588.6034530864
1.8e-05,16302.513407832,4565.5460397159,0,1825.8094900976,0.28875,2696.9732869035
1.85e-05,16424.647671671,4701.0701537993,0,1846.6915570714,0.297,2810.5835601915
1.9e-05,16563.744015011,4837.7719397276,0,1863.7205504815,0.30525,2929.1737316355
1.95e-05,16729.343439271,4975.868440247,0,1879.8654852666,0.3135,3049.9855268981
2e-05,16937.776896257,5115.7091472471,0,1901.0363598881,0.32175,3167.4475287177
2.05e-05,17208.807260321,5257.8002015597,0,1934.6260735018,0.33,3274.6621338015
2.1e-05,17563.67604702,5402.8205035599,0,1985.5681481611,0.33825,3367.3476759852
2.15e-05,18020.862034009,5551.6038802788,0,2051.0563908133,0.3465,3449.1196226715
2.2e-05,18586.007072746,5705.0317646105,0,2119.6688697754,0.35475,3532.3387278378
2.25e-05,19241.979964152,5863.8427744721,0,2180.7550303637,0.363,3628.562684377
2.3e-05,19947.852245418,6028.4362847485,0,2237.7012119254,0.37125,3734.9254360448
2.35e-05,20648.24155539,6198.7503993396,0,2306.5542687304,0.3795,3835.2258368475
2.4e-05,21288.706264089,6374.2682052118,0,2396.2687421775,0.38775,3919.870381041
2.45e-05,21832.480368339,6554.1724607176,0,2497.2792898107,0.396,3997.7459346779
2.5e-05,22272.43843365,6737.6035368481,0,2597.289806914,0.40425,4080.5054606061
2.55e-05,22630.081704904,6923.9022455719,0,2697.7223579528,0.4125,4166.0082662045
2.6e-05,22938.452813958,7112.7021187835,0,2803.5224795637,0.42075,4248.7548686296
2.65e-05,23218.354869551,7303.8201188989,0,2911.0079983196,0.429,4332.2376105616
2.7e-05,23465.345733465,7497.0391722685,0,3017.1652232184,0.43725,4419.2867776262
2.75e-05,23658.502219951,7691.9648489883,0,3124.6093705997,0.4455,4506.7564207483
2.8e-05,23784.303707328,7888.0800762654,0,3231.9464270667,0.45375,4595.4266920481
2.85e-05,23854.95673412,8084.9482521173,0,3334.7070150576,0.462,4689.3824401049
2.9e-05,23903.776219513,8282.3781447065,0,3432.2058876077,0.47025,4789.1148865872
2.95e-05,23960.600012199,8480.3926216836,0,3524.0833853318,0.4785,4895.0088171095
3e-05,24030.108396472,8679.0281565362,0,3609.6257145591,0.48675,5007.922771028
3.05e-05,24094.542326587,8878.1703665652,0,3691.5002743384,0.495,5125.1292008305
3.1e-05,24138.607574451,9077.6026131781,0,3772.8291285313,0.50325,5243.2701178944
3.15e-05,24172.263034289,9277.2277946148,0,3854.9163793267,0.5115,5360.9060774743
3.2e-05,24230.321587184,9477.2646645662,0,3938.9858608312,0.51975,5476.9257710462
3.25e-05,24351.81122468,9678.2660922524,0,4026.4632209448,0.528,5590.3178851186
3.3e-05,24559.887694112,9880.9712866699,0,4118.6921620319,0.53625,5700.3766099927
3.35e-05,24857.905109899,10086.126234083,0,4216.795859541,0.5445,5806.6979143767
3.4e-05,25239.272985005,10294.39771104,0,4322.1123799145,0.55275,5908.6747273027
3.45e-05,25698.296575111,10506.399448126,0,4436.9347166284,0.561,6004.7289290513
3.5e-05,26232.781082464,10722.747089109,0,4563.5248582387,0.56925,6093.301687565
3.55e-05,26837.935984384,10944.041418436,0,4702.9460277524,0.5775,6173.9957360355
3.6e-05,27496.17233573,11170.74367694,0,4855.457360487,0.58575,6247.0583056119
3.65e-05,28168.121188489,11402.978675263,0,5021.1162482998,0.594,6312.5913586702
3.7e-05,28789.248405593,11640.329036781,0,5199.2115835102,0.60225,6370.9260426125
3.75e-05,29274.181990986,11881.677788826,0,5387.5816845848,0.6105,6423.16270355
3.8e-05,29527.282427916,12125.131863419,0,5582.9520016353,0.61875,6470.7609079294
3.85e-05,29455.672300572,12368.031775825,0,5781.132696874,0.627,6515.352375044
3.9e-05,28982.588840265,12607.061495495,0,5976.4938798682,0.63525,6559.367165609
3.95e-05,28062.888316315,12838.506067389,0,6162.0613912645,0.6435,6606.1497801166
4e-05,26703.725194548,13058.705546818,0,6331.2475698164,0.65175,6658.6063895768
