"Time","avg(d)","avg(s1)","avg(s11)","avg(s2)","avg(s22)","avg(s3)"
0,0,0,0,0,0,0
5e-07,0,8.6e-05,-1.6042e-05,1.3792e-05,1.2313e-05,-1.7521e-05
1e-06,0,-9.027e-07,-7.4545e-05,-5.617e-06,-7.6788e-06,-8.0781e-05
1.5e-06,0,-1.8812e-06,-8.2246e-05,-1.1634e-05,-1.2441e-05,-9.0147e-05
2e-06,0,2.3661e-05,1.4976e-05,7.7491e-06,1.5621e-05,-1.7892e-06
2.5e-06,0,1.1822e-05,-8.1949e-05,-6.3907e-06,1.0456e-05,-8.2757e-05
3e-06,0,-2.7147e-05,-0.00048686,-5.8005e-05,-7.7774e-05,-0.00051952
3.5e-06,0,-9.8213e-05,-0.0011839,-0.00015127,-0.00026141,-0.0012967
4e-06,0,-0.00037982,-0.004585,-0.00061841,-0.0010626,-0.0050292
4.5e-06,0,-0.00052595,-0.0056914,-0.00080389,-0.0016523,-0.0065674
5e-06,0,0.051394,0.048221,0.0057316,0.0089046,0.0035986
5.5e-06,0,0.22354,0.20509,0.02551,0.043855,0.016879
6e-06,0,0.10252,0.078896,0.013271,0.030229,0.0039811
6.5e-06,0,-0.11638,-1.5188,-0.1838,-0.29268,-1.6277
7e-06,0,-0.38183,-4.6087,-0.57902,-1.009,-5.0479
7.5e-06,0,-0.17945,-2.4471,-0.37188,-0.79467,-2.9778
8e-06,0,21.377,20.017,2.3857,3.7459,1.5098
8.5e-06,0,73.562,67.345,8.3902,14.485,5.5378
9e-06,0,105.15,93.93,12.339,22.817,7.9447
9.5e-06,0,4.4921,-15.631,0.64028,3.364,-16.759
1e-05,0,-30.971,-392.15,-46.834,-76.775,-422.09
1.05e-05,0,-88.08,-1066.9,-134.29,-232.7,-1168.4
1.1e-05,0,-160.4,-1903.6,-247.32,-441.33,-2107.3
1.15e-05,0,-228.25,-2674.5,-356.82,-650.44,-2987
1.2e-05,0,-277.29,-3228.3,-440.16,-814.57,-3631.6
1.25e-05,0,-308.03,-3588.4,-496.12,-924.56,-4054.9
1.3e-05,0,-329.26,-3882.5,-540.5,-1002.5,-4393
1.35e-05,0,-348.3,-4198.8,-586.36,-1073.1,-4747.9
1.4e-05,3.238e-10,-367.29,-4517.1,-632.09,-1143.2,-5104.1
1.45e-05,1.3978e-09,-386.48,-4775.3,-670.58,-1208.5,-5397.6
1.5e-05,2.4087e-09,-404.76,-4954.1,-697.9,-1265.5,-5607.3
1.55e-05,2.8198e-07,-420.66,-5067.9,-715.6,-1310.7,-5745
1.6e-05,1.409e-06,-431.54,-5140.7,-727.05,-1340.5,-5833.1
1.65e-05,2.3083e-06,-435.27,-5189.1,-734.07,-1351.8,-5887.4
1.7e-05,3.146e-06,-433.26,-5226.7,-738.98,-1349.9,-5924.4
1.75e-05,4.0749e-06,-429.85,-5260.2,-742.57,-1343.3,-5954.6
1.8e-05,0.0022761,-428.58,-5277.8,-743.42,-1337.3,-5967.8
1.85e-05,0.0053,-430.47,-5272.7,-741.06,-1334.1,-5958.4
1.9e-05,0.0075761,-433.56,-5243.6,-736,-1331.7,-5924.9
1.95e-05,0.0081364,-435.43,-5212,-730.55,-1329.6,-5890.4
2e-05,0.0081831,-436.1,-5194,-727.19,-1327.8,-5870.6
2.05e-05,0.0092432,-436.13,-5193.9,-725.81,-1324,-5867.3
2.1e-05,0.012206,-435.1,-5196.6,-723.03,-1311.7,-5860.2
2.15e-05,0.017599,-433.7,-5167.6,-711.53,-1282.8,-5807
2.2e-05,0.025272,-424.3,-5041.4,-688.41,-1232.3,-5632.4
2.225e-05,0.030012,-411.51,-4902.8,-670.19,-1197.2,-5456.4
2.25e-05,0.03346,-380.94,-4691.8,-654.82,-1159.7,-5196.7
2.275e-05,0.03363,-297.13,-4412.6,-681.55,-1131.4,-4862.4
2.3e-05,0.031473,-222.29,-4166.8,-727.52,-1141.4,-4580.6
2.325e-05,0.029071,-193.46,-4081.2,-781.88,-1199.9,-4499.2
2.375e-05,0.019765,-181.03,-4159,-868.89,-1332.4,-4622.5
2.425e-05,0.018659,-148.97,-4098.2,-929.41,-1408,-4576.8
