"Time","avg(d)","avg(s1)","avg(s11)","avg(s2)","avg(s22)","avg(s3)"
0,0,0,0,0,0,0
5e-07,0,-1.9742e-06,-4.2244e-06,-3.7537e-06,-3.3564e-06,-6.6446e-06
1e-06,0,8.1179e-06,5.9771e-06,1.4974e-06,3.2397e-06,-5.8126e-07
1.5e-06,0,2.537e-05,1.6866e-05,4.1782e-07,8.2746e-06,-1.3122e-06
2e-06,0,2.5807e-05,1.6437e-05,4.9053e-06,1.4276e-05,8.8089e-08
2.5e-06,0,3.2888e-05,1.4921e-05,3.8203e-06,2.1788e-05,-1.0018e-06
3e-06,0,7.3389e-05,4.8062e-05,5.7012e-07,2.2308e-05,-6.6835e-06
3.5e-06,0,0.00015666,0.00012673,-1.0921e-06,-2.2126e-06,-3.7327e-05
4e-06,0,0.00051544,0.0004303,-8.1722e-06,-5.5227e-05,-0.00015935
4.5e-06,0,0.0010784,0.00096252,-1.7297e-05,-0.00014866,-0.00028458
5e-06,0,0.0011918,-0.0022067,9.6456e-05,-0.0002104,-0.0034365
5.5e-06,0,0.0062082,-0.018691,0.00025158,0.00019779,-0.023765
6e-06,0,0.0055475,-0.031276,9.1331e-05,0.0017157,-0.034665
6.5e-06,0,0.1184,0.08039,-0.002863,0.0029459,-0.040802
7e-06,0,0.59069,0.47214,-0.0051726,-0.0039049,-0.14421
7.5e-06,0,0.84469,0.75692,-0.0020504,-0.0305,-0.13236
8e-06,0,0.5416,-0.82381,0.048578,-0.065732,-1.3671
8.5e-06,0,2.053,-6.5761,0.077016,-0.026166,-8.339
9e-06,0,3.3074,-14.663,0.074288,0.25283,-17.222
9.5e-06,0,1.2873,-12.538,-0.037356,0.88034,-12.945
1e-05,0,34.614,23.326,-0.74869,1.6533,-11.12
1.05e-05,0,143.42,114.62,-1.0321,1.8776,-32.152
1.1e-05,0,312.04,261.78,-1.3188,0.45057,-59.838
1.15e-05,0,505.72,437.03,-1.2229,-3.3473,-86.978
1.2e-05,0,682.83,602.63,0.46196,-7.3673,-107.72
1.25e-05,0.0040282,823.63,736.38,3.6439,-6.7572,-119.55
1.3e-05,0.0092828,939.65,844.15,8.5708,3.1292,-124.65
1.35e-05,0.015903,1053.9,945.73,15.253,22.771,-126.28
1.4e-05,0.028242,1173,1049.9,23.196,47.501,-125.95
1.45e-05,0.045038,1287.6,1152.3,31.152,69.446,-125.03
1.5e-05,0.063521,1377.4,1235.9,37.214,81.499,-125.33
1.55e-05,0.0792,1441.2,1297.6,41.136,85.388,-127.02
1.6e-05,0.092244,1486,1341,44.52,89.911,-126.92
1.65e-05,0.10551,1523.2,1374.1,48.932,102.38,-122.6
1.7e-05,0.1207,1563.3,1406.3,55.348,125.2,-113.54
1.75e-05,0.14043,1604,1436.5,62.619,153.43,-102.38
1.8e-05,0.1659,1637.8,1461,69.571,178.97,-91.996
1.85e-05,0.19332,1659.9,1477.6,75.248,196.77,-83.97
1.9e-05,0.21589,1668.9,1485.6,78.862,205.12,-79.065
1.95e-05,0.22937,1668.9,1487.4,80.485,206.21,-76.978
2e-05,0.23558,1667.3,1487.7,81.044,205.41,-76.192
2.05e-05,0.24255,1666.5,1485.5,82.134,209.95,-73.808
2.1e-05,0.26064,1666.1,1478.2,85.494,226.53,-66.501
2.15e-05,0.30341,1650.1,1450.7,93.767,256.33,-54.307
2.2e-05,0.39401,1562.6,1351.9,104,287.63,-40.096
2.225e-05,0.46679,1449.4,1238.2,103.68,292.85,-32.23
2.25e-05,0.56772,1242.6,1038.7,93.697,279.96,-26.226
2.275e-05,0.68918,921.15,738.87,75.265,236.18,-31.54
2.3e-05,0.78079,569.34,428.11,46.969,161.72,-38.411
2.325e-05,0.80055,292.68,208.28,20.909,65.765,-50.576
2.375e-05,0.72845,49.345,4.7344,-22.083,-108.74,-133.09
2.425e-05,0.73257,41.759,-31.819,-6.7979,-107.49,-157.03
2.475e-05,0.73134,107.83,34.34,4.7888,-111.32,-186.28
2.525e-05,0.73364,64.793,52.645,-11.392,-188.97,-201.12
2.575e-05,0.76093,8.7689,-26.117,-37.873,-178.16,-185.38
2.625e-05,0.74912,-6.4146,-55.829,-46.986,-186.39,-197.97
2.675e-05,0.75903,12.099,-32.463,-24.724,-187.58,-209.39
2.725e-05,0.7492,17.38,-41.464,-24.938,-187.15,-220.89
2.775e-05,0.74515,36.4,2.3985,-11.122,-174.83,-199.45
2.825e-05,0.76441,70.66,57.333,2.9749,-152.36,-169.1
2.875e-05,0.77216,72.885,57.954,3.1182,-146.14,-164.6
2.925e-05,0.7748,51.063,34.062,4.0384,-147.73,-166.22
2.975e-05,0.77665,24.056,0.66956,-3.1845,-163.81,-179.69
3.025e-05,0.76447,15.176,-14.007,-14.492,-187.29,-199.96
3.075e-05,0.75186,30.797,10.047,-13.012,-195.69,-205.12
