time,Fx,external_work,fracture_energy,kinetic_energy,max_disp_x,strain_energy
0,0,0,0,0,0,0
5e-07,2585.8216642793,5.3269520526592,0,1.6368835790719,0.0020625,3.528364717925
1e-06,9546.9068451243,64.319316711736,0,20.670358615542,0.00825,40.007221246832
1.5e-06,15630.387054416,193.09073230164,0,69.2454953004,0.0165,107.9227682267
2e-06,17045.192182204,333.53856099902,0,135.86081262355,0.02475,175.20622773535
2.5e-06,16588.433458236,470.24659428168,0,206.04524920474,0.033,241.94898771896
3e-06,16465.914126553,605.94616023499,0,274.74891573703,0.04125,308.14724408097
3.5e-06,16452.28969027,741.53462964458,0,344.03041179268,0.0495,373.75602534497
4e-06,16347.632062415,876.26406304953,0,413.37354924596,0.05775,438.78353851799
4.5e-06,16278.928852794,1010.4262780055,0,482.49927836347,0.066,503.23336501422
5e-06,16218.214563534,1144.0881529785,0,551.78805097569,0.07425,567.10847349492
5.5e-06,16134.576090914,1277.0738802401,0,621.06303946073,0.0825,630.47203586245
6e-06,16062.945145122,1409.5128283833,0,690.10992408513,0.09075,693.53097665606
6.5e-06,15994.731151431,1541.4688437687,0,758.75568637999,0.099,756.65622800264
7e-06,15917.932949843,1672.8730012526,0,826.5961322822,0.10725,820.17749148063
7.5e-06,15845.035508893,1803.7294540715,0,893.36079825537,0.1155,884.23768839457
8e-06,15774.208626697,1934.0323336962,0,958.98468697878,0.12375,948.92880401684
8.5e-06,15700.061994211,2063.7369037301,0,1023.365431499,0.132,1014.3372220632
9e-06,15627.757417454,2192.8497764274,0,1086.4154577466,0.14025,1080.5234374643
9.5e-06,15558.464770392,2321.3924308072,0,1148.0787848624,0.1485,1147.5983254588
1e-05,15492.245348998,2449.3861784812,0,1208.19416224,0.15675,1215.8208304783
1.05e-05,15435.744275592,2576.903879065,0,1266.3893365694,0.165,1285.7747409895
1.1e-05,15396.192464316,2704.0711260101,0.00012948628067416,1321.8628051333,0.17325,1358.6885110426
1.15e-05,15379.502866187,2831.0594945502,0.003632204669935,1373.2452433611,0.1815,1436.257252836
1.2e-05,15390.237132399,2958.0869981675,0.035985805171453,1419.3579530635,0.18975,1519.3373242318
1.25e-05,15426.238127842,3085.3652851298,0.14805230773904,1460.3309492946,0.198,1607.1863398838
1.3e-05,15478.714009277,3213.032339141,0.33021856576446,1497.3345867619,0.20625,1698.632269013
1.35e-05,15538.873367891,3341.1512471568,0.51631997619281,1531.4847776082,0.2145,1792.9131542498
1.4e-05,15602.502066653,3469.7575244046,0.69945055945938,1563.7082213579,0.22275,1889.0880702195
1.45e-05,15670.417122085,3598.8966435195,0.93445529211286,1594.9972111914,0.231,1986.0883085427
1.5e-05,15745.189180037,3728.6334779582,1.2603981008775,1626.1255435936,0.23925,2083.2735927793
1.55e-05,15826.807816102,3859.0341220656,1.6622658383994,1657.494646527,0.2475,2180.3593761524
1.6e-05,15912.71184236,3990.1479201492,2.1303680995566,1689.2643480644,0.25575,2277.2899769804
1.65e-05,16001.248146906,4122.0144501134,2.6919488811244,1721.2980590573,0.264,2374.6701982093
1.7e-05,16093.11939404,4254.6755401572,3.2782373840927,1752.9748739621,0.27225,2473.9218295225
1.75e-05,16190.429465144,4388.1818153506,3.804110418092,1783.1302464323,0.2805,2576.2733814608
1.8e-05,16296.216155653,4522.605327389,4.2725775927912,1810.2923001689,0.28875,2683.2693646481
1.85e-05,16414.912268299,4658.0565117937,4.7130671582752,1833.2192432874,0.297,2795.7532394985
1.9e-05,16552.859868007,4794.6961338973,5.1811434598126,1851.7406331813,0.30525,2913.1047916477
1.95e-05,16719.360811329,4932.7549608179,5.6983184949536,1867.7978535341,0.3135,3032.2660476125
2e-05,16929.161907532,5072.5801425191,6.2475383813446,1886.4754222483,0.32175,3146.6805067169
2.05e-05,17204.663151963,5214.6999746032,6.8506976791253,1915.9638056494,0.33,3247.5552054969
2.1e-05,17572.880640673,5359.8632757141,7.5512760055913,1963.7624322615,0.33825,3330.7435815273
2.15e-05,18053.870432915,5508.9844977285,8.3137952501728,2028.9071419061,0.3465,3404.6263759327
2.2e-05,18645.055459307,5662.9595089086,9.1153868276603,2098.8056618489,0.35475,3486.4741725285
2.25e-05,19312.660631691,5822.4093227875,10.008579626155,2161.1141842903,0.363,3583.3533121837
2.3e-05,19999.338676247,5987.4780211156,10.997433482757,2220.439857028,0.37125,3680.4360712782
2.35e-05,20645.929058049,6157.8061700243,12.154776726937,2292.997148058,0.3795,3762.3922598446
2.4e-05,21214.051149378,6332.7065774923,13.554045746701,2383.5119205429,0.38775,3833.751808933
2.45e-05,21695.252665323,6511.4325810512,15.244703357004,2482.9368635536,0.396,3903.7656898002
2.5e-05,22102.756108678,6693.3741501779,17.288142533785,2586.9099246475,0.40425,3970.3849727357
2.55e-05,22454.058000572,6878.0958302412,19.711618936517,2697.186870409,0.4125,4032.1855629956
2.6e-05,22757.279791444,7065.2545851107,22.469314753422,2811.7343250462,0.42075,4092.8541948001
2.65e-05,23009.475052995,7254.505082482,25.498900817317,2928.3940813674,0.429,4151.8386220166
2.7e-05,23205.385557605,7445.4801800838,29.161561567475,3048.3676833513,0.43725,4203.888645913
2.75e-05,23347.221259524,7637.8387041916,33.818873658339,3171.9675546669,0.4455,4245.6136098158
2.775e-05,23418.838411588,7734.4055603698,36.642561357985,3270.6486592825,0.449625,4260.2725655904
2.8e-05,23460.319046423,7831.21942865,39.758111875122,3336.1795884305,0.45375,4271.8842837945
2.825e-05,23495.636159336,7928.2501254392,43.28454417767,3402.588887856,0.457875,4281.4314747206
2.8375e-05,23516.356553785,7976.8291135191,45.148351987611,3454.1214392203,0.4599375,4285.681159197
2.85e-05,23530.438045372,8025.4503353728,46.96808484375,3487.8005492487,0.462,4288.9980035524
2.8625e-05,23543.287839096,8074.1088602751,48.998543322791,3521.4828488581,0.4640625,4292.1476810735
2.875e-05,23554.835917218,8122.7994425736,51.123373223129,3555.1733335644,0.466125,4295.2558393211
2.8875e-05,23565.00600008,8171.5166289298,53.172341892344,3588.6879946684,0.4681875,4298.3381671724
