time,Fx,external_work,fracture_energy,kinetic_energy,max_disp_x,strain_energy
0,0,0,0,0,0,0
5e-07,1637.7890259082,6.3293798138193,0,9.1816301294846,0.0020625,2.8058619204681
1e-06,6682.4520649025,63.012405871414,0,53.57062909617,0.00825,35.81322345145
1.5e-06,12586.406741477,167.17281483602,0,98.556727045157,0.0165,103.91587517518
2e-06,15856.68714602,295.46098955113,0,171.11767354993,0.02475,170.97197846563
2.5e-06,16575.271246575,433.55821674034,0,246.55394662625,0.033,238.10775939058
3e-06,16417.417450967,567.25593467323,0,312.24249068824,0.04125,304.29242444896
3.5e-06,16343.838255862,702.55356705094,0,380.69087605889,0.0495,370.08545558799
4e-06,16386.704499881,836.81693617927,0,449.91831478078,0.05775,435.17901616081
4.5e-06,16332.110652668,971.49413338408,0,520.80879497683,0.066,499.73856084441
5e-06,16194.620773949,1104.5231276605,0,589.52846992827,0.07425,563.62311049606
5.5e-06,16104.085019111,1237.159121978,0,658.23110285261,0.0825,626.93920760287
6e-06,16070.763821936,1369.5284800524,0,727.08398526256,0.09075,690.12341431141
6.5e-06,16015.106375548,1501.7022587771,0,796.05272113015,0.099,753.20770674084
7e-06,15918.145180158,1633.160865774,0,863.72743003141,0.10725,816.42122492868
7.5e-06,15830.651744699,1764.0153566459,0,929.75451308006,0.1155,880.36448467945
8e-06,15774.001037416,1894.433157559,0,994.63461455277,0.12375,945.15083730864
8.5e-06,15713.446834338,2024.3911045045,0,1058.4078920336,0.132,1010.8104075647
9e-06,15623.62292308,2153.6122487181,0,1120.6301897574,0.14025,1077.2335311048
9.5e-06,15526.224348507,2282.0515037256,0,1181.2588209815,0.1485,1144.2706232431
1e-05,15455.071604818,2409.9077652785,0,1240.2854901573,0.15675,1212.3120847924
1.05e-05,15417.554369337,2537.4142630654,0,1297.3420949826,0.165,1282.1380416825
1.1e-05,15400.209137257,2664.7054318373,0,1350.6732183393,0.17325,1355.6055590999
1.15e-05,15390.057721701,2791.8291871464,0.00054261615236844,1398.8579250047,0.1815,1434.0922386974
1.2e-05,15381.457082096,2918.7864804714,0.0037302435146577,1441.8363675319,0.18975,1517.6163313058
1.25e-05,15378.007430267,3045.6206904129,0.013223134926513,1480.1600178473,0.198,1605.6151995556
1.3e-05,15395.925092321,3172.5201976542,0.029085936429507,1514.5668134221,0.20625,1697.4887150141
1.35e-05,15452.982531009,3299.8134702412,0.058608513163078,1546.4302056889,0.2145,1792.2484245801
1.4e-05,15546.30955383,3427.7988172025,0.12068327043061,1577.5696303173,0.22275,1888.4787492809
1.45e-05,15651.318365258,3556.5754693181,0.22376161447935,1608.8052127338,0.231,1985.4824992673
1.5e-05,15749.442480455,3686.1144015832,0.3689901296844,1640.316381284,0.23925,2082.8856174641
1.55e-05,15846.13569592,3816.4508360429,0.52984572322979,1672.4284877877,0.2475,2180.3303759659
1.6e-05,15952.308170291,3947.7075967586,0.69722798760489,1705.1816146878,0.25575,2277.9503129916
1.65e-05,16059.095940292,4079.9068437461,0.87969566459843,1737.8080865397,0.264,2376.6216139662
1.7e-05,16146.873665325,4212.8923847776,1.116884740814,1769.0256865077,0.27225,2477.3385678085
1.75e-05,16215.467489969,4346.5273339886,1.4644076545797,1798.3607609609,0.2805,2580.0943211944
1.8e-05,16289.212289425,4480.8862368649,2.0125453115824,1823.5972845156,0.28875,2686.7606047977
1.825e-05,16350.505420071,4548.3611525769,2.3885255514121,1833.1271251151,0.292875,2743.6745917244
1.85e-05,16408.442785414,4616.1041949801,2.869199156873,1838.55474319,0.297,2804.1479099278
1.875e-05,16472.830822351,4684.1376832618,3.4748191360146,1840.8952171201,0.301125,2867.5156759134
1.925e-05,16597.018560971,4821.29086891,5.0093272787197,1846.1708350057,0.309375,2992.6579128162
1.95e-05,16710.277350526,4890.3575485701,5.8785885155003,1855.6771959085,0.3135,3049.4490247057
2e-05,16918.168895384,5030.2338084479,7.5053759307768,1892.4343659479,0.32175,3145.8130316078
2.05e-05,17268.668650573,5173.0036278899,9.1488155902912,1945.2849226364,0.33,3229.5534639644
2.075e-05,17562.996676871,5245.6021726913,9.954669201306,1973.6440769614,0.334125,3271.5115911996
2.1e-05,17826.019143038,5319.2832588074,10.877931767635,2001.3566552113,0.33825,3314.8884280466
2.125e-05,18109.968307251,5394.1367573906,11.786218106265,2029.075289398,0.342375,3359.4672606328
2.175e-05,18613.196143065,5547.9867838681,13.559886451926,2086.2493053534,0.350625,3449.8403181161
2.225e-05,19231.210923081,5706.9031572179,15.615029812412,2150.0880488651,0.358875,3538.8518394173
2.275e-05,19845.598950599,5870.7925009925,18.09731776806,2222.5214672867,0.367125,3623.8078858638
2.325e-05,20433.325749475,6039.322733169,20.978622461565,2305.2577924362,0.375375,3702.4985843793
2.375e-05,20982.933156982,6212.0340280137,24.291650892324,2397.6910156648,0.383625,3775.1508926037
2.425e-05,21496.885525435,6388.5741068081,28.049009889158,2498.0413764882,0.391875,3843.2360822611
2.475e-05,21978.836749516,6568.7791439102,32.265200321048,2604.843001295,0.400125,3907.9235436132
2.525e-05,22416.850031183,6752.4995012663,36.974457273015,2717.6058907347,0.408375,3969.136570072
2.55e-05,22678.343637321,6845.4850728386,39.542166968805,2776.6751052493,0.4125,3998.1520990836
2.575e-05,22844.967419201,6939.2164717711,42.417449968622,2837.0203661616,0.416625,4025.182281843
2.5875e-05,22943.550927076,6986.3131540297,44.030243281724,2867.9054972182,0.4186875,4037.6297161442
2.6e-05,23008.516507116,7033.5655691986,45.784261542174,2899.1233231203,0.42075,4048.938859706
2.6125e-05,23067.170578803,7080.9620777881,47.732304224762,2930.8607945911,0.4228125,4058.7947260466
2.6375e-05,23151.216143801,7176.179132391,52.255070845383,2995.8870410631,0.4269375,4074.333522376
2.6625e-05,23236.476345148,7271.8384084947,57.411575319218,3063.2387208191,0.4310625,4086.2481718067
2.6875e-05,23306.43174759,7367.8641861191,63.049219241509,3132.5382369155,0.4351875,4094.7617635951
2.7125e-05,23363.828418602,7464.1872427291,69.174203006124,3203.4767355602,0.4393125,4100.2765171652
2.7375e-05,23409.421666401,7560.7404659147,75.591667433975,3275.8365470545,0.4434375,4103.1715175192
2.7625e-05,23442.216315008,7657.4551560723,82.239584107653,3349.0522080329,0.4475625,4104.1330126212
2.7875e-05,23460.526539587,7754.2607201996,89.357182461355,3422.1497080411,0.4516875,4104.3545494509
2.8125e-05,23463.374028781,7851.0888019602,96.828591311161,3494.4040891222,0.4558125,4104.6070589849
2.8375e-05,23451.637956891,7947.8807058221,104.65302250618,3565.1365521001,0.4599375,4105.8502507946
2.8625e-05,23428.460065637,8044.5951015481,113.09729985862,3634.0719617956,0.4640625,4108.4388220915
2.8875e-05,23398.680869554,8141.2124675723,121.68055243901,3702.0185945361,0.4681875,4112.0096570341
2.9125e-05,23367.461459106,8237.7338852174,130.26673314649,3770.0777224899,0.4723125,4115.3244621498
2.9375e-05,23338.611595123,8334.1739557626,139.12485719171,3838.7580473603,0.4764375,4118.1859361769
2.9625e-05,23313.358576296,8430.5498040308,148.17926930794,3909.261437637,0.5024058041449,4119.4415681957
