time,Fx,external_work,fracture_energy,kinetic_energy,max_disp_x,strain_energy
0,0,0,0,0,0,0
5e-07,1637.7890259082,6.3293798138193,0,9.1816301294846,0.0020625,2.8058619204681
1e-06,6682.4520648286,63.012405870699,0,53.570629097605,0.00825,35.813223450511
1.5e-06,12586.406741231,167.17281483392,0,98.556727043703,0.0165,103.91587517317
2e-06,15856.687144534,295.46098954363,0,171.11767355697,0.02475,170.97197846108
2.5e-06,16575.271243801,433.55821670971,0,246.55394675138,0.033,238.10775933413
3e-06,16417.417445252,567.25593458169,0,312.24249114203,0.04125,304.29242423718
3.5e-06,16343.838246531,702.5535668545,0,380.69087631552,0.0495,370.0854552635
4e-06,16386.704497842,836.81693596415,0,449.91831464326,0.05775,435.17901588752
4.5e-06,16332.11064828,971.49413315244,0,520.8087948983,0.066,499.73856060446
5e-06,16194.620752595,1104.5231272771,0,589.52847013648,0.07425,563.62311029991
5.5e-06,16104.084997747,1237.1591214197,0,658.23110264048,0.0825,626.93920751668
6e-06,16070.763809969,1369.5284793693,0,727.08398596654,0.09075,690.12341304363
6.5e-06,16015.106369609,1501.7022579948,0,796.05271797975,0.099,753.20770934837
7e-06,15918.1451833,1633.1608649947,0,863.72742741455,0.10725,816.42122746017
7.5e-06,15830.651743313,1764.0153558584,0,929.75457356185,0.1155,880.36442411261
8e-06,15774.001031052,1894.4331567434,0,994.63459069992,0.12375,945.15085771183
8.5e-06,15713.446831021,2024.3911036781,0,1058.4073873605,0.132,1010.8109103626
9e-06,15623.622930249,2153.6122479503,0,1120.6300189112,0.14025,1077.2337163362
9.5e-06,15526.224366548,2282.0515030949,0,1181.2608904037,0.1485,1144.2685598683
1e-05,15455.071620916,2409.9077647786,0,1240.2843469249,0.15675,1212.3131085924
1.05e-05,15417.554325068,2537.4142622163,0,1297.3154309466,0.165,1282.1643196755
1.1e-05,15400.208968156,2664.7054295855,0,1350.5944493731,0.17325,1355.683545993
1.15e-05,15390.057596839,2791.8291838636,3.0923020654683e-05,1398.7174682211,0.1815,1434.2318978908
1.2e-05,15381.457581829,2918.7864813609,0.0031287433488695,1441.6360115922,0.18975,1517.815326641
1.25e-05,15378.00885199,3045.6207029886,0.0096198258042112,1479.8993851333,0.198,1605.8825865497
1.3e-05,15395.925785431,3172.5202156873,0.02492435213632,1514.250397078,0.20625,1697.8210700876
1.35e-05,15452.978418336,3299.8134543202,0.051075300175022,1546.066597087,0.2145,1792.6493775778
1.4e-05,15546.298126978,3427.7987083793,0.10882582584585,1577.1641422096,0.22275,1888.9501961943
1.45e-05,15651.306630206,3556.5752660033,0.21541778989,1608.3638726612,0.231,1986.0117154968
1.5e-05,15749.450989233,3686.1142680844,0.34191214869826,1639.845998488,0.23925,2083.5209728684
1.55e-05,15846.18819065,3816.4511280551,0.49145368713435,1671.9338368938,0.2475,2181.0645632229
1.6e-05,15952.405131314,3947.7086723726,0.63227163077546,1704.6594191456,0.25575,2278.8119461005
1.65e-05,16059.186588427,4079.9086547529,0.77230528809793,1737.247477313,0.264,2377.6579324258
1.7e-05,16146.853820764,4212.8940529464,0.95425151987263,1768.4085990311,0.27225,2478.6128395933
1.75e-05,16215.232292609,4346.5271268253,1.2159439039517,1797.6600329008,0.2805,2581.7418718591
1.8e-05,16288.777620526,4480.8825130902,1.5740695507862,1822.7714722907,0.28875,2689.1597649473
1.85e-05,16389.921028773,4616.1930281346,2.0253969762633,1837.1503181548,0.297,2807.8007202053
1.9e-05,16523.102549959,4752.6993085103,2.5581581401027,1841.6346802779,0.30525,2937.2209688723
1.95e-05,16693.802927222,4890.6840928052,3.1359369115403,1853.8471191094,0.3135,3059.9568942452
1.975e-05,16832.791212667,4960.2684879319,3.4513986687615,1868.786723976,0.317625,3113.1458940768
2e-05,16967.571474738,5030.4161201514,3.8108819100524,1889.6944142763,0.32175,3160.4512206739
2.025e-05,17134.227027493,5101.2531429051,4.2409548359655,1914.9275125691,0.325875,3203.7216053448
2.05e-05,17336.245623442,5172.9207790243,4.8176338723999,1942.1623537046,0.33,3245.2232340079
2.1e-05,17751.555183752,5319.6605390995,6.2425998694038,1996.2437105752,0.33825,3330.669774948
2.15e-05,18318.080941823,5471.0759595428,7.9452189272135,2051.1664763377,0.3465,3421.3185290438
2.2e-05,18930.95481401,5627.5383570303,9.7961130927263,2109.9580379172,0.35475,3513.3058211606
2.25e-05,19553.178924372,5789.0718031898,11.835408951748,2176.035765032,0.363,3602.7039128239
2.3e-05,20159.061464747,5955.4578957428,14.257688681512,2251.904375059,0.37125,3686.6048892691
2.325e-05,20547.609645587,6040.1951682476,15.643804340926,2294.227271144,0.375375,3726.016524385
2.375e-05,21003.256479757,6213.0742190947,18.80733407767,2384.8426747671,0.383625,3800.1689144906
2.425e-05,21518.783648313,6389.7950644561,22.467446357804,2483.6059791508,0.391875,3869.7461787844
2.475e-05,22000.304112757,6570.1774242685,26.51320052209,2588.2830967397,0.400125,3936.6463491936
2.525e-05,22437.962452445,6754.0732867406,31.071550115113,2698.8157924828,0.408375,4000.4401804208
2.575e-05,22807.344676264,6941.1613234129,36.108645856692,2815.4453469404,0.416625,4060.4077658992
2.625e-05,23088.269057579,7130.8897244776,41.555457666391,2937.2363957703,0.424875,4116.9013368988
2.675e-05,23283.848393172,7322.5967407512,47.337398592402,3062.4669283475,0.433125,4170.8932129982
2.725e-05,23418.531892117,7515.6999396178,53.214415967447,3189.5231482566,0.441375,4223.6184907933
2.775e-05,23517.799960975,7709.7837887523,59.193972579846,3317.2396468159,0.449625,4276.1631778873
2.825e-05,23590.996211767,7904.5434647002,65.598553244589,3444.0038953057,0.457875,4329.9980430653
2.875e-05,23632.060489247,8099.6921959763,72.659466531036,3567.6985946179,0.466125,4386.499474409
2.925e-05,23633.0997022,8294.9289672178,80.450444616141,3687.7799830015,0.474375,4445.1686084447
2.975e-05,23596.305294928,8489.9734501387,89.191052858931,3805.8717058689,0.482625,4504.0629709464
3.025e-05,23536.716763503,8684.6375266006,99.017258308636,3923.6019476022,0.490875,4560.78999199
3.075e-05,23479.078084315,8878.9047453446,108.59871474412,4039.7876072356,0.499125,4616.7629456355
3.1e-05,23451.223866474,8975.943357785,113.45293958427,4097.7760247458,0.50325,4645.0945796565
3.15e-05,23461.807136693,9170.0818045025,124.09533500716,4210.9169338168,0.5115,4700.591566483
3.155e-05,23472.853507374,9189.5066756752,125.09203609522,4223.1055839697,0.512325,4705.6393337432
3.16e-05,23479.878746489,9208.9368429825,126.19382318391,4235.2272351822,0.51315,4710.6699084784
3.165e-05,23487.830315256,9228.3730413249,127.26877413712,4247.1942019307,0.513975,4715.8742698341
3.17e-05,23496.725405972,9247.8160252652,128.43138628576,4258.9699015647,0.5148,4721.226341961
3.175e-05,23506.573437091,9267.2665623783,129.59184831076,4270.6124373611,0.515625,4726.7007109839
3.18e-05,23517.378737218,9286.725428659,130.74891734857,4282.2819446136,0.51645,4732.1362620459
3.185e-05,23529.13996197,9306.1934033001,131.88666805645,4294.047942254,0.517275,4737.4989269191
