time,Fx,external_work,fracture_energy,kinetic_energy,max_disp_x,strain_energy
0,0,0,0,0,0,0
5e-07,1637.7890259082,6.3293798138193,0,9.1816301294846,0.0020625,2.8058619204681
1e-06,6682.4520648286,63.012405870699,0,53.570629097605,0.00825,35.813223450511
1.5e-06,12586.406741231,167.17281483392,0,98.556727043703,0.0165,103.91587517317
2e-06,15856.687144534,295.46098954363,0,171.11767355697,0.02475,170.97197846108
2.5e-06,16575.271243801,433.55821670971,0,246.55394675138,0.033,238.10775933413
3e-06,16417.417445252,567.25593458169,0,312.24249114203,0.04125,304.29242423718
3.5e-06,16343.838246531,702.5535668545,0,380.69087631552,0.0495,370.0854552635
4e-06,16386.704497842,836.81693596415,0,449.91831464326,0.05775,435.17901588752
4.5e-06,16332.11064828,971.49413315244,0,520.8087948983,0.066,499.73856060446
5e-06,16194.620752595,1104.5231272771,0,589.52847013648,0.07425,563.62311029991
5.5e-06,16104.084997747,1237.1591214197,0,658.23110264048,0.0825,626.93920751668
6e-06,16070.763809969,1369.5284793693,0,727.08398596654,0.09075,690.12341304363
6.5e-06,16015.106369609,1501.7022579948,0,796.05271797975,0.099,753.20770934837
7e-06,15918.1451833,1633.1608649947,0,863.72742741455,0.10725,816.42122746017
7.5e-06,15830.651743313,1764.0153558584,0,929.75457356185,0.1155,880.36442411261
8e-06,15774.001031052,1894.4331567434,0,994.63459069992,0.12375,945.15085771183
8.5e-06,15713.446831021,2024.3911036781,0,1058.4073873605,0.132,1010.8109103626
9e-06,15623.622930249,2153.6122479503,0,1120.6300189112,0.14025,1077.2337163362
9.5e-06,15526.224366548,2282.0515030949,0,1181.2608904037,0.1485,1144.2685598683
1e-05,15455.071620916,2409.9077647786,0,1240.2843469249,0.15675,1212.3131085924
1.05e-05,15417.554325068,2537.4142622163,0,1297.3154309466,0.165,1282.1643196755
1.1e-05,15400.208968156,2664.7054295855,0,1350.5944493731,0.17325,1355.683545993
1.15e-05,15390.057596839,2791.8291838636,1.0946134236971e-05,1398.7174682211,0.1815,1434.2318978908
1.2e-05,15381.457581829,2918.7864813609,0.000898298035714,1441.63555909,0.18975,1517.8173895943
1.25e-05,15378.00885199,3045.6207029886,0.002513386814983,1479.8976206381,0.198,1605.8902667626
1.3e-05,15395.925785431,3172.5202156873,0.0065867553837869,1514.245723697,0.20625,1697.8405284315
1.35e-05,15452.978418333,3299.8134543201,0.013156864074811,1546.055948296,0.2145,1792.6938664501
1.4e-05,15546.298126971,3427.7987083793,0.027583051178825,1577.1416555775,0.22275,1889.0577288894
1.45e-05,15651.306630235,3556.5752660035,0.054857122203559,1608.3212653724,0.231,1986.2419779197
1.5e-05,15749.450989436,3686.114268086,0.08383121443576,1639.7774487439,0.23925,2083.9180437167
1.55e-05,15846.188190712,3816.4511280572,0.11402192950411,1671.8357505336,0.2475,2181.6619289894
1.6e-05,15952.405128219,3947.7086723506,0.14320159803922,1704.5272757436,0.25575,2279.6161839939
1.65e-05,16059.186577427,4079.9086546468,0.17197272723078,1737.0765438958,0.264,2378.6872091148
1.7e-05,16146.853820401,4212.8940528433,0.20318451587748,1768.1958710292,0.27225,2479.9535911064
1.75e-05,16215.232398647,4346.5271275581,0.24282607138441,1797.3964357171,0.2805,2583.5547082633
1.8e-05,16288.777959263,4480.8825164858,0.29885692647656,1822.4344361327,0.28875,2691.649957241
1.85e-05,16389.921317953,4616.1930337873,0.35811852170563,1836.7089705162,0.297,2811.2305521644
1.9e-05,16523.101278378,4752.699303847,0.40216766016034,1841.0473628622,0.30525,2941.9393585889
1.95e-05,16693.797192415,4890.6840416498,0.42551821939259,1853.0397792707,0.3135,3066.3139559917
2e-05,16931.223912945,5030.6696015857,0.43339968072382,1887.8981990642,0.32175,3169.347806293
2.05e-05,17275.929568071,5173.5032909119,0.44460946340042,1939.4597228908,0.33,3258.1249255481
2.1e-05,17743.63000714,5320.1806320221,0.47828941736504,1993.5169803148,0.33825,3348.2333587176
2.15e-05,18308.992147325,5471.5195611794,0.55582538281777,2046.4843947585,0.3465,3444.1918415344
2.2e-05,18924.901185297,5627.930254459,0.69710649236112,2102.5579257102,0.35475,3542.0699148351
2.25e-05,19550.172269507,5789.4371307586,0.94031467373784,2165.2945981422,0.363,3638.1096990466
2.3e-05,20158.996616319,5955.8205045839,1.3444758017242,2236.9216601845,0.37125,3729.5391464967
2.35e-05,20736.370112107,6126.6966937796,1.9833863748119,2318.3654367029,0.3795,3814.524803932
2.4e-05,21275.480767014,6301.6306031496,3.0293303316551,2408.3742442191,0.38775,3892.3493162382
2.45e-05,21776.79198871,6480.314831803,4.6223746821046,2505.6544294306,0.396,3961.8792975859
2.5e-05,22239.582324853,6662.5921832912,6.5826727599604,2608.8983576273,0.40425,4029.538193074
2.55e-05,22650.970600832,6848.2759945655,8.9221213815776,2717.7641132044,0.4125,4094.9703478048
2.6e-05,22988.651289327,7036.9810758327,11.43975928941,2831.7508579213,0.42075,4157.2480999795
2.65e-05,23239.367818703,7228.1157080804,14.008771906115,2949.3436952045,0.429,4217.2979173842
2.7e-05,23413.639151544,7421.0363838592,16.681437324869,3068.8171353327,0.43725,4276.3062261348
2.75e-05,23539.265020479,7615.2338698692,19.428607002538,3189.2409548956,0.4455,4335.2004595174
2.8e-05,23640.140746231,7810.3852282487,22.215177857191,3309.4935362,0.45375,4395.1961388626
2.85e-05,23722.494452326,8006.2701113873,25.224215380036,3427.7282533101,0.462,4457.5126089743
2.9e-05,23780.311141877,8202.6849822008,28.529857434699,3542.5528717081,0.47025,4522.4884027387
2.95e-05,23810.646615955,8399.4380045571,32.368224741764,3653.9874209477,0.4785,4588.8291054364
3e-05,23822.434788139,8596.3988535196,36.796840707688,3764.2210137561,0.48675,4653.0479379518
3.05e-05,23833.631089729,8793.5485274952,41.549167493746,3874.4972812754,0.495,4714.0353011934
3.1e-05,23864.424983151,8991.0045542251,46.395449565637,3983.7146717684,0.50325,4774.3685133202
3.15e-05,23933.540718088,9189.0265317437,51.508409367442,4092.3873425056,0.5115,4834.9068322968
3.155e-05,23968.094116504,9208.8590241257,51.998076476661,4103.8449449272,0.512325,4840.7341045031
3.16e-05,23979.784297462,9228.7006738359,52.511536623651,4115.1321823851,0.51315,4846.606701035
3.165e-05,23992.100110828,9248.5519636575,53.030531068856,4126.3498195564,0.513975,4852.5477791326
3.17e-05,24005.053142251,9268.4133912027,53.565420835879,4137.5736313585,0.5148,4858.4695312979
3.175e-05,24018.650782455,9288.2854654631,54.09721566785,4148.8101034165,0.515625,4864.3895105069
3.18e-05,24032.897438621,9308.1687042488,54.631591074553,4160.0790793497,0.51645,4870.2766439587
3.185e-05,24047.79397922,9328.0636310325,55.173386908041,4171.3464404477,0.517275,4876.1454351603
3.19e-05,24063.3371593,9347.9707711861,55.701864727557,4182.7140492757,0.5181,4881.955744431
3.195e-05,24079.519035959,9367.8906476035,56.210845937778,4194.1953949148,0.518925,4887.6507716122
3.2e-05,24096.326385789,9387.8237757253,56.718091347913,4205.7621360088,0.51975,4893.2327654141
