time,Fx,external_work,fracture_energy,kinetic_energy,max_disp_x,strain_energy
0,0,0,0,0,0,0
5e-07,1835.7729824203,7.2575817003209,0,9.5995136309292,0.0020625,2.8140658761052
1e-06,7196.1466280735,67.881481530293,0,53.182717980971,0.00825,35.886220259891
1.5e-06,13048.943526697,174.91753315709,0,98.102791718796,0.0165,104.01856659565
2e-06,16019.399087781,305.67423205612,0,171.67583654283,0.02475,171.08228323925
2.5e-06,16569.306240193,443.07613744107,0,245.82937269543,0.033,238.23805649265
3e-06,16391.724956643,576.8273579469,0,312.04329569991,0.04125,304.42679010177
3.5e-06,16348.363928672,712.180045489,0,380.48366839412,0.0495,370.2382540516
4e-06,16394.210761866,846.39723136626,0,449.70870797806,0.05775,435.33582110313
4.5e-06,16321.872579818,981.15345588793,0,520.69688435824,0.066,499.91215836413
5e-06,16180.366084001,1113.9310468991,0,589.20150524467,0.07425,563.79951063809
5.5e-06,16100.731344727,1246.6735069078,0,658.0935442513,0.0825,627.12664863343
6e-06,16071.777244166,1378.9756971021,0,726.879602467,0.09075,690.32143358516
6.5e-06,16009.192967864,1511.1821654232,0,795.9435723079,0.099,753.41104570892
7e-06,15907.944484941,1642.5213255402,0,863.51227246662,0.10725,816.6297091173
7.5e-06,15824.916019377,1773.3705647985,0,929.58566136976,0.1155,880.58765795713
8e-06,15772.391419605,1903.7604597724,0,994.47782387637,0.12375,945.37876565264
8.5e-06,15708.913090533,2033.7027917549,0,1058.2813838559,0.132,1011.0561529328
9e-06,15614.454891831,2162.8439616664,0,1120.4767829556,0.14025,1077.479367437
9.5e-06,15517.592033465,2291.2254332415,0,1181.1094453304,0.1485,1144.5112401916
1e-05,15450.798468153,2419.0465006933,0,1240.1429208374,0.15675,1212.5591719143
1.05e-05,15416.526536763,2546.5493558017,0,1297.1585873789,0.165,1282.449455949
1.1e-05,15400.139337286,2673.8398521866,0,1350.3164592126,0.17325,1356.0942702257
1.15e-05,15390.019608575,2800.9657551902,0,1398.3123890165,0.1815,1434.7810982454
1.2e-05,15380.876603911,2927.9177236472,0,1441.1155046539,0.18975,1518.4953833191
1.25e-05,15377.126924317,3054.746084288,0,1479.258657616,0.198,1606.6947352872
1.3e-05,15397.458854925,3181.6594068786,0.0061049515469541,1513.4787109049,0.20625,1698.7802471166
1.35e-05,15459.789751792,3309.0102560564,0.02332230896901,1545.2192548681,0.2145,1793.7350279292
1.4e-05,15556.918891826,3437.0835759398,0.062738422608658,1576.2870156069,0.22275,1890.1868400597
1.45e-05,15661.047329371,3565.9418680647,0.14016007444691,1607.4244704578,0.231,1987.4894001769
1.5e-05,15756.752184038,3695.5452055924,0.25073803539931,1638.8329989084,0.23925,2085.2184948323
1.55e-05,15854.423518663,3825.9568225936,0.35407190844683,1670.8683052116,0.2475,2182.9449892113
1.6e-05,15963.74069542,3957.3156798285,0.44665157359922,1703.5682680516,0.25575,2280.8812639198
1.65e-05,16070.063897937,4089.611519914,0.55012541905006,1736.1075026701,0.264,2379.9716223521
1.7e-05,16152.665358743,4222.6508463613,0.68236469411504,1767.1342019299,0.27225,2481.273953914
1.75e-05,16217.24736398,4356.310288843,0.89675482560734,1796.2992791081,0.2805,2584.7988133541
1.8e-05,16292.66438971,4490.7106341389,1.2076540444219,1821.2703383103,0.28875,2692.7646159266
1.85e-05,16398.477502913,4626.1033916784,1.6160139670501,1835.0536920869,0.297,2812.5386806313
1.9e-05,16534.906626087,4762.7149654265,2.0832365404699,1838.9124673993,0.30525,2943.2865744973
1.95e-05,16709.969473333,4900.8383574871,2.5639947667066,1851.1954956138,0.3135,3066.7275060823
2e-05,16959.396870006,5041.0593529373,3.0292559775038,1886.6105151621,0.32175,3168.3796118314
2.05e-05,17324.267374332,5184.2926887317,3.5561100477097,1938.2380596671,0.33,3256.3531342257
2.1e-05,17812.249104114,5331.5391727466,4.2918751068592,1992.3203261036,0.33825,3345.9040713733
2.15e-05,18389.72639892,5483.5526450937,5.4215181895673,2045.8405161718,0.3465,3440.7147782599
2.2e-05,19008.730370135,5640.6649297595,7.1238825988782,2102.8045180232,0.35475,3536.6576086898
2.25e-05,19632.640058029,5802.8598060284,11.686243927358,2167.2603882172,0.363,3624.2542701461
2.3e-05,20239.100401799,5969.9053555235,18.081558260967,2242.6938030323,0.37125,3703.1783824561
2.35e-05,20813.617168908,6141.4065877528,25.951086499794,2329.8132228367,0.3795,3774.9376315135
2.4e-05,21349.595864601,6316.9306778674,33.679673871707,2426.222510808,0.38775,3843.7986413759
2.45e-05,21848.085897188,6496.1925727864,42.820212793914,2529.363258462,0.396,3909.9522226943
2.5e-05,22307.005452822,6679.0419170435,52.751478296199,2637.8478472114,0.40425,3973.1795154403
2.55e-05,22710.187603258,6865.2583236784,63.378893410901,2751.3721493916,0.4125,4034.5920904164
2.6e-05,23034.191229207,7054.4011454791,75.003297291441,2870.1311432496,0.42075,4091.4933663605
2.65e-05,23269.365815812,7245.8425661469,86.50026244138,2993.7779122481,0.429,4146.1852263605
2.7e-05,23431.146438421,7438.9453841256,97.519690543012,3120.3482462568,0.43725,4200.2767840653
2.75e-05,23547.726355169,7633.2234194693,109.15236725834,3247.1977153472,0.4455,4254.6802694418
2.8e-05,23637.910445744,7828.3479106004,121.49589426602,3373.2943841645,0.45375,4309.9144754355
2.85e-05,23702.808191923,8024.0573045756,133.66003864742,3497.6861292176,0.462,4367.556499662
2.9e-05,23737.219469202,8220.1124847457,147.20169229399,3618.2144152115,0.47025,4429.1211606015
2.95e-05,23744.822612319,8416.3323648139,163.4203581285,3734.2806484799,0.4785,4491.2053510942
3e-05,23739.772451146,8612.6312880175,182.71905559725,3847.8535301352,0.48675,4549.5066170243
3.05e-05,23734.669474359,8808.9864959571,204.16791629387,3960.1274611414,0.495,4605.913027353
3.1e-05,23730.678342125,9005.3528417018,228.02231610894,4070.2821232632,0.50325,4663.2876115048
3.15e-05,23722.875093349,9201.6349842649,251.7561854024,4180.1570198669,0.5115,4720.7799802544
3.155e-05,23719.157431375,9221.2609739115,254.40370525153,4191.7539502383,0.512325,4723.3188322901
3.16e-05,23717.843101694,9240.8852536732,257.0515774958,4203.3123954458,0.51315,4728.6439925293
3.165e-05,23716.509947463,9260.507783375,259.55740500763,4214.9306793168,0.513975,4733.9458591547
3.17e-05,23715.186988938,9280.1285536094,262.19373706296,4226.639830832,0.5148,4739.16315707
3.175e-05,23713.906529517,9299.7475882576,264.82708897478,4238.4392484128,0.515625,4744.1491786667
3.18e-05,23712.703936058,9319.3649467224,267.39811861823,4250.2782048941,0.51645,4749.0111920654
3.185e-05,23711.617104196,9338.9807255742,270.04304786614,4262.1643822164,0.517275,4753.8583677483
3.19e-05,23710.685825596,9358.5950595395,272.34840089829,4274.030610817,0.5181,4758.723879705
3.195e-05,23709.951064741,9378.2081217757,275.07769083592,4285.8437964027,0.518925,4763.8247272922
3.2e-05,23709.454152043,9397.8201233834,278.06314567942,4297.658558995,0.51975,4768.6893941399
3.205e-05,23709.235904478,9417.4313121224,280.94114206562,4309.504018202,0.520575,4773.3286182023
3.21e-05,23709.335686732,9437.0419703085,284.15722343026,4321.3893567054,0.5214,4778.1372328246
3.215e-05,23709.790428852,9456.6524118855,287.07456000473,4333.368094985,0.522225,4782.6557047191
3.22e-05,23710.633617581,9476.2629786762,289.71477930237,4345.3399935723,0.52305,4787.4290296959
3.225e-05,23711.894282704,9495.8740358351,292.23979730671,4357.3442725904,0.523875,4792.3035049575
3.23e-05,23713.596000102,9515.4859665382,294.78584664409,4369.3723717398,0.5247,4797.1995199412
3.235e-05,23715.755935442,9535.099165961,297.44624352649,4381.4709478538,0.525525,4801.9889910627
3.24e-05,23718.383953791,9554.7140346116,300.5885078399,4393.594534185,0.52635,4806.6214332755
3.245e-05,23721.481820749,9574.3309711007,303.64114223899,4405.7014297871,0.527175,4810.9818534332
3.25e-05,23725.04252086,9593.9503644465,306.98729527025,4417.8658212378,0.528,4815.4449124968
3.255e-05,23729.049719393,9613.5725860261,309.94559118549,4430.0506569116,0.528825,4819.7878500344
3.26e-05,23733.477391184,9633.1979813037,313.12107889679,4442.2856024459,0.52965,4824.2929058023
3.265e-05,23738.289639996,9652.8268614766,315.948619237,4454.6129220347,0.530475,4828.5401886046
3.27e-05,23743.440728775,9672.4594951972,319.05138907762,4466.9707396715,0.5313,4832.988009324
3.275e-05,23748.87533821,9692.0961005415,322.0947336847,4479.3724187326,0.532125,4837.2347470939
3.28e-05,23754.529068065,9711.7368374045,325.39852787507,4491.8412766805,0.53295,4841.4085217457
3.285e-05,23760.329191557,9731.3818005166,328.16921654674,4504.4765919387,0.533775,4845.1732013233
3.29e-05,23766.195668364,9751.0310132791,331.29081721298,4517.1349581854,0.5346,4849.386801879
3.295e-05,23772.042417826,9770.6844226248,334.3453067576,4529.7727609418,0.535425,4853.3526932968
3.3e-05,23777.778847155,9790.3418951094,337.00284748955,4542.4549661245,0.53625,4857.2646999976
3.305e-05,23783.311628036,9810.0032144392,339.5120904997,4555.2290917986,0.537075,4861.3573430709
3.31e-05,23788.546704746,9829.6680806349,341.84653413127,4568.0722934233,0.5379,4865.4636085486
3.315e-05,23793.391514758,9849.336111019,344.22936613514,4580.9363317059,0.538725,4869.6767025185
3.32e-05,23797.757396545,9869.0068432004,347.10705889367,4593.9323369785,0.53955,4873.5587036487
3.325e-05,23801.562154902,9888.67974021,349.67846513117,4607.0479342567,0.540375,4877.1021863629
3.33e-05,23804.732747639,9908.3541979145,352.29426255024,4620.2337600286,0.5412,4880.7551102585
3.335e-05,23807.208055747,9928.0295548064,354.74532689304,4633.3839028836,0.542025,4884.4231853851
3.34e-05,23808.941693272,9947.7051042325,357.54982525379,4646.494363774,0.54285,4888.2445890182
3.345e-05,23809.904809468,9967.3801090841,360.25284385466,4659.6222108867,0.543675,4891.9236865222
3.35e-05,23810.088834766,9987.0538189278,362.80656725259,4672.7178248256,0.5445,4895.6622569835
3.355e-05,23809.508118352,10006.725489509,365.26734415308,4685.7434776418,0.545325,4899.6398958531
3.36e-05,23808.202405432,10026.394404509,368.66492315881,4698.7643813555,0.54615,4903.6691627621
3.365e-05,23806.239101154,10046.059899394,371.72594522681,4712.0075533388,0.546975,4906.7607770305
3.37e-05,23803.715267684,10065.721387127,375.09049839663,4725.5627438387,0.5478,4909.8888810452
3.375e-05,23800.759303939,10085.378385477,378.3889786855,4739.2451111816,0.548625,4912.7577810122
3.38e-05,23797.532258111,10105.030545604,381.58223961,4752.9654197046,0.54945,4915.5024967706
3.385e-05,23794.228727825,10124.67768155,384.59093182971,4766.5908584279,0.550275,4918.446272775
3.39e-05,23791.077305807,10144.319800228,387.76751665213,4780.0042613448,0.5511,4921.7738531231
3.395e-05,23788.340535791,10163.957131458,390.67625651506,4793.2738062569,0.551925,4925.1946197996
3.4e-05,23786.314349232,10183.590157583,394.19842832613,4806.5222048424,0.55275,4928.7291425967
3.405e-05,23785.326959512,10203.219642153,397.88865497915,4819.8826422952,0.553575,4931.8022206719
3.41e-05,23785.737199296,10222.846657171,401.15201888407,4833.2653607432,0.5544,4934.6771221163
3.415e-05,23787.932295867,10242.472608386,404.37723027875,4846.6072833503,0.555225,4937.8248658924
3.42e-05,23792.325087429,10262.099258113,407.39105990396,4859.9325276635,0.55605,4940.9970097072
3.425e-05,23799.350693769,10281.728745092,410.36975562674,4873.2581472264,0.556875,4944.2638499057
3.43e-05,23809.462664497,10301.363600907,413.28893634342,4886.7216108294,0.5577,4947.3768295125
3.435e-05,23823.128638208,10321.00676254,416.11845006364,4900.3658224589,0.558525,4950.2667118538
3.44e-05,23840.825555166,10340.66158067,419.23434532867,4914.2519296324,0.55935,4952.9307129985
3.445e-05,23863.03447567,10360.331823367,421.46035887697,4928.4523092077,0.560175,4954.9855076299
3.45e-05,23890.235064533,10380.021674928,423.81617685831,4942.7289646205,0.561,4957.583534493
3.455e-05,23922.899809612,10399.735729633,426.14725069923,4957.029450022,0.561825,4960.0854993962
3.46e-05,23961.488049151,10419.478980278,429.08280429195,4971.3630947861,0.56265,4962.6040797514
3.465e-05,24006.439887596,10439.256801439,431.70960503158,4985.7374057398,0.563475,4964.5881422727
3.47e-05,24058.17008324,10459.074927455,434.25927567842,5000.2448319666,0.5643,4966.8826399771
3.475e-05,24117.061994048,10478.939425231,436.45563263135,5014.8979847381,0.565125,4969.1170725095
3.48e-05,24183.461667472,10498.856662007,438.73811219515,5029.7733336516,0.56595,4971.3490520235
3.485e-05,24257.672160068,10518.833268323,441.42188923708,5044.7882157201,0.566775,4973.3818164549
3.49e-05,24339.948169678,10538.87609646,444.63775325463,5059.8730740121,0.5676,4975.0011521342
3.495e-05,24430.49105845,10558.992174717,447.64335296353,5074.9920725322,0.568425,4976.4226173964
3.5e-05,24529.444341044,10579.188657917,450.54376050304,5090.1673945166,0.56925,4977.963065866
3.505e-05,24636.889703233,10599.472774592,453.21415802492,5105.5305232318,0.570075,4979.518805881
3.51e-05,24752.843609822,10619.851771338,456.33993046129,5121.0877910786,0.5709,4981.1055389152
3.515e-05,24877.254550664,10640.332854861,459.28089360201,5136.8934013392,0.571725,4982.3651857976
3.52e-05,25010.00096448,10660.923132272,462.37976789301,5152.8724476,0.57255,4983.6584808426
3.525e-05,25150.889868882,10681.629550199,465.70966239809,5169.0166678311,0.573375,4984.8719594141
3.53e-05,25299.65621474,10702.458833305,468.83148764785,5185.3936179833,0.5742,4985.8346057861
3.535e-05,25455.962972068,10723.417422817,471.83831509529,5201.9856313267,0.575025,4986.967572016
3.54e-05,25619.401944148,10744.511415662,474.94516785321,5218.8485006089,0.57585,4988.073978883
3.545e-05,25789.49529613,10765.746504814,478.69705076244,5236.1064780778,0.576675,4988.8299895235
3.55e-05,25965.69777519,10787.127921441,481.89264353202,5253.9170523279,0.5775,4988.8327514033
3.555e-05,26147.399591496,10808.660379433,484.54611595683,5272.0730232821,0.578325,4989.0330693231
3.56e-05,26333.929919967,10830.348022854,487.27698379732,5290.3717921951,0.57915,4989.5665120712
3.565e-05,26524.560977262,10852.194376869,490.64538426338,5308.8571124021,0.579975,4990.0218281807
3.57e-05,26718.512621314,10874.202302608,493.99636001928,5327.5995312359,0.5808,4990.0234752617
3.575e-05,26914.957416986,10896.373956444,497.79905565645,5346.4826215195,0.581625,4990.1491582423
3.58e-05,27113.026106771,10918.710754062,501.35324802213,5365.404332614,0.58245,4990.1536381475
3.585e-05,27311.813423544,10941.213339685,504.67943375707,5384.501141074,0.583275,4990.3876267605
3.59e-05,27510.384182784,10963.88156072,507.74780724468,5403.8943383516,0.5841,4990.6438446026
3.595e-05,27707.7795899,10986.714448065,510.79792037254,5423.5173643406,0.584925,4991.0053763397
3.6e-05,27903.023699898,11009.710202211,513.74738098833,5443.4225696709,0.58575,4991.2639089938
3.605e-05,28095.129966225,11032.866185235,516.97732441023,5463.7027449605,0.586575,4991.5003168177
3.61e-05,28283.107821754,11056.178918695,519.92611810216,5484.4202904816,0.5874,4991.124887486
3.615e-05,28465.969231107,11079.644087369,522.5770534336,5505.480790576,0.588225,4990.928778916
3.62e-05,28642.735165751,11103.256548736,525.40135473581,5526.8089656064,0.58905,4990.8147997444
3.625e-05,28812.441950867,11127.01034801,528.46967320472,5548.4622244511,0.589875,4990.5383775815
3.63e-05,28974.147441169,11150.898738533,531.80413971011,5570.3557773994,0.5907,4990.1650401524
3.635e-05,29126.936986587,11174.914207247,534.96820406054,5592.4075788797,0.591525,4989.5720467641
3.64e-05,29269.929151076,11199.048504962,537.50316222122,5614.5466177342,0.59235,4989.212871782
3.645e-05,29402.281155042,11223.292681111,541.12192152265,5636.7593518766,0.593175,4989.1154819465
3.65e-05,29523.194013636,11247.63712265,544.12750435735,5659.095361623,0.594,4988.3559821028
3.655e-05,29631.917348746,11272.071596787,547.74089853336,5681.5672188567,0.594825,4988.0425229635
3.66e-05,29727.753855773,11296.585297183,551.35597026616,5704.2758163778,0.59565,4987.2008557301
3.665e-05,29810.063407858,11321.166893297,554.65784856825,5727.1713148206,0.596475,4986.4343797707
3.67e-05,29878.266785012,11345.804582552,558.08134954366,5750.171902221,0.5973,4985.833555479
3.675e-05,29931.849015633,11370.486144987,561.32775170652,5773.3077345987,0.598125,4985.247418022
3.68e-05,29970.362319005,11395.199000074,564.97632571758,5796.5703414662,0.59895,4984.615257521
3.685e-05,29993.428642821,11419.930265385,568.7738752668,5820.0366300001,0.599775,4983.5919782779
3.69e-05,30000.741790188,11444.666816773,572.12655234398,5843.7491092678,0.6006,4982.1926972799
3.695e-05,29992.069128533,11469.395349754,575.67626036709,5867.6944837286,0.601425,4980.8155844843
3.7e-05,29967.252878363,11494.102441737,579.1294227757,5891.7939518076,0.60225,4979.2064679556
3.705e-05,29926.210976169,11518.774614755,582.30203174607,5916.0448330582,0.603075,4977.4733687228
3.71e-05,29868.937508414,11543.398398333,585.1909497631,5940.4730646938,0.6039,4975.5322580029
3.715e-05,29795.502713184,11567.960392101,587.79157034428,5964.9628326851,0.604725,4973.6009635336
3.72e-05,29706.052546145,11592.44732777,590.68420737551,5989.3890051892,0.60555,4971.8550481542
3.725e-05,29600.807809235,11616.846130061,594.02971367709,6013.7818497145,0.606375,4969.8497528484
3.73e-05,29480.062839377,11641.143976182,597.11039939897,6038.1504111166,0.6072,4967.3346134944
3.735e-05,29344.183756666,11665.328353461,600.47554730714,6062.4794112907,0.608025,4965.0081882973
3.74e-05,29193.606272001,11689.387114739,603.83578118464,6086.5930787525,0.60885,4962.6418945411
3.745e-05,29028.83305893,11713.308531172,606.80914496759,6110.474185096,0.609675,4960.3118905763
3.75e-05,28850.430695934,11737.08134212,609.66151831844,6134.146127087,0.6105,4958.4028450906
3.755e-05,28659.026191075,11760.694801824,612.48164984204,6157.7269665619,0.611325,4956.4082300209
3.76e-05,28455.303104132,11784.138722665,615.25293915082,6181.3136890659,0.61215,4954.2782308046
3.765e-05,28239.997288695,11807.403514807,618.33853376776,6204.9845395388,0.612975,4951.8055763943
3.77e-05,28013.892279111,11830.480222111,621.34334337784,6228.7696437504,0.6138,4948.7522599391
3.775e-05,27777.814353571,11853.360554253,623.78505613219,6252.3096278562,0.614625,4945.8418871746
3.78e-05,27532.627310777,11876.036915011,626.5174765285,6275.3675821181,0.61545,4943.4332889371
3.785e-05,27279.227000913,11898.502426755,629.13741569806,6297.9821556146,0.616275,4941.1235840278
3.79e-05,27018.535656538,11920.750951161,632.22513477239,6320.1465908893,0.6171,4939.0451184621
3.795e-05,26751.496069881,11942.777106214,635.47313600255,6341.7726715859,0.617925,4937.0191718873
